,Concept_ID,bn,ba
0,Auge::N,চক্ষু,күҙ
1,Ohr::N,কর্ণ,ҡолаҡ
2,Nase::N,নাক,танау
3,Mund::N,মুখ,ауыҙ
4,Zahn::N,দাঁত,теш
5,Zunge::N,জিহবা,тел
6,Lippe::N,অধর,ирен
7,Wange::N,গণ্ড,яцаҡтар
8,Gesicht::N,মুখমণ্ডল,бит
9,Stirn::N,কপাল,маңлай
10,Haar::N,চুল,сәс
11,Schnurrbart::N,গোঁফ,мылтыҡ
12,Bart::N,শ্মশ্রু,һаҡал
13,Kinn::N,চিবুক,эйэк
14,Kiefer[Anatomie]::N,চোয়াল,яңаҡ һөйәге
15,Kehle::N,কণ্ঠ,тамаҡ
16,Hals::N,গল,муйын
17,Genick::N,ঘাড়,соңҡа
18,Kopf::N,মাথা,баш
19,Rücken::N,পৃষ্ঠ,арҡа
20,Bauch::N,উদর,ҡорһаҡ
21,Nabel::N,নাভি,кендек
22,Busen::N,স্তন,күкрәк
23,Brust::N,বুক,түш
24,Schulter::N,স্কন্ধ,яурын
25,Arm::N,বাহু,ҡул
26,Ellenbogen::N,কনুই,терһәк
27,Hand::N,হাত,ҡул
28,Hand::N,হাত,ҡул суғы
29,Handfläche::N,করতল,ус төбө
30,Finger::N,আঙ্গুল,бармаҡ
31,Fingernagel::N,হাতের নখ,тырнаҡ
32,Nagel[Anatomie]::N,নখ,тырнаҡ
33,Zeh::N,আঙ্গুল,бармаҡ
34,Fuß::N,পা,табан
35,Ferse::N,গোড়ালি,үксә
36,Knie::N,হাঁটু,тубыҡ
37,Oberschenkel::N,ঊরু,сандыр
38,Bein::N,পা,аяҡ
39,Körper::N,দেহ,тән
40,Haut::N,ত্বক,тире
41,Blut::N,রক্ত,ҡан
42,Ader::N,শিরা,тамыр
43,Sehne::N,কণ্ডরা,һеңер
44,Sehne::N,কণ্ডরা,тарамыш
45,Knochen::N,অস্থি,һойәк
46,Gehirn::N,মস্তিষ্ক,мейе
47,Herz::N,হৃৎপিণ্ড,йорәк
48,Magen::N,পাকস্থলী,ашҡаҙан
49,Leber::N,যকৃৎ,бауыр
50,Atem::N,শ্বাস,һулыш
51,Hunger::N,ক্ষুধা,аслыҡ
52,Träne::N,অশ্রু,күҙ иәше
53,Geschmack::N,স্বাদ,тәм
54,Geruch::N,গন্ধ,еҫ
55,Schlaf::N,ঘুম,йоҡлау
56,Traum::N,স্বপ্ন,төш
57,Himmel::N,আকাশ,күк
58,Sonne::N,সূর্য,ҡояш
59,Mond::N,চন্দ্র,ай
60,Stern::N,নক্ষত্র,йондоҙ
61,Luft::N,বায়ু,һауа
62,Wind::N,বাতাস,ел
63,Welle::N,ঢেউ,тулҡын
64,Welle::N,তরঙ্গ,тулҡын
65,Wasser::N,জল,һыу
66,Stein::N,ঢিল,таш
67,Stein::N,প্রস্তর,таш
68,Boden::N,ভূতল,тупраҡ
69,Erde::N,ভূমি,балсҡ
70,Staub::N,ধুলা,туҙан
71,Rauch::N,ধোঁয়া,төтөн
72,Funke::N,স্ফুলিঙ্গ,осҡон
73,Feuer::N,অগ্নি,ут
74,Licht::N,আলো,яҡтылыҡ
75,Schatten::N,ছায়া,күләгә
76,Wetter::N,আবহাওয়া,һауа торошо
77,Nebel::N,কুহেলিকা,төман
78,Wolke::N,মেঘ,болот
79,Regen::N,বৃষ্টি,ямғыр
80,Schnee::N,তুষার,ҡар
81,Eis::N,বরফ,боҙ
82,Frost::N,তুষার,һалҡын
83,Kälte::N,শৈত্য,һыуыҡ
84,Hitze::N,তাপ,томра
85,Hitze::N,তাপ,эҫелек
86,Raureif::N,তুহিন,ҡырау
87,Regenbogen::N,রামধনু,йәйғор
88,Donner::N,বজ্রধ্বনি,күк күкрәү
89,Strömung::N,স্রোত,ағым
90,Tropfen::N,ফোঁটা,тамсы
91,Schaum::N,ফেনা,күбек
92,Schmutz::N,ধুলা,батҡаҡ
93,See::N,হ্রদ,күл
94,Sumpf::N,জলা,һаҙлык
95,Moor::N,মাঠ,һаҙ
96,Wiese::N,তৃণভূমি,болон
97,Wald::N,বন,урман
98,Hügel::N,পাহাড়,түбә
99,Anhöhe::N,টিলা,түбә
100,Anhöhe::N,টিলা,ҡалҡыулыҡ
101,Berg::N,পর্বত,тау
102,Gipfel::N,শীর্ষ,түбә
103,Höhle::N,গুহা,мәмерйә
104,Abhang::N,ঢাল,ипкен
105,Quelle::N,উৎস,шишмә
106,Bach::N,ক্ষুদ্র নদী,шишмә
107,Fluss::N,নদী,йылға
108,Ufer::N,উপকূল,яр
109,Küste::N,তীর,яр буйы
110,Festland::N,ভূমি,ҡоро ер
111,Meer::N,সমুদ্র,диңгез
112,Bucht::N,উপসাগর,бухта
113,Insel::N,দ্বীপ,үтрау
114,Blume::N,ফুল,сәскә
115,Gras::N,ঘাস,үлән
116,Wurzel::N,শিকড়,тамыр
117,Baum::N,গাছ,ағас
118,Stamm::N,স্কন্ধ,олон
119,Stamm::N,স্কন্ধ,көбәк
120,Rinde::N,বল্কল,ҡабыҡ
121,Ast::N,শাখা,ботаҡ
122,Zweig::N,ডাল,ботаҡ
123,Zweig::N,ডাল,тармаҡ
124,Blatt::N,পর্ণ,япраҡ
125,Birke::N,ভুর্জ,ҡайын
126,Kiefer[Baum]::N,পাইন গাছ,ҡарғай
127,Weide[Baum]::N,উইলো,тал
128,Tanne::N,দেবদারূ গাছ,шыршы
129,Horn::N,শিং,мөғөҙ
130,Feder::N,পালক,ҡауырһын
131,Fell::N,রোম,тире
132,Flügel::N,ডানা,ҡанат
133,Klaue::N,নখর,тырнаҡ
134,Kralle::N,নখর,аяҡ
135,Schwanz::N,লেজ,ҡойроҡ
136,Ei::N,ডিম,йомортҡа
137,Nest::N,কুলায়,оя
138,Bau::N,ডেরা,оң
139,Tier::N,জন্তু,жайуан
140,Tier::N,জন্তু,йыртҡыс
141,Herde::N,ঝাঁক,көтөү
142,Kuh::N,গোরু,һыйыр
143,Bulle::N,বৃষ,үгеҙ
144,Pferd::N,ঘোড়া,ат
145,Schaf::N,ভেড়া,һарыҡ
146,Schwein::N,শূকর,сусҡа
147,Hund::N,কুকুর,эт
148,Katze::N,বেড়াল,бесәй
149,Bär::N,ভল্লুক,айыу
150,Eichhörnchen::N,কাঠবিড়াল,тейен
151,Elch::N,হরিণবিশেষ,мышы
152,Fuchs::N,পাঁতিশিয়াল,төлкө
153,Hase::N,শশক,ҡуян
154,Maus::N,নেংটি ইঁদুর,сысҡан
155,Wolf::N,নেকড়ে,бүре
156,Vogel::N,পক্ষী,ҡош
157,Schwarm::N,ঝাঁক,көтөү
158,Huhn::N,মোরগ,тауыҡ
159,Hahn::N,কুক্কুট,әтәс
160,Gans::N,হংসী,ҡаҙ
161,Adler::N,ইগল,бөркөт
162,Ente::N,হংসী,өйрәк
163,Eule::N,পেচক,өкө
164,Eule::N,পেচক,ябалаҡ
165,Kranich::N,সারস,торна
