,Concept_ID,bn,zh
0,Auge::N,চক্ষু,眼睛
1,Ohr::N,কর্ণ,耳朵
2,Nase::N,নাক,鼻子
3,Mund::N,মুখ,嘴
4,Zahn::N,দাঁত,牙齿
5,Zunge::N,জিহবা,舌头
6,Lippe::N,অধর,嘴唇
7,Wange::N,গণ্ড,面颊
8,Gesicht::N,মুখমণ্ডল,脸
9,Stirn::N,কপাল,额
10,Haar::N,চুল,头发
11,Schnurrbart::N,গোঁফ,髭须
12,Bart::N,শ্মশ্রু,胡子
13,Kinn::N,চিবুক,下巴
14,Kiefer[Anatomie]::N,চোয়াল,颌
15,Kehle::N,কণ্ঠ,嗓子
16,Hals::N,গল,颈
17,Genick::N,ঘাড়,后颈
18,Kopf::N,মাথা,头
19,Rücken::N,পৃষ্ঠ,背
20,Bauch::N,উদর,肚子
21,Nabel::N,নাভি,肚脐
22,Busen::N,স্তন,胸脯
23,Brust::N,বুক,胸
24,Schulter::N,স্কন্ধ,肩膀
25,Arm::N,বাহু,臂膀
26,Ellenbogen::N,কনুই,肘
27,Hand::N,হাত,手
28,Handfläche::N,করতল,手掌
29,Finger::N,আঙ্গুল,手指
30,Fingernagel::N,হাতের নখ,指甲
31,Nagel[Anatomie]::N,নখ,指甲
32,Zeh::N,আঙ্গুল,脚趾
33,Fuß::N,পা,脚
34,Ferse::N,গোড়ালি,后跟
35,Knie::N,হাঁটু,膝
36,Oberschenkel::N,ঊরু,大腿
37,Bein::N,পা,腿
38,Körper::N,দেহ,身体
39,Haut::N,ত্বক,皮肤
40,Blut::N,রক্ত,血
41,Ader::N,শিরা,血管
42,Sehne::N,কণ্ডরা,腱
43,Knochen::N,অস্থি,骨
44,Gehirn::N,মস্তিষ্ক,脑
45,Herz::N,হৃৎপিণ্ড,心
46,Magen::N,পাকস্থলী,胃
47,Leber::N,যকৃৎ,肝
48,Atem::N,শ্বাস,呼吸
49,Hunger::N,ক্ষুধা,饿
50,Träne::N,অশ্রু,眼泪
51,Geschmack::N,স্বাদ,味道
52,Geruch::N,গন্ধ,气味
53,Schlaf::N,ঘুম,睡眠
54,Traum::N,স্বপ্ন,梦
55,Himmel::N,আকাশ,天空
56,Sonne::N,সূর্য,太阳
57,Mond::N,চন্দ্র,月亮
58,Stern::N,নক্ষত্র,星
59,Luft::N,বায়ু,空气
60,Wind::N,বাতাস,风
61,Welle::N,ঢেউ,波
62,Welle::N,তরঙ্গ,波
63,Wasser::N,জল,水
64,Stein::N,ঢিল,石头
65,Stein::N,প্রস্তর,石头
66,Boden::N,ভূতল,地面
67,Erde::N,ভূমি,地
68,Staub::N,ধুলা,灰尘
69,Rauch::N,ধোঁয়া,烟
70,Funke::N,স্ফুলিঙ্গ,火花
71,Feuer::N,অগ্নি,火
72,Licht::N,আলো,光
73,Schatten::N,ছায়া,影子
74,Wetter::N,আবহাওয়া,天气
75,Nebel::N,কুহেলিকা,雾
76,Wolke::N,মেঘ,云
77,Regen::N,বৃষ্টি,雨
78,Schnee::N,তুষার,雪
79,Eis::N,বরফ,冰
80,Frost::N,তুষার,霜冻
81,Kälte::N,শৈত্য,寒冷
82,Hitze::N,তাপ,炎热
83,Raureif::N,তুহিন,霜
84,Regenbogen::N,রামধনু,虹
85,Donner::N,বজ্রধ্বনি,雷
86,Strömung::N,স্রোত,水流
87,Tropfen::N,ফোঁটা,滴
88,Schaum::N,ফেনা,泡沫
89,Schmutz::N,ধুলা,赃物
90,See::N,হ্রদ,湖
91,Sumpf::N,জলা,沼泽
92,Moor::N,মাঠ,沼泽
