,Concept_ID,kk,ba
0,Auge::N,көз,күҙ
1,Ohr::N,құлақ,ҡолаҡ
2,Nase::N,мұрын,танау
3,Mund::N,ауыз,ауыҙ
4,Zahn::N,тіс,теш
5,Zunge::N,тіл,тел
6,Lippe::N,ерін,ирен
7,Wange::N,ұрт,яцаҡтар
8,Gesicht::N,бет-аузы,бит
9,Stirn::N,маңдай,маңлай
10,Haar::N,қыл,сәс
11,Schnurrbart::N,мұрт,мылтыҡ
12,Bart::N,сақал,һаҡал
13,Kinn::N,иек,эйэк
14,Kiefer[Anatomie]::N,жақ,яңаҡ һөйәге
15,Kehle::N,алқым,тамаҡ
16,Hals::N,мойын,муйын
17,Genick::N,желке,соңҡа
18,Kopf::N,кәллә,баш
19,Rücken::N,арқа,арҡа
20,Bauch::N,қарын,ҡорһаҡ
21,Nabel::N,кіндік,кендек
22,Busen::N,омырау,күкрәк
23,Brust::N,кеуде,түш
24,Schulter::N,иық,яурын
25,Arm::N,қол,ҡул
26,Ellenbogen::N,шынтақ,терһәк
27,Hand::N,қол,ҡул
28,Hand::N,қол,ҡул суғы
29,Handfläche::N,алақан,ус төбө
30,Finger::N,саусақ,бармаҡ
31,Fingernagel::N,тырнақ,тырнаҡ
32,Nagel[Anatomie]::N,тырнақ,тырнаҡ
33,Zeh::N,тырнақ,бармаҡ
34,Zeh::N,тұяқ,бармаҡ
35,Fuß::N,аяқ-басы,табан
36,Ferse::N,өкше,үксә
37,Ferse::N,өкшелік,үксә
38,Knie::N,тізе,тубыҡ
39,Oberschenkel::N,жамбас,сандыр
40,Bein::N,аяқ,аяҡ
41,Körper::N,дене,тән
42,Haut::N,тері,тире
43,Blut::N,қан,ҡан
44,Ader::N,көктамыр,тамыр
45,Ader::N,күретамыр,тамыр
46,Sehne::N,сіңір,һеңер
47,Sehne::N,сіңір,тарамыш
48,Knochen::N,жілік,һойәк
49,Gehirn::N,ми,мейе
50,Herz::N,жүрек,йорәк
