,Concept_ID,tr,tr
0,Auge::N,göz,göz
1,Ohr::N,kulak,kulak
2,Nase::N,burun,burun
3,Mund::N,ağız,ağız
4,Zahn::N,diş,diş
5,Zunge::N,dil,dil
6,Lippe::N,dudak,dudak
7,Wange::N,yanak,yanak
8,Gesicht::N,yüz,yüz
9,Stirn::N,alın,alın
10,Haar::N,saç,saç
11,Schnurrbart::N,bıyık,bıyık
12,Bart::N,sakal,sakal
13,Kinn::N,çene,çene
14,Kiefer[Anatomie]::N,çene,çene
15,Kehle::N,boğaz,boğaz
16,Hals::N,boyun,boyun
17,Hals::N,boyun,gerdan
18,Hals::N,gerdan,boyun
19,Hals::N,gerdan,gerdan
20,Genick::N,ense,ense
21,Kopf::N,baş,baş
22,Kopf::N,baş,kafa
23,Kopf::N,kafa,baş
24,Kopf::N,kafa,kafa
25,Rücken::N,arka,arka
26,Bauch::N,karın,karın
27,Nabel::N,göbek,göbek
28,Busen::N,koyun,koyun
29,Brust::N,göğüs,göğüs
30,Schulter::N,omuz,omuz
31,Arm::N,kol,kol
32,Ellenbogen::N,dirsek,dirsek
33,Hand::N,el,el
34,Handfläche::N,avuç,avuç
35,Handfläche::N,avuç,el ayası
36,Handfläche::N,el ayası,avuç
37,Handfläche::N,el ayası,el ayası
38,Finger::N,parmak,parmak
39,Fingernagel::N,el tırnağı,el tırnağı
40,Nagel[Anatomie]::N,tırnak,tırnak
41,Zeh::N,ayak parmağı,ayak parmağı
42,Fuß::N,ayak,ayak
43,Ferse::N,topuk,topuk
44,Knie::N,diz,diz
45,Oberschenkel::N,uyluk,uyluk
46,Bein::N,bacak,bacak
47,Körper::N,vücut,vücut
48,Haut::N,cilt,cilt
49,Blut::N,kan,kan
50,Ader::N,damar,damar
51,Sehne::N,kiriş,kiriş
52,Knochen::N,kemik,kemik
53,Gehirn::N,beyin,beyin
54,Herz::N,kalp,kalp
55,Herz::N,kalp,yürek
56,Herz::N,yürek,kalp
57,Herz::N,yürek,yürek
58,Magen::N,mide,mide
59,Leber::N,karaciğer,karaciğer
60,Atem::N,nefes,nefes
61,Hunger::N,açlık,açlık
62,Träne::N,gözyaşı,gözyaşı
63,Geschmack::N,tat,tat
64,Geschmack::N,tat,lezzet
65,Geschmack::N,lezzet,tat
66,Geschmack::N,lezzet,lezzet
67,Geruch::N,koku,koku
68,Schlaf::N,uyku,uyku
69,Traum::N,düş,düş
70,Traum::N,düş,rüya
71,Traum::N,rüya,düş
72,Traum::N,rüya,rüya
73,Himmel::N,gök,gök
74,Sonne::N,güneş,güneş
75,Mond::N,ay,ay
76,Stern::N,yıldız,yıldız
77,Luft::N,hava,hava
78,Wind::N,yel,yel
79,Wind::N,yel,rüzgâr
80,Wind::N,rüzgâr,yel
81,Wind::N,rüzgâr,rüzgâr
82,Welle::N,dalga,dalga
83,Wasser::N,su,su
84,Stein::N,taş,taş
85,Boden::N,yer,yer
86,Boden::N,yer,zemin
87,Boden::N,zemin,yer
88,Boden::N,zemin,zemin
89,Erde::N,toprak,toprak
90,Staub::N,toz,toz
91,Rauch::N,duman,duman
92,Funke::N,kıvılcım,kıvılcım
93,Feuer::N,ateş,ateş
94,Licht::N,ışık,ışık
95,Schatten::N,gölge,gölge
96,Wetter::N,hava,hava
97,Nebel::N,pus,pus
98,Wolke::N,bulut,bulut
99,Regen::N,yağmur,yağmur
100,Schnee::N,kar,kar
101,Eis::N,buz,buz
102,Frost::N,don,don
103,Kälte::N,soğukluk,soğukluk
104,Hitze::N,sıcaklık,sıcaklık
105,Raureif::N,kırç,kırç
106,Regenbogen::N,gökkuşağı,gökkuşağı
107,Donner::N,gök gürlemesi,gök gürlemesi
108,Strömung::N,akıntı,akıntı
109,Strömung::N,akıntı,cereyan
110,Strömung::N,cereyan,akıntı
111,Strömung::N,cereyan,cereyan
112,Tropfen::N,damla,damla
113,Schaum::N,köpük,köpük
114,Schmutz::N,çamur,çamur
115,Schmutz::N,çamur,pislik
116,Schmutz::N,pislik,çamur
117,Schmutz::N,pislik,pislik
118,See::N,göl,göl
119,Sumpf::N,batak,batak
120,Moor::N,cılgıt,cılgıt
121,Wiese::N,çimen,çimen
122,Wald::N,koru,koru
123,Wald::N,koru,orman
124,Wald::N,orman,koru
125,Wald::N,orman,orman
126,Hügel::N,tepe,tepe
127,Anhöhe::N,tümsek,tümsek
128,Anhöhe::N,tümsek,yükseklik
129,Anhöhe::N,yükseklik,tümsek
130,Anhöhe::N,yükseklik,yükseklik
131,Berg::N,dağ,dağ
132,Gipfel::N,zirve,zirve
133,Höhle::N,in,in
134,Höhle::N,in,mağara
135,Höhle::N,mağara,in
136,Höhle::N,mağara,mağara
137,Abhang::N,bayır,bayır
138,Quelle::N,pınar,pınar
139,Quelle::N,pınar,kaynak
140,Quelle::N,kaynak,pınar
141,Quelle::N,kaynak,kaynak
142,Bach::N,çay,çay
143,Bach::N,çay,dere
144,Bach::N,dere,çay
145,Bach::N,dere,dere
146,Fluss::N,nehir,nehir
147,Ufer::N,kıyı,kıyı
148,Ufer::N,kıyı,sahil
149,Ufer::N,sahil,kıyı
150,Ufer::N,sahil,sahil
151,Küste::N,kıyı,kıyı
152,Küste::N,kıyı,sahil
153,Küste::N,sahil,kıyı
154,Küste::N,sahil,sahil
155,Festland::N,kara,kara
156,Meer::N,deniz,deniz
157,Bucht::N,koy,koy
158,Bucht::N,koy,körfez
159,Bucht::N,körfez,koy
160,Bucht::N,körfez,körfez
161,Insel::N,ada,ada
162,Blume::N,çiçek,çiçek
163,Gras::N,ot,ot
164,Gras::N,ot,çim
165,Gras::N,çim,ot
166,Gras::N,çim,çim
167,Wurzel::N,kök,kök
168,Baum::N,ağaç,ağaç
169,Stamm::N,gövde,gövde
170,Rinde::N,kabuk,kabuk
171,Ast::N,dal,dal
172,Ast::N,dal,budak
173,Ast::N,budak,dal
174,Ast::N,budak,budak
175,Zweig::N,dal,dal
176,Blatt::N,yaprak,yaprak
177,Birke::N,huş,huş
178,Kiefer[Baum]::N,çam,çam
179,Weide[Baum]::N,söğüt,söğüt
180,Tanne::N,çam,çam
181,Tanne::N,çam,köknar
182,Tanne::N,köknar,çam
183,Tanne::N,köknar,köknar
184,Horn::N,boynuz,boynuz
185,Feder::N,tüy,tüy
186,Fell::N,post,post
187,Flügel::N,kanat,kanat
188,Klaue::N,pençe,pençe
189,Kralle::N,tırnak,tırnak
190,Schwanz::N,kuyruk,kuyruk
191,Ei::N,yumurta,yumurta
192,Nest::N,yuva,yuva
193,Bau::N,in,in
194,Tier::N,hayvan,hayvan
195,Herde::N,sürü,sürü
196,Kuh::N,inek,inek
197,Bulle::N,boğa,boğa
198,Pferd::N,at,at
199,Pferd::N,at,beygir
200,Pferd::N,beygir,at
201,Pferd::N,beygir,beygir
202,Schaf::N,koyun,koyun
203,Schwein::N,domuz,domuz
204,Hund::N,it,it
205,Hund::N,it,köpek
206,Hund::N,köpek,it
207,Hund::N,köpek,köpek
208,Katze::N,kedi,kedi
209,Bär::N,ayı,ayı
210,Eichhörnchen::N,sincap,sincap
211,Elch::N,büyük kuzey geyiği,büyük kuzey geyiği
212,Fuchs::N,tilki,tilki
213,Hase::N,tavşan,tavşan
214,Maus::N,fare,fare
215,Maus::N,fare,sıçan
216,Maus::N,sıçan,fare
217,Maus::N,sıçan,sıçan
218,Wolf::N,kurt,kurt
219,Vogel::N,kuş,kuş
220,Schwarm::N,sürü,sürü
221,Huhn::N,tavuk,tavuk
222,Hahn::N,horoz,horoz
223,Gans::N,kaz,kaz
224,Adler::N,kartal,kartal
225,Adler::N,kartal,karakuş
226,Adler::N,karakuş,kartal
227,Adler::N,karakuş,karakuş
228,Ente::N,ördek,ördek
229,Eule::N,baykuş,baykuş
230,Kranich::N,turna,turna
231,Krähe::N,karga,karga
232,Kuckuck::N,guguk,guguk
