,Concept_ID,bn,no
0,Auge::N,চক্ষু,øye
1,Ohr::N,কর্ণ,øre
2,Nase::N,নাক,nese
3,Mund::N,মুখ,munn
4,Zahn::N,দাঁত,tann
5,Zunge::N,জিহবা,tunge
6,Lippe::N,অধর,leppe
7,Wange::N,গণ্ড,kinn
8,Gesicht::N,মুখমণ্ডল,fjes
9,Gesicht::N,মুখমণ্ডল,ansikt
10,Stirn::N,কপাল,panne
11,Haar::N,চুল,hår
12,Schnurrbart::N,গোঁফ,bart
13,Bart::N,শ্মশ্রু,skjegg
14,Kinn::N,চিবুক,hake
15,Kiefer[Anatomie]::N,চোয়াল,kjeve
16,Kehle::N,কণ্ঠ,strupe
17,Hals::N,গল,hals
18,Genick::N,ঘাড়,nakke
19,Kopf::N,মাথা,hode
20,Rücken::N,পৃষ্ঠ,rygg
21,Bauch::N,উদর,buk
22,Bauch::N,উদর,mage
23,Nabel::N,নাভি,navle
24,Busen::N,স্তন,barm
25,Brust::N,বুক,bryst
26,Schulter::N,স্কন্ধ,skulder
27,Arm::N,বাহু,arm
28,Ellenbogen::N,কনুই,albue
29,Hand::N,হাত,hånd
30,Handfläche::N,করতল,håndflate
31,Finger::N,আঙ্গুল,finger
32,Fingernagel::N,হাতের নখ,fingernegl
33,Nagel[Anatomie]::N,নখ,negl
34,Zeh::N,আঙ্গুল,tå
35,Fuß::N,পা,fot
36,Ferse::N,গোড়ালি,hæl
37,Knie::N,হাঁটু,kne
38,Oberschenkel::N,ঊরু,lår
39,Bein::N,পা,bein
40,Körper::N,দেহ,kropp
41,Körper::N,দেহ,legeme
42,Haut::N,ত্বক,hud
43,Haut::N,ত্বক,skinn
44,Blut::N,রক্ত,blod
45,Ader::N,শিরা,åre
46,Sehne::N,কণ্ডরা,sene
47,Knochen::N,অস্থি,bein
48,Knochen::N,অস্থি,knokkel
49,Gehirn::N,মস্তিষ্ক,hjerne
50,Herz::N,হৃৎপিণ্ড,hjerte
51,Magen::N,পাকস্থলী,mage
52,Leber::N,যকৃৎ,lever
53,Atem::N,শ্বাস,pust
54,Hunger::N,ক্ষুধা,sult
55,Träne::N,অশ্রু,tåre
56,Geschmack::N,স্বাদ,smak
57,Geruch::N,গন্ধ,lukt
58,Schlaf::N,ঘুম,søvn
59,Traum::N,স্বপ্ন,drøm
60,Himmel::N,আকাশ,himmel
61,Sonne::N,সূর্য,sol
62,Mond::N,চন্দ্র,måne
63,Stern::N,নক্ষত্র,stjerne
64,Luft::N,বায়ু,luft
65,Wind::N,বাতাস,vind
66,Welle::N,ঢেউ,bølge
67,Welle::N,তরঙ্গ,bølge
68,Wasser::N,জল,vann
69,Stein::N,ঢিল,stein
70,Stein::N,প্রস্তর,stein
71,Boden::N,ভূতল,bakke
72,Erde::N,ভূমি,jord
73,Staub::N,ধুলা,støv
74,Rauch::N,ধোঁয়া,røyk
75,Funke::N,স্ফুলিঙ্গ,gnist
76,Feuer::N,অগ্নি,ild
77,Licht::N,আলো,lys
78,Schatten::N,ছায়া,skygge
79,Wetter::N,আবহাওয়া,vær
80,Nebel::N,কুহেলিকা,tåke
81,Wolke::N,মেঘ,sky
82,Regen::N,বৃষ্টি,regn
83,Schnee::N,তুষার,snø
84,Eis::N,বরফ,is
85,Frost::N,তুষার,frost
86,Kälte::N,শৈত্য,kulde
87,Hitze::N,তাপ,hete
88,Raureif::N,তুহিন,rimfrost
89,Regenbogen::N,রামধনু,regnbue
90,Donner::N,বজ্রধ্বনি,torden
91,Strömung::N,স্রোত,strømning
92,Tropfen::N,ফোঁটা,dråpe
93,Schaum::N,ফেনা,skum
94,Schmutz::N,ধুলা,søl
95,Schmutz::N,ধুলা,skitt
96,See::N,হ্রদ,sjø
97,Sumpf::N,জলা,sump
98,Sumpf::N,জলা,myrlende
99,Moor::N,মাঠ,myr
100,Moor::N,মাঠ,myrhei
101,Wiese::N,তৃণভূমি,eng
102,Wald::N,বন,skog
103,Hügel::N,পাহাড়,haug
104,Hügel::N,পাহাড়,bakke
105,Anhöhe::N,টিলা,haug
106,Anhöhe::N,টিলা,bakke
107,Berg::N,পর্বত,berg
108,Berg::N,পর্বত,fjell
109,Gipfel::N,শীর্ষ,topp
110,Höhle::N,গুহা,hule
111,Abhang::N,ঢাল,li
112,Abhang::N,ঢাল,skråning
113,Quelle::N,উৎস,kilde
114,Bach::N,ক্ষুদ্র নদী,bekk
115,Fluss::N,নদী,elv
116,Ufer::N,উপকূল,bredd
117,Küste::N,তীর,kyst
118,Festland::N,ভূমি,fastland
119,Meer::N,সমুদ্র,hav
120,Bucht::N,উপসাগর,bukt
121,Insel::N,দ্বীপ,øy
122,Blume::N,ফুল,blomst
123,Gras::N,ঘাস,gress
124,Wurzel::N,শিকড়,rot
125,Baum::N,গাছ,tre
126,Stamm::N,স্কন্ধ,stamme
127,Rinde::N,বল্কল,bark
128,Ast::N,শাখা,gren
129,Zweig::N,ডাল,kvist
130,Blatt::N,পর্ণ,blad
131,Birke::N,ভুর্জ,bjørk
132,Kiefer[Baum]::N,পাইন গাছ,furu
133,Weide[Baum]::N,উইলো,selje
134,Weide[Baum]::N,উইলো,piletre
135,Tanne::N,দেবদারূ গাছ,gran
136,Horn::N,শিং,horn
137,Feder::N,পালক,fjær
138,Fell::N,রোম,skinn
139,Flügel::N,ডানা,vinge
140,Klaue::N,নখর,klauv
141,Kralle::N,নখর,klo
142,Schwanz::N,লেজ,hale
143,Ei::N,ডিম,egg
144,Nest::N,কুলায়,rede
145,Bau::N,ডেরা,hi
146,Tier::N,জন্তু,dyr
147,Herde::N,ঝাঁক,flokk
148,Kuh::N,গোরু,ku
149,Bulle::N,বৃষ,tyr
150,Pferd::N,ঘোড়া,hest
151,Schaf::N,ভেড়া,får
152,Schwein::N,শূকর,gris
153,Hund::N,কুকুর,hund
154,Katze::N,বেড়াল,katt
155,Bär::N,ভল্লুক,bjørn
156,Eichhörnchen::N,কাঠবিড়াল,ekorn
157,Elch::N,হরিণবিশেষ,elg
158,Fuchs::N,পাঁতিশিয়াল,rev
159,Hase::N,শশক,hare
160,Maus::N,নেংটি ইঁদুর,mus
161,Wolf::N,নেকড়ে,ulv
162,Wolf::N,নেকড়ে,varg
163,Vogel::N,পক্ষী,fugl
164,Schwarm::N,ঝাঁক,sverm
165,Huhn::N,মোরগ,høne
166,Hahn::N,কুক্কুট,hane
167,Gans::N,হংসী,gås
168,Adler::N,ইগল,ørn
169,Ente::N,হংসী,and
170,Eule::N,পেচক,ugle
171,Kranich::N,সারস,trane
172,Krähe::N,কাক,kråke
173,Kuckuck::N,কোকিল,gjøk
174,Schwan::N,মরাল,svane
175,Fisch::N,মাছ,fisk
176,Barsch::N,মৎন্যবিশেষ,abbor
177,Hecht::N,বানমাছ,gjedde
178,Schlange[Tier]::N,সর্প,orm
179,Schlange[Tier]::N,সর্প,slange
180,Wurm::N,কীট,orm
181,Wurm::N,কীট,mark
182,Spinne::N,মাকড়সা,edderkopp
183,Ameise::N,পিপীলিকা,maur
184,Laus::N,উকুন,lus
185,Mücke::N,মশা,mygg
186,Fliege::N,মাছি,flue
187,Schmetterling::N,প্রজাপতি,sommerfugl
188,Beere::N,বেরি,bær
189,Apfel::N,আপেল,eple
190,Pilz::N,ছত্রক,sopp
191,Zwiebel::N,পিয়াজ,løk
192,Saat::N,বীজ,sæd
193,Korn::N,শস্য,korn
194,Heu::N,খড়,høy
195,Schale::N,খোসা,skall
196,Grube::N,গর্ত,grop
197,Falle::N,ফাঁদ,felle
198,Schlinge::N,পাশ,snare
199,Spur::N,চিহ্ন,spor
200,Asche::N,ভস্ম,aske
201,Dreck::N,ময়লা,møkk
202,Dreck::N,ময়লা,skitt
203,Eisen::N,লোহা,jern
204,Gold::N,স্বর্ণ,gull
205,Silber::N,রৌপ্য,sølv
206,Kohle::N,অঙ্গার,kol
207,Kohle::N,অঙ্গার,kull
208,Glas::N,কাচ,glass
209,Lehm::N,মৃত্তিকা,leire
210,Sand::N,বালি,sand
211,Mensch::N,নর,menneske
212,Mensch::N,মানুষ,menneske
213,Mann::N,মানুষ,mann
214,Frau::N,নারী,kvinne
215,Kind::N,বাচ্চা,barn
216,Junge::N,ছেলে,gutt
217,Mädchen::N,মেয়ে,pike
218,Mädchen::N,মেয়ে,jente
219,Familie::N,পরিবার,familie
220,Großvater::N,মাতামহ,bestefar
221,Großmutter::N,মাতামহী,bestemor
222,Eltern::N,মাতাপিতা,foreldre
223,Vater::N,পিতা,far
224,Mutter::N,মাতা,mor
225,Sohn::N,ছেলে,sønn
226,Tochter::N,মেয়ে,datter
227,Bruder::N,দাদা,bror
228,Schwester::N,বোন,søster
229,Schwester::N,দিদি,søster
230,Onkel::N,মামা,onkel
231,Tante::N,মাসী,tante
232,Ehemann::N,স্বামী,ektemann
233,Ehefrau::N,পত্নী,hustru
234,Freude::N,উল্লাস,glede
235,Gelächter::N,হাসি,latter
236,Glück::N,সুখ,lykke
237,Kummer::N,দুঃখ,sorg
238,Wunsch::N,আকাঙ্ক্ষা,ønske
239,Lust::N,বাসনা,lyst
240,Geist::N,আত্না,ånd
