,Concept_ID,xal,br
0,Auge::N,нүдн,lagad
1,Ohr::N,чикн,skouarn
2,Nase::N,хамр,fri
3,Mund::N,амн,genoù
4,Zahn::N,шүдн,dant
5,Zunge::N,келн,teod
6,Lippe::N,урл,muzell
7,Wange::N,халх,chot
8,Gesicht::N,нүр,dremm
9,Stirn::N,маңна,tal
10,Haar::N,үсн,blev
11,Schnurrbart::N,сахл,mourenn
12,Bart::N,сахл,barv
13,Bart::N,өргнә сахл,barv
14,Kinn::N,өргн,groñj
15,Kiefer[Anatomie]::N,өргн,javed
16,Kehle::N,хол,gouzoug
17,Hals::N,күзүн,gouzoug
18,Genick::N,гиҗг,choug
19,Kopf::N,толһа,penn
20,Rücken::N,нурһн,kein
21,Bauch::N,гесн,kof
22,Nabel::N,киисн,begel
23,Busen::N,көкн,bronn
24,Brust::N,чееҗ,bruched
25,Schulter::N,ээм,skoaz
26,Arm::N,һар,brec'h
27,Ellenbogen::N,тоха,ilin
28,Hand::N,баһлцг,dorn
29,Handfläche::N,альхн,palv
30,Finger::N,хурһн,biz
31,Finger::N,һарин хурһн,biz
32,Fingernagel::N,хумсн,ivin
33,Nagel[Anatomie]::N,хумсн,ivin
34,Zeh::N,хурһн,biz-troad
35,Zeh::N,көлин хурһн,biz-troad
36,Fuß::N,тавг,troad
37,Ferse::N,өскә,seul
38,Knie::N,өвдг,glin
39,Oberschenkel::N,һуй,morzhed
40,Bein::N,көл,gar
41,Körper::N,махмуд,korf
42,Haut::N,арсн,kroc'hen
43,Blut::N,цусн,gwad
44,Ader::N,судцн,gwazhi
45,Sehne::N,шүрүсн,stir
46,Knochen::N,ясн,askorn
47,Gehirn::N,экн,empenn
48,Herz::N,зүркн,kalon
49,Magen::N,гесн,stomog
50,Leber::N,элкн,avu
51,Atem::N,әмсхл,anal
52,Hunger::N,харһнлһн,naon
53,Träne::N,нульмсн,daer
54,Geschmack::N,амтн,blaz
55,Geruch::N,үнр,c'hwezh
56,Schlaf::N,нөр,kousked
57,Traum::N,зүүдн,hune
58,Himmel::N,теңгр,oabl
59,Sonne::N,нарн,heol
60,Mond::N,сар,loar
61,Stern::N,одн,steredenn
62,Luft::N,аһар,aer
63,Wind::N,салькн,avel
64,Welle::N,дольган,houlenn
65,Wasser::N,усн,dour
66,Stein::N,чолун,maen
67,Boden::N,Һазр,tachenn
68,Erde::N,Һазр,douar
69,Staub::N,тоосн,poultr
70,Rauch::N,утан,moged
71,Funke::N,очн,ful
72,Feuer::N,һал,tan
73,Licht::N,герл,gouloù
74,Schatten::N,сүүдр,disheol
75,Wetter::N,теңгр,amzer
76,Nebel::N,будн,brumenn
77,Wolke::N,үүлн,koumoulenn
78,Regen::N,хур,glav
79,Schnee::N,цасн,erc'h
80,Eis::N,мөсн,skorn
81,Frost::N,киитн,rev
82,Kälte::N,киитн,yen
83,Hitze::N,халун,tommder
84,Raureif::N,цаң,frim
85,Raureif::N,кирү,frim
86,Regenbogen::N,солңһ,gwareg-ar-glav
87,Donner::N,оһтрһун дун,kurun
88,Strömung::N,урсхл,red
89,Tropfen::N,дусал,bannac'h
90,Tropfen::N,дусал,takenn
91,Schaum::N,көөсн,spoum
92,Schmutz::N,кир,fank
93,See::N,нур,lenn
94,Sumpf::N,унул,gwern
95,Moor::N,улм,taouarc'heg
96,Wiese::N,хадлһн,prad
97,Wald::N,ө-модн,koad
98,Hügel::N,толһа,torgenn
99,Anhöhe::N,хамр,run
100,Berg::N,уул,menez
101,Gipfel::N,ора,barr
102,Höhle::N,хадин көндә,kav
103,Abhang::N,ташу,naou
104,Quelle::N,булг,feunteun
105,Bach::N,һооҗур,gwazh
106,Fluss::N,һол,stêr
107,Ufer::N,көвә,ribl
108,Küste::N,көвә,aod
109,Küste::N,теңгсин көвә,aod
110,Festland::N,хүүрә һазр,douar
111,Meer::N,теңгс,mor
112,Bucht::N,цекә,mor-bihan
113,Bucht::N,теңгсин цекә,mor-bihan
114,Insel::N,арл,enez
115,Blume::N,цецг,bleunienn
116,Gras::N,ноһан,geot
117,Wurzel::N,уңг,gwrizienn
118,Baum::N,модн,gwezenn
119,Stamm::N,шилв,kef
120,Stamm::N,һол модн,kef
121,Rinde::N,көрсн,rusk
122,Ast::N,ац,barr
123,Zweig::N,ац,bod
124,Blatt::N,хамтхасн,delienn
125,Birke::N,хусм модн,bezvenn
126,Kiefer[Baum]::N,шар харһа,pinenn
127,Weide[Baum]::N,удн,halegenn
128,Tanne::N,җөөлн цаһан модн,sapenn
129,Horn::N,өвр,korn
130,Feder::N,өрвлг,pluñv
131,Fell::N,арсн,kreoñ
132,Flügel::N,җивр,askell
133,Klaue::N,хумсн,skilf
134,Kralle::N,тавг,skilf
135,Schwanz::N,сүл,lost
136,Ei::N,өндгн,vi
137,Nest::N,үр,neizh
138,Bau::N,нүкн,douarenn
139,Tier::N,мал,loen
140,Herde::N,сүрг мал,tropell
141,Kuh::N,үкр,buoc'h
142,Bulle::N,бух,tarv
143,Pferd::N,мөрн,marc'h
144,Schaf::N,хөн,dañvad
145,Schwein::N,һаха,pemoc'h
146,Hund::N,ноха,ki
147,Katze::N,мис,kazh
148,Bär::N,аю,arzh
149,Eichhörnchen::N,кермн,gwiñver
150,Elch::N,хандһа,karv-dour
151,Fuchs::N,арат,louarn
152,Hase::N,туула,gad
153,Maus::N,хулһн,logodenn
154,Wolf::N,чон,bleiz
155,Vogel::N,шовун,labous
156,Schwarm::N,зел,nijad
157,Huhn::N,така,yar
158,Hahn::N,эр така,kilhog
159,Gans::N,һалун,gwazenn
160,Adler::N,һәрд,erer
161,Ente::N,нуһсн,houad
162,Eule::N,һурвлһ,toud
163,Kranich::N,тоһрун,garan
164,Krähe::N,шаазһа,bran
165,Kuckuck::N,эргин хуцдг,koukoug
166,Schwan::N,хун,alarc'h
167,Fisch::N,заһсн,pesk
168,Barsch::N,шүрг,brell
169,Hecht::N,цурх,beked
170,Schlange[Tier]::N,моһа,naer
171,Wurm::N,өтн,preñv
172,Spinne::N,аралҗн,kevnidenn
173,Ameise::N,шорһлҗн,merion
174,Laus::N,бөөсн,laouenn
175,Mücke::N,бөкүн,moustik
176,Fliege::N,батхн,kelienenn
177,Schmetterling::N,эрвәкә,balafenn
178,Beere::N,бөөлҗрһн,hog
179,Apfel::N,альмн,aval
180,Pilz::N,теңгрин ки,kabell-touseg
181,Zwiebel::N,мәңгрснә толһа,ognonenn
182,Saat::N,буудян экн,had
183,Korn::N,экн,ed
184,Heu::N,өвсн,foenn
185,Schale::N,хальсн,peliadur
186,Grube::N,нүкн,
187,Falle::N,урх,pech
188,Falle::N,хавх,pech
189,Schlinge::N,бүтү,krouglas
190,Spur::N,мөр,
191,Asche::N,үмсн,ludu
192,Dreck::N,бальчг,fank
193,Eisen::N,төмр,houarn
194,Gold::N,алтн,aour
195,Silber::N,мөңгн,arc'hant
196,Silber::N,цаһан мөңгн,arc'hant
197,Kohle::N,нүүрсн,glaou
198,Glas::N,шил,gwer
199,Lehm::N,шавр,
200,Sand::N,элсн,traezh
201,Mensch::N,күн,den
202,Mensch::N,күмн,den
203,Mann::N,эр,den
204,Frau::N,күүкд күн,maouez
205,Kind::N,үрн,bugel
206,Junge::N,көвүн,paotr
207,Mädchen::N,бичкн күүкн,plac'h
208,Familie::N,бүл,familh
209,Großvater::N,өвк эцк,tad-kozh
210,Großvater::N,наһц эцк,tad-kozh
211,Großmutter::N,эмг эк,mamm-gozh
212,Großmutter::N,наһц эк,mamm-gozh
213,Eltern::N,эк эцк хойр,kerent
214,Vater::N,эцк,tad
215,Mutter::N,эк,mamm
216,Sohn::N,көвүн,mab
217,Tochter::N,күүкн,merc'h
218,Bruder::N,дү көвүн,breur
219,Schwester::N,эгч,c'hoar
220,Schwester::N,дү күүкн,c'hoar
221,Onkel::N,авһ,eontr
222,Onkel::N,наһцх,eontr
223,Tante::N,наһц эгч,moereb
224,Ehemann::N,залу,gwaz
225,Ehefrau::N,гергн,gwreg
226,Freude::N,байр,levenez
227,Gelächter::N,инәдн,c'hoarzherezh
228,Glück::N,җирһл,chañs
229,Glück::N,сәәхн җирһл,chañs
230,Kummer::N,зовлң,doan
231,Wunsch::N,дурн,c'hoant
232,Lust::N,җилвтлһн,c'hoant
233,Geist::N,зөрг,spered
234,Gedanke::N,ухан,soñj
235,Gedächtnis::N,чееҗин тодлвр,eñvor
236,Verstand::N,ухан,skiant
237,Sinn::N,учр-утх,ster
238,Grund::N,учр,kaoz
239,Grund::N,шалтан,kaoz
240,Wahrheit::N,үнн,gwirionez
241,Gespräch::N,күүндвүр,kaozeadenn
242,Märchen::N,тууль,kaoz korriganez
243,Erzählung::N,келвр,kontadenn
244,Nachricht::N,медүллһн,keloù
245,Neuigkeit::N,зәңг,kelaouenn
246,Name::N,нерн,anv
247,Rätsel::N,тәәлвртә тууль,divinatez
248,Rede::N,келлһн,diskour
249,Sprache::N,келн,yezh
250,Stimme::N,дун,mouezh
251,Wort::N,үг,ger
252,Zeichen::N,темдг,sin
253,Ruf::N,дуудлһн,galv
254,Lärm::N,шууган,trouz
255,Laut::N,ә,
256,Ton::N,дун,ton
257,Lied::N,дун,kanaouenn
258,Ruhe::N,амулң,sioulded
259,Leute::N,әмтн,tud
260,Volk::N,улс,pobl
261,Arbeit::N,көдлмш,labour
262,Gast::N,гиич,kouviad
263,Geschenk::N,белг,prof
264,Spiel::N,наадн,c'hoari
265,Gesellschaft::N,олн,kompagnunezh
266,Gesellschaft::N,олн,kavandad
267,Hilfe::N,нөкд,sikour
268,Freund::N,иньг,mignon
269,Kamerad::N,үр,kamarad
270,Angelegenheit::N,керг,afer
271,Anzahl::N,то,niver
