,Concept_ID,cs,pl
0,Auge::N,oko,oko
1,Ohr::N,ucho,ucho
2,Nase::N,nos,nos
3,Mund::N,pusa,usta
4,Zahn::N,zub,ząb
5,Zunge::N,jazyk,język
6,Lippe::N,ret,warga
7,Wange::N,tvář,policzek
8,Gesicht::N,obličej,twarz
9,Stirn::N,čelo,czoło
10,Haar::N,vlas,włos
11,Haar::N,vlas,włosy
12,Haar::N,vlasy,włos
13,Haar::N,vlasy,włosy
14,Schnurrbart::N,kníry,wąsy
15,Bart::N,vousy,broda
16,Kinn::N,brada,podbródek
17,Kiefer[Anatomie]::N,čelist,czeluść
18,Kehle::N,hrdlo,gardło
19,Hals::N,krk,szyja
20,Genick::N,týl,kark
21,Kopf::N,hlava,głowa
22,Rücken::N,záda,plecy
23,Rücken::N,záda,grzbiet
24,Rücken::N,hřbet,plecy
25,Rücken::N,hřbet,grzbiet
26,Bauch::N,břicho,brzuch
27,Nabel::N,pupek,pępek
28,Busen::N,ňadra,biust
29,Brust::N,prsa,pierś
30,Schulter::N,plece,bark
31,Schulter::N,plece,ramię
32,Schulter::N,rameno,bark
33,Schulter::N,rameno,ramię
34,Arm::N,ruka,ręka
35,Arm::N,ruka,ramię
36,Ellenbogen::N,loket,łokieć
37,Hand::N,ruka,dłoń
38,Handfläche::N,dlaň,dłoń
39,Finger::N,prst,palec
40,Fingernagel::N,nehet,paznokieć
41,Nagel[Anatomie]::N,nehet,paznokieć
42,Zeh::N,prst u nohy,palec
43,Fuß::N,noha,stopa
44,Ferse::N,pata,pięta
45,Knie::N,koleno,kolano
46,Oberschenkel::N,stehno,udo
47,Bein::N,noha,noga
48,Körper::N,tělo,ciało
49,Haut::N,kůže,skóra
50,Blut::N,krev,krew
51,Ader::N,céva,żyła
52,Sehne::N,šlacha,ścięgno
53,Knochen::N,kost,kość
54,Gehirn::N,mozek,mózg
55,Herz::N,srdce,serce
56,Magen::N,žaludek,żołądek
57,Leber::N,játra,wątroba
58,Atem::N,dech,dech
59,Atem::N,dech,oddech
60,Hunger::N,hlad,głód
61,Träne::N,slza,łza
62,Geschmack::N,vkus,smak
63,Geruch::N,vůně,woń
64,Geruch::N,vůně,zapach
65,Geruch::N,zápach,woń
66,Geruch::N,zápach,zapach
67,Schlaf::N,spánek,sen
68,Traum::N,sen,sen
69,Himmel::N,nebe,niebo
70,Sonne::N,slunce,słońce
71,Mond::N,měsíc,księżyc
72,Stern::N,hvězda,gwiazda
73,Luft::N,vzduch,powietrze
74,Wind::N,vítr,wiatr
75,Welle::N,vlna,fala
76,Wasser::N,voda,woda
77,Stein::N,kámen,kamień
78,Boden::N,půda,grunt
79,Erde::N,země,ziemia
80,Staub::N,prach,pył
81,Staub::N,prach,kurz
82,Rauch::N,dým,dym
83,Rauch::N,kouř,dym
84,Funke::N,jiskra,iskra
85,Feuer::N,oheň,ogień
86,Licht::N,světlo,światło
87,Schatten::N,stín,cień
88,Wetter::N,počasí,pogoda
89,Nebel::N,mlha,mgła
90,Wolke::N,mrak,obłok
91,Wolke::N,mrak,chmura
92,Wolke::N,oblak,obłok
93,Wolke::N,oblak,chmura
94,Regen::N,déšť,deszcz
95,Schnee::N,sníh,śnieg
96,Eis::N,led,lód
97,Frost::N,mráz,mróz
98,Kälte::N,chlad,chłód
99,Hitze::N,horko,gorąco
100,Raureif::N,jinovatka,szron
101,Regenbogen::N,duha,tęcza
102,Donner::N,hrom,grzmot
103,Strömung::N,proudění,nurt
104,Tropfen::N,kapka,kropla
105,Schaum::N,pěna,piana
106,Schmutz::N,špína,brud
107,See::N,jezero,jezioro
108,Sumpf::N,močál,bagno
109,Sumpf::N,bažina,bagno
110,Moor::N,bažina,bagno
111,Moor::N,slatina,bagno
112,Wiese::N,louka,łąka
113,Wald::N,les,las
114,Hügel::N,kopec,pagórek
115,Anhöhe::N,pahorek,wzgórze
116,Berg::N,hora,góra
117,Gipfel::N,vrchol,szczyt
118,Gipfel::N,vrchol,wierzchołek
119,Höhle::N,jeskyně,pieczara
120,Abhang::N,svah,stok
121,Abhang::N,svah,zbocze
122,Abhang::N,stráň,stok
123,Abhang::N,stráň,zbocze
124,Quelle::N,pramen,zdrój
125,Quelle::N,pramen,źródło
126,Bach::N,potok,potok
127,Bach::N,potok,strumień
128,Fluss::N,řeka,rzeka
129,Ufer::N,břeh,brzeg
130,Küste::N,pobřeží,wybrzeże
131,Festland::N,souš,ląd
132,Festland::N,pevnina,ląd
133,Meer::N,moře,morze
134,Bucht::N,záliv,zatoka
135,Bucht::N,zátoka,zatoka
136,Insel::N,ostrov,wyspa
137,Blume::N,květina,kwiat
138,Gras::N,tráva,trawa
139,Wurzel::N,kořen,korzeń
140,Baum::N,strom,drzewo
141,Stamm::N,kmen,pień
142,Rinde::N,kůra,kora
143,Ast::N,větev,gałąź
144,Zweig::N,větev,gałąź
145,Blatt::N,lupen,liść
146,Birke::N,bříza,brzoza
147,Kiefer[Baum]::N,sosna,sosna
148,Kiefer[Baum]::N,borovice,sosna
149,Weide[Baum]::N,vrba,wierzba
150,Tanne::N,jedle,jodła
151,Horn::N,roh,róg
152,Feder::N,pero,pióro
153,Fell::N,srst,futro
154,Flügel::N,křídlo,skrzydło
155,Klaue::N,dráp,szpon
156,Klaue::N,pazneht,szpon
157,Kralle::N,dráp,pazur
158,Schwanz::N,ocas,ogon
159,Ei::N,vejce,jajko
160,Nest::N,hnízdo,gniazdo
161,Bau::N,nora,nora
162,Tier::N,zvíře,zwierzę
163,Herde::N,stádo,stado
164,Herde::N,stádo,trzoda
165,Kuh::N,kráva,krowa
166,Bulle::N,býk,byk
167,Pferd::N,kůň,koń
168,Schaf::N,ovce,owca
169,Schwein::N,vepř,świnia
170,Schwein::N,prase,świnia
171,Hund::N,pes,pies
172,Katze::N,kočka,kot
173,Katze::N,kočka,kotka
174,Bär::N,medvěd,niedźwiedż
175,Eichhörnchen::N,veverka,wiewiórka
176,Elch::N,los,łóś
177,Fuchs::N,liška,lis
178,Hase::N,zajíc,zając
179,Maus::N,myš,mysz
180,Wolf::N,vlk,wilk
181,Vogel::N,pták,ptak
182,Schwarm::N,roj,stado
183,Schwarm::N,hejno,stado
184,Huhn::N,kuře,kura
185,Huhn::N,slepice,kura
186,Hahn::N,kohout,kogut
187,Gans::N,husa,gęś
188,Adler::N,orel,orzeł
189,Ente::N,kachna,kaczka
190,Eule::N,sova,sowa
191,Kranich::N,jeřáb,żuraw
192,Krähe::N,vrána,wrona
193,Kuckuck::N,kukačka,kukułka
194,Schwan::N,labuť,łabędż
195,Fisch::N,ryba,ryba
196,Barsch::N,okoun,okoń
197,Hecht::N,štika,szczupak
198,Schlange[Tier]::N,had,wąż
