,Concept_ID,be,cy
0,Auge::N,вока,llygad
1,Ohr::N,вуха,clust
2,Nase::N,нос,trwyn
3,Mund::N,рот,ceg
4,Zahn::N,зуб,dant
5,Zunge::N,язык,tafod
6,Lippe::N,губа,gwefus
7,Wange::N,шчака,boch
8,Gesicht::N,твар,wyneb
9,Stirn::N,лоб,talcen
10,Haar::N,волас,blew
11,Haar::N,валасы,blew
12,Schnurrbart::N,вус,mwstas
13,Schnurrbart::N,вусы,mwstas
14,Bart::N,барада,barf
15,Kinn::N,падбародак,gên
16,Kiefer[Anatomie]::N,сківіца,gên
17,Kehle::N,горла,gwddf
18,Hals::N,шыя,gwddf
19,Genick::N,патыліца,gwar
20,Genick::N,патыліца,gwegil
21,Kopf::N,галава,pen
22,Rücken::N,спіна,cefn
23,Bauch::N,жывот,bol
24,Nabel::N,пупок,bogail
25,Busen::N,грудзі,bron
26,Brust::N,грудзі,brest
27,Schulter::N,плячо,ysgwydd
28,Arm::N,рука,braich
29,Ellenbogen::N,локаць,penelin
30,Hand::N,кісць,llaw
31,Handfläche::N,далонь,palf
32,Finger::N,палец,bys
33,Fingernagel::N,ногаць,ewin
34,Nagel[Anatomie]::N,ногаць,ewin
35,Zeh::N,палец,bys troed
36,Fuß::N,нага,troed
37,Ferse::N,пята,sawdl
38,Ferse::N,пятка,sawdl
39,Knie::N,калена,glin
40,Oberschenkel::N,бядро,clun
41,Oberschenkel::N,сцягно,clun
42,Bein::N,нага,coes
43,Körper::N,цела,corff
44,Haut::N,скура,croen
45,Blut::N,кроў,gwaed
46,Ader::N,вена,gwythïen
47,Ader::N,сасуд,gwythïen
48,Sehne::N,жыла,gewyn
49,Sehne::N,цеціва,gewyn
50,Sehne::N,сухажылле,gewyn
51,Knochen::N,косць,asgwrn
52,Gehirn::N,мозг,ymennydd
53,Herz::N,сэрца,calon
54,Magen::N,страўнік,cylla
55,Magen::N,страўнік,stumog
56,Leber::N,печань,iau
57,Atem::N,дыханне,anadl
58,Hunger::N,голад,newyn
