,Concept_ID,zh,kk
0,Auge::N,眼睛,көз
1,Ohr::N,耳朵,құлақ
2,Nase::N,鼻子,мұрын
3,Mund::N,嘴,ауыз
4,Zahn::N,牙齿,тіс
5,Zunge::N,舌头,тіл
6,Lippe::N,嘴唇,ерін
7,Wange::N,面颊,ұрт
8,Gesicht::N,脸,бет-аузы
9,Stirn::N,额,маңдай
10,Haar::N,头发,қыл
11,Schnurrbart::N,髭须,мұрт
12,Bart::N,胡子,сақал
13,Kinn::N,下巴,иек
14,Kiefer[Anatomie]::N,颌,жақ
15,Kehle::N,嗓子,алқым
16,Hals::N,颈,мойын
17,Genick::N,后颈,желке
18,Kopf::N,头,кәллә
19,Rücken::N,背,арқа
20,Bauch::N,肚子,қарын
21,Nabel::N,肚脐,кіндік
22,Busen::N,胸脯,омырау
23,Brust::N,胸,кеуде
24,Schulter::N,肩膀,иық
25,Arm::N,臂膀,қол
26,Ellenbogen::N,肘,шынтақ
27,Hand::N,手,қол
28,Handfläche::N,手掌,алақан
29,Finger::N,手指,саусақ
30,Fingernagel::N,指甲,тырнақ
31,Nagel[Anatomie]::N,指甲,тырнақ
32,Zeh::N,脚趾,тырнақ
33,Zeh::N,脚趾,тұяқ
34,Fuß::N,脚,аяқ-басы
35,Ferse::N,后跟,өкше
36,Ferse::N,后跟,өкшелік
37,Knie::N,膝,тізе
38,Oberschenkel::N,大腿,жамбас
39,Bein::N,腿,аяқ
40,Körper::N,身体,дене
41,Haut::N,皮肤,тері
42,Blut::N,血,қан
43,Ader::N,血管,көктамыр
44,Ader::N,血管,күретамыр
45,Sehne::N,腱,сіңір
46,Knochen::N,骨,жілік
47,Gehirn::N,脑,ми
48,Herz::N,心,жүрек
49,Magen::N,胃,асқазан
50,Leber::N,肝,бауыр
51,Atem::N,呼吸,леп
52,Hunger::N,饿,ашаршылық
53,Träne::N,眼泪,жас
54,Geschmack::N,味道,дәм
55,Geschmack::N,味道,татым
56,Geschmack::N,味道,талғам
57,Geruch::N,气味,иіс
58,Schlaf::N,睡眠,ұйқы
59,Schlaf::N,睡眠,ұйықтау
