,Concept_ID,cs,he
0,Auge::N,oko,עין
1,Ohr::N,ucho,אזן
2,Nase::N,nos,אף
3,Nase::N,nos,חטם
4,Mund::N,pusa,פה
5,Zahn::N,zub,שן
6,Zunge::N,jazyk,לשון
7,Lippe::N,ret,שפה
8,Wange::N,tvář,לחי
9,Gesicht::N,obličej,פנים
10,Stirn::N,čelo,מצח
11,Haar::N,vlas,שערה
12,Haar::N,vlasy,שערה
13,Schnurrbart::N,kníry,שפם
14,Bart::N,vousy,זקן
15,Kinn::N,brada,סנטר
16,Kiefer[Anatomie]::N,čelist,לסת
17,Kehle::N,hrdlo,גרון
18,Hals::N,krk,צואר
19,Genick::N,týl,ערף
20,Kopf::N,hlava,ראש
21,Rücken::N,záda,גב
22,Rücken::N,hřbet,גב
23,Bauch::N,břicho,בטן
24,Nabel::N,pupek,טבור
25,Busen::N,ňadra,שד
26,Brust::N,prsa,חזה
27,Schulter::N,plece,כתף
28,Schulter::N,rameno,כתף
29,Arm::N,ruka,זרוע
30,Ellenbogen::N,loket,מרפק
31,Hand::N,ruka,יד
32,Handfläche::N,dlaň,כף יד
33,Finger::N,prst,אצבע
34,Fingernagel::N,nehet,צפרן
35,Nagel[Anatomie]::N,nehet,צפרן
36,Zeh::N,prst u nohy,אצבע
37,Fuß::N,noha,רגל
38,Ferse::N,pata,עקב
39,Knie::N,koleno,ברך
40,Oberschenkel::N,stehno,ירך
41,Bein::N,noha,רגל
42,Körper::N,tělo,גוף
43,Haut::N,kůže,עור
44,Blut::N,krev,דם
45,Ader::N,céva,וריד
46,Sehne::N,šlacha,גיד
47,Knochen::N,kost,עצם
48,Gehirn::N,mozek,מוח
49,Herz::N,srdce,לב
50,Magen::N,žaludek,קבה
51,Leber::N,játra,כבד
52,Atem::N,dech,נשימה
53,Hunger::N,hlad,רעב
54,Träne::N,slza,דמעה
55,Geschmack::N,vkus,טעם
56,Geruch::N,vůně,ריח
57,Geruch::N,zápach,ריח
58,Schlaf::N,spánek,שנה
59,Traum::N,sen,חלום
60,Himmel::N,nebe,שמים
61,Sonne::N,slunce,שמש
62,Mond::N,měsíc,ירח
63,Stern::N,hvězda,כוכב
64,Luft::N,vzduch,אויר
65,Wind::N,vítr,רוח
66,Welle::N,vlna,גל
67,Wasser::N,voda,מים
68,Stein::N,kámen,אבן
69,Boden::N,půda,קרקע
70,Erde::N,země,אדמה
71,Staub::N,prach,אבק
72,Rauch::N,dým,עשן
73,Rauch::N,kouř,עשן
74,Funke::N,jiskra,ניצוץ
75,Feuer::N,oheň,אש
76,Licht::N,světlo,אור
77,Schatten::N,stín,צל
78,Wetter::N,počasí,מזג אויר
79,Nebel::N,mlha,ערפל
80,Wolke::N,mrak,ענן
81,Wolke::N,oblak,ענן
82,Regen::N,déšť,גשם
83,Schnee::N,sníh,שלג
84,Eis::N,led,קרח
85,Frost::N,mráz,צנה
86,Kälte::N,chlad,קר
87,Hitze::N,horko,חם
88,Raureif::N,jinovatka,כפור
89,Regenbogen::N,duha,קשת
90,Donner::N,hrom,רעם
91,Strömung::N,proudění,זרימה
92,Tropfen::N,kapka,טפה
93,Schaum::N,pěna,קצף
94,Schmutz::N,špína,לכלוך
95,See::N,jezero,אגם
96,Sumpf::N,močál,בצה
97,Sumpf::N,bažina,בצה
98,Moor::N,bažina,בצה
99,Moor::N,slatina,בצה
100,Wiese::N,louka,מרעה
101,Wald::N,les,יער
102,Hügel::N,kopec,תל
103,Anhöhe::N,pahorek,מעלה
104,Berg::N,hora,הר
105,Gipfel::N,vrchol,פסגה
106,Höhle::N,jeskyně,מערה
107,Abhang::N,svah,מדרון
108,Abhang::N,svah,שפוע
109,Abhang::N,stráň,מדרון
110,Abhang::N,stráň,שפוע
111,Quelle::N,pramen,מעין
112,Bach::N,potok,נחל
