,Concept_ID,br,pt
0,Auge::N,lagad,olho
1,Ohr::N,skouarn,orelha
2,Nase::N,fri,nariz
3,Mund::N,genoù,boca
4,Zahn::N,dant,dente
5,Zunge::N,teod,língua
6,Lippe::N,muzell,lábio
7,Wange::N,chot,face
8,Gesicht::N,dremm,cara
9,Gesicht::N,dremm,rosto
10,Stirn::N,tal,testa
11,Haar::N,blev,cabelo
12,Schnurrbart::N,mourenn,bigode
13,Bart::N,barv,barba
14,Kinn::N,groñj,queixo
15,Kiefer[Anatomie]::N,javed,maxila
16,Kiefer[Anatomie]::N,javed,mandíbula
17,Kehle::N,gouzoug,garganta
18,Hals::N,gouzoug,colo
19,Hals::N,gouzoug,pescoço
20,Genick::N,choug,nuca
21,Kopf::N,penn,cabeça
22,Rücken::N,kein,dorso
23,Rücken::N,kein,costas
24,Bauch::N,kof,ventre
25,Bauch::N,kof,barriga
26,Nabel::N,begel,umbigo
27,Busen::N,bronn,seio
28,Brust::N,bruched,peito
29,Schulter::N,skoaz,ombro
30,Arm::N,brec'h,braço
31,Ellenbogen::N,ilin,cotovelo
32,Hand::N,dorn,mão
33,Handfläche::N,palv,palma
34,Handfläche::N,palv,palma da mão
35,Finger::N,biz,dedo
36,Fingernagel::N,ivin,unha
37,Nagel[Anatomie]::N,ivin,unha
38,Zeh::N,biz-troad,dedo do pé
39,Fuß::N,troad,pé
40,Ferse::N,seul,calcanhar
41,Knie::N,glin,joelho
42,Oberschenkel::N,morzhed,coxa
43,Bein::N,gar,perna
44,Körper::N,korf,corpo
45,Haut::N,kroc'hen,pele
46,Blut::N,gwad,sangue
47,Ader::N,gwazhi,veia
48,Sehne::N,stir,tendão
49,Knochen::N,askorn,osso
50,Gehirn::N,empenn,cérebro
51,Herz::N,kalon,coração
52,Magen::N,stomog,estômago
53,Leber::N,avu,fígado
54,Atem::N,anal,fôlego
55,Hunger::N,naon,fome
56,Träne::N,daer,lágrima
57,Geschmack::N,blaz,gosto
58,Geruch::N,c'hwezh,odor
59,Geruch::N,c'hwezh,cheiro
60,Schlaf::N,kousked,sono
61,Traum::N,hune,sonho
62,Himmel::N,oabl,céu
63,Sonne::N,heol,sol
64,Mond::N,loar,lua
65,Stern::N,steredenn,estrela
66,Luft::N,aer,ar
67,Wind::N,avel,vento
68,Welle::N,houlenn,onda
69,Wasser::N,dour,água
70,Stein::N,maen,pedra
71,Boden::N,tachenn,solo
72,Erde::N,douar,terra
