,Concept_ID,lv,br
0,Auge::N,син,lagad
1,Auge::N,acs,lagad
2,Ohr::N,пель,skouarn
3,Ohr::N,auss,skouarn
4,Nase::N,ныр,fri
5,Nase::N,deguns,fri
6,Mund::N,вом,genoù
7,Mund::N,mute,genoù
8,Zahn::N,пинь,dant
9,Zahn::N,zobs,dant
10,Zunge::N,кыв,teod
11,Zunge::N,mēle,teod
12,Lippe::N,вом дор,muzell
13,Lippe::N,lūpa,muzell
14,Wange::N,бан,chot
15,Wange::N,vaigs,chot
16,Gesicht::N,чужӧм,dremm
17,Gesicht::N,seja,dremm
18,Gesicht::N,ģīmis,dremm
19,Stirn::N,плеш,tal
20,Stirn::N,кымӧс,tal
21,Stirn::N,piere,tal
22,Haar::N,си,blev
23,Haar::N,юрси,blev
24,Haar::N,mats,blev
25,Schnurrbart::N,ус,mourenn
26,Schnurrbart::N,пыртсим,mourenn
27,Schnurrbart::N,ūsas,mourenn
28,Bart::N,тош,barv
29,Bart::N,bārda,barv
30,Kinn::N,тшӧка,groñj
31,Kinn::N,zods,groñj
32,Kinn::N,smakrs,groñj
33,Kiefer[Anatomie]::N,черлы,javed
34,Kiefer[Anatomie]::N,алака лы,javed
35,Kiefer[Anatomie]::N,вомкӧтш лы,javed
36,Kiefer[Anatomie]::N,žoklis,javed
37,Kehle::N,голя,gouzoug
38,Kehle::N,rīkle,gouzoug
39,Hals::N,сьылі,gouzoug
40,Hals::N,kakls,gouzoug
41,Genick::N,юрбӧр,choug
42,Genick::N,балябӧж,choug
43,Genick::N,sprands,choug
44,Kopf::N,юр,penn
45,Kopf::N,galva,penn
46,Rücken::N,мыш,kein
47,Rücken::N,mugura,kein
48,Bauch::N,рушку,kof
49,Bauch::N,vēders,kof
50,Nabel::N,гӧг,begel
51,Nabel::N,naba,begel
52,Busen::N,морӧс,bronn
53,Busen::N,krūts,bronn
54,Brust::N,морӧс,bruched
55,Brust::N,krūts,bruched
56,Schulter::N,пельпом,skoaz
57,Schulter::N,plecs,skoaz
58,Arm::N,ки,brec'h
59,Arm::N,roka,brec'h
60,Arm::N,delms,brec'h
61,Ellenbogen::N,гырддза,ilin
62,Ellenbogen::N,elkonis,ilin
63,Hand::N,ки,dorn
64,Hand::N,roka,dorn
65,Hand::N,plauksta,dorn
66,Handfläche::N,ки пыдӧс,palv
67,Handfläche::N,delna,palv
68,Handfläche::N,plauksta,palv
69,Finger::N,чунь,biz
70,Finger::N,pirksts,biz
71,Fingernagel::N,гыж,ivin
72,Fingernagel::N,nags,ivin
73,Nagel[Anatomie]::N,гыж,ivin
74,Nagel[Anatomie]::N,nags,ivin
75,Zeh::N,кок чунь,biz-troad
76,Zeh::N,pirksts,biz-troad
77,Fuß::N,кок,troad
78,Fuß::N,kāja,troad
79,Ferse::N,кокбӧр,seul
80,Ferse::N,papēdis,seul
81,Knie::N,пидзӧс,glin
82,Knie::N,celis,glin
83,Oberschenkel::N,лядьвей,morzhed
84,Oberschenkel::N,бек,morzhed
85,Oberschenkel::N,ciska,morzhed
86,Oberschenkel::N,augšstilbs,morzhed
87,Bein::N,кок,gar
88,Bein::N,kāja,gar
89,Körper::N,туша,korf
90,Körper::N,вывтыр,korf
91,Körper::N,miesa,korf
92,Körper::N,ķermenis,korf
93,Haut::N,ку,kroc'hen
94,Haut::N,āda,kroc'hen
95,Blut::N,вир,gwad
96,Blut::N,asins,gwad
97,Ader::N,сӧн,gwazhi
98,Ader::N,asinsvads,gwazhi
99,Sehne::N,вез,stir
100,Sehne::N,dzīsla,stir
101,Knochen::N,лы,askorn
102,Knochen::N,kauls,askorn
103,Gehirn::N,вем,empenn
104,Gehirn::N,smadzenes,empenn
105,Herz::N,сьӧлӧм,kalon
106,Herz::N,sirds,kalon
107,Magen::N,кынӧм,stomog
108,Magen::N,kuņģis,stomog
109,Leber::N,мус,avu
110,Leber::N,aknas,avu
111,Atem::N,лов,anal
112,Atem::N,elpa,anal
113,Hunger::N,тшыг,naon
114,Hunger::N,bads,naon
115,Hunger::N,izsalkums,naon
116,Träne::N,синва,daer
117,Träne::N,asara,daer
118,Geschmack::N,кӧр,blaz
119,Geschmack::N,чӧсмӧс,blaz
120,Geschmack::N,garša,blaz
121,Geruch::N,зын,c'hwezh
122,Geruch::N,дук,c'hwezh
123,Geruch::N,smaka,c'hwezh
124,Schlaf::N,узьӧм,kousked
125,Schlaf::N,miegs,kousked
126,Traum::N,вӧт,hune
127,Traum::N,вӧтасьӧм,hune
128,Traum::N,sapnis,hune
129,Himmel::N,енэж,oabl
130,Himmel::N,debess,oabl
131,Sonne::N,шонді,heol
132,Sonne::N,saule,heol
133,Mond::N,тӧлысь,loar
134,Mond::N,mēness,loar
135,Stern::N,кодзув,steredenn
136,Stern::N,zvaigzne,steredenn
137,Luft::N,сынӧд,aer
138,Luft::N,gaiss,aer
139,Wind::N,тӧв,avel
140,Wind::N,vējš,avel
141,Welle::N,гы,houlenn
142,Welle::N,vilnis,houlenn
143,Wasser::N,ва,dour
144,Wasser::N,ūdens,dour
145,Stein::N,из,maen
146,Stein::N,akmens,maen
147,Boden::N,му,tachenn
148,Boden::N,augsne,tachenn
149,Erde::N,му,douar
150,Erde::N,му-ва,douar
151,Erde::N,zeme,douar
152,Staub::N,бус,poultr
153,Staub::N,putekļi,poultr
154,Rauch::N,тшын,moged
155,Rauch::N,dūmi,moged
156,Funke::N,кинь,ful
157,Funke::N,би кинь,ful
158,Funke::N,dzirkstele,ful
159,Feuer::N,би,tan
160,Feuer::N,uguns,tan
161,Licht::N,югӧр,gouloù
162,Licht::N,gaisma,gouloù
163,Schatten::N,вуджӧр,disheol
164,Schatten::N,ēna,disheol
165,Wetter::N,поводдя,amzer
166,Wetter::N,laiks,amzer
167,Nebel::N,ру,brumenn
168,Nebel::N,онь,brumenn
169,Nebel::N,migla,brumenn
170,Wolke::N,кымӧр,koumoulenn
171,Wolke::N,mākonis,koumoulenn
172,Regen::N,зэр,glav
173,Regen::N,lietus,glav
174,Schnee::N,лым,erc'h
175,Schnee::N,sniegs,erc'h
176,Eis::N,йи,skorn
177,Eis::N,ledus,skorn
178,Frost::N,кӧдзыд,rev
179,Frost::N,sals,rev
180,Kälte::N,кӧдзыд,yen
181,Kälte::N,saltums,yen
182,Kälte::N,aukstums,yen
183,Hitze::N,пӧсь,tommder
184,Hitze::N,гожӧд,tommder
185,Hitze::N,karstums,tommder
186,Raureif::N,пуж,frim
187,Raureif::N,гыӧр,frim
188,Raureif::N,sarma,frim
189,Regenbogen::N,ӧшкамӧшка,gwareg-ar-glav
190,Regenbogen::N,varavīksne,gwareg-ar-glav
191,Donner::N,гым,kurun
192,Donner::N,pērkons,kurun
193,Strömung::N,ва ныр,red
194,Strömung::N,визувтӧм,red
195,Strömung::N,straume,red
196,Strömung::N,strāvojums,red
197,Tropfen::N,войт,bannac'h
198,Tropfen::N,войт,takenn
199,Tropfen::N,lāse,bannac'h
200,Tropfen::N,lāse,takenn
201,Schaum::N,быг,spoum
202,Schaum::N,быгзьӧм,spoum
203,Schaum::N,putas,spoum
204,Schmutz::N,няйт,fank
205,Schmutz::N,dubļi,fank
206,See::N,ты,lenn
207,See::N,ezers,lenn
208,Sumpf::N,гыбад,gwern
209,Sumpf::N,кад,gwern
210,Sumpf::N,dumbrājs,gwern
211,Sumpf::N,staignājs,gwern
212,Moor::N,нюр,taouarc'heg
213,Moor::N,purvs,taouarc'heg
214,Moor::N,muklājs,taouarc'heg
215,Wiese::N,видз,prad
216,Wiese::N,pļava,prad
217,Wald::N,вӧр,koad
218,Wald::N,mežs,koad
219,Hügel::N,дзиб,torgenn
220,Hügel::N,мыльк,torgenn
221,Hügel::N,нӧрыс,torgenn
222,Hügel::N,paugurs,torgenn
223,Anhöhe::N,мыльк,run
224,Anhöhe::N,нӧрыс,run
225,Anhöhe::N,paugurs,run
