,Concept_ID,,be
0,Auge::N,,вока
1,Ohr::N,,вуха
2,Nase::N,,нос
3,Mund::N,,рот
4,Zahn::N,,зуб
5,Zunge::N,,язык
6,Lippe::N,,губа
7,Wange::N,,шчака
8,Gesicht::N,,твар
9,Stirn::N,,лоб
10,Haar::N,,волас
11,Haar::N,,валасы
12,Schnurrbart::N,,вус
13,Schnurrbart::N,,вусы
14,Bart::N,,барада
15,Kinn::N,,падбародак
16,Kiefer[Anatomie]::N,,сківіца
17,Kehle::N,,горла
18,Hals::N,,шыя
19,Genick::N,,патыліца
20,Kopf::N,,галава
21,Rücken::N,,спіна
22,Bauch::N,,жывот
23,Nabel::N,,пупок
24,Busen::N,,грудзі
25,Brust::N,,грудзі
26,Schulter::N,,плячо
27,Arm::N,,рука
28,Ellenbogen::N,,локаць
29,Hand::N,,кісць
30,Handfläche::N,,далонь
31,Finger::N,,палец
32,Fingernagel::N,,ногаць
33,Nagel[Anatomie]::N,,ногаць
34,Zeh::N,,палец
35,Fuß::N,,нага
36,Ferse::N,,пята
37,Ferse::N,,пятка
38,Knie::N,,калена
39,Oberschenkel::N,,бядро
40,Oberschenkel::N,,сцягно
41,Bein::N,,нага
42,Körper::N,,цела
43,Haut::N,,скура
44,Blut::N,,кроў
45,Ader::N,,вена
46,Ader::N,,сасуд
47,Sehne::N,,жыла
48,Sehne::N,,цеціва
49,Sehne::N,,сухажылле
50,Knochen::N,,косць
51,Gehirn::N,,мозг
52,Herz::N,,сэрца
53,Magen::N,,страўнік
54,Leber::N,,печань
55,Atem::N,,дыханне
56,Hunger::N,,голад
57,Träne::N,,сляза
58,Geschmack::N,,смак
59,Geruch::N,,пах
60,Schlaf::N,,сон
61,Traum::N,,сон
62,Himmel::N,,неба
63,Sonne::N,,сонца
64,Mond::N,,месяц
65,Stern::N,,зорка
66,Luft::N,,паветра
67,Wind::N,,вецер
68,Welle::N,,хваля
69,Wasser::N,,вада
70,Stein::N,,камень
71,Boden::N,,глеба
72,Erde::N,,зямля
73,Staub::N,,пыл
74,Rauch::N,,дым
75,Funke::N,,іскра
76,Feuer::N,,агонь
77,Licht::N,,святло
78,Schatten::N,,цень
79,Wetter::N,,пагода
80,Wetter::N,,надворʼе
81,Nebel::N,,туман
82,Wolke::N,,воблака
83,Regen::N,,дождж
84,Schnee::N,,снег
85,Eis::N,,лёд
86,Frost::N,,мароз
87,Kälte::N,,холад
88,Hitze::N,,спёка
89,Raureif::N,,іней
90,Regenbogen::N,,вясёлка
91,Donner::N,,гром
92,Strömung::N,,цячэнне
93,Tropfen::N,,кропля
94,Schaum::N,,пена
95,Schmutz::N,,гразь
96,See::N,,возера
97,Sumpf::N,,багна
98,Moor::N,,балота
99,Wiese::N,,луг
100,Wald::N,,лес
101,Hügel::N,,узгорак
102,Anhöhe::N,,узвышша
103,Berg::N,,гара
104,Gipfel::N,,вяршыня
105,Höhle::N,,пячора
106,Abhang::N,,схіл
107,Quelle::N,,крыніца
108,Bach::N,,ручай
109,Fluss::N,,рака
110,Ufer::N,,бераг
111,Küste::N,,узбярэжжа
112,Festland::N,,суша
113,Meer::N,,мора
114,Bucht::N,,бухта
115,Insel::N,,востраў
116,Blume::N,,кветка
117,Gras::N,,трава
118,Wurzel::N,,корань
119,Baum::N,,дрэва
120,Stamm::N,,ствол
121,Rinde::N,,кара
122,Ast::N,,сук
123,Zweig::N,,галіна
124,Blatt::N,,ліст
125,Birke::N,,бяроза
126,Kiefer[Baum]::N,,хвоя
127,Kiefer[Baum]::N,,сасна
128,Weide[Baum]::N,,вярба
129,Tanne::N,,яліна
130,Horn::N,,рог
131,Feder::N,,пяро
132,Fell::N,,шкура
133,Flügel::N,,крыло
134,Klaue::N,,кіпцюр
135,Kralle::N,,лапа
136,Schwanz::N,,хвост
137,Ei::N,,яйка
138,Nest::N,,гняздо
139,Bau::N,,нара
140,Tier::N,,жывёла
141,Herde::N,,статак
142,Kuh::N,,карова
143,Bulle::N,,бык
144,Pferd::N,,конь
145,Schaf::N,,авечка
146,Schwein::N,,свіння
147,Hund::N,,сабака
148,Katze::N,,кошка
149,Bär::N,,мядзведзь
150,Eichhörnchen::N,,вавёрка
151,Elch::N,,лось
152,Fuchs::N,,ліса
153,Hase::N,,заяц
154,Maus::N,,мыш
155,Wolf::N,,воўк
156,Vogel::N,,птах
157,Vogel::N,,птушка
158,Schwarm::N,,чарада
159,Huhn::N,,курыца
160,Hahn::N,,певень
161,Gans::N,,гусь
162,Adler::N,,арол
163,Ente::N,,качка
164,Eule::N,,сава
165,Kranich::N,,жораў
166,Kranich::N,,журавель
167,Krähe::N,,варона
168,Kuckuck::N,,зязюля
169,Schwan::N,,лебедзь
170,Fisch::N,,рыба
171,Barsch::N,,акунь
172,Hecht::N,,шчупак
173,Schlange[Tier]::N,,змяя
174,Wurm::N,,чарвяк
175,Spinne::N,,павук
176,Ameise::N,,мурашка
177,Laus::N,,вош
178,Mücke::N,,камар
179,Fliege::N,,муха
180,Schmetterling::N,,матыль
181,Beere::N,,ягада
182,Apfel::N,,яблык
183,Pilz::N,,грыб
184,Zwiebel::N,,цыбуля
185,Saat::N,,семя
186,Korn::N,,зерне
187,Heu::N,,сена
188,Schale::N,,шалупінне
189,Grube::N,,яма
190,Falle::N,,пастка
191,Schlinge::N,,сіло
192,Spur::N,,след
193,Asche::N,,попел
194,Dreck::N,,бруд
195,Eisen::N,,жалеза
196,Gold::N,,золата
197,Silber::N,,сребра
198,Kohle::N,,вугаль
199,Glas::N,,шкло
200,Lehm::N,,гліна
201,Sand::N,,пясок
202,Mensch::N,,чалавек
203,Mann::N,,мужчына
204,Frau::N,,жанчына
205,Kind::N,,дзіця
206,Junge::N,,хлопчык
207,Mädchen::N,,дзяўчынка
208,Familie::N,,сямʼя
209,Großvater::N,,дзядуля
210,Großmutter::N,,бабуля
211,Eltern::N,,бацькі
212,Vater::N,,бацька
213,Mutter::N,,маці
214,Sohn::N,,сын
215,Tochter::N,,дачка
216,Bruder::N,,брат
217,Schwester::N,,сястра
218,Onkel::N,,дзядзька
219,Tante::N,,цётка
220,Ehemann::N,,муж
221,Ehefrau::N,,жонка
222,Freude::N,,радасць
223,Gelächter::N,,смех
224,Glück::N,,шчасце
225,Kummer::N,,гора
226,Wunsch::N,,жаданне
227,Lust::N,,цяга
228,Geist::N,,дух
229,Gedanke::N,,думка
230,Gedächtnis::N,,памяць
231,Verstand::N,,розум
232,Sinn::N,,сэнс
233,Grund::N,,зачэпка
234,Wahrheit::N,,праўда
235,Gespräch::N,,размова
236,Märchen::N,,казка
237,Erzählung::N,,расказ
238,Erzählung::N,,апавяданне
239,Nachricht::N,,вестка
240,Nachricht::N,,паведамленне
241,Neuigkeit::N,,навіна
242,Name::N,,імя
243,Rätsel::N,,загадка
244,Rede::N,,прамова
245,Sprache::N,,мова
246,Stimme::N,,голас
247,Wort::N,,слова
248,Zeichen::N,,знак
249,Ruf::N,,кліч
250,Lärm::N,,шум
251,Laut::N,,гук
252,Ton::N,,гучанне
253,Lied::N,,песня
254,Ruhe::N,,спакой
255,Leute::N,,людзі
256,Volk::N,,народ
257,Arbeit::N,,праца
258,Arbeit::N,,работа
259,Gast::N,,госць
260,Geschenk::N,,падарунак
261,Spiel::N,,гульня
262,Gesellschaft::N,,таварыства
263,Hilfe::N,,дапамога
264,Freund::N,,друг
265,Freund::N,,сябар
266,Kamerad::N,,прыяцель
267,Angelegenheit::N,,справа
268,Anzahl::N,,колькасць
269,Art::N,,від
270,Stück::N,,кусок
271,Stück::N,,кавалак
272,Teil::N,,частка
273,Hälfte::N,,палова
274,Hälfte::N,,палавіна
275,Kreis::N,,круг
276,Kreuz::N,,крыж
277,Linie::N,,лінія
278,Strich::N,,рыса
279,Abstand::N,,прамежак
280,Entfernung::N,,адлегласць
281,Gegend::N,,мясцовасць
282,Platz::N,,месца
283,Ort::N,,месца
284,Seite::N,,бок
285,Mitte::N,,сярэдзіна
286,Gegenstand::N,,прадмет
287,Sache::N,,рэч
288,Rand::N,,край
289,Kante::N,,руб
290,Kante::N,,кант
291,Ecke::N,,вугал
292,Spitze::N,,кончык
293,Ende::N,,канец
294,Loch::N,,дзірка
295,Winkel::N,,вугал
296,Muster::N,,узор
297,Größe::N,,памер
298,Länge::N,,даўжыня
299,Höhe::N,,вышыня
300,Gewicht::N,,вага
301,Menge::N,,колькасць
302,Haufen::N,,куча
303,Reihe::N,,рад
304,Boot::N,,лодка
305,Ruder::N,,вясло
306,Schlitten::N,,сані
307,Ski::N,,лыжа
308,Lagerfeuer::N,,вогнішча
309,Last::N,,цяжар
310,Gang::N,,ход
311,Schritt::N,,шаг
312,Schritt::N,,крок
313,Norden::N,,поўнач
314,Süden::N,,поўдзень
315,Westen::N,,захад
316,Osten::N,,усход
317,Holz::N,,дрэва
318,Holz::N,,драўніна
319,Brett::N,,дошка
320,Platte::N,,пліта
321,Stütze::N,,падпорка
322,Stange::N,,жэрдка
323,Stock::N,,палка
324,Stab::N,,шост
325,Rohr::N,,труба
326,Haus::N,,дом
327,Heim::N,,дом
328,Heim::N,,хата
329,Ofen::N,,печ
330,Fußboden::N,,падлога
331,Tisch::N,,стол
332,Stuhl::N,,стул
333,Stuhl::N,,крэсла
334,Wiege::N,,калыска
335,Bett::N,,ложак
336,Bett::N,,пасцель
337,Regal::N,,паліца
338,Kiste::N,,скрынка
339,Fenster::N,,акно
340,Tür::N,,дзверы
341,Tor::N,,вароты
342,Zaun::N,,агароджа
343,Dach::N,,дах
344,Leiter::N,,лесвіца
345,Besen::N,,мятла
346,Spaten::N,,лапата
347,Spaten::N,,жалязняк
348,Schaufel::N,,шуфлік
349,Schaufel::N,,лапатка
350,Gabel::N,,відэлец
351,Löffel::N,,лыжка
352,Messer::N,,нож
353,Nagel::N,,цвік
354,Netz::N,,сетка
355,Haken::N,,крук
356,Griff::N,,ручка
357,Schloss::N,,замок
358,Bild::N,,карціна
359,Figur::N,,фігура
360,Puppe::N,,лялька
361,Beutel::N,,мяшок
362,Bündel::N,,вязка
363,Tasche::N,,торба
364,Eimer::N,,вядро
365,Deckel::N,,накрыўка
366,Geschirr::N,,пасуда
367,Sack::N,,мех
368,Tasse::N,,кубак
369,Topf::N,,каструля
370,Kessel::N,,кацёл
371,Essen::N,,ежа
372,Nahrung::N,,харч
373,Speise::N,,страва
374,Fleisch::N,,мяса
375,Getreide::N,,збожжа
376,Brei::N,,каша
377,Brot::N,,хлеб
378,Scheibe::N,,луста
379,Scheibe::N,,скібка
380,Fett::N,,тлушч
381,Butter::N,,масла
382,Öl::N,,алей
383,Salz::N,,соль
384,Suppe::N,,суп
385,Honig::N,,мёд
386,Milch::N,,малако
387,Tee::N,,чай
388,Tee::N,,гарбата
389,Leder::N,,скура
390,Wolle::N,,воўна
391,Stoff::N,,тканіна
392,Nadel::N,,іголка
393,Faden::N,,нітка
394,Knopf::N,,гузік
395,Knoten::N,,вузел
396,Farbe::N,,фарба
397,Kleidung::N,,адзенне
398,Hemd::N,,кашуля
399,Kragen::N,,каўнер
400,Ärmel::N,,рукаў
401,Hose::N,,штаны
402,Gürtel::N,,пояс
403,Mütze::N,,шапка
404,Schuh::N,,чаравік
405,Stiefel::N,,бот
406,Ring::N,,кольца
407,Band::N,,стужка
408,Kamm::N,,расчоска
409,Spiegel::N,,люстра
410,Riemen::N,,рэмень
411,Schnur::N,,вяроўка
412,Leine::N,,павадок
413,Decke::N,,коўдра
414,Kissen::N,,падушка
415,Tuch::N,,хустка
416,Handtuch::N,,ручнік
417,Kraft::N,,сіла
418,Stärke::N,,моц
419,Gesundheit::N,,здароўе
420,Krankheit::N,,хвароба
421,Schmerz::N,,боль
422,Wunde::N,,рана
423,Fieber::N,,гарачка
424,Fieber::N,,ліхаманка
425,Arznei::N,,лекі
426,Brücke::N,,мост
427,Brunnen::N,,калодзеж
428,Weide::N,,паша
429,Pfad::N,,сцежка
430,Weg::N,,шлях
431,Weg::N,,дарога
432,Straße::N,,вуліца
433,Dorf::N,,вёска
434,Stadt::N,,горад
435,Brief::N,,ліст
436,Brief::N,,пісьмо
437,Buch::N,,кніга
438,Buchstabe::N,,літара
439,Zeitung::N,,газета
440,Leben::N,,жыццё
441,Tod::N,,смерць
442,Grab::N,,магіла
443,Kirche::N,,касцёл
444,Kirche::N,,царква
445,Sünde::N,,грэх
446,Gott::N,,бог
