,Concept_ID,br,ab
0,Auge::N,lagad,ала
1,Ohr::N,skouarn,алымҳа
2,Nase::N,fri,аҧынҵа
3,Mund::N,genoù,аҧышə
4,Zahn::N,dant,ахаҧыц
5,Zunge::N,teod,абз
6,Lippe::N,muzell,ақьышə
7,Wange::N,chot,аӡамҩа
8,Gesicht::N,dremm,аҿы
9,Stirn::N,tal,алахь
10,Haar::N,blev,ахəыц
11,Schnurrbart::N,mourenn,аҧаҵа
12,Bart::N,barv,ажакьа
13,Kinn::N,groñj,ацламкəыгə
14,Kiefer[Anatomie]::N,javed,ацламҳəа
15,Kehle::N,gouzoug,ахəда
16,Hals::N,gouzoug,ахəда
17,Genick::N,choug,ахəдаџьал
18,Kopf::N,penn,ахы
19,Rücken::N,kein,азқəа
20,Bauch::N,kof,амгəа
21,Nabel::N,begel,аҷапан
22,Busen::N,bronn,агəыҧҳəы
23,Brust::N,bruched,агəышҧы
24,Schulter::N,skoaz,ажəҩахыр
25,Arm::N,brec'h,амахəар
26,Ellenbogen::N,ilin,амашьхəылҵ
27,Hand::N,dorn,анапы
28,Handfläche::N,palv,анапсаргəыҵа
29,Finger::N,biz,анацəа
30,Fingernagel::N,ivin,анапхыц
31,Nagel[Anatomie]::N,ivin,ашьапхыц
32,Zeh::N,biz-troad,ашьацəа
33,Fuß::N,troad,ашьапсыргəыҵа
34,Ferse::N,seul,ашьхəа
35,Knie::N,glin,ашьамхы
36,Oberschenkel::N,morzhed,ауаҭəа
37,Bein::N,gar,ашьапы
38,Körper::N,korf,ацəеижь
39,Haut::N,kroc'hen,ацəа
40,Blut::N,gwad,ашьа
41,Ader::N,gwazhi,ада
42,Sehne::N,stir,адаш
43,Knochen::N,askorn,абаҩ
44,Gehirn::N,empenn,ахшлыбаҩ
45,Gehirn::N,empenn,ахшыбаҩ
46,Herz::N,kalon,агəы
47,Magen::N,stomog,аца
48,Magen::N,stomog,ацар
49,Leber::N,avu,агəаҵəа
50,Atem::N,anal,аҧсыҧлагаҩгара
51,Hunger::N,naon,амла
52,Träne::N,daer,алабжыш
53,Geschmack::N,blaz,агьама
54,Geruch::N,c'hwezh,афҩы
55,Schlaf::N,kousked,ацəа
56,Traum::N,hune,аҧхыӡ
57,Himmel::N,oabl,ажəҩан
58,Sonne::N,heol,амра
59,Mond::N,loar,амза
60,Stern::N,steredenn,аеҵəа
61,Luft::N,aer,аҳаир
62,Wind::N,avel,аҧша
63,Welle::N,houlenn,ацəқəырҧа
64,Wasser::N,dour,аӡы
65,Stein::N,maen,ахаҳə
66,Boden::N,tachenn,адгьыл
67,Erde::N,douar,адгьыл
68,Staub::N,poultr,асаба
69,Rauch::N,moged,алҩа
70,Funke::N,ful,акəиц
71,Funke::N,ful,ацҧхь
72,Feuer::N,tan,амца
73,Licht::N,gouloù,алашара
74,Schatten::N,disheol,ашəшьыра
75,Wetter::N,amzer,амш
76,Nebel::N,brumenn,анаҟəа
77,Wolke::N,koumoulenn,аҧсҭҳəа
78,Regen::N,glav,ақəа
79,Schnee::N,erc'h,асы
80,Eis::N,skorn,аҵаа
81,Frost::N,rev,аҵаа
82,Kälte::N,yen,ахьҭа
83,Hitze::N,tommder,ашоура
84,Raureif::N,frim,аҵааҧшқа
85,Regenbogen::N,gwareg-ar-glav,ацəаҟəа
86,Donner::N,kurun,адыд
87,Strömung::N,red,аиасра
88,Strömung::N,red,амҩасра
89,Tropfen::N,bannac'h,ацəыкəбар
90,Tropfen::N,takenn,ацəыкəбар
91,Schaum::N,spoum,ашəах
92,Schmutz::N,fank,алымт
93,See::N,lenn,аӡиа
94,Sumpf::N,gwern,аӡмах
95,Moor::N,taouarc'heg,
96,Wiese::N,prad,адəы
97,Wald::N,koad,абна
98,Hügel::N,torgenn,ахəы
99,Anhöhe::N,run,аҳаракыра
100,Berg::N,menez,ашьха
101,Gipfel::N,barr,ацəқəа
102,Höhle::N,kav,аҳаҧы
103,Abhang::N,naou,анаара
104,Quelle::N,feunteun,аҵҵырҭа
105,Bach::N,gwazh,акəараҷҷа
106,Fluss::N,stêr,аӡиас
107,Ufer::N,ribl,ахықə
108,Küste::N,aod,ахықə
109,Festland::N,douar,абарра
110,Meer::N,mor,амшын
111,Bucht::N,mor-bihan,аӡбжьахала
112,Insel::N,enez,адгьылбжьаха
113,Blume::N,bleunienn,ашəҭ
114,Gras::N,geot,аҳасакьын
115,Wurzel::N,gwrizienn,адац
116,Baum::N,gwezenn,аҵла
117,Stamm::N,kef,ашьапы
118,Rinde::N,rusk,ацəа
119,Ast::N,barr,амахə
120,Ast::N,barr,амахəҭа
121,Zweig::N,bod,амахə
122,Zweig::N,bod,амахəҭа
123,Blatt::N,delienn,абҕьы
124,Birke::N,bezvenn,аҵааҵла
125,Kiefer[Baum]::N,pinenn,амза
126,Weide[Baum]::N,halegenn,аҧслыш
127,Tanne::N,sapenn,аҧсаӡ
128,Horn::N,korn,атəыҩа
129,Feder::N,pluñv,ахӡы
130,Fell::N,kreoñ,ацəа
131,Flügel::N,askell,амҵəыжəа
132,Klaue::N,skilf,ашьапхыц
133,Kralle::N,skilf,
134,Schwanz::N,lost,аҵыхəа
135,Ei::N,vi,акəтаӷь
136,Nest::N,neizh,аҭра
137,Nest::N,neizh,аҵысҭра
138,Bau::N,douarenn,аҭыҩра
139,Tier::N,loen,аҧстəы
140,Tier::N,loen,агыгшəыг
141,Herde::N,tropell,агəарҭа
142,Kuh::N,buoc'h,ажə
143,Bulle::N,tarv,ацə
144,Pferd::N,marc'h,аҽы
145,Schaf::N,dañvad,ауаса
146,Schwein::N,pemoc'h,аҳəа
147,Hund::N,ki,ала
148,Katze::N,kazh,ацгəы
149,Bär::N,arzh,амшə
150,Eichhörnchen::N,gwiñver,аеш
151,Elch::N,karv-dour,аҽаҩа
152,Fuchs::N,louarn,абгахəыҷы
153,Hase::N,gad,ажьа
154,Maus::N,logodenn,аҳəынаҧ
155,Wolf::N,bleiz,абгаду
156,Vogel::N,labous,аҧсаатə
157,Schwarm::N,nijad,
158,Huhn::N,yar,акəты
159,Hahn::N,kilhog,арбаҕь
160,Gans::N,gwazenn,аҟыз
161,Adler::N,erer,ауарба
162,Ente::N,houad,акəата
163,Eule::N,toud,аты
164,Kranich::N,garan,апҟа
165,Krähe::N,bran,аҟəараан
166,Kuckuck::N,koukoug,акəыкəу
167,Schwan::N,alarc'h,агьад
168,Fisch::N,pesk,аҧсыӡ
169,Barsch::N,brell,ацəыбла
170,Hecht::N,beked,ахиаала
171,Schlange[Tier]::N,naer,амаҭ
172,Wurm::N,preñv,ахəа
173,Wurm::N,preñv,ахəац
174,Spinne::N,kevnidenn,абызкаҭаҳа
175,Ameise::N,merion,ашышкамс
176,Laus::N,laouenn,аҵа
177,Mücke::N,moustik,акəыбры
178,Fliege::N,kelienenn,амҵ
179,Schmetterling::N,balafenn,аҧарҧалыкь
180,Beere::N,hog,аргуц
