,Concept_ID,os,la
0,Auge::N,цӕст,oculus
1,Ohr::N,хъус,auris
2,Nase::N,фындз,nasus
3,Mund::N,дзых,os
4,Zahn::N,дӕндаг,dens
5,Zunge::N,ӕвзаг,lingua
6,Lippe::N,был,labrum
7,Wange::N,рус,gena
8,Wange::N,уадул,gena
9,Wange::N,ӕхсӕрфарс,gena
10,Gesicht::N,цӕсгом,vultus
11,Stirn::N,ных,frons
12,Haar::N,хил,capillus
13,Schnurrbart::N,рихи,barba labri superioris
14,Bart::N,зачъе,barba
15,Kinn::N,роцъо,mentum
16,Kiefer[Anatomie]::N,ӕфсӕр,mala
17,Kehle::N,хъуыр,iugulums
18,Hals::N,къубал,collum
19,Genick::N,къӕбут,cervices
20,Kopf::N,сӕр,caput
21,Rücken::N,фӕсонтӕ,tergum
22,Bauch::N,гуыбын,venter
23,Nabel::N,бикъ,umbilicus
24,Busen::N,дзидзи,sinus
25,Brust::N,риу,pectus
26,Schulter::N,уӕхск,umerus
27,Arm::N,цонг,bracchium
28,Ellenbogen::N,рæмбын,cubitum
29,Hand::N,къух,manus
30,Handfläche::N,армытъӕпӕн,palma
31,Finger::N,ӕнруылдз,digitus
32,Fingernagel::N,ных,unguiculus
33,Nagel[Anatomie]::N,ных,unguis
34,Zeh::N,къух,digitus
35,Fuß::N,фад,pes
36,Ferse::N,зӕвӕт,calx
37,Knie::N,уӕраг,genu
38,Oberschenkel::N,агъд,femur
39,Bein::N,зӕнг,crus
40,Körper::N,буар,corpus
41,Haut::N,царм,cutis
42,Haut::N,царм,pellis
43,Blut::N,туг,sanguis
44,Ader::N,дадзин,vena
45,Ader::N,тугдадзин,vena
46,Sehne::N,хъиутæ,nervus
47,Sehne::N,нуар,nervus
48,Knochen::N,стӕг,os
49,Gehirn::N,магъз,cerebrum
50,Herz::N,зӕрдӕ,cor
51,Herz::N,зӕрдӕ,animus
52,Magen::N,ахсӕн,stomachus
53,Leber::N,игæр,iecur
54,Atem::N,улӕфт,spiritus
55,Hunger::N,стонг,fames
56,Träne::N,цæссыг,lacrima
57,Geschmack::N,ад,sapor
58,Geschmack::N,ад,gustus
59,Geruch::N,смаг,odor
60,Schlaf::N,хуыссӕг,somnus
61,Traum::N,фын,somnium
62,Himmel::N,арв,caelum
63,Himmel::N,уӕларв,caelum
64,Sonne::N,хур,sol
65,Mond::N,мӕй,luna
66,Stern::N,стъалы,sidus
67,Stern::N,стъалы,stella
68,Luft::N,уӕлдӕф,aer
69,Wind::N,дымгӕ,ventus
70,Welle::N,уылӕн,unda
71,Wasser::N,дон,aqua
72,Stein::N,дур,lapis
73,Boden::N,зӕхх,solum
74,Erde::N,сыджыт,terra
75,Staub::N,рыг,pulvis
76,Rauch::N,фӕздӕг,fumus
77,Funke::N,цӕхӕр,scintilla
78,Feuer::N,зынг,ignis
79,Licht::N,рухс,lux
80,Licht::N,рухс,lumen
81,Schatten::N,аууон,umbra
82,Wetter::N,боныхъӕд,caelum
83,Wetter::N,боныхъӕд,tempestas
84,Nebel::N,мигъ,nebula
85,Wolke::N,ӕврагъ,nubes
86,Regen::N,уарын,imber
87,Regen::N,уарын,pluvia
88,Schnee::N,мит,nix
89,Eis::N,их,glacies
90,Frost::N,ихæн,gelu
91,Kälte::N,уазал,frigus
92,Hitze::N,ӕнтӕф,calor
93,Hitze::N,ӕнтӕф,aestus
94,Raureif::N,халас,pruina
95,Regenbogen::N,арвырон,arcus
96,Regenbogen::N,арвырдын,arcus
97,Donner::N,æрвнæрын,tonitrus
98,Strömung::N,цыд,fluctus
99,Tropfen::N,æртах,gutta
100,Schaum::N,фынк,spuma
101,Schmutz::N,цъыф,sordes
102,Schmutz::N,цъыф,squalor
103,See::N,цад,lacus
104,Sumpf::N,цъыфдзаст,palus
105,Moor::N,цъыфдзаст,palus
106,Wiese::N,уыгӕрдӕн,pratum
107,Wald::N,хъӕд,silva
108,Hügel::N,обау,collis
109,Hügel::N,къуыбыр,collis
110,Anhöhe::N,уæлвæз,specula
111,Anhöhe::N,уæлхох,specula
112,Berg::N,хох,mons
113,Gipfel::N,цъупп,vertex
114,Höhle::N,лӕгӕт,caverna
115,Höhle::N,лӕгӕт,spelunca
116,Abhang::N,къул,declivum
117,Quelle::N,суадон,fons
118,Bach::N,мӕсчъыдон,rivus
119,Fluss::N,дон,flumen
120,Fluss::N,цӕугӕдон,flumen
121,Ufer::N,был,ripa
122,Küste::N,донбыл,litus
123,Festland::N,сурзæхх,continens
124,Meer::N,денджыз,mare
125,Bucht::N,донбакæлæн,sinus
126,Insel::N,сакъадах,insula
127,Blume::N,дидинӕг,flos
128,Gras::N,кӕрдӕг,herba
129,Gras::N,кӕрдӕг,gramen
130,Wurzel::N,уидаг,radix
131,Baum::N,бӕлас,arbor
132,Stamm::N,хӕтӕл,truncus
133,Rinde::N,цъар,cortex
134,Ast::N,арх,ramus
135,Zweig::N,къалиу,ramus
136,Blatt::N,сыф,folium
137,Birke::N,бæрз,betulla
138,Kiefer[Baum]::N,нӕзы,pinus
139,Weide[Baum]::N,хӕрис,salix
140,Tanne::N,наз,abies
141,Horn::N,сыкъа,cornu
142,Feder::N,сис,penna
143,Fell::N,царм,pellis
144,Flügel::N,базыр,ala
145,Klaue::N,ных,unguis
146,Kralle::N,дзӕмбы,unguis
147,Schwanz::N,къӕдзил,cauda
148,Ei::N,айк,ovum
149,Nest::N,ахстон,nidus
150,Bau::N,хуынкъ,cavum
151,Bau::N,хуынкъ,latibulum
152,Tier::N,сырд,bestia
153,Tier::N,цӕрӕгой,bestia
154,Herde::N,дзуг,grex
155,Herde::N,рӕгъау,grex
156,Kuh::N,хъуг,vacca
157,Bulle::N,гал,taurus
158,Pferd::N,бӕх,equus
159,Schaf::N,фыс,ovis
160,Schwein::N,хуы,sus
161,Schwein::N,хуы,porcus
162,Hund::N,куыдз,canis
163,Katze::N,гӕды,felis
164,Bär::N,арс,ursus
165,Eichhörnchen::N,æхсæрæг,sciurus
166,Elch::N,цæгатаг саг,alces
167,Fuchs::N,рувас,vulpes
168,Hase::N,тæрхъус,lepus
169,Maus::N,мыст,mus
170,Wolf::N,бирӕгъ,lupus
171,Vogel::N,цъиу,avis
172,Vogel::N,маргъ,avis
173,Schwarm::N,бал,examen
174,Huhn::N,карк,gallina
175,Hahn::N,уасӕг,gallus
176,Gans::N,хъаз,anser
177,Adler::N,цӕргӕс,aquila
178,Ente::N,ацц,anas
179,Eule::N, уыг,ulula
180,Eule::N, уыг,noctua
181,Eule::N,сидахъ,ulula
182,Eule::N,сидахъ,noctua
183,Kranich::N,зырнæг,grus
184,Kranich::N,хърихъупп,grus
185,Krähe::N,халон,cornix
186,Kuckuck::N,гаккук,cuculus
187,Schwan::N,доныхъаз,olor
188,Schwan::N,доныхъаз,cycnus
189,Fisch::N,кӕсаг,piscis
190,Barsch::N,окунь,perca
191,Hecht::N,хихор кӕсаг,esox
192,Schlange[Tier]::N,калм,serpens
193,Wurm::N,зулкъ,vermis
194,Wurm::N,къуыдыргалм,vermis
195,Spinne::N,хӕлуарӕг,aranea
196,Ameise::N,мæлдзыг,formica
197,Laus::N,сыст,pediculus
198,Mücke::N,къогъо,culex
199,Fliege::N,бындз,musca
200,Schmetterling::N,гæлæбу,papilio
201,Beere::N,гагадыргъ,baca
202,Apfel::N,фӕткъуы,malum
203,Pilz::N,зокъо,fungus
204,Pilz::N,къозо,fungus
205,Zwiebel::N,хъӕдындз,cepa
206,Saat::N,тауинаг,seges
207,Saat::N,мыггаг,seges
208,Korn::N,мыггаг,granum
209,Korn::N,тауинаг,granum
210,Heu::N,хос,faenum
211,Schale::N,цъар,putamen
212,Grube::N,урм,fovea
213,Grube::N,къахт,fovea
214,Grube::N,дзыхъхъ,fovea
215,Falle::N,цъысым,pedica
216,Falle::N,къӕппӕг,pedica
217,Schlinge::N,цасм,laqueus
218,Spur::N,фæд,vestigium
219,Asche::N,фӕнык,cinis
220,Asche::N,ӕртхутӕг,cinis
221,Dreck::N,цъыф,lutum
222,Eisen::N,ӕфсӕйнаг,ferrum
223,Gold::N,сыгъзӕрин,aurum
224,Silber::N,ӕвзист,argentum
225,Kohle::N,ӕвзалы,carbo
226,Glas::N,авг,vitrum
227,Lehm::N,ӕлыг,lutum
228,Sand::N,змис,arena
229,Mensch::N,лӕг,homo
230,Mensch::N,адӕймаг,homo
231,Mensch::N,удгоймаг,homo
232,Mann::N,лӕг,vir
233,Mann::N,нӕлгоймаг,vir
234,Frau::N,сылгоймаг,mulier
235,Kind::N,сывӕллон,puer
236,Kind::N,сывӕллон,infans
237,Junge::N,лӕппу,puer
238,Mädchen::N,чызг,puella
239,Familie::N,бинонтæ,familia
240,Großvater::N,фыдыфыд,avus
241,Großvater::N,мадыфыд,avus
242,Großmutter::N,фыды мад,avia
243,Großmutter::N,мады мад,avia
244,Eltern::N,ныййарджытæ,parentes
245,Vater::N,фыд,pater
246,Mutter::N,мад,mater
247,Sohn::N,фырт,filius
248,Tochter::N,чызг,filia
249,Bruder::N,ӕфсымӕр,frater
250,Schwester::N,хо,soror
251,Onkel::N,фыдыфсымӕр,patruus
252,Onkel::N,фыдыфсымӕр,avunculus
253,Tante::N,мадыхо,amita
254,Ehemann::N,мой,maritus
255,Ehefrau::N,ус,uxor
256,Freude::N,цин,gaudium
257,Freude::N,цин,laetitia
258,Freude::N,циндзинад,gaudium
259,Freude::N,циндзинад,laetitia
260,Gelächter::N,худын,risus
261,Gelächter::N,худт,risus
262,Gelächter::N,худæг,risus
263,Glück::N,амонд,felicitas
264,Kummer::N,хъыг,aegritudo
265,Wunsch::N,бӕллиц,voluntas
266,Wunsch::N,бӕллиц,desiderium
267,Lust::N,монц,libido
268,Lust::N,монц,voluptas
269,Geist::N,уд,mens
270,Geist::N,уд,animus
271,Gedanke::N,хъуыды,sententia
272,Gedächtnis::N,мысæн,memoria
273,Gedächtnis::N,мысын,memoria
274,Gedächtnis::N,зæрдылдарын,memoria
275,Verstand::N,зонд,ratio
276,Verstand::N,зонд,ingenium
277,Sinn::N,нысаниуæг,sensus
278,Grund::N,ӕфсон,causa
279,Wahrheit::N,æцæг,veritas
280,Gespräch::N,ныхас,sermo
281,Märchen::N,аргъау,fabula
282,Erzählung::N,радзырд,fabula
283,Erzählung::N,радзырд,narratio
284,Nachricht::N,уац,nuntius
285,Neuigkeit::N,хабар,novitas
286,Name::N,ном,nomen
287,Rätsel::N,уыци-уыци,aenigma
288,Rätsel::N,базон-базон,aenigma
289,Rede::N,раныхас,oratio
290,Sprache::N,ӕвзаг,lingua
291,Stimme::N,хъӕлӕс,vox
292,Wort::N,дзырд,verbum
293,Wort::N,дзырд,vocabulum
294,Zeichen::N,нысан,signum
295,Ruf::N,сидт,clamor
296,Lärm::N,уынæр,strepitus
297,Laut::N,зӕл,sonus
298,Laut::N,мыр,sonus
299,Ton::N,мыр,sonus
300,Lied::N,зарӕг,carmen
301,Ruhe::N,æнцой,quies
302,Leute::N,адӕм,homines
303,Volk::N,адӕм,populus
304,Arbeit::N,фӕллой,labor
305,Gast::N,уазӕг,hospes
306,Gast::N,уазӕг,conviva
307,Geschenk::N,хуын,munus
308,Spiel::N,хъазт,ludus
309,Gesellschaft::N,дзыллæ,societas
310,Gesellschaft::N,æхсæнад,societas
311,Hilfe::N,æххуыс,auxilium
312,Hilfe::N,æххуыс,subsidium
313,Hilfe::N,ахъаз,auxilium
314,Hilfe::N,ахъаз,subsidium
315,Freund::N,лымӕн,amicus
316,Kamerad::N,ӕмбал,socius
317,Angelegenheit::N,хъуыддаг,res
318,Anzahl::N,бӕрц,numerus
319,Art::N,хуыз,genus
320,Art::N,хуызад,genus
321,Stück::N,кæрдих,frustum
322,Stück::N,кæрдих,fragmentum
323,Stück::N,комдзаг,frustum
324,Stück::N,комдзаг,fragmentum
325,Teil::N,хай,pars
326,Hälfte::N,æрдæг,dimidium
327,Hälfte::N,æмбис,dimidium
328,Kreis::N,зиллакк,orbis
329,Kreis::N,зиллакк,circus
330,Kreuz::N,дзуар,crux
331,Linie::N,хахх,linea
332,Strich::N,хахх,lineamentum
333,Abstand::N,æхсæнуат,intervallum
334,Entfernung::N,дæрддзæг,spatium
335,Entfernung::N,дардцæг,spatium
336,Gegend::N,ран,loca
337,Gegend::N,ран,regio
338,Platz::N,бууат,locus
339,Ort::N,ран,locus
340,Ort::N,бынат,locus
341,Seite::N,фахс,latus
342,Mitte::N,астӕу,medium
343,Gegenstand::N,дзаума,res
344,Sache::N,дзаума,res
345,Rand::N,кӕрон,margo
