,Concept_ID,zh,ga
0,Auge::N,眼睛,súil
1,Ohr::N,耳朵,cluas
2,Nase::N,鼻子,soc
3,Mund::N,嘴,béal
4,Zahn::N,牙齿,fiacail
5,Zunge::N,舌头,teanga
6,Lippe::N,嘴唇,liopa
7,Wange::N,面颊,grua
8,Wange::N,面颊,leiceann
9,Gesicht::N,脸,éadan
10,Gesicht::N,脸,aghaidh
11,Stirn::N,额,baithis
12,Stirn::N,额,clár éadain
13,Haar::N,头发,gruaig
14,Schnurrbart::N,髭须,croiméal
15,Bart::N,胡子,féasóg
16,Kinn::N,下巴,smig
17,Kiefer[Anatomie]::N,颌,giall
18,Kehle::N,嗓子,scornach
19,Hals::N,颈,muinéal
20,Genick::N,后颈,baic
21,Kopf::N,头,ceann
22,Rücken::N,背,droim
23,Bauch::N,肚子,bolg
24,Nabel::N,肚脐,imleacán
25,Busen::N,胸脯,cíoch
26,Brust::N,胸,brollach
27,Schulter::N,肩膀,gualainn
28,Arm::N,臂膀,lámh
29,Ellenbogen::N,肘,uillinn
30,Hand::N,手,lámh
31,Handfläche::N,手掌,bos
32,Finger::N,手指,méar
33,Fingernagel::N,指甲,ionga
34,Nagel[Anatomie]::N,指甲,ionga
35,Zeh::N,脚趾,ladhar
36,Fuß::N,脚,cos
37,Fuß::N,脚,troigh
38,Ferse::N,后跟,sáil
39,Knie::N,膝,glúin
40,Oberschenkel::N,大腿,ceathrú
41,Bein::N,腿,cos
42,Körper::N,身体,corp
43,Körper::N,身体,colainn
44,Haut::N,皮肤,cneas
45,Haut::N,皮肤,craiceann
46,Blut::N,血,fuil
47,Ader::N,血管,
48,Sehne::N,腱,teannán
49,Sehne::N,腱,féitheog
50,Knochen::N,骨,cnámh
51,Gehirn::N,脑,inchinn
52,Herz::N,心,croí
53,Magen::N,胃,bolg
54,Magen::N,胃,goile
55,Leber::N,肝,ae
56,Atem::N,呼吸,anáil
57,Hunger::N,饿,ocras
58,Träne::N,眼泪,deoir
59,Geschmack::N,味道,blas
60,Geruch::N,气味,boladh
61,Schlaf::N,睡眠,suan
62,Schlaf::N,睡眠,codladh
63,Traum::N,梦,taibhreamh
64,Himmel::N,天空,spéir
65,Sonne::N,太阳,grian
66,Mond::N,月亮,ré
67,Mond::N,月亮,gealach
68,Stern::N,星,rinn
69,Stern::N,星,réalta
70,Luft::N,空气,aer
71,Wind::N,风,gaoth
72,Welle::N,波,tonn
73,Wasser::N,水,uisce
74,Stein::N,石头,cloch
75,Boden::N,地面,talamh
76,Erde::N,地,cré
77,Erde::N,地,ithir
78,Staub::N,灰尘,dusta
79,Staub::N,灰尘,deannach
80,Rauch::N,烟,toit
81,Rauch::N,烟,deatach
82,Funke::N,火花,drithle
83,Feuer::N,火,tine
84,Licht::N,光,solas
85,Schatten::N,影子,scáth
86,Wetter::N,天气,aimsir
87,Nebel::N,雾,ceo
88,Wolke::N,云,néal
89,Wolke::N,云,scamall
90,Regen::N,雨,báisteach
91,Regen::N,雨,fearthainn
92,Schnee::N,雪,sneachta
93,Eis::N,冰,oighear
94,Frost::N,霜冻,sioc
95,Kälte::N,寒冷,fuacht
96,Hitze::N,炎热,teas
97,Hitze::N,炎热,teocht
98,Raureif::N,霜,sioc bán
99,Regenbogen::N,虹,stua ceatha
100,Regenbogen::N,虹,bogha báistí
