,Concept_ID,hi,sq
0,Auge::N,आँख,sy
1,Auge::N,चक्षु,sy
2,Ohr::N,कान,vesh
3,Ohr::N,कर्ण,vesh
4,Nase::N,नाक,hundë
5,Nase::N,नासा,hundë
6,Mund::N,मुख,gojë
7,Mund::N,मुँह,gojë
8,Zahn::N,दंत,dhëmb
9,Zahn::N,दाँत,dhëmb
10,Zunge::N,जीभ,gjuhë
11,Zunge::N,ज़बान,gjuhë
12,Zunge::N,जिह्वा,gjuhë
13,Lippe::N,ओंठ,buzë
14,Lippe::N,होंठ,buzë
15,Wange::N,गाल,faqe
16,Wange::N,गाल,mollëz
17,Wange::N,कपोल,faqe
18,Wange::N,कपोल,mollëz
19,Gesicht::N,मुँह,fytyrë
20,Gesicht::N,चेहरा,fytyrë
21,Stirn::N,माथा,ballë
22,Stirn::N,मस्तक,ballë
23,Haar::N,बाल,flokë
24,Schnurrbart::N,मूँछें,mustaqe
25,Bart::N,दाढ़ी,mjekër
26,Kinn::N,चिबुक,mjekër
27,Kiefer[Anatomie]::N,जबड़ा,nofull
28,Kehle::N,गला,fyt
29,Kehle::N,गला,grykë
30,Hals::N,गला,qafë
31,Hals::N,गरदन,qafë
32,Genick::N,गरदन,arrëz
33,Genick::N,ग्रीवा,arrëz
34,Kopf::N,सिर,kokë
35,Kopf::N,शीर्ष,kokë
36,Rücken::N,पीठ,kurriz
37,Bauch::N,उदर,bark
38,Nabel::N,नाभि,kërthizë
39,Nabel::N,ढोंढी,kërthizë
40,Busen::N,कुच,gji
41,Busen::N,स्तन,gji
42,Brust::N,वक्ष,gjoks
43,Brust::N,वक्ष,kraharor
44,Schulter::N,कंधा,sup
45,Schulter::N,कंधा,krah
46,Schulter::N,स्कंध,sup
47,Schulter::N,स्कंध,krah
48,Arm::N,बाँह,krah
49,Arm::N,बाज़ू,krah
50,Ellenbogen::N,कुहनी,bërryl
51,Hand::N,हाथ,dorë
52,Hand::N,हस्त,dorë
53,Handfläche::N,हथेली,pëllëmbë
54,Finger::N,उँगली,gisht
55,Finger::N,अँगुली,gisht
56,Fingernagel::N,नख,thua
57,Fingernagel::N,नाख़ून,thua
58,Nagel[Anatomie]::N,नख,thua
59,Nagel[Anatomie]::N,नाख़ून,thua
60,Zeh::N,उँगली,gisht i këmbës
61,Zeh::N,पाँव की उँगली,gisht i këmbës
62,Fuß::N,चरण,këmbë
63,Fuß::N,पाँव,këmbë
64,Ferse::N,एड़ी,thembër
65,Knie::N,जानु,gju
66,Knie::N,घुटना,gju
67,Oberschenkel::N,उरु,kofshë
68,Bein::N,टाँग,këmbë
69,Körper::N,तन,trup
70,Körper::N,देह,trup
71,Körper::N,शरीर,trup
72,Haut::N,चर्म,lëkurë
73,Haut::N,त्वचा,lëkurë
74,Blut::N,लहू,gjak
75,Blut::N,ख़ून,gjak
76,Ader::N,रग,venë
77,Ader::N,शिरा,venë
78,Sehne::N,कंडरा,dell
79,Sehne::N,स्नायु,dell
80,Knochen::N,अस्थि,asht
81,Knochen::N,अस्थि,kockë
82,Gehirn::N,दिमाग़,tru
83,Gehirn::N,मस्तिष्क,tru
84,Herz::N,दिल,zemër
85,Herz::N,हृदय,zemër
86,Magen::N,मेदा,stomak
87,Magen::N,अमाशय,stomak
88,Leber::N,जिगर,mëlçi
89,Leber::N,यकृत्,mëlçi
90,Atem::N,दम,frymë
91,Atem::N,साँस,frymë
92,Atem::N,श्वास,frymë
93,Hunger::N,भूख,uri
94,Hunger::N,क्षुधा,uri
95,Träne::N,आँसू,lot
96,Träne::N,अश्रु,lot
97,Geschmack::N,स्वाद,shije
98,Geschmack::N,ज़ायक़ा,shije
99,Geruch::N,बू,erë
100,Geruch::N,गंध,erë
101,Schlaf::N,नींद,gjumë
102,Schlaf::N,निद्रा,gjumë
103,Traum::N,सपना,ëndërr
104,Traum::N,स्वप्न,ëndërr
105,Himmel::N,आकाश,qiell
106,Himmel::N,आसमान,qiell
107,Sonne::N,रवि,diell
108,Sonne::N,सूरज,diell
109,Sonne::N,सूर्य,diell
110,Mond::N,चाँद,hënë
111,Mond::N,चंद्र,hënë
112,Stern::N,तारा,yll
113,Stern::N,सितारा,yll
114,Luft::N,हवा,ajër
115,Luft::N,वायु,ajër
116,Wind::N,पाद,erë
117,Welle::N,लहर,valë
118,Welle::N,लहर,dallgë
119,Welle::N,तरंग,valë
120,Welle::N,तरंग,dallgë
121,Wasser::N,जल,ujë
122,Wasser::N,पानी,ujë
123,Stein::N,पत्थर,gur
124,Boden::N,मिट्टी,tokë
125,Boden::N,मिट्टी,truall
126,Erde::N,भूमि,dhe
127,Erde::N,भूमि,baltë
128,Erde::N,ज़मीन,dhe
129,Erde::N,ज़मीन,baltë
130,Staub::N,धूल,pluhur
131,Rauch::N,धूआँ,tym
132,Rauch::N,धुम्र,tym
133,Funke::N,चिनगारी,xixë
134,Funke::N,चिनगारी,shkëndijë
135,Funke::N,स्फुलिंग,xixë
136,Funke::N,स्फुलिंग,shkëndijë
137,Feuer::N,आग,zjarr
138,Feuer::N,आतिश,zjarr
139,Feuer::N,अग्नि,zjarr
140,Licht::N,रोशनी,dritë
141,Licht::N,प्रकाश,dritë
142,Schatten::N,छाया,hije
143,Schatten::N,परछाई,hije
144,Wetter::N,ऋतु,mot
145,Wetter::N,मौसम,mot
146,Nebel::N,धुँध,mjegull
147,Nebel::N,कुहरा,mjegull
148,Wolke::N,मेघ,re
149,Wolke::N,अभ्र,re
150,Regen::N,मेंह,shi
151,Regen::N,बारिश,shi
152,Schnee::N,हिम,borë
153,Schnee::N,बर्फ़,borë
154,Eis::N,हिम,akull
155,Eis::N,बर्फ़,akull
156,Frost::N,ठंड,ngricë
157,Kälte::N,सर्दी,të ftohtë
158,Kälte::N,शीतलता,të ftohtë
159,Hitze::N,ताप,vapë
160,Hitze::N,ताप,nxehtësi
161,Hitze::N,गरमी,vapë
162,Hitze::N,गरमी,nxehtësi
163,Raureif::N,पाला,cikmë
164,Regenbogen::N,इंद्र-धनुष,ylber
165,Donner::N,गरज,gjëmim
166,Donner::N,गरज,bubullimë
167,Donner::N,मेघ-गर्जन,gjëmim
168,Donner::N,मेघ-गर्जन,bubullimë
169,Strömung::N,बहाव,rrymë
170,Strömung::N,प्रवाह,rrymë
171,Tropfen::N,बूँद,pikë
172,Schaum::N,झाग,shkumë
173,Schmutz::N,गंद,baltë
174,Schmutz::N,कीचड़,baltë
175,See::N,झील,liqen
176,See::N,सरोवर,liqen
177,Sumpf::N,दलदल,batak
178,Sumpf::N,धँसान,batak
179,Moor::N,झाबर,kënetë
180,Moor::N,धँसान,kënetë
181,Wiese::N,घास-स्थल,livadh
182,Wald::N,जंगल,pyll
183,Hügel::N,टीला,kodër
184,Hügel::N,पहाड़,kodër
185,Anhöhe::N,टीला,bregore
186,Anhöhe::N,पहाड़ी,bregore
187,Berg::N,पहाड़,mal
188,Gipfel::N,शिखर,kulm
189,Höhle::N,गुहा,shpellë
190,Höhle::N,गुहा,zgafelle
191,Höhle::N,गुफ़ा,shpellë
192,Höhle::N,गुफ़ा,zgafelle
193,Abhang::N,ढाल,shpat
194,Abhang::N,ढाल,tatëpjetë
195,Abhang::N,ढलान,shpat
196,Abhang::N,ढलान,tatëpjetë
197,Quelle::N,चश्मा,krua
198,Quelle::N,चश्मा,burim
199,Bach::N,सोता,virua
200,Bach::N,नदिका,virua
201,Fluss::N,नदी,lumë
202,Fluss::N,सरिता,lumë
203,Ufer::N,तट,breg
204,Ufer::N,किनारा,breg
