,Concept_ID,ku,sq
0,Auge::N,çav,sy
1,Ohr::N,guh,vesh
2,Nase::N,bêvil,hundë
3,Mund::N,dev,gojë
4,Zahn::N,didan,dhëmb
5,Zunge::N,ziman,gjuhë
6,Lippe::N,lêv,buzë
7,Wange::N,dêm,faqe
8,Wange::N,dêm,mollëz
9,Wange::N,hinarik,faqe
10,Wange::N,hinarik,mollëz
11,Gesicht::N,rû,fytyrë
12,Stirn::N,enî,ballë
13,Haar::N,por,flokë
14,Schnurrbart::N,simbêl,mustaqe
15,Bart::N,rih,mjekër
16,Kinn::N,zenî,mjekër
17,Kiefer[Anatomie]::N,arguşk,nofull
18,Kehle::N,qirik,fyt
19,Kehle::N,qirik,grykë
20,Hals::N,stû,qafë
21,Hals::N,qirik,qafë
22,Genick::N,stû,arrëz
23,Kopf::N,serî,kokë
24,Rücken::N,pişt,kurriz
25,Bauch::N,ûr,bark
26,Bauch::N,zik,bark
27,Nabel::N,navik,kërthizë
28,Busen::N,sîng,gji
29,Brust::N,sîng,gjoks
30,Brust::N,sîng,kraharor
31,Schulter::N,mil,sup
32,Schulter::N,mil,krah
33,Arm::N,çepil,krah
34,Ellenbogen::N,enîşk,bërryl
35,Hand::N,dest,dorë
36,Handfläche::N,kefadest,pëllëmbë
37,Finger::N,tilî,gisht
38,Fingernagel::N,neynuk,thua
39,Nagel[Anatomie]::N,bizmar,thua
40,Zeh::N,tilî linga,gisht i këmbës
41,Fuß::N,ling,këmbë
42,Ferse::N,pahnî,thembër
43,Knie::N,kabok,gju
44,Oberschenkel::N,rahn,kofshë
45,Bein::N,çip,këmbë
46,Körper::N,laş,trup
47,Körper::N,gowde,trup
48,Haut::N,çerm,lëkurë
49,Blut::N,xwîn,gjak
50,Ader::N,reh,venë
51,Sehne::N,reh,dell
52,Knochen::N,hestî,asht
53,Knochen::N,hestî,kockë
54,Gehirn::N,mêjî,tru
55,Herz::N,dil,zemër
56,Magen::N,navêş,stomak
57,Leber::N,kezeb,mëlçi
58,Atem::N,hilm,frymë
59,Hunger::N,birçîtî,uri
60,Träne::N,hêstir,lot
61,Geschmack::N,tam,shije
62,Geruch::N,bêhn,erë
63,Schlaf::N,xew,gjumë
64,Traum::N,xewn,ëndërr
65,Himmel::N,ezman,qiell
66,Sonne::N,roj,diell
67,Mond::N,heyv,hënë
68,Stern::N,stêrk,yll
69,Luft::N,ba,ajër
70,Wind::N,ba,erë
71,Welle::N,şewl,valë
72,Welle::N,şewl,dallgë
73,Wasser::N,av,ujë
74,Stein::N,kevir,gur
75,Boden::N,herd,tokë
76,Boden::N,herd,truall
77,Erde::N,ax,dhe
78,Erde::N,ax,baltë
79,Staub::N,toz,pluhur
80,Rauch::N,dû,tym
81,Funke::N,çirûşk,xixë
82,Funke::N,çirûşk,shkëndijë
83,Feuer::N,agir,zjarr
84,Licht::N,ronahî,dritë
85,Schatten::N,sî,hije
86,Wetter::N,hewa,mot
87,Nebel::N,mij,mjegull
88,Wolke::N,ewr,re
89,Regen::N,baran,shi
90,Schnee::N,berf,borë
91,Eis::N,qeşa,akull
92,Frost::N,xûsik,ngricë
93,Kälte::N,serma,të ftohtë
94,Hitze::N,germayî,vapë
95,Hitze::N,germayî,nxehtësi
96,Raureif::N,şext,cikmë
97,Regenbogen::N,heftreng,ylber
98,Donner::N,gire-gir,gjëmim
99,Donner::N,gire-gir,bubullimë
100,Strömung::N,şewl,rrymë
101,Tropfen::N,dilop,pikë
102,Schaum::N,kef,shkumë
103,Schmutz::N,gemar,baltë
104,See::N,gol,liqen
105,Sumpf::N,hezek,batak
106,Moor::N,mafêl,kënetë
107,Wiese::N,sûrik,livadh
108,Wald::N,çiya,pyll
109,Wald::N,daristan,pyll
110,Hügel::N,gir,kodër
111,Anhöhe::N,sere gir,bregore
112,Berg::N,kaş,mal
113,Gipfel::N,sere gir,kulm
114,Höhle::N,şikeft,shpellë
115,Höhle::N,şikeft,zgafelle
116,Abhang::N,kaş,shpat
117,Abhang::N,kaş,tatëpjetë
118,Quelle::N,kanî,krua
119,Quelle::N,kanî,burim
120,Bach::N,çem,virua
121,Fluss::N,çem,lumë
122,Fluss::N,rûbar,lumë
123,Ufer::N,kevî,breg
124,Küste::N,berav,anëdet
125,Küste::N,berav,bregdet
126,Festland::N,bejahî,kontinent
127,Meer::N,behr,det
128,Bucht::N,derav,gji deti
129,Insel::N,girav,ishull
130,Insel::N,girav,ujdhesë
131,Blume::N,kulînk,lule
132,Gras::N,giha,bar
133,Wurzel::N,reh,rrënjë
134,Baum::N,dar,pemë
135,Stamm::N,bavik,trung
136,Rinde::N,qaqil,lëvore
137,Ast::N,gulî,degë
138,Zweig::N,şax,bisk
139,Blatt::N,pel,fletë
140,Blatt::N,pel,gjethe
141,Birke::N,dara sipî,mështekën
142,Kiefer[Baum]::N,dara bî,pishë
143,Weide[Baum]::N,dara belalûk,shelg
144,Tanne::N,merx,bredh
145,Horn::N,strô,bri
146,Feder::N,pîrtîk,pupël
147,Fell::N,heyar,lëkurë
148,Flügel::N,per,krah
149,Flügel::N,per,fletë
150,Klaue::N,napîk,kthetër
151,Kralle::N,dinik,thua
152,Kralle::N,dinik,kthetër
153,Kralle::N,dirnax,thua
154,Kralle::N,dirnax,kthetër
155,Schwanz::N,dûv,bisht
156,Ei::N,hêk,vezë
157,Nest::N,hêlîn,fole
158,Bau::N,avahî,strofkë
159,Tier::N,heywan,kafshë
160,Herde::N,hoz,kope
161,Herde::N,hoz,grigjë
162,Kuh::N,çêlek,lopë
163,Bulle::N,ga,dem
164,Pferd::N,hesp,kalë
165,Schaf::N,mîh,dele
166,Schwein::N,beraz,derr
167,Hund::N,seh,qen
168,Katze::N,pişîk,mace
169,Bär::N,hirç,ari
170,Eichhörnchen::N,pilûr,ketër
171,Elch::N,pazkovî,dre brilopatë
172,Fuchs::N,rovî,dhelpër
173,Hase::N,kîroşk,lepur
174,Maus::N,mişk,mi
175,Wolf::N,gur,ujk
176,Vogel::N,çûk,zog
177,Vogel::N,çûk,shpend
178,Schwarm::N,lufik,luzmë
179,Huhn::N,mirîşk,pulë
180,Hahn::N,dîk,gjel
181,Hahn::N,dîk,këndes
182,Gans::N,qaz,patë
183,Adler::N,eylo,shqiponjë
184,Ente::N,werdek,rosë
185,Eule::N,bûm,buf
186,Eule::N,kund,buf
187,Kranich::N,quling,lejlek
188,Kranich::N,quling,kurrillë
189,Krähe::N,qijik,sorrë
190,Kuckuck::N,pepûk,qyqe
191,Schwan::N,qû,mjellmë
192,Fisch::N,masî,peshk
193,Barsch::N,okûn,purtekë
194,Hecht::N,mesîyê lûf,mlysh
195,Schlange[Tier]::N,mar,gjarpër
196,Wurm::N,kurm,krimb
197,Spinne::N,pîrê,marimangë
198,Ameise::N,mîro,thnegël
199,Ameise::N,mîro,milingonë
200,Ameise::N,gêrîk,thnegël
201,Ameise::N,gêrîk,milingonë
202,Laus::N,spi,morr
203,Mücke::N,mêş,kunup
204,Mücke::N,mêş,mushkonjë
205,Fliege::N,mêş,mizë
206,Schmetterling::N,perperîk,flutur
207,Beere::N,hirç,frutë
208,Beere::N,hirç,manaferrë
209,Apfel::N,sêv,mollë
210,Pilz::N,bîrov,kërpudhë
211,Zwiebel::N,pîvaz,qepë
212,Saat::N,tov,farë
213,Korn::N,dexl,grurë
214,Korn::N,dexl,kokërr
215,Heu::N,sap,sanë
216,Schale::N,qaşik,lëkurë
217,Grube::N,çahl,gropë
218,Falle::N,dafik,kurth
219,Falle::N,dafik,grackë
220,Schlinge::N,dahf,nyjë
221,Spur::N,rêç,gjurmë
222,Asche::N,xweli,hi
223,Dreck::N,gemarî,baltë
224,Eisen::N,hesing,hekur
225,Gold::N,zêr,ar
226,Gold::N,zêr,flori
227,Silber::N,zîv,argjend
228,Kohle::N,komir,qymyr
229,Glas::N,qedeh,qelq
230,Lehm::N,kelpîç,argjilë
231,Sand::N,qûm,rërë
232,Mensch::N,mirov,njeri
233,Mann::N,mêr,burrë
234,Mann::N,mêr,mashkull
235,Frau::N,jin,grua
236,Frau::N,jin,femër
237,Kind::N,zarok,kalama
238,Junge::N,kur,djalë
239,Mädchen::N,keç,gocë
240,Mädchen::N,keç,vajzë
241,Mädchen::N,keçik,gocë
242,Mädchen::N,keçik,vajzë
243,Familie::N,malbat,familje
244,Großvater::N,bapîr,gjysh
245,Großmutter::N,pîrik,gjyshe
246,Eltern::N,bavudê,prindër
247,Vater::N,bav,atë
248,Mutter::N,dê,nënë
249,Mutter::N,dayik,nënë
250,Sohn::N,kur,bir
251,Tochter::N,keç,bijë
252,Bruder::N,bira,vëlla
253,Schwester::N,xweh,motër
254,Onkel::N,am,dajë
255,Onkel::N,am,xhaxha
256,Onkel::N,xal,dajë
257,Onkel::N,xal,xhaxha
258,Tante::N,metik,teze
259,Tante::N,metik,hallë
260,Tante::N,xaltîk,teze
261,Tante::N,xaltîk,hallë
262,Ehemann::N,mêr,burrë
263,Ehemann::N,mêr,bashkëshort
264,Ehefrau::N,kulfet,grua
265,Ehefrau::N,kulfet,bashkëshorte
266,Freude::N,kêfxweşî,gaz
267,Freude::N,kêfxweşî,gëzim
268,Gelächter::N,pîrqînî,qeshje
269,Glück::N,bext,lumturi
270,Kummer::N,derd,brengë
271,Kummer::N,derd,pikëllim
272,Wunsch::N,daxwaz,dëshirë
273,Wunsch::N,xwestek,dëshirë
274,Lust::N,şewq,epsh
275,Lust::N,şewq,dashuri
276,Geist::N,aqil,frymë
277,Geist::N,aqil,shpirt
278,Gedanke::N,fikir,ide
279,Gedanke::N,fikir,mendim
280,Gedächtnis::N,aqil,kujtesë
281,Verstand::N,fêm,mend
282,Sinn::N,aqil,kuptim
283,Grund::N,asas,arsye
284,Wahrheit::N,rastî,vërtetë
285,Gespräch::N,guftûgo,bisedim
286,Märchen::N,çirok,përrallë
287,Erzählung::N,çirok,tregim
288,Erzählung::N,vegotin,tregim
289,Nachricht::N,nûçe,lajm
290,Neuigkeit::N,hewal,risi
291,Name::N,nav,emër
292,Name::N,paşnav,emër
293,Rätsel::N,tiştonek,gjëzë
294,Rätsel::N,tiştonek,gjëegjëzë
295,Rede::N,gotar,fjalim
296,Rede::N,axavtin,fjalim
297,Sprache::N,ziman,gjuhë
298,Stimme::N,pejn,zë
299,Wort::N,gotin,fjalë
300,Zeichen::N,şanek,shenjë
301,Ruf::N,hawar,thirrmë
302,Lärm::N,xarbalix,zhurmë
303,Laut::N,deng,tingull
304,Laut::N,hês,tingull
305,Ton::N,awaz,ton
306,Lied::N,sitran,këngë
307,Ruhe::N,rihetî,qetësi
308,Leute::N,xelk,botë
309,Leute::N,xelk,njerëz
310,Volk::N,xelk,popull
311,Arbeit::N,xebat,punë
312,Gast::N,mêvan,mik
313,Gast::N,mêvan,mysafir
314,Geschenk::N,diyarî,dhuratë
315,Geschenk::N,diyarî,peshqesh
316,Spiel::N,lîstik,lojë
317,Gesellschaft::N,komal,shoqëri
318,Hilfe::N,alîkarî,ndihmë
319,Freund::N,heval,mik
320,Kamerad::N,heval,shok
321,Angelegenheit::N,pirsgirêk,punë
322,Anzahl::N,çend,sasi
323,Art::N,çeh,lloj
324,Stück::N,lib,copë
325,Stück::N,parçe,copë
326,Teil::N,parçe,pjesë
327,Hälfte::N,nîvî,gjysmë
328,Kreis::N,çemil,qark
329,Kreis::N,çemil,rreth
330,Kreuz::N,xaç,kryq
331,Linie::N,xezik,vijë
332,Strich::N,xezik,vizë
333,Abstand::N,dûrahî,distancë
334,Entfernung::N,dûrahî,largim
335,Gegend::N,dever,vise
336,Gegend::N,dever,krahinë
337,Platz::N,çih,shesh
338,Ort::N,dever,vend
339,Seite::N,rûpel,anë
340,Mitte::N,nav,mes
341,Mitte::N,nabênê,mes
342,Gegenstand::N,tişt,send
343,Sache::N,tişt,gjë
344,Sache::N,tişt,send
345,Rand::N,kevî,qoshe
346,Kante::N,kevî,teh
347,Ecke::N,qunç,qoshe
348,Spitze::N,derzî,majë
349,Ende::N,talî,skaj
350,Ende::N,talî,bisht
351,Loch::N,qul,vrimë
352,Winkel::N,kurnîşk,kënd
353,Muster::N,desen,mostër
354,Größe::N,mezinî,madhësi
355,Länge::N,dirêjahî,gjatësi
356,Höhe::N,bilindayî,lartësi
357,Gewicht::N,giranî,peshë
358,Menge::N,qas,sasi
359,Haufen::N,lod,grumbull
360,Reihe::N,rêz,radhë
361,Reihe::N,rêz,rresht
362,Boot::N,kelek,barkë
363,Boot::N,kelek,lundër
364,Ruder::N,bêrik,rrem
365,Schlitten::N,xîjik,sajë
366,Ski::N,lakan,ski
367,Lagerfeuer::N,agir,flakadan
368,Lagerfeuer::N,agir,zjarr i madh
369,Last::N,bar,barrë
370,Gang::N,fîtêz,ecje
371,Schritt::N,gav,hap
372,Norden::N,bakur,veri
373,Süden::N,başur,jug
374,Westen::N,rojava,perëndim
375,Osten::N,rojhilat,lindje
376,Holz::N,dep,dru
377,Brett::N,dep,dërrasë
378,Platte::N,dep,pllakë
379,Stütze::N,destek,shtyllë
380,Stütze::N,destek,mbështetesë
381,Stange::N,sing,shufër
382,Stock::N,çam,dajak
383,Stab::N,qat,shkop
384,Rohr::N,borî,tub
385,Haus::N,mal,shtëpi
386,Haus::N,xanî,shtëpi
387,Heim::N,mal,konak
388,Heim::N,mal,shtëpi
389,Ofen::N,sobe,sobë
390,Ofen::N,sobe,stufë
391,Fußboden::N,binpê,dysheme
392,Tisch::N,mase,tryezë
393,Stuhl::N,kursî,karrige
394,Wiege::N,derguş,djep
395,Bett::N,qerewêle,shtrat
396,Regal::N,rêbaz,raft
397,Kiste::N,sindoq,kuti
398,Fenster::N,çam,dritare
399,Fenster::N,şibeke,dritare
400,Tür::N,derî,derë
401,Tor::N,derge,portë
402,Zaun::N,hejik,gardh
403,Dach::N,sere xanî,çati
404,Leiter::N,pêling,shkallë
405,Besen::N,melkes,fshesë
406,Spaten::N,mer,lopatë
407,Schaufel::N,bêr,qyrek
408,Gabel::N,çetel,pirun
409,Löffel::N,kevçî,lugë
410,Messer::N,kêr,thikë
411,Nagel::N,bizmar,gozhdë
412,Netz::N,tor,rrjetë
413,Haken::N,çenqel,grep
414,Haken::N,çenqel,grremç
415,Griff::N,destî,dorak
416,Griff::N,destî,dorezë
417,Schloss::N,qonax,bravë
418,Bild::N,dimen,tablo
419,Bild::N,dimen,pikturë
420,Figur::N,figûr,figurë
421,Puppe::N,bûk,kukull
422,Beutel::N,kîsik,qese
423,Beutel::N,kîsik,trastë
424,Bündel::N,pêçek,deng
425,Tasche::N,bêrîk,çantë
426,Eimer::N,dewl,kovë
427,Deckel::N,devik,kapak
428,Deckel::N,devik,mbulesë
429,Geschirr::N,ferax,enë
430,Sack::N,tûr,thes
431,Sack::N,tûr,torbë
432,Tasse::N,kada,filxhan
433,Topf::N,beroş,kusi
434,Topf::N,beroş,tenxhere
435,Kessel::N,şîril,kazan
436,Essen::N,xwarin,ngrënie
437,Nahrung::N,xwarin,ushqim
438,Speise::N,xwarin,gatesë
439,Fleisch::N,goşt,mish
440,Getreide::N,zad,drithë
441,Brei::N,hewdêl,qull
442,Brot::N,,bukë
443,Scheibe::N,parçe,fetë
444,Fett::N,rûn,lyrë
445,Fett::N,rûn,yndyrë
446,Butter::N,rûn,gjalpë
447,Öl::N,rûn,vaj
448,Salz::N,xwe,kripë
449,Suppe::N,şorbe,supë
450,Suppe::N,şorbe,çorbë
451,Honig::N,hingiv,mjaltë
452,Milch::N,şîr,qumësht
