,Concept_ID,sl,sv
0,Auge::N,okó,öga
1,Ohr::N,uhó,öra
2,Nase::N,nós,näsa
3,Mund::N,ústa,mun
4,Zahn::N,zób,tand
5,Zunge::N,jêzik,tunga
6,Lippe::N,ústnica,läpp
7,Wange::N,líce,kind
8,Gesicht::N,oblíčje,syn
9,Gesicht::N,oblíčje,ansikte
10,Stirn::N,čêlo,panna
11,Haar::N,lás,hår
12,Schnurrbart::N,bŕki,mustasch
13,Bart::N,bráda,skägg
14,Kinn::N,bráda,haka
15,Kiefer[Anatomie]::N,čeljúst,käke
16,Kehle::N,gŕlo,strupe
17,Hals::N,vrát,hals
18,Genick::N,zatílnik,nacke
19,Kopf::N,gláva,huvud
20,Rücken::N,hrbèt,rygg
21,Bauch::N,trébuh,buk
22,Bauch::N,trébuh,mage
23,Nabel::N,pópek,navel
24,Busen::N,nédrja,barm
25,Brust::N,pŕsi,bröst
26,Schulter::N,ráma,skuldra
27,Schulter::N,plêče,skuldra
28,Arm::N,rôka,arm
29,Ellenbogen::N,komólec,armbåge
30,Hand::N,rôka,hand
31,Handfläche::N,dlán,handflata
32,Finger::N,pŕst,finger
33,Fingernagel::N,nóht na rôki,fingernagel
34,Nagel[Anatomie]::N,nóht,nagel
35,Zeh::N,pŕst na nôgi,tå
36,Fuß::N,nôga,fot
37,Ferse::N,pêta,häl
38,Knie::N,koléno,knä
39,Oberschenkel::N,stêgno,lår
40,Bein::N,nôga,ben
41,Körper::N,teló,kropp
42,Haut::N,kóža,hud
43,Haut::N,kóža,skinn
44,Blut::N,krí,blod
45,Ader::N,žíla,åder
46,Sehne::N,kíta,sena
47,Knochen::N,kóst,ben
48,Gehirn::N,možgáni,hjärna
49,Herz::N,srcé,hjärta
50,Magen::N,želódec,mage
51,Leber::N,jétra,lever
52,Atem::N,díh,anda
53,Atem::N,díh,andedräkt
54,Hunger::N,glád,svält
55,Hunger::N,glád,hunger
56,Träne::N,sólza,tår
57,Geschmack::N,okús,smak
58,Geruch::N,vónj,lukt
59,Schlaf::N,sèn,sömn
60,Schlaf::N,spánec,sömn
61,Traum::N,sánje,dröm
62,Himmel::N,nebó,himmel
63,Sonne::N,sónce,sol
64,Mond::N,lúna,måne
65,Mond::N,mésec,måne
66,Stern::N,zvézda,stjärna
67,Luft::N,zràk,luft
68,Wind::N,véter,vind
69,Welle::N,vál,våg
70,Welle::N,vál,bölja
71,Wasser::N,vôda,vatten
72,Stein::N,kámen,sten
73,Boden::N,tlà,mark
74,Erde::N,pŕst,jord
75,Erde::N,zêmlja,jord
76,Staub::N,práh,damm
77,Rauch::N,dìm,rök
78,Funke::N,ískra,gnista
79,Feuer::N,ôgenj,eld
80,Licht::N,lúč,ljus
81,Schatten::N,sénca,skugga
82,Wetter::N,vrême,väder
83,Nebel::N,meglà,dimma
84,Nebel::N,meglà,töcken
85,Wolke::N,oblák,sky
86,Wolke::N,oblák,moln
87,Regen::N,dèž,regn
88,Schnee::N,snég,snö
89,Eis::N,léd,is
90,Frost::N,zmrzál,frost
91,Kälte::N,mràz,köld
92,Hitze::N,pripéka,hetta
93,Raureif::N,ívje,rimfrost
94,Raureif::N,slána,rimfrost
95,Regenbogen::N,mávrica,regnbåge
96,Donner::N,gròm,åska
97,Donner::N,gròm,dunder
98,Strömung::N,strúja,strömning
99,Tropfen::N,káplja,dropper
100,Schaum::N,péna,skum
101,Schmutz::N,nesnága,lort
102,Schmutz::N,nesnága,smuts
103,See::N,jézero,sjö
104,Sumpf::N,močvírje,träsk
105,Moor::N,bárje,myr
106,Moor::N,bárje,mosse
107,Wiese::N,trávnik,äng
108,Wald::N,lés,skog
109,Wald::N,gòzd,skog
110,Hügel::N,brég,höjd
111,Hügel::N,brég,kulle
112,Hügel::N,goríca,höjd
113,Hügel::N,goríca,kulle
114,Anhöhe::N,gríč,höjd
115,Anhöhe::N,gríč,backe
116,Anhöhe::N,višína,höjd
117,Anhöhe::N,višína,backe
118,Berg::N,gôra,berg
119,Berg::N,gôra,fjäll
120,Berg::N,planína,berg
121,Berg::N,planína,fjäll
122,Gipfel::N,vŕh,topp
123,Höhle::N,jáma,håla
124,Höhle::N,jáma,grotta
125,Höhle::N,votlína,håla
126,Höhle::N,votlína,grotta
127,Abhang::N,pobóčje,slänt
128,Abhang::N,pobóčje,sluttning
129,Quelle::N,izvír,källa
130,Bach::N,pôtok,bäck
131,Fluss::N,réka,älv
132,Fluss::N,réka,flod
133,Ufer::N,brég,strand
134,Küste::N,obála,kust
135,Küste::N,obréžje,kust
136,Festland::N,celína,fastland
