,Concept_ID,ba,la
0,Auge::N,күҙ,oculus
1,Ohr::N,ҡолаҡ,auris
2,Nase::N,танау,nasus
3,Mund::N,ауыҙ,os
4,Zahn::N,теш,dens
5,Zunge::N,тел,lingua
6,Lippe::N,ирен,labrum
7,Wange::N,яцаҡтар,gena
8,Gesicht::N,бит,vultus
9,Stirn::N,маңлай,frons
10,Haar::N,сәс,capillus
11,Schnurrbart::N,мылтыҡ,barba labri superioris
12,Bart::N,һаҡал,barba
13,Kinn::N,эйэк,mentum
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,mala
15,Kehle::N,тамаҡ,iugulums
16,Hals::N,муйын,collum
17,Genick::N,соңҡа,cervices
18,Kopf::N,баш,caput
19,Rücken::N,арҡа,tergum
20,Bauch::N,ҡорһаҡ,venter
21,Nabel::N,кендек,umbilicus
22,Busen::N,күкрәк,sinus
23,Brust::N,түш,pectus
24,Schulter::N,яурын,umerus
25,Arm::N,ҡул,bracchium
26,Ellenbogen::N,терһәк,cubitum
27,Hand::N,ҡул,manus
28,Hand::N,ҡул суғы,manus
29,Handfläche::N,ус төбө,palma
30,Finger::N,бармаҡ,digitus
31,Fingernagel::N,тырнаҡ,unguiculus
32,Nagel[Anatomie]::N,тырнаҡ,unguis
33,Zeh::N,бармаҡ,digitus
34,Fuß::N,табан,pes
35,Ferse::N,үксә,calx
36,Knie::N,тубыҡ,genu
37,Oberschenkel::N,сандыр,femur
38,Bein::N,аяҡ,crus
39,Körper::N,тән,corpus
40,Haut::N,тире,cutis
41,Haut::N,тире,pellis
42,Blut::N,ҡан,sanguis
43,Ader::N,тамыр,vena
44,Sehne::N,һеңер,nervus
45,Sehne::N,тарамыш,nervus
46,Knochen::N,һойәк,os
47,Gehirn::N,мейе,cerebrum
48,Herz::N,йорәк,cor
49,Herz::N,йорәк,animus
50,Magen::N,ашҡаҙан,stomachus
51,Leber::N,бауыр,iecur
52,Atem::N,һулыш,spiritus
53,Hunger::N,аслыҡ,fames
54,Träne::N,күҙ иәше,lacrima
55,Geschmack::N,тәм,sapor
56,Geschmack::N,тәм,gustus
57,Geruch::N,еҫ,odor
58,Schlaf::N,йоҡлау,somnus
59,Traum::N,төш,somnium
60,Himmel::N,күк,caelum
61,Sonne::N,ҡояш,sol
62,Mond::N,ай,luna
63,Stern::N,йондоҙ,sidus
64,Stern::N,йондоҙ,stella
65,Luft::N,һауа,aer
66,Wind::N,ел,ventus
67,Welle::N,тулҡын,unda
68,Wasser::N,һыу,aqua
69,Stein::N,таш,lapis
70,Boden::N,тупраҡ,solum
71,Erde::N,балсҡ,terra
72,Staub::N,туҙан,pulvis
73,Rauch::N,төтөн,fumus
74,Funke::N,осҡон,scintilla
75,Feuer::N,ут,ignis
76,Licht::N,яҡтылыҡ,lux
77,Licht::N,яҡтылыҡ,lumen
78,Schatten::N,күләгә,umbra
79,Wetter::N,һауа торошо,caelum
80,Wetter::N,һауа торошо,tempestas
81,Nebel::N,төман,nebula
82,Wolke::N,болот,nubes
83,Regen::N,ямғыр,imber
84,Regen::N,ямғыр,pluvia
85,Schnee::N,ҡар,nix
86,Eis::N,боҙ,glacies
87,Frost::N,һалҡын,gelu
88,Kälte::N,һыуыҡ,frigus
89,Hitze::N,томра,calor
90,Hitze::N,томра,aestus
91,Hitze::N,эҫелек,calor
92,Hitze::N,эҫелек,aestus
93,Raureif::N,ҡырау,pruina
94,Regenbogen::N,йәйғор,arcus
95,Donner::N,күк күкрәү,tonitrus
96,Strömung::N,ағым,fluctus
97,Tropfen::N,тамсы,gutta
98,Schaum::N,күбек,spuma
99,Schmutz::N,батҡаҡ,sordes
100,Schmutz::N,батҡаҡ,squalor
101,See::N,күл,lacus
102,Sumpf::N,һаҙлык,palus
103,Moor::N,һаҙ,palus
104,Wiese::N,болон,pratum
105,Wald::N,урман,silva
106,Hügel::N,түбә,collis
107,Anhöhe::N,түбә,specula
108,Anhöhe::N,ҡалҡыулыҡ,specula
109,Berg::N,тау,mons
110,Gipfel::N,түбә,vertex
111,Höhle::N,мәмерйә,caverna
112,Höhle::N,мәмерйә,spelunca
113,Abhang::N,ипкен,declivum
114,Quelle::N,шишмә,fons
115,Bach::N,шишмә,rivus
116,Fluss::N,йылға,flumen
117,Ufer::N,яр,ripa
118,Küste::N,яр буйы,litus
119,Festland::N,ҡоро ер,continens
120,Meer::N,диңгез,mare
121,Bucht::N,бухта,sinus
122,Insel::N,үтрау,insula
123,Blume::N,сәскә,flos
124,Gras::N,үлән,herba
125,Gras::N,үлән,gramen
126,Wurzel::N,тамыр,radix
127,Baum::N,ағас,arbor
128,Stamm::N,олон,truncus
129,Stamm::N,көбәк,truncus
130,Rinde::N,ҡабыҡ,cortex
131,Ast::N,ботаҡ,ramus
132,Zweig::N,ботаҡ,ramus
133,Zweig::N,тармаҡ,ramus
134,Blatt::N,япраҡ,folium
135,Birke::N,ҡайын,betulla
136,Kiefer[Baum]::N,ҡарғай,pinus
137,Weide[Baum]::N,тал,salix
138,Tanne::N,шыршы,abies
139,Horn::N,мөғөҙ,cornu
140,Feder::N,ҡауырһын,penna
141,Fell::N,тире,pellis
142,Flügel::N,ҡанат,ala
143,Klaue::N,тырнаҡ,unguis
144,Kralle::N,аяҡ,unguis
145,Schwanz::N,ҡойроҡ,cauda
146,Ei::N,йомортҡа,ovum
147,Nest::N,оя,nidus
148,Bau::N,оң,cavum
149,Bau::N,оң,latibulum
150,Tier::N,жайуан,bestia
151,Tier::N,йыртҡыс,bestia
152,Herde::N,көтөү,grex
153,Kuh::N,һыйыр,vacca
154,Bulle::N,үгеҙ,taurus
155,Pferd::N,ат,equus
156,Schaf::N,һарыҡ,ovis
157,Schwein::N,сусҡа,sus
158,Schwein::N,сусҡа,porcus
159,Hund::N,эт,canis
160,Katze::N,бесәй,felis
161,Bär::N,айыу,ursus
162,Eichhörnchen::N,тейен,sciurus
163,Elch::N,мышы,alces
164,Fuchs::N,төлкө,vulpes
165,Hase::N,ҡуян,lepus
166,Maus::N,сысҡан,mus
167,Wolf::N,бүре,lupus
168,Vogel::N,ҡош,avis
169,Schwarm::N,көтөү,examen
170,Huhn::N,тауыҡ,gallina
171,Hahn::N,әтәс,gallus
172,Gans::N,ҡаҙ,anser
173,Adler::N,бөркөт,aquila
174,Ente::N,өйрәк,anas
175,Eule::N,өкө,ulula
176,Eule::N,өкө,noctua
177,Eule::N,ябалаҡ,ulula
178,Eule::N,ябалаҡ,noctua
179,Kranich::N,торна,grus
180,Krähe::N,ҡарға,cornix
181,Kuckuck::N,кәкүк,cuculus
182,Schwan::N,аҡҡош,olor
183,Schwan::N,аҡҡош,cycnus
184,Fisch::N,балыҡ,piscis
185,Barsch::N,алабуға,perca
186,Hecht::N,суртан,esox
187,Schlange[Tier]::N,йылан,serpens
188,Wurm::N,селяүсен,vermis
189,Spinne::N,үрмәксе,aranea
190,Ameise::N,ҡырмыҫҡа,formica
191,Laus::N,бет,pediculus
192,Mücke::N,серәкәй,culex
193,Fliege::N,себен,musca
194,Schmetterling::N,күбәләк,papilio
195,Beere::N,еләк,baca
196,Apfel::N,алма,malum
197,Pilz::N,бәшмәк,fungus
198,Zwiebel::N,һуган,cepa
199,Saat::N,орлоҡ,seges
200,Korn::N,иген,granum
201,Heu::N,бесән,faenum
202,Schale::N,ҡабыҡ,putamen
203,Grube::N,соҡор,fovea
204,Falle::N,тоҙак,pedica
205,Falle::N,ҡапҡан,pedica
206,Schlinge::N,тоҙак,laqueus
207,Spur::N,әҫер,vestigium
208,Asche::N,көл,cinis
209,Dreck::N,батҡаҡ,lutum
210,Eisen::N,тимер,ferrum
211,Gold::N,алтын,aurum
212,Silber::N,көмөш,argentum
213,Kohle::N,күмер,carbo
214,Glas::N,быяла,vitrum
215,Lehm::N,балсыҡ,lutum
216,Sand::N,ҡом,arena
217,Mensch::N,кеше,homo
218,Mann::N,ир,vir
219,Frau::N,ҡатын,mulier
220,Kind::N,бала,puer
221,Kind::N,бала,infans
222,Junge::N,малай,puer
223,Mädchen::N,ҡыҙ,puella
224,Mädchen::N,ҡыҙыҡай,puella
225,Familie::N,ғаилә,familia
226,Großvater::N,олатай,avus
227,Großmutter::N,әбәй,avia
228,Eltern::N,ата-әсә,parentes
229,Vater::N,атай,pater
230,Mutter::N,әсә,mater
231,Sohn::N,ул,filius
232,Tochter::N,ҡыҙ,filia
233,Bruder::N,агай,frater
234,Schwester::N,алай,soror
235,Schwester::N,һеңле,soror
236,Onkel::N,ағай,patruus
237,Onkel::N,ағай,avunculus
238,Tante::N,апай,amita
239,Ehemann::N,ир,maritus
240,Ehefrau::N,ҡатын,uxor
241,Freude::N,шатлыҡ,gaudium
242,Freude::N,шатлыҡ,laetitia
243,Freude::N,ҡыуаныс,gaudium
244,Freude::N,ҡыуаныс,laetitia
245,Gelächter::N,көлөү,risus
246,Glück::N,бәхет,felicitas
247,Kummer::N,ҡайғы,aegritudo
248,Wunsch::N,теләк,voluntas
249,Wunsch::N,теләк,desiderium
250,Lust::N,әүәҫлек,libido
251,Lust::N,әүәҫлек,voluptas
252,Geist::N,аң,mens
253,Geist::N,аң,animus
254,Geist::N,рух,mens
255,Geist::N,рух,animus
256,Gedanke::N,уй,sententia
257,Gedanke::N,фекер,sententia
258,Gedächtnis::N,хәтер,memoria
259,Verstand::N,аҡыл,ratio
260,Verstand::N,аҡыл,ingenium
261,Sinn::N,мәғәня,sensus
262,Grund::N,сәбәп,causa
263,Wahrheit::N,дөрөҫлөк,veritas
264,Gespräch::N,әңгәмә,sermo
265,Märchen::N,әкиәт,fabula
266,Erzählung::N,хикәйә,fabula
267,Erzählung::N,хикәйә,narratio
268,Nachricht::N,хәбәр,nuntius
269,Neuigkeit::N,яңылыҡ,novitas
270,Name::N,исем,nomen
271,Rätsel::N,йомаҡ,aenigma
272,Rede::N,телмәр,oratio
273,Sprache::N,тел,lingua
274,Sprache::N,телмәр,lingua
275,Stimme::N,тауыш,vox
276,Wort::N,һүҙ,verbum
277,Wort::N,һүҙ,vocabulum
278,Zeichen::N,билдә,signum
279,Ruf::N,саҡырыу,clamor
280,Lärm::N,шаулау,strepitus
281,Laut::N,тауыш,sonus
282,Ton::N,яңғырау,sonus
283,Lied::N,йыр,carmen
284,Ruhe::N,ял,quies
285,Ruhe::N,тыныслыҡ,quies
286,Leute::N,кешеләр,homines
287,Volk::N,халҡ,populus
288,Arbeit::N,эш,labor
289,Gast::N,ҡунаҡ,hospes
290,Gast::N,ҡунаҡ,conviva
291,Geschenk::N,бүләк,munus
292,Spiel::N,уйын,ludus
293,Gesellschaft::N,йәмғиәт,societas
294,Hilfe::N,ярҙам,auxilium
295,Hilfe::N,ярҙам,subsidium
296,Freund::N,дуҫ,amicus
297,Kamerad::N,иптәш,socius
298,Angelegenheit::N,әш,res
299,Anzahl::N,һан,numerus
300,Art::N,төр,genus
