,Concept_ID,lt,mhr
0,Auge::N,akis,шинча́
1,Ohr::N,ausis,пы́лыш
2,Nase::N,nosis,нер
3,Mund::N,burna,умша́
4,Zahn::N,dantis,пӱй
5,Zunge::N,liežuvis,йы́лме
6,Lippe::N,lūpa,тӱ́рвӧ
7,Wange::N,žandas,шӱ́ргӧ
8,Wange::N,skruostas,шӱ́ргӧ
9,Gesicht::N,veidas,чури́й
10,Stirn::N,kakta,саҥга́
11,Haar::N,plaukai,ӱп
12,Schnurrbart::N,ūsai,ӧ́рыш
13,Bart::N,barzda,понда́ш
14,Kinn::N,smakras,оҥыла́ш
15,Kiefer[Anatomie]::N,žandikaulis,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,žandikaulis,пӱйората́
17,Kehle::N,gerklė,лога́р
18,Hals::N,kaklas,шӱй
19,Genick::N,sprandas,шӱйло́дыш
20,Kopf::N,galva,вуй
21,Rücken::N,nugara,туп
22,Bauch::N,pilvas,мӱ́шкыр
23,Nabel::N,bamba,кы́лымде
24,Busen::N,krūtinė,чы́зе
25,Brust::N,krūtis,оҥ
26,Schulter::N,petys,ва́че
27,Arm::N,ranka,кид
28,Ellenbogen::N,alkūnė,кынерву́й
29,Hand::N,ranka,кид
30,Hand::N,ranka,копа́
31,Hand::N,plaštaka,кид
32,Hand::N,plaštaka,копа́
33,Handfläche::N,delnas,со́во
34,Handfläche::N,plaštaka,со́во
35,Finger::N,pirštas,парня́
36,Fingernagel::N,nagas,кидкӱ́ч
37,Fingernagel::N,nagas,парнягӱ́ч
38,Nagel[Anatomie]::N,nagas,кӱч
39,Zeh::N,pirštas,йолварня́
40,Fuß::N,pėda,йол
41,Fuß::N,pėda,йолкопа́
42,Ferse::N,kulnas,тага́н
43,Knie::N,kelis,пулву́й
44,Oberschenkel::N,kulšis,э́рде
45,Oberschenkel::N,šlaunis,э́рде
46,Bein::N,koja,йол
47,Körper::N,kūnas,кап
48,Haut::N,oda,кова́ште
49,Blut::N,kraujas,вӱр
50,Ader::N,kraujagyslė,шӧн
51,Sehne::N,sausgyslė,шӧн
52,Sehne::N,sausgyslė,кӱсе́н
53,Knochen::N,kaulas,лу
54,Gehirn::N,smegenys,вем
55,Gehirn::N,smegenys,вуйве́м
56,Herz::N,širdis,шӱм
57,Magen::N,skrandis,пага́р
58,Leber::N,kepenys,мокш
59,Atem::N,kvapas,шӱ́лыш
60,Hunger::N,badas,шужыма́ш
61,Hunger::N,alkis,шужыма́ш
62,Träne::N,ašara,шинчавӱ́д
63,Geschmack::N,skonis,там
64,Geruch::N,kvapas,пуш
65,Schlaf::N,miegas,о́мо
66,Traum::N,sapnas,йӱдо́мо
67,Himmel::N,dangus,кава́
68,Sonne::N,saulė,ке́че
69,Mond::N,mėnulis,ты́лзе
