,Concept_ID,kl,lbe
0,Auge::N,isi,я
1,Ohr::N,siut,вичӏи
2,Mund::N,paaq,кьацӏ
3,Mund::N,qaneq,кьацӏ
4,Zahn::N,kigut,ккарччи
5,Zunge::N,oqaq,маз
6,Lippe::N,qarloq,мурччи
7,Wange::N,ersaq,чӏав
8,Gesicht::N,kiinaq,лажин
9,Stirn::N,qaaq,ненттабакӏ
10,Haar::N,meqqoq,чӏара
11,Bart::N,umik,чӏири
12,Kinn::N,talloq,лунттубакӏ
13,Kiefer[Anatomie]::N,alleroq,ххинчулул
14,Kehle::N,malaq,кьакьари
15,Hals::N,qungaseq,ссурссу
16,Genick::N,pukusuk,махъабакӏ
17,Kopf::N,niaqoq,бакӏ
18,Rücken::N,qimerlut,ттиликӏ
19,Bauch::N,naaq,лякьа
20,Nabel::N,qalaseq,цӏумуккутӏ
21,Busen::N,iviangeq,ккукку
22,Brust::N,iviangeq,хъазам
23,Schulter::N,ersik,хъачӏ
24,Schulter::N,assaqqoq,хъачӏ
25,Arm::N,taleq,ка
26,Ellenbogen::N,ikusik,ссюрхъ
27,Hand::N,assak,бартка
28,Handfläche::N,itumak,хъат
29,Handfläche::N,itumak,битӏянхъ
30,Finger::N,inuak,кӏисса
31,Fingernagel::N,kikiak,михь
32,Nagel[Anatomie]::N,kukik,михь
33,Zeh::N,isigak,кӏисса
34,Ferse::N,kimmik,никъа
35,Knie::N,seeqqoq,ник
36,Oberschenkel::N,uppat,жира
37,Oberschenkel::N,quttoraq,жира
38,Bein::N,isigak,ччан
39,Körper::N,timi,чурх
40,Haut::N,mattak,бурчу
41,Blut::N,aak,оь
42,Ader::N,taqaq,тунну
43,Sehne::N,ujalu,хьхьа
44,Sehne::N,ujaloq,хьхьа
45,Knochen::N,saanikut,ттаркӏ
46,Gehirn::N,qarasaq,ня
47,Herz::N,uummat,дакӏ
48,Herz::N,uummat,къюкӏ
49,Magen::N,aqajaroq,лякьа
50,Leber::N,tinguk,
51,Atem::N,anerneq,ссихӏ ласаву
52,Atem::N,anerneq,ссихӏ бигьаву
53,Hunger::N,kaanneq,ккаши
54,Träne::N,qia,макь
55,Träne::N,qiak,макь
56,Geschmack::N,qilanaartuut,тӏин
57,Geschmack::N,qilanaartuut,тӏааьн
58,Geruch::N,tipi,кьанкь
59,Geruch::N,tipik,кьанкь
60,Traum::N,sinnattoq,макӏру
61,Traum::N,sinnattugaq,макӏру
62,Himmel::N,qilak,ссав
63,Sonne::N,seqineq,баргъ
64,Mond::N,qaammat,барз
65,Stern::N,ulloriaq,цӏуку
66,Luft::N,silaannaq,гьава
67,Wind::N,anori,марч
68,Wind::N,anorsarik,марч
69,Welle::N,aalappaa,щатӏи
70,Wasser::N,imeq,щин
71,Stein::N,ujarak,чару
72,Boden::N,nateq,аьрщи
73,Erde::N,issoq,аьрщи
74,Staub::N,pujualanerit,ххит
75,Staub::N,pujoralanerit,ххит
76,Rauch::N,iseq,пуркӏу
77,Rauch::N,pujoq,пуркӏу
78,Funke::N,illoorneq,пиягь
79,Feuer::N,inneq,цӏу
80,Licht::N,qaamaneq,чани
81,Schatten::N,tarraq,ххют
82,Wetter::N,sila,гьава
83,Nebel::N,pujoq,шархь ттурлу
84,Wolke::N,nuia,ттурлу
85,Regen::N,sialuk,гъарал
86,Schnee::N,aput,марххала
87,Eis::N,siku,микӏ
88,Frost::N,issi,дяркъу
89,Frost::N,issi,замгьар
90,Frost::N,issik,дяркъу
91,Frost::N,issik,замгьар
92,Kälte::N,issi,дяркъу
93,Hitze::N,kianneq,кӏиришиву
94,Hitze::N,kiassuseq,кӏиришиву
95,Raureif::N,kaneq,сил
96,Raureif::N,kaneq,бурса
97,Regenbogen::N,neriusaaq,ссурул ккуртта
98,Donner::N,kalleq,къув
99,Tropfen::N,kuseriarneq,кӏунтӏ
100,Schaum::N,qapuk,хьама
101,Schmutz::N,minguk,кьяркьи
102,See::N,taseq,бяр
103,Sumpf::N,maqulluk,кунцӏа
104,Wiese::N,masarsuk,кьан
105,Hügel::N,qattuneq,бакӏу
106,Hügel::N,majuariaq,бакӏу
107,Hügel::N,majorajaaq,бакӏу
108,Hügel::N,qaqqannguaq,бакӏу
109,Berg::N,qaqqaq,зунтту
110,Höhle::N,qaarusuk,нух
111,Abhang::N,ippik,сун
112,Abhang::N,sivinganeq,сун
113,Abhang::N,sivingajaaq,сун
114,Abhang::N,kussangajaaq,сун
115,Bach::N,kuunnguaq,чӏрир нех
116,Fluss::N,kuuk,нех
117,Ufer::N,sissap sinaa,зума
118,Küste::N,sineriak,зумаинхалу
119,Küste::N,sineriak,зуманицӏалу
120,Meer::N,imaq,хьхьири
121,Bucht::N,ikeq,
122,Bucht::N,kangerluk,
123,Bucht::N,kangerliumaneq,
124,Insel::N,qeqertaq,жазира
125,Blume::N,naasoq,тӏутӏи
126,Gras::N,ivigaq,уртту
127,Wurzel::N,niulutaq,мархха
128,Baum::N,orpik,мурхь
129,Stamm::N,kanaartaq,ттарцӏ
130,Rinde::N,ameraq,ккамара
131,Ast::N,avalequt,матӏи
132,Zweig::N,avalequt,къяртта
133,Blatt::N,pilutaq,чӏапӏи
134,Birke::N,patitsit,кӏялахӏи
135,Birke::N,patitsit,кӏялахӏилул мурхь
136,Weide[Baum]::N,palleq,щавщи
137,Tanne::N,orsuerneq,ттарлил мурхь
138,Horn::N,nassuk,хъи
139,Feder::N,suluk,лелуххул тӏиму
140,Fell::N,ameq,бурчу
141,Flügel::N,suluk,хъа
142,Flügel::N,suluk,ххурупӏайрал тӏиму
143,Flügel::N,isaroq,хъа
144,Flügel::N,isaroq,ххурупӏайрал тӏиму
145,Klaue::N,kukik,михь
146,Kralle::N,kukik,ххяппа
147,Schwanz::N,pamioq,магъ
148,Schwanz::N,paperuusaq,магъ
149,Ei::N,mannik,ккунук
150,Nest::N,ullut,кюру
151,Bau::N,ini,цукъуккутӏ
152,Tier::N,uumasoq,хӏайван
153,Herde::N,unguukkat,газу
154,Kuh::N,ussik,оьл
155,Bulle::N,angukulak,ниц
156,Bulle::N,anguteralak,ниц
157,Bulle::N,angutikulooq,ниц
158,Schaf::N,sava,тта
159,Schwein::N,puuluki,дунгъуз
160,Hund::N,qimmeq,ккаччи
161,Katze::N,puisaaq,ччиту
162,Bär::N,allaq,цуша
163,Eichhörnchen::N,sissinnguaq,бюрхттукку
164,Fuchs::N,terianniaq,цулчӏа
165,Fuchs::N,terianniaq,куча цулчӏа
166,Hase::N,ukaleq,бюрх
167,Maus::N,teriannguaq,кӏулу
168,Wolf::N,amaroq,барцӏ
169,Vogel::N,timmiaq,лелуххи
170,Huhn::N,kukkukooq,аьнакӏи
171,Huhn::N,marloraaqaaq,аьнакӏи
172,Hahn::N,kiasiusaq,ажари
173,Gans::N,nerleq,къаз
174,Adler::N,nattoralik,барзу
175,Eule::N,uppik,ису
176,Eule::N,uppik,ччиккумяв
177,Kranich::N,qorlorfik,кьурукь
178,Krähe::N,tuluatsiaq,хъатӏу
179,Kuckuck::N,kukkooq,ччикку
180,Schwan::N,qussuk,урттил къаз
181,Fisch::N,aalisagaq,чавахъ
182,Schlange[Tier]::N,pulateriarsuk,шатта
183,Schlange[Tier]::N,pulateriaarsuk,шатта
184,Spinne::N,aasiaq,ххялцу
185,Spinne::N,nissavaarsuk,ххялцу
186,Ameise::N,uniaaluk,митӏикьукьу
187,Laus::N,kumak,
188,Mücke::N,ippernaq,мичӏак
189,Fliege::N,ippernaq,зимиз
190,Schmetterling::N,paluaq,чӏимучӏали
191,Schmetterling::N,pakkaluaq,чӏимучӏали
192,Schmetterling::N,utsuppaluaq,чӏимучӏали
193,Schmetterling::N,taqaleqisaaq,чӏимучӏали
194,Beere::N,paarmaq,хӏаллил ахъулсса
195,Beere::N,paarngaq,хӏаллил ахъулсса
196,Apfel::N,iipili,гьивч
197,Pilz::N,anngiusaq,ттуккул иис
198,Zwiebel::N,uanitsoq,лаччул чсмусул бакӏ
199,Saat::N,naatsiiassaq,гьанна
200,Korn::N,maannineq,къама
201,Schale::N,niutsivik,ккиртту
202,Schale::N,ilulissaq qaartussaq,ккиртту
203,Grube::N,itersaq,кӏаланг
204,Falle::N,pualavoq,къатӏа
205,Schlinge::N,orseq,хӏатӏ
206,Schlinge::N,norloq,хӏатӏ
207,Spur::N,tumaa,ша
208,Asche::N,arsat,лах
209,Dreck::N,minguk,кьяркьи
210,Dreck::N,minguk,венп
211,Eisen::N,savimineq,мах
