,Concept_ID,ab,mdf
0,Auge::N,ала,сельме
1,Ohr::N,алымҳа,пиле
2,Nase::N,аҧынҵа,шалхка
3,Mund::N,аҧышə,курга
4,Zahn::N,ахаҧыц,пей
5,Zunge::N,абз,кяль
6,Lippe::N,ақьышə,търва́
7,Wange::N,аӡамҩа,щёка
8,Gesicht::N,аҿы,шама
9,Stirn::N,алахь,коня
10,Haar::N,ахəыц,шя́ярь
11,Schnurrbart::N,аҧаҵа,уса́
12,Bart::N,ажакьа,сакал
13,Kinn::N,ацламкəыгə,ула
14,Kiefer[Anatomie]::N,ацламҳəа,саласка
15,Kehle::N,ахəда,кълдома
16,Kehle::N,ахəда,кърга́парь
17,Hals::N,ахəда,сялдаз
18,Genick::N,ахəдаџьал,шовонь
19,Kopf::N,ахы,пря
20,Rücken::N,азқəа,копорь
21,Bauch::N,амгəа,пеке
22,Nabel::N,аҷапан,по́кон
23,Busen::N,агəыҧҳəы,потя
24,Brust::N,агəышҧы,мяште
25,Schulter::N,ажəҩахыр,лафту
26,Arm::N,амахəар,кядь
27,Ellenbogen::N,амашьхəылҵ,кенерьба́карь
28,Hand::N,анапы,кядь
29,Handfläche::N,анапсаргəыҵа,кядьлапш
30,Finger::N,анацəа,сур
31,Fingernagel::N,анапхыц,кенже
32,Nagel[Anatomie]::N,ашьапхыц,кенже
33,Zeh::N,ашьацəа,пильгосу́р
34,Fuß::N,ашьапсыргəыҵа,пильге
35,Fuß::N,ашьапсыргəыҵа,пильгелапа
36,Ferse::N,ашьхəа,кочкяря
37,Knie::N,ашьамхы,эль
38,Knie::N,ашьамхы,пълма́нжа
39,Oberschenkel::N,ауаҭəа,пильгепукша
40,Bein::N,ашьапы,пильге
41,Körper::N,ацəеижь,ро́нга
42,Körper::N,ацəеижь,по́нда
43,Haut::N,ацəа,киське
44,Blut::N,ашьа,вер
45,Ader::N,ада,сан
46,Ader::N,ада,верза́н
47,Sehne::N,адаш,коське сан
48,Knochen::N,абаҩ,пакарь
49,Gehirn::N,ахшлыбаҩ,уй
50,Gehirn::N,ахшыбаҩ,уй
51,Herz::N,агəы,седи
52,Magen::N,аца,коткърдазь
53,Magen::N,ацар,коткърдазь
54,Leber::N,агəаҵəа,макса
55,Atem::N,аҧсыҧлагаҩгара,лекома
56,Atem::N,аҧсыҧлагаҩгара,ваймонь тарксема
57,Hunger::N,амла,вачеши
58,Träne::N,алабжыш,сельмове́дь
59,Geschmack::N,агьама,таньф
60,Geruch::N,афҩы,шине
61,Schlaf::N,ацəа,удома́
62,Traum::N,аҧхыӡ,он
63,Himmel::N,ажəҩан,менель
64,Sonne::N,амра,ши
65,Mond::N,амза,ков
66,Stern::N,аеҵəа,тяште
67,Luft::N,аҳаир,кожф
68,Wind::N,аҧша,варма
69,Welle::N,ацəқəырҧа,тавла
70,Wasser::N,аӡы,ведь
71,Stein::N,ахаҳə,кев
72,Boden::N,адгьыл,мода
73,Boden::N,адгьыл,потмакс
74,Erde::N,адгьыл,мода
75,Erde::N,адгьыл,мастор
76,Staub::N,асаба,пуль
77,Rauch::N,алҩа,качам
78,Funke::N,акəиц,ця́тка
79,Funke::N,ацҧхь,ця́тка
80,Feuer::N,амца,тол
81,Licht::N,алашара,ва́лда
82,Schatten::N,ашəшьыра,цильф
83,Wetter::N,амш,уша
84,Nebel::N,анаҟəа,тума́н
85,Wolke::N,аҧсҭҳəа,ковол
86,Regen::N,ақəа,пизем
87,Schnee::N,асы,лов
88,Eis::N,аҵаа,эй
89,Frost::N,аҵаа,ке́льме
90,Kälte::N,ахьҭа,якшама
91,Hitze::N,ашоура,пси
92,Raureif::N,аҵааҧшқа,леш
93,Regenbogen::N,ацəаҟəа,а́тямъёнга
94,Donner::N,адыд,атям
95,Strömung::N,аиасра,шудема́
96,Strömung::N,амҩасра,шудема́
97,Tropfen::N,ацəыкəбар,путькс
98,Tropfen::N,ацəыкəбар,пътняфкс
99,Schaum::N,ашəах,шов
100,Schmutz::N,алымт,ърда́з
101,See::N,аӡиа,эрьхке
102,Sumpf::N,аӡмах,шяй
103,Wiese::N,адəы,луга
104,Wald::N,абна,вирь
105,Hügel::N,ахəы,губо́р
106,Hügel::N,ахəы,пандоня
107,Anhöhe::N,аҳаракыра,губо́р
108,Berg::N,ашьха,панда
109,Gipfel::N,ацəқəа,пря
110,Höhle::N,аҳаҧы,у́нда
111,Abhang::N,анаара,па́нда ша́ма
112,Quelle::N,аҵҵырҭа,эшиня
113,Bach::N,акəараҷҷа,шудерькс
114,Fluss::N,аӡиас,ляй
115,Ufer::N,ахықə,търва́
116,Küste::N,ахықə,ляйтърва́
117,Festland::N,абарра,мода
118,Meer::N,амшын,моря
119,Bucht::N,аӡбжьахала,ведьуське
120,Insel::N,адгьылбжьаха,цёнга
121,Blume::N,ашəҭ,панчф
122,Gras::N,аҳасакьын,тише
123,Wurzel::N,адац,юр
124,Wurzel::N,адац,ункс
125,Baum::N,аҵла,шуфта
126,Stamm::N,ашьапы,ро́нга
127,Rinde::N,ацəа,кер
128,Ast::N,амахə,морга
129,Ast::N,амахəҭа,морга
130,Zweig::N,амахə,тарад
131,Zweig::N,амахəҭа,тарад
132,Blatt::N,абҕьы,лопа
133,Birke::N,аҵааҵла,ке́лу
134,Kiefer[Baum]::N,амза,пиче
135,Weide[Baum]::N,аҧслыш,каль
136,Tanne::N,аҧсаӡ,куз
137,Horn::N,атəыҩа,сюра
138,Feder::N,ахӡы,толга
139,Fell::N,ацəа,кедь
140,Flügel::N,амҵəыжəа,паця
141,Klaue::N,ашьапхыц,кенже
142,Schwanz::N,аҵыхəа,пула
143,Ei::N,акəтаӷь,ал
144,Nest::N,аҭра,пиза
145,Nest::N,аҵысҭра,пиза
146,Bau::N,аҭыҩра,пиза
147,Tier::N,аҧстəы,жува́та
148,Tier::N,агыгшəыг,жува́та
149,Herde::N,агəарҭа,нал
150,Herde::N,агəарҭа,стада
151,Kuh::N,ажə,скал
152,Kuh::N,ажə,тракс
153,Bulle::N,ацə,бука
154,Pferd::N,аҽы,лишме
155,Schaf::N,ауаса,уча́
156,Schwein::N,аҳəа,тува
157,Hund::N,ала,пине
158,Katze::N,ацгəы,катоня
159,Katze::N,ацгəы,аваката
160,Bär::N,амшə,офта
161,Eichhörnchen::N,аеш,ур
162,Elch::N,аҽаҩа,ся́рда
163,Fuchs::N,абгахəыҷы,келазь
164,Hase::N,ажьа,ну́мол
165,Maus::N,аҳəынаҧ,шеер
166,Wolf::N,абгаду,върьгаз
167,Vogel::N,аҧсаатə,нармонь
168,Huhn::N,акəты,сараз
169,Hahn::N,арбаҕь,а́тякш
170,Gans::N,аҟыз,маци
171,Adler::N,ауарба,куцькан
172,Ente::N,акəата,яксярга
173,Eule::N,аты,ко́рож
174,Kranich::N,апҟа,ка́рга
175,Krähe::N,аҟəараан,ва́рси
176,Kuckuck::N,акəыкəу,ку́ку
177,Schwan::N,агьад,ло́ксти
178,Fisch::N,аҧсыӡ,кал
179,Barsch::N,ацəыбла,о́кунь
180,Hecht::N,ахиаала,щу́ка
181,Schlange[Tier]::N,амаҭ,куй
182,Wurm::N,ахəа,сукс
183,Wurm::N,ахəац,сукс
184,Spinne::N,абызкаҭаҳа,унжа́
185,Ameise::N,ашышкамс,панжам
186,Laus::N,аҵа,си
187,Mücke::N,акəыбры,ся́ське
188,Fliege::N,амҵ,кару
189,Schmetterling::N,аҧарҧалыкь,ме́лав
190,Beere::N,аргуц,и́мож
191,Apfel::N,аҵəа,марь
192,Pilz::N,акəкəбаа,панга
193,Zwiebel::N,аџьымшьы,шурьхкя́
194,Zwiebel::N,аџьымшьхы,шурьхкя́
195,Saat::N,ажəла,видьмот
196,Korn::N,арыц,сёра
197,Heu::N,аҭəа,тише
198,Schale::N,ацəа,кедь
199,Grube::N,ажра,лотка
200,Grube::N,атыша,лотка
201,Falle::N,арыҧҟьа,туфкс
202,Falle::N,арыҧҟьа,кунда́ма
203,Schlinge::N,аҟəараҟəантə,килькш
204,Spur::N,ашьҭа,пильгоки́
205,Asche::N,ахəа,кулу
206,Dreck::N,аҳəынҵəа,ърда́з
207,Dreck::N,аҟьамсар,ърда́з
208,Eisen::N,аиха,кшни
209,Gold::N,ахьы,ока
210,Gold::N,ахьы,золота
211,Silber::N,аразны,сия́
212,Kohle::N,арацəа,седь
213,Kohle::N,арацəа,седьвальмя
214,Glas::N,асаркьа,кля́нцек
215,Lehm::N,анышəаҧшь,сёвонь
216,Sand::N,аҧслымӡ,шува́р
217,Mensch::N,ауаҩы,ломань
218,Mann::N,ахаҵа,аля
219,Mann::N,ахаҵа,цёраломань
220,Frau::N,аҧҳəыс,ава
221,Kind::N,ахəыҷы,идь
222,Kind::N,ахəыҷы,шаба
223,Junge::N,аҷкəын,цёраня
224,Junge::N,ахаҵарҧыс,цёраня
225,Mädchen::N,аӡӷаб,стирня́
226,Familie::N,аҭаацəа,тнал
227,Familie::N,аҭаацəа,семья
228,Großvater::N,абду,атя
229,Großvater::N,абду,щя́тя
230,Großmutter::N,анду,баба
231,Eltern::N,ани аби,тя́дят-а́лят
232,Vater::N,аб,аля
233,Mutter::N,ан,ава
234,Mutter::N,ан,тядя
235,Sohn::N,аҧа,цёра
236,Tochter::N,аҧҳа,стирь
237,Bruder::N,аиашьа,дуган
238,Bruder::N,аиашьа,пяльне
239,Schwester::N,Аҳəшьа,ака
240,Schwester::N,Аҳəшьа,сазор
241,Onkel::N,абиашьа,оця
242,Onkel::N,абиашьа,патя
243,Onkel::N,абиашьа,щеня́
244,Onkel::N,аншьа,оця
245,Onkel::N,аншьа,патя
246,Onkel::N,аншьа,щеня́
247,Tante::N,абиаҳəшьа,ака
248,Tante::N,абиаҳəшьа,щака
249,Ehemann::N,ахаҵа,мирде
250,Ehemann::N,аҧшəма,мирде
251,Ehefrau::N,аҧҳəыс,ърьвя́
252,Freude::N,агəырӷьара,ке́нярдема
253,Gelächter::N,ачча,рахсема
254,Gelächter::N,аччара,рахсема
255,Glück::N,аразҟы,паваз
256,Kummer::N,агəырҩа,ризф
257,Kummer::N,агəырҩа,пичефкс
258,Wunsch::N,агəхəтəы,мяль
259,Wunsch::N,агəхəтəы,таколдома
260,Wunsch::N,аҭахра,мяль
261,Wunsch::N,аҭахра,таколдома
262,Lust::N,агəазыҳəара,таколдома
263,Geist::N,аҧсы,вайме
264,Gedanke::N,ахəыцырҭа,мяль
265,Gedächtnis::N,агəынкылара,прявий
266,Verstand::N,ахшыҩ,прявий
267,Sinn::N,аҵакы,ён
268,Grund::N,амзыз,туфта́л
269,Wahrheit::N,аиаша,ви́де
270,Wahrheit::N,аиаша,видеши́
271,Gespräch::N,аиҿцәажәара,корхтама
272,Märchen::N,алакə,ёфкс
273,Erzählung::N,ажәабжь,азкс
274,Nachricht::N,адырраҭара,куля́
275,Neuigkeit::N,ажәабжь ҿыц,куля́
276,Name::N,ахьӡ,лем
277,Rätsel::N,ацуфара,со́дама ёфкс
278,Rede::N,ажәа,вал
279,Rede::N,ажәа,корхтама
280,Sprache::N,абызшəа,кяль
281,Stimme::N,абжьы,вайгяль
282,Wort::N,ажәа,вал
283,Zeichen::N,адырга,тя́ште
284,Zeichen::N,адырга,тя́штькс
285,Ruf::N,аҿҭы,тердема
286,Lärm::N,ашьҭыбжь,гайф
287,Lärm::N,ашьҭыбжь,жалакодома
288,Laut::N,ашьҭыбжь,вайгяль
289,Ton::N,атон,вайгяль
290,Lied::N,ашəа,мора
291,Ruhe::N,аҭынчра,сетьме
292,Leute::N,ауаа,ломатть
293,Volk::N,ажəлар,наро́д
294,Arbeit::N,аусура,тев
295,Gast::N,асас,и́нжи
296,Gast::N,асас,ко́нак
297,Geschenk::N,аҳамҭа,казне
298,Geschenk::N,аҿанҵа,казне
299,Spiel::N,ахəмарра,налхкома
300,Spiel::N,ахəмарра,налхксема
301,Gesellschaft::N,агəыҧ,кружок
302,Hilfe::N,ацхыраара,лездома
303,Freund::N,аҩыза,я́лга
304,Kamerad::N,Аҧхнагьла,я́лга
305,Angelegenheit::N,аус,тев
306,Anzahl::N,ахыҧхьаӡара,лувкс
307,Art::N,ахкы,вид
308,Stück::N,аҽыҭ,пакш
309,Teil::N,ахəҭа,часть
310,Teil::N,ахəҭа,пялькс
311,Hälfte::N,абжа,пяле
312,Kreis::N,агьагьа,шаркс
313,Kreuz::N,аџьар,крёз
314,Linie::N,аицтәар,межа
315,Linie::N,аицтәар,китькс
316,Strich::N,ацəаҳəа,межа
317,Abstand::N,абжьара,ётка
318,Entfernung::N,абжьара,ётка
319,Gegend::N,аҭыҧ,ва́ста
320,Gegend::N,аҭыҧ,перьфпя́ль
321,Platz::N,аҭыҧ,ва́ста
322,Ort::N,аҭыҧ,ва́ста
323,Seite::N,аган,пяле
324,Mitte::N,агəҭа,кучка́
325,Gegenstand::N,амаҭəар,веща
326,Rand::N,аҵкар,пе
327,Kante::N,авардым,и́рдез
328,Ecke::N,акəакь,ужа
329,Spitze::N,аҧынҵа,пря
330,Ende::N,анаӡара,пе
331,Loch::N,акылҵəара,варя
332,Winkel::N,агҿаҩра,ужа
333,Winkel::N,акəындхə,ужа
334,Winkel::N,акəакь,ужа
335,Muster::N,аҟҟа,сёрма
336,Größe::N,изаҟароу,серь
337,Länge::N,аура,кува́лма
338,Höhe::N,агылара,серь
339,Gewicht::N,акапан,сталма
340,Haufen::N,ачаҟəа,мар
341,Reihe::N,ацəаҳəа,ряд
342,Boot::N,анышь,венеж
343,Ruder::N,ажəҩа,миле
344,Schlitten::N,ашəаҩауардын,ну́рда
345,Ski::N,ашəаҩа,сокс
346,Ski::N,ашьахаха,сокс
347,Lagerfeuer::N,еиқуу амца,то́лмар
348,Last::N,ахьанҭара,канкс
349,Last::N,ахьанҭара,сталма
350,Gang::N,аныҟəара,молема
351,Schritt::N,ашьаҿа,аськолкс
352,Norden::N,аҩада,якшама шире
353,Süden::N,алада,ля́мбе ши́ре
354,Westen::N,амраҭашəара,ши валгома шире
355,Osten::N,амрагылара,шинь стяма шире
356,Holz::N,амҿымаҭəахə,вирь
357,Holz::N,амҿымаҭəахə,шуфта
358,Brett::N,аӷəы,лавця
359,Platte::N,ахаҳәцәы,плита́
360,Stütze::N,аҵаргəа,неже
361,Stütze::N,агəышьаҟа,неже
362,Stange::N,акьат,олга
363,Stock::N,алаба,байдек
364,Stab::N,акьат,олгоня
365,Rohr::N,абыкь,турама
366,Haus::N,аҩны,куд
367,Heim::N,аҭаацəа,куд
368,Ofen::N,аҳақə,пянакуд
369,Ofen::N,ауаџьаҟ,пянакуд
370,Ofen::N,афрына,пянакуд
371,Fußboden::N,адашьма,кия́кс
372,Tisch::N,аишәа,шра
373,Tisch::N,аишәа,моркш
374,Stuhl::N,аҟəардə,стул
375,Wiege::N,агара,нюря́м
376,Bett::N,акаруаҭ,ацам
377,Regal::N,акыӷəра,лавцяланга
378,Kiste::N,аидчаҧала,парга
379,Fenster::N,аҧенџьыр,валмья
380,Tür::N,ашə,кенкш
381,Tor::N,агəашə,ортат
382,Zaun::N,аанда,перяфкс
383,Dach::N,ахыб,кудпря
384,Leiter::N,амардуан,куцема
385,Besen::N,аҧссага,тяльме
386,Spaten::N,ажыга,ка́йме
387,Schaufel::N,аҭəарӷəы,ко́поня
388,Schaufel::N,аҭəарӷəы,ця́рдом
389,Gabel::N,ачқьыҧ,ця́нгоня
390,Löffel::N,амҳаҵə,куцю
391,Messer::N,аҳəызба,пеель
392,Nagel::N,аҵəымӷ,эска
393,Netz::N,акаҭа,
394,Haken::N,аҵəаҳə,кя́чказ
395,Griff::N,амаа,недь
396,Griff::N,амаа,кунда́мка
397,Schloss::N,асаҧаҭ,замо́к
398,Bild::N,асахьа,карти́на
399,Figur::N,афигура,ронга-понда
400,Puppe::N,акьанџьа,ня́ка
401,Beutel::N,асакь,кяскав
402,Bündel::N,аҿаҳəара,кярьме
403,Tasche::N,арҭмаҟ,кошяльня
404,Eimer::N,аведра,ве́дарка
405,Deckel::N,ахҩа,тавадкс
406,Deckel::N,ахҩа,вельхкс
407,Geschirr::N,ачысмаҭəа,кядьге
408,Sack::N,асакь,кяскав
409,Tasse::N,аҵəца,ша́ваня
410,Topf::N,акаструлиа,кавозь
411,Kessel::N,ачуан,сргавозь
412,Nahrung::N,афатə,ярхцампяль
413,Speise::N,афатə,ярхцама
414,Fleisch::N,акəац,пал
415,Fleisch::N,акəац,сиволь
416,Getreide::N,ачакуа,сёра
417,Brei::N,ақашь,ям
418,Brot::N,ача,кши
419,Scheibe::N,аҽыҭ,кочам
420,Scheibe::N,аҿаҵа,кочам
421,Fett::N,ашша,куя́
422,Butter::N,ахəша,вай
423,Öl::N,азеҭ,вай
424,Salz::N,аџьыка,сал
425,Suppe::N,асуҧ,шонгарям
426,Suppe::N,асуҧ,коршампяль
427,Honig::N,ацха,медь
428,Milch::N,ахш,лофца
429,Tee::N,ачаи,чай
430,Leder::N,ацəа,кедь
431,Wolle::N,аласа,пона
432,Stoff::N,Аба,котф
433,Nadel::N,агəыр,салмокс
434,Faden::N,арахəыц,сюре
435,Knopf::N,аҳəынҵəра,пуня
436,Knoten::N,аиқəҳəала,сюлма
437,Farbe::N,ашəыга,архтомбяль
438,Kleidung::N,амаҭəа,щам
439,Hemd::N,акьаҿ,па́нар
440,Kragen::N,ахəда,сиве
441,Ärmel::N,амаӷра,ожа
442,Hose::N,аиқəа,понкст
443,Gürtel::N,амаҟа,каркс
444,Mütze::N,ахылҧа,вазь
445,Schuh::N,аимаа,башма́к
446,Stiefel::N,амагə,кя́ме
447,Ring::N,амацəаз,суркс
