,Concept_ID,sk,pl
0,Auge::N,oko,oko
1,Ohr::N,ucho,ucho
2,Nase::N,nos,nos
3,Mund::N,ústa,usta
4,Zahn::N,zub,ząb
5,Zunge::N,jazyk,język
6,Lippe::N,pera,warga
7,Wange::N,líce,policzek
8,Gesicht::N,tvár,twarz
9,Gesicht::N,obličaj,twarz
10,Stirn::N,čelo,czoło
11,Haar::N,vlas,włos
12,Haar::N,vlas,włosy
13,Schnurrbart::N,fúzy,wąsy
14,Bart::N,brada,broda
15,Kinn::N,brada,podbródek
16,Kiefer[Anatomie]::N,čeľusť,czeluść
17,Kehle::N,hrdlo,gardło
18,Hals::N,krk,szyja
19,Genick::N,väzy,kark
20,Kopf::N,hlava,głowa
21,Rücken::N,chrbát,plecy
22,Rücken::N,chrbát,grzbiet
23,Bauch::N,brucho,brzuch
24,Nabel::N,pupok,pępek
25,Busen::N,prsia,biust
26,Brust::N,hruď,pierś
27,Schulter::N,plece,bark
28,Schulter::N,plece,ramię
29,Arm::N,rameno,ręka
30,Arm::N,rameno,ramię
31,Ellenbogen::N,lakeť,łokieć
32,Hand::N,ruka,dłoń
33,Handfläche::N,dlaň,dłoń
34,Finger::N,prst,palec
35,Fingernagel::N,necht,paznokieć
36,Nagel[Anatomie]::N,necht,paznokieć
37,Zeh::N,prst na nohe,palec
38,Fuß::N,noha,stopa
39,Ferse::N,päta,pięta
40,Knie::N,koleno,kolano
41,Oberschenkel::N,stehno,udo
42,Bein::N,noha,noga
43,Körper::N,telo,ciało
44,Haut::N,koža,skóra
45,Blut::N,krv,krew
46,Ader::N,žila,żyła
47,Sehne::N,šľacha,ścięgno
48,Knochen::N,kosť,kość
49,Gehirn::N,mozog,mózg
50,Herz::N,srdce,serce
51,Magen::N,žalúdok,żołądek
52,Leber::N,pečeň,wątroba
53,Atem::N,dych,dech
54,Atem::N,dych,oddech
55,Hunger::N,hlad,głód
56,Träne::N,slza,łza
57,Geschmack::N,chuť,smak
58,Geruch::N,pach,woń
59,Geruch::N,pach,zapach
60,Schlaf::N,spánok,sen
61,Traum::N,sen,sen
62,Himmel::N,nebo,niebo
63,Sonne::N,slnko,słońce
64,Mond::N,mesiac,księżyc
65,Stern::N,hviezda,gwiazda
66,Luft::N,vzduch,powietrze
67,Wind::N,vietor,wiatr
68,Welle::N,vlna,fala
69,Wasser::N,voda,woda
70,Stein::N,kameň,kamień
71,Boden::N,zem,grunt
72,Boden::N,pôda,grunt
73,Erde::N,zem,ziemia
74,Staub::N,prach,pył
75,Staub::N,prach,kurz
76,Rauch::N,dym,dym
77,Funke::N,iskra,iskra
78,Feuer::N,oheň,ogień
79,Licht::N,svetlo,światło
80,Schatten::N,tieň,cień
81,Wetter::N,počasie,pogoda
82,Nebel::N,hmla,mgła
83,Wolke::N,oblak,obłok
84,Wolke::N,oblak,chmura
85,Wolke::N,mračno,obłok
86,Wolke::N,mračno,chmura
87,Regen::N,dážď,deszcz
88,Schnee::N,sneh,śnieg
89,Eis::N,ľad,lód
90,Frost::N,mráz,mróz
91,Kälte::N,zima,chłód
92,Kälte::N,chlad,chłód
93,Hitze::N,horúčava,gorąco
94,Raureif::N,srieň,szron
95,Raureif::N,inovať,szron
96,Regenbogen::N,dúha,tęcza
97,Donner::N,hrom,grzmot
98,Strömung::N,prúdenie,nurt
99,Tropfen::N,kvapka,kropla
100,Schaum::N,pena,piana
101,Schmutz::N,špina,brud
102,Schmutz::N,nečistota,brud
103,See::N,jazero,jezioro
104,Sumpf::N,bahno,bagno
105,Moor::N,močiar,bagno
106,Wiese::N,lúka,łąka
107,Wald::N,les,las
108,Wald::N,hora,las
109,Hügel::N,vŕšok,pagórek
110,Anhöhe::N,výšina,wzgórze
111,Anhöhe::N,vyvýšenina,wzgórze
112,Berg::N,hora,góra
113,Gipfel::N,vrchol,szczyt
114,Gipfel::N,vrchol,wierzchołek
115,Höhle::N,jaskyňa,pieczara
116,Abhang::N,úbočie,stok
117,Abhang::N,úbočie,zbocze
118,Quelle::N,prameň,zdrój
119,Quelle::N,prameň,źródło
120,Bach::N,potok,potok
121,Bach::N,potok,strumień
122,Fluss::N,rieka,rzeka
123,Ufer::N,breh,brzeg
124,Küste::N,pobrežie,wybrzeże
125,Festland::N,pevnina,ląd
126,Meer::N,more,morze
127,Bucht::N,záliv,zatoka
128,Bucht::N,zátoka,zatoka
129,Insel::N,ostrov,wyspa
130,Blume::N,kvet,kwiat
131,Blume::N,kvetina,kwiat
132,Gras::N,tráva,trawa
133,Wurzel::N,koreň,korzeń
134,Baum::N,strom,drzewo
135,Stamm::N,kmeň,pień
136,Rinde::N,kôra,kora
137,Ast::N,konár,gałąź
138,Zweig::N,vetva,gałąź
139,Blatt::N,list,liść
140,Birke::N,breza,brzoza
141,Kiefer[Baum]::N,sosna,sosna
142,Kiefer[Baum]::N,borovica,sosna
143,Weide[Baum]::N,vŕba,wierzba
144,Tanne::N,jedľa,jodła
145,Horn::N,roh,róg
146,Feder::N,pero,pióro
147,Fell::N,koža,futro
148,Fell::N,kožušina,futro
149,Flügel::N,krídlo,skrzydło
150,Klaue::N,paznecht,szpon
151,Kralle::N,pazúr,pazur
152,Schwanz::N,chvost,ogon
153,Ei::N,vajce,jajko
154,Ei::N,vajíčko,jajko
155,Nest::N,hniezdo,gniazdo
156,Bau::N,nora,nora
157,Tier::N,zviera,zwierzę
158,Herde::N,stádo,stado
159,Herde::N,stádo,trzoda
160,Kuh::N,krava,krowa
161,Bulle::N,býk,byk
162,Pferd::N,kôň,koń
163,Schaf::N,ovca,owca
164,Schwein::N,sviňa,świnia
165,Hund::N,pes,pies
166,Katze::N,mačka,kot
167,Katze::N,mačka,kotka
168,Bär::N,medveď,niedźwiedż
169,Eichhörnchen::N,veverička,wiewiórka
170,Elch::N,los,łóś
171,Fuchs::N,líška,lis
172,Hase::N,zajac,zając
173,Maus::N,myš,mysz
174,Wolf::N,vlk,wilk
175,Vogel::N,vták,ptak
176,Schwarm::N,roj,stado
177,Huhn::N,kurča,kura
178,Huhn::N,sliepka,kura
179,Hahn::N,kohút,kogut
180,Gans::N,hus,gęś
181,Adler::N,orol,orzeł
182,Ente::N,kačka,kaczka
183,Ente::N,kačica,kaczka
184,Eule::N,sova,sowa
185,Kranich::N,žeriav,żuraw
186,Krähe::N,vrana,wrona
187,Kuckuck::N,kukučka,kukułka
188,Schwan::N,labuť,łabędż
189,Fisch::N,ryba,ryba
190,Barsch::N,ostriež,okoń
191,Hecht::N,šťuka,szczupak
192,Schlange[Tier]::N,had,wąż
193,Schlange[Tier]::N,had,żmija
194,Wurm::N,červ,robak
195,Spinne::N,pavúk,pająk
196,Ameise::N,mravec,mrówka
