,Concept_ID,sl,sah
0,Auge::N,okó,харах
1,Ohr::N,uhó,кулгаах
2,Nase::N,nós,мурун
3,Mund::N,ústa,айах
4,Zahn::N,zób,тиис
5,Zunge::N,jêzik,тыл
6,Lippe::N,ústnica,уос
7,Wange::N,líce,иэдэс
8,Gesicht::N,oblíčje,сирэй
9,Stirn::N,čêlo,сүүс
10,Haar::N,lás,баттах
11,Schnurrbart::N,bŕki,уос бытыга
12,Bart::N,bráda,сэҥийэ бытыга
13,Kinn::N,bráda,сэҥийэ
14,Kiefer[Anatomie]::N,čeljúst,сыҥаах
15,Kehle::N,gŕlo,тамах
16,Kehle::N,gŕlo,күөмэй
17,Hals::N,vrát,моой
18,Genick::N,zatílnik,кэтэх
19,Kopf::N,gláva,бас
20,Rücken::N,hrbèt,көҕүс
21,Bauch::N,trébuh,ис
22,Nabel::N,pópek,киин
23,Busen::N,nédrja,эмиий
24,Brust::N,pŕsi,түөс
25,Schulter::N,ráma,сарын
26,Schulter::N,plêče,сарын
27,Arm::N,rôka,илии
28,Ellenbogen::N,komólec,тоҕонох
29,Hand::N,rôka,илии
30,Handfläche::N,dlán,ытыс
31,Finger::N,pŕst,тарбах
32,Fingernagel::N,nóht na rôki,тыҥырах
33,Nagel[Anatomie]::N,nóht,тыҥырах
34,Zeh::N,pŕst na nôgi,тарбах
35,Fuß::N,nôga,уллуҥах
36,Ferse::N,pêta,тилэх
37,Knie::N,koléno,тобук
38,Knie::N,koléno,дьилбэк
39,Oberschenkel::N,stêgno,уллук
40,Oberschenkel::N,stêgno,өттүк
41,Bein::N,nôga,атах
42,Körper::N,teló,бэйэ
43,Haut::N,kóža,тирии
44,Blut::N,krí,хаан
45,Ader::N,žíla,вена
46,Ader::N,žíla,күөх_тымыр
47,Sehne::N,kíta,иҥиир
48,Knochen::N,kóst,уҥуох
49,Knochen::N,kóst,уҥгуох
50,Gehirn::N,možgáni,мэйии
51,Herz::N,srcé,сүрэх
52,Magen::N,želódec,куртах
53,Leber::N,jétra,быар
54,Atem::N,díh,тыын
55,Hunger::N,glád,аас
56,Träne::N,sólza,харах уута
57,Geschmack::N,okús,амтан
58,Geruch::N,vónj,сыт
59,Schlaf::N,sèn,утуйуу
60,Schlaf::N,spánec,утуйуу
61,Traum::N,sánje,түүл
62,Himmel::N,nebó,халлаан
63,Sonne::N,sónce,күн
64,Mond::N,lúna,ый
65,Mond::N,mésec,ый
66,Stern::N,zvézda,сулус
67,Luft::N,zràk,салгын
68,Wind::N,véter,тыал
69,Welle::N,vál,долгун
70,Welle::N,vál,балхаан
71,Wasser::N,vôda,уу
72,Stein::N,kámen,таас
73,Boden::N,tlà,сир
74,Erde::N,pŕst,буор
75,Erde::N,zêmlja,буор
76,Staub::N,práh,быыл
77,Rauch::N,dìm,буруо
78,Funke::N,ískra,кыым
79,Feuer::N,ôgenj,уот
80,Licht::N,lúč,уот
81,Schatten::N,sénca,күлүк
82,Wetter::N,vrême,күн-дьыл
83,Nebel::N,meglà,туман
84,Wolke::N,oblák,былыт
85,Regen::N,dèž,самыыр
86,Schnee::N,snég,хаар
87,Eis::N,léd,муус
88,Frost::N,zmrzál,тымныы
89,Kälte::N,mràz,тымныы
90,Hitze::N,pripéka,куйаас
91,Raureif::N,ívje,кырыа
92,Raureif::N,slána,кырыа
93,Regenbogen::N,mávrica,кустук
94,Donner::N,gròm,этиҥ
95,Strömung::N,strúja,сүүрүк
96,Tropfen::N,káplja,таммах
97,Tropfen::N,káplja,хааппыла
98,Schaum::N,péna,күүгэн
99,Schmutz::N,nesnága,кир
100,See::N,jézero,күөл
101,Sumpf::N,močvírje,бадараан
102,Moor::N,bárje,дьэбэрэ
103,Wiese::N,trávnik,ходуһа
104,Wald::N,lés,ойуур
105,Wald::N,gòzd,ойуур
106,Hügel::N,brég,булгунньах
107,Hügel::N,goríca,булгунньах
108,Anhöhe::N,gríč,үрдэл
109,Anhöhe::N,višína,үрдэл
110,Berg::N,gôra,хайа
111,Berg::N,planína,хайа
112,Gipfel::N,vŕh,чыпчаал
113,Höhle::N,jáma,хайа_хаспаҕа
114,Höhle::N,jáma,көҥүс
115,Höhle::N,votlína,хайа_хаспаҕа
116,Höhle::N,votlína,көҥүс
117,Abhang::N,pobóčje,эниэ
118,Quelle::N,izvír,дьүүктэ
119,Bach::N,pôtok,үрүйэ
120,Fluss::N,réka,өрүс
121,Ufer::N,brég,биэрэк
122,Küste::N,obála,кытыл
123,Küste::N,obréžje,кытыл
124,Festland::N,celína,кураанах сир
125,Festland::N,kopnína,кураанах сир
126,Meer::N,mórje,муора
127,Bucht::N,zalív,хомо
128,Bucht::N,zalív,бухта
129,Insel::N,ôtok,арыы
130,Blume::N,cvetlíca,сибэкки
131,Gras::N,tráva,от
132,Wurzel::N,korenína,силис
133,Baum::N,drevó,мас
134,Stamm::N,dêblo,умнас
135,Rinde::N,lúbje,хатырык
136,Rinde::N,skórja,хатырык
137,Ast::N,véja,мутук
138,Zweig::N,véja,лабаа
139,Blatt::N,líst,сэбирдэх
140,Birke::N,bréza,хатыҥ
141,Kiefer[Baum]::N,bòr,бэс
142,Weide[Baum]::N,vŕba,үөт
143,Weide[Baum]::N,vŕba,талах
144,Tanne::N,hója,харыйа
145,Horn::N,róg,муос
146,Feder::N,peró,куорсун
