,Concept_ID,ja,ru
0,Auge::N,目,глаз
1,Ohr::N,耳,ухо
2,Nase::N,鼻,нос
3,Mund::N,口,рот
4,Zahn::N,歯,зуб
5,Zunge::N,舌,язык
6,Lippe::N,唇,губа
7,Wange::N,頬,щека
8,Gesicht::N,顔,лицо
9,Stirn::N,額,лоб
10,Haar::N,髪,волос
11,Haar::N,髪,волосы
12,Schnurrbart::N,口髭,ус
13,Schnurrbart::N,口髭,усы
14,Bart::N,髭,борода
15,Kinn::N,顎,подбородок
16,Kiefer[Anatomie]::N,顎,челюсть
17,Kehle::N,喉,горло
18,Hals::N,首,шея
19,Genick::N,首,затылок
20,Kopf::N,頭,голова
21,Rücken::N,背中,спина
22,Bauch::N,腹,живот
23,Bauch::N,お腹,живот
24,Nabel::N,へそ,пупок
25,Busen::N,乳房,женская грудь
26,Brust::N,胸,грудь
27,Schulter::N,肩,плечо
28,Arm::N,腕,рука
29,Ellenbogen::N,肘,локоть
30,Hand::N,手,кисть
31,Handfläche::N,手のひら,ладонь
32,Finger::N,指,палец
33,Fingernagel::N,爪,ноготь
34,Nagel[Anatomie]::N,爪,ноготь
35,Zeh::N,足の指,палец
36,Fuß::N,足,ступня
37,Ferse::N,かかと,пята
38,Ferse::N,かかと,пятка
39,Knie::N,膝,колено
40,Oberschenkel::N,上腿,бедро
41,Bein::N,足,нога
42,Körper::N,体,тело
43,Haut::N,皮膚,кожа
44,Blut::N,血,кровь
45,Ader::N,血管,вена
46,Ader::N,血管,сосуд
47,Sehne::N,腱,жила
48,Sehne::N,腱,тетива
49,Sehne::N,腱,сухожилие
50,Knochen::N,骨,кость
51,Gehirn::N,脳,мозг
52,Herz::N,心,сердце
53,Herz::N,心臓,сердце
54,Magen::N,胃,желудок
55,Leber::N,肝臓,печень
56,Atem::N,息,дух
57,Atem::N,息,дыхание
58,Atem::N,呼吸,дух
59,Atem::N,呼吸,дыхание
60,Hunger::N,空腹,голод
61,Träne::N,涙,слеза
62,Geschmack::N,味,вкус
63,Geruch::N,匂い,запах
64,Schlaf::N,睡眠,сон
65,Traum::N,夢,сновидение
66,Himmel::N,空,небо
67,Sonne::N,太陽,солнце
68,Mond::N,月,луна
69,Stern::N,星,звезда
70,Luft::N,空気,воздух
71,Wind::N,風,ветер
72,Welle::N,波,волна
73,Wasser::N,水,вода
74,Stein::N,石,камень
75,Boden::N,土地,почва
76,Erde::N,土,земля
77,Staub::N,埃,пыль
78,Rauch::N,煙,дым
79,Funke::N,火花,искра
80,Feuer::N,火,огонь
81,Licht::N,光,свет
82,Schatten::N,陰,тень
83,Wetter::N,天気,погода
84,Nebel::N,霧,туман
85,Wolke::N,雲,облако
86,Regen::N,雨,дождь
87,Schnee::N,雪,снег
88,Eis::N,氷,лед
89,Frost::N,霜,мороз
90,Kälte::N,寒さ,холод
91,Hitze::N,暑さ,жара
92,Raureif::N,霧氷,иней
93,Regenbogen::N,虹,радуга
94,Donner::N,雷,гром
95,Strömung::N,流れ,течение
96,Tropfen::N,滴,капля
97,Schaum::N,泡,пена
98,Schmutz::N,汚れ,грязь
99,See::N,湖,озеро
100,Sumpf::N,沼,топь
101,Moor::N,湿原,болото
102,Wiese::N,草原,луг
103,Wald::N,森,лес
104,Hügel::N,丘,холм
105,Anhöhe::N,高み,возвышенность
106,Berg::N,山,гора
107,Gipfel::N,頂上,вершина
108,Höhle::N,洞窟,пещера
109,Abhang::N,斜面,склон
110,Quelle::N,泉,источник
111,Bach::N,小川,ручей
112,Fluss::N,川,река
113,Ufer::N,岸,берег
114,Küste::N,海岸,побережье
115,Festland::N,陸,суша
116,Meer::N,海,море
117,Bucht::N,湾,бухта
118,Insel::N,島,остров
119,Blume::N,花,цветок
120,Gras::N,草,трава
121,Wurzel::N,根,корень
122,Baum::N,木,дерево
123,Stamm::N,幹,ствол
124,Rinde::N,皮層,кора
125,Ast::N,枝,сук
126,Zweig::N,小枝,ветвь
127,Blatt::N,葉,лист
128,Birke::N,樺,береза
129,Kiefer[Baum]::N,松,сосна
130,Weide[Baum]::N,柳,ива
131,Tanne::N,樅,ель
132,Horn::N,角,рог
133,Feder::N,羽根,перо
134,Fell::N,毛皮,шкура
135,Flügel::N,羽,крыло
136,Klaue::N,鉤爪,коготь
137,Kralle::N,爪,лапа
138,Schwanz::N,尻尾,хвост
139,Ei::N,卵,яйцо
140,Nest::N,巣,гнездо
141,Bau::N,穴,нора
142,Tier::N,動物,животное
143,Herde::N,群れ,стадо
144,Kuh::N,牛,корова
145,Bulle::N,雄牛,бык
146,Pferd::N,馬,лошадь
147,Schaf::N,羊,овца
148,Schwein::N,豚,свинья
149,Hund::N,犬,собака
150,Katze::N,猫,кошка
151,Bär::N,熊,медведь
152,Eichhörnchen::N,栗鼠,белка
153,Elch::N,ヘラジカ,лось
154,Fuchs::N,狐,лиса
155,Hase::N,兎,заяц
156,Maus::N,鼠,мышь
157,Wolf::N,狼,волк
158,Vogel::N,鳥,птица
159,Schwarm::N,群れ,стая
160,Huhn::N,鶏,курица
161,Hahn::N,雄鶏,петух
162,Gans::N,ガチョウ,гусь
163,Adler::N,鷲,орел
164,Ente::N,鴨,утка
165,Eule::N,フクロウ,сова
166,Kranich::N,鶴,журавль
167,Krähe::N,烏,ворона
168,Kuckuck::N,郭公,кукушка
169,Schwan::N,白鳥,лебедь
170,Fisch::N,魚,рыба
171,Barsch::N,鱸,окунь
172,Hecht::N,川魳,щука
173,Schlange[Tier]::N,蛇,змея
174,Wurm::N,虫,червяк
175,Spinne::N,蜘蛛,паук
176,Ameise::N,蟻,муравей
177,Laus::N,虱,вошь
178,Mücke::N,蚊,комар
179,Fliege::N,蝿,муха
180,Schmetterling::N,蝶,бабочка
181,Beere::N,漿果,ягода
182,Apfel::N,林檎,яблоко
183,Pilz::N,茸,гриб
184,Zwiebel::N,玉葱,луковица
185,Saat::N,種,семя
186,Korn::N,粒,зерно
187,Heu::N,干し草,сено
188,Schale::N,皮,шелуха
189,Grube::N,穴,яма
190,Falle::N,わな,ловушка
191,Schlinge::N,輪,силок
192,Spur::N,跡,след
193,Asche::N,灰,зола
194,Asche::N,灰,пепел
195,Dreck::N,泥,грязь
196,Eisen::N,鉄,железо
197,Gold::N,金,золото
198,Silber::N,銀,серебро
199,Kohle::N,炭,уголь
200,Glas::N,ガラス,стекло
201,Lehm::N,ローム,глина
202,Sand::N,砂,песок
203,Mensch::N,人,человек
204,Mann::N,男,мужчина
205,Mann::N,男性,мужчина
206,Frau::N,女,женщина
207,Frau::N,女性,женщина
208,Kind::N,子,ребенок
209,Kind::N,子供,ребенок
210,Junge::N,男の子,мальчик
211,Mädchen::N,女の子,девочка
212,Familie::N,家族,семья
213,Großvater::N,祖父,дедушка
214,Großvater::N,おじいさん,дедушка
215,Großmutter::N,祖母,бабушка
216,Großmutter::N,おばあさん,бабушка
217,Eltern::N,親,родители
218,Eltern::N,両親,родители
219,Vater::N,父,отец
220,Vater::N,お父さん,отец
221,Mutter::N,母,мать
222,Mutter::N,お母さん,мать
223,Sohn::N,息子,сын
224,Sohn::N,息子さん,сын
225,Tochter::N,娘,дочь
226,Tochter::N,お嬢さん,дочь
227,Bruder::N,弟,брат
228,Schwester::N,妹,сестра
229,Onkel::N,伯父,дядя
230,Onkel::N,伯父さん,дядя
231,Tante::N,叔母,тетя
232,Tante::N,叔母さん,тетя
233,Ehemann::N,夫,муж
234,Ehemann::N,主人,муж
235,Ehefrau::N,妻,жена
236,Ehefrau::N,奥さん,жена
237,Freude::N,喜び,радость
238,Gelächter::N,笑い,смех
239,Glück::N,幸せ,счастье
240,Kummer::N,悩み,горе
241,Wunsch::N,希望,желание
242,Lust::N,気,влечение
243,Geist::N,精神,дух
244,Gedanke::N,考え,мысль
245,Gedächtnis::N,記憶,память
246,Verstand::N,理解力,ум
247,Sinn::N,意味,смысл
248,Grund::N,理由,повод
249,Wahrheit::N,真実,правда
250,Gespräch::N,会話,беседа
251,Märchen::N,童話,сказка
252,Erzählung::N,物語,рассказ
253,Nachricht::N,報告,сообщение
254,Neuigkeit::N,ニュース,новость
255,Name::N,名前,имя
256,Rätsel::N,謎,загадка
257,Rede::N,演説,речь
258,Sprache::N,言語,язык
259,Stimme::N,声,голос
260,Wort::N,言葉,слово
261,Zeichen::N,記号,знак
262,Ruf::N,呼び声,зов
263,Lärm::N,騒音,шум
264,Laut::N,音,звук
265,Ton::N,音,звучание
266,Lied::N,歌,песня
267,Ruhe::N,静けさ,покой
268,Leute::N,人々,люди
269,Volk::N,民族,народ
270,Arbeit::N,仕事,работа
271,Gast::N,客,гость
272,Geschenk::N,贈り物,подарок
273,Spiel::N,遊び,игра
274,Gesellschaft::N,社会,общество
275,Hilfe::N,援助,помощь
276,Freund::N,友達,друг
277,Kamerad::N,同志,приятель
278,Angelegenheit::N,件,дело
279,Anzahl::N,数,количество
280,Art::N,種類,вид
281,Stück::N,部分,кусок
282,Teil::N,部分,часть
283,Hälfte::N,半分,половина
284,Kreis::N,円,круг
285,Kreuz::N,十字,крест
286,Linie::N,線,линия
287,Strich::N,線,черта
288,Abstand::N,距離,промежуток
289,Entfernung::N,距離,расстояние
290,Gegend::N,辺,местность
291,Gegend::N,地域,местность
292,Platz::N,ゆとり,пространство
293,Ort::N,所,место
294,Ort::N,場所,место
295,Seite::N,横,сторона
296,Mitte::N,真ん中,середина
297,Gegenstand::N,物件,предмет
298,Sache::N,物,вещь
299,Rand::N,端,край
300,Kante::N,縁,ребро
301,Ecke::N,角,угол
302,Spitze::N,先頭,кончик
303,Ende::N,端,конец
304,Loch::N,穴,дыра
305,Winkel::N,片隅,угол
306,Muster::N,模様,узор
307,Größe::N,大きさ,размер
308,Länge::N,長さ,длина
309,Höhe::N,高さ,высота
310,Gewicht::N,重さ,вес
311,Menge::N,量,количество
312,Haufen::N,堆積,куча
313,Reihe::N,並び,ряд
314,Boot::N,ボート,лодка
315,Ruder::N,オール,весло
316,Schlitten::N,そり,сани
317,Ski::N,スキー,лыжа
318,Lagerfeuer::N,篝火,костер
319,Last::N,荷物,тяжесть
320,Gang::N,歩み,ход
321,Schritt::N,歩,шаг
322,Norden::N,北,север
323,Süden::N,南,юг
324,Westen::N,西,запад
325,Osten::N,東,восток
326,Holz::N,木,древесина
327,Holz::N,木材,древесина
328,Brett::N,板,доска
329,Platte::N,盤,плита
330,Stütze::N,支柱,подпорка
331,Stange::N,棒,жердь
332,Stock::N,杖,палка
333,Stab::N,棒,шест
334,Rohr::N,管,труба
335,Haus::N,家,дом
336,Heim::N,家,дом
337,Ofen::N,ストーブ,печь
338,Fußboden::N,床,пол
339,Tisch::N,机,стол
340,Stuhl::N,椅子,стул
341,Wiege::N,揺籃,колыбель
342,Bett::N,ベッド,постель
343,Regal::N,棚,полка
344,Kiste::N,箱,ящик
345,Fenster::N,窓,окно
346,Tür::N,戸,дверь
347,Tür::N,ドア,дверь
348,Tor::N,門,ворота
349,Zaun::N,垣根,забор
350,Dach::N,屋根,крыша
351,Leiter::N,梯子,лестница
352,Besen::N,ほうき,метла
353,Spaten::N,スコップ,лопата
354,Schaufel::N,シャベル,совок
355,Gabel::N,フォーク,вилка
356,Löffel::N,スプーン,ложка
357,Messer::N,ナイフ,нож
358,Nagel::N,釘,гвоздь
359,Netz::N,網,сеть
360,Haken::N,鉤,крюк
361,Haken::N,フック,крюк
362,Griff::N,取っ手,ручка
363,Schloss::N,錠,замок
