,Concept_ID,bg,kl
0,Auge::N,око,isi
1,Ohr::N,ухо,siut
2,Nase::N,нос,
3,Mund::N,уста,paaq
4,Mund::N,уста,qaneq
5,Zahn::N,зъб,kigut
6,Zunge::N,език,oqaq
7,Lippe::N,устна,qarloq
8,Wange::N,буза,ersaq
9,Gesicht::N,лице,kiinaq
10,Gesicht::N,образ,kiinaq
11,Stirn::N,чело,qaaq
12,Haar::N,коса,meqqoq
13,Haar::N,косъм,meqqoq
14,Schnurrbart::N,мустаци,
15,Bart::N,брада,umik
16,Kinn::N,брада,talloq
17,Kinn::N,брадичка,talloq
18,Kiefer[Anatomie]::N,челюст,alleroq
19,Kehle::N,гърло,malaq
20,Hals::N,врат,qungaseq
21,Genick::N,тил,pukusuk
22,Kopf::N,глава,niaqoq
23,Rücken::N,гръб,qimerlut
24,Bauch::N,корем,naaq
25,Nabel::N,пъп,qalaseq
26,Busen::N,бозка,iviangeq
27,Brust::N,гръд,iviangeq
28,Schulter::N,рамо,ersik
29,Schulter::N,рамо,assaqqoq
30,Schulter::N,плещи,ersik
31,Schulter::N,плещи,assaqqoq
32,Arm::N,ръка,taleq
33,Ellenbogen::N,лакът,ikusik
34,Hand::N,ръка,assak
35,Hand::N,китка,assak
36,Handfläche::N,длан,itumak
37,Finger::N,пръст,inuak
38,Fingernagel::N,нокът,kikiak
39,Nagel[Anatomie]::N,нокът,kukik
40,Zeh::N,пръст на крак,isigak
41,Fuß::N,крак,
42,Fuß::N,нога,
43,Ferse::N,пета,kimmik
44,Knie::N,коляно,seeqqoq
45,Oberschenkel::N,бедро,uppat
46,Oberschenkel::N,бедро,quttoraq
47,Bein::N,крак,isigak
48,Bein::N,нога,isigak
49,Körper::N,тяло,timi
50,Haut::N,кожа,mattak
51,Blut::N,кръв,aak
52,Ader::N,вена,taqaq
53,Ader::N,артерия,taqaq
54,Sehne::N,жила,ujalu
55,Sehne::N,жила,ujaloq
56,Sehne::N,сухожилие,ujalu
57,Sehne::N,сухожилие,ujaloq
58,Knochen::N,кост,saanikut
59,Gehirn::N,мозък,qarasaq
60,Herz::N,сърце,uummat
61,Magen::N,стомах,aqajaroq
62,Leber::N,черен дроб,tinguk
63,Atem::N,дишане,anerneq
