,Concept_ID,ar,sq
0,Auge::N,عين,sy
1,Ohr::N,أذن,vesh
2,Nase::N,أنف,hundë
3,Mund::N,فم,gojë
4,Zahn::N,سن,dhëmb
5,Zunge::N,لسان,gjuhë
6,Lippe::N,شفة,buzë
7,Wange::N,خد,faqe
8,Wange::N,خد,mollëz
9,Wange::N,وجنة,faqe
10,Wange::N,وجنة,mollëz
11,Gesicht::N,وجه,fytyrë
12,Stirn::N,جبين,ballë
13,Haar::N,شعر,flokë
14,Schnurrbart::N,شارب,mustaqe
15,Bart::N,لحية,mjekër
16,Kinn::N,ذقن,mjekër
17,Kiefer[Anatomie]::N,فك,nofull
18,Kehle::N,حلق,fyt
19,Kehle::N,حلق,grykë
20,Hals::N,عنق,qafë
21,Hals::N,رقبة,qafë
22,Genick::N,قفا,arrëz
23,Kopf::N,رأس,kokë
24,Rücken::N,ظهر,kurriz
25,Bauch::N,بطن,bark
26,Nabel::N,سرة,kërthizë
27,Busen::N,ثدي,gji
28,Brust::N,صدر,gjoks
29,Brust::N,صدر,kraharor
30,Schulter::N,كتف,sup
31,Schulter::N,كتف,krah
32,Arm::N,ذراع,krah
33,Ellenbogen::N,كوع,bërryl
34,Hand::N,يد,dorë
35,Handfläche::N,كف,pëllëmbë
36,Finger::N,إصبع,gisht
37,Fingernagel::N,ظفر,thua
38,Nagel[Anatomie]::N,ظفر,thua
39,Zeh::N,إصبع القدم,gisht i këmbës
40,Fuß::N,قدم,këmbë
41,Ferse::N,كعب,thembër
42,Knie::N,ركبة,gju
43,Oberschenkel::N,فخذ,kofshë
44,Bein::N,ساق,këmbë
45,Körper::N,جسم,trup
46,Haut::N,بشرة,lëkurë
47,Blut::N,دم,gjak
48,Ader::N,عرق,venë
49,Sehne::N,طنب,dell
50,Knochen::N,عظم,asht
51,Knochen::N,عظم,kockë
52,Gehirn::N,دماغ,tru
53,Herz::N,قلب,zemër
54,Magen::N,معدة,stomak
55,Leber::N,كبد,mëlçi
56,Atem::N,نفس,frymë
57,Hunger::N,جوع,uri
58,Träne::N,دمعة,lot
59,Geschmack::N,طعم,shije
60,Geschmack::N,مذاق,shije
61,Geruch::N,رائحة,erë
62,Schlaf::N,نوم,gjumë
63,Schlaf::N,منام,gjumë
64,Traum::N,حلم,ëndërr
65,Himmel::N,سماء,qiell
66,Sonne::N,شمس,diell
67,Mond::N,قمر,hënë
68,Stern::N,نجم,yll
69,Stern::N,كوكب,yll
70,Luft::N,هواء,ajër
71,Wind::N,ريح,erë
72,Welle::N,موجة,valë
73,Welle::N,موجة,dallgë
74,Wasser::N,ماء,ujë
75,Stein::N,حجر,gur
76,Boden::N,تراب,tokë
77,Boden::N,تراب,truall
78,Erde::N,أرض,dhe
79,Erde::N,أرض,baltë
80,Staub::N,غبار,pluhur
81,Rauch::N,دخان,tym
82,Funke::N,شرارة,xixë
83,Funke::N,شرارة,shkëndijë
84,Feuer::N,نار,zjarr
85,Licht::N,نور,dritë
86,Licht::N,ضوء,dritë
87,Schatten::N,ظل,hije
88,Schatten::N,فيء,hije
89,Wetter::N,جو,mot
90,Wetter::N,طقس,mot
91,Nebel::N,ضباب,mjegull
92,Wolke::N,غيمة,re
93,Wolke::N,سحابة,re
94,Regen::N,مطر,shi
95,Schnee::N,ثلج,borë
96,Eis::N,جليد,akull
97,Frost::N,صقيع,ngricë
98,Kälte::N,برد,të ftohtë
99,Hitze::N,حر,vapë
100,Hitze::N,حر,nxehtësi
101,Hitze::N,حرارة,vapë
102,Hitze::N,حرارة,nxehtësi
103,Raureif::N,صقيع,cikmë
104,Regenbogen::N,قوس قزح,ylber
105,Donner::N,رعد,gjëmim
106,Donner::N,رعد,bubullimë
107,Strömung::N,تيار,rrymë
108,Tropfen::N,قطرة,pikë
109,Schaum::N,زبد,shkumë
110,Schaum::N,رغوة,shkumë
111,Schmutz::N,وسخ,baltë
112,See::N,بحيرة,liqen
113,Sumpf::N,مستنقع,batak
114,Moor::N,مستنقع,kënetë
115,Wiese::N,مرج,livadh
116,Wald::N,غابة,pyll
117,Hügel::N,تل,kodër
118,Anhöhe::N,تل,bregore
119,Berg::N,جبل,mal
120,Gipfel::N,قمة,kulm
121,Höhle::N,كهف,shpellë
122,Höhle::N,كهف,zgafelle
123,Abhang::N,منحدر,shpat
