,Concept_ID,pl,tt
0,Auge::N,oko,күз
1,Ohr::N,ucho,колак
2,Nase::N,nos,борын
3,Mund::N,usta,авыз
4,Mund::N,usta,тамак
5,Zahn::N,ząb,теш
6,Zunge::N,język,тел
7,Lippe::N,warga,ирен
8,Wange::N,policzek,яңак
9,Gesicht::N,twarz,йөз
10,Stirn::N,czoło,маңгай
11,Haar::N,włos,чәч
12,Haar::N,włosy,чәч
13,Schnurrbart::N,wąsy,мыек
14,Bart::N,broda,сакал
15,Kinn::N,podbródek,ияк
16,Kiefer[Anatomie]::N,czeluść,казналык
17,Kehle::N,gardło,тамак
18,Hals::N,szyja,бугаз
19,Genick::N,kark,җилкә
20,Kopf::N,głowa,баш
21,Rücken::N,plecy,сырт
22,Rücken::N,grzbiet,сырт
23,Bauch::N,brzuch,корсак
24,Nabel::N,pępek,кендек
25,Busen::N,biust,түш
26,Brust::N,pierś,имчәк
27,Brust::N,pierś,күкрәк
28,Schulter::N,bark,иңбаш
29,Schulter::N,bark,кулбаш
30,Schulter::N,ramię,иңбаш
31,Schulter::N,ramię,кулбаш
32,Arm::N,ręka,кул
33,Arm::N,ramię,кул
34,Ellenbogen::N,łokieć,терсәк
35,Hand::N,dłoń,кул
36,Handfläche::N,dłoń,уч
37,Finger::N,palec,бармак
38,Fingernagel::N,paznokieć,тырнак
39,Nagel[Anatomie]::N,paznokieć,тырнак
40,Zeh::N,palec,бармак
41,Fuß::N,stopa,табан
42,Ferse::N,pięta,үкчә
43,Knie::N,kolano,тез
44,Oberschenkel::N,udo,бот
45,Bein::N,noga,аяк
46,Körper::N,ciało,тән
47,Körper::N,ciało,җисем
48,Haut::N,skóra,тире
49,Blut::N,krew,кан
50,Ader::N,żyła,тамыр
51,Sehne::N,ścięgno,сеңер
52,Knochen::N,kość,сөяк
53,Gehirn::N,mózg,ми
54,Herz::N,serce,йөрәк
55,Magen::N,żołądek,ашказаны
56,Leber::N,wątroba,бавыр
57,Atem::N,dech,сулыш
58,Atem::N,oddech,сулыш
59,Hunger::N,głód,ачлык
60,Träne::N,łza,яшь
61,Geschmack::N,smak,тәм
62,Geschmack::N,smak,зәвык
63,Geruch::N,woń,ис
64,Geruch::N,zapach,ис
65,Schlaf::N,sen,йокы
66,Traum::N,sen,төш
67,Himmel::N,niebo,күк
68,Sonne::N,słońce,кояш
69,Mond::N,księżyc,ай
70,Stern::N,gwiazda,йолдыз
71,Luft::N,powietrze,һава
72,Wind::N,wiatr,җил
73,Welle::N,fala,дулкын
74,Wasser::N,woda,су
75,Stein::N,kamień,таш
76,Boden::N,grunt,туфрак
77,Erde::N,ziemia,җир
78,Staub::N,pył,тузан
79,Staub::N,kurz,тузан
80,Rauch::N,dym,төтен
81,Funke::N,iskra,очкын
82,Feuer::N,ogień,ут
83,Licht::N,światło,якты
84,Schatten::N,cień,күләгә
85,Wetter::N,pogoda,һава
86,Nebel::N,mgła,томан
87,Wolke::N,obłok,болыт
88,Wolke::N,chmura,болыт
89,Regen::N,deszcz,яңгыр
90,Schnee::N,śnieg,кар
91,Eis::N,lód,боз
92,Frost::N,mróz,суык
93,Frost::N,mróz,салкын
94,Kälte::N,chłód,суык
95,Kälte::N,chłód,салкын
96,Hitze::N,gorąco,эсселек
97,Raureif::N,szron,бәс
98,Raureif::N,szron,сыкы
99,Regenbogen::N,tęcza,салават күпере
100,Donner::N,grzmot,күкрәү
101,Strömung::N,nurt,агыш'агым
102,Tropfen::N,kropla,тамчы
103,Schaum::N,piana,күбек
104,Schmutz::N,brud,пычрак
105,See::N,jezioro,күл
106,Sumpf::N,bagno,саз
107,Moor::N,bagno,торфлык
108,Wiese::N,łąka,болын
109,Wald::N,las,урман
110,Hügel::N,pagórek,калку
111,Anhöhe::N,wzgórze,үр
112,Berg::N,góra,тау
113,Gipfel::N,szczyt,оч
114,Gipfel::N,wierzchołek,оч
115,Höhle::N,pieczara,мәгарә
116,Abhang::N,stok,кабырга
117,Abhang::N,zbocze,кабырга
118,Quelle::N,zdrój,чишмә
119,Quelle::N,źródło,чишмә
120,Bach::N,potok,елга
121,Bach::N,strumień,елга
122,Fluss::N,rzeka,дәрья
123,Ufer::N,brzeg,су кырые
124,Küste::N,wybrzeże,яр буе
125,Festland::N,ląd,коры җир
126,Meer::N,morze,диңгез
127,Bucht::N,zatoka,бухта
128,Bucht::N,zatoka,култык
129,Insel::N,wyspa,атау
130,Insel::N,wyspa,утрау
131,Blume::N,kwiat,чәчкә
132,Gras::N,trawa,үлән
133,Wurzel::N,korzeń,тамыр
134,Baum::N,drzewo,агач
135,Stamm::N,pień,кәүсә
136,Rinde::N,kora,кабык
137,Ast::N,gałąź,ботак
138,Zweig::N,gałąź,ботак
139,Zweig::N,gałąź,тармак
140,Blatt::N,liść,яфрак
141,Birke::N,brzoza,каен
142,Kiefer[Baum]::N,sosna,нарат
143,Weide[Baum]::N,wierzba,тал
144,Tanne::N,jodła,чыршы
145,Horn::N,róg,мөгез
146,Feder::N,pióro,йон
147,Fell::N,futro,тире
148,Flügel::N,skrzydło,канат
149,Klaue::N,szpon,тырнак
150,Kralle::N,pazur,тырнак
151,Schwanz::N,ogon,койрык
152,Ei::N,jajko,күкәй
153,Ei::N,jajko,йомырка
154,Nest::N,gniazdo,оя
155,Bau::N,nora,өн
156,Tier::N,zwierzę,хайван
157,Herde::N,stado,көтү
158,Herde::N,trzoda,көтү
159,Kuh::N,krowa,сыер
160,Bulle::N,byk,үгез
161,Pferd::N,koń,ат
162,Schaf::N,owca,сарык
163,Schwein::N,świnia,дуңгыз
164,Hund::N,pies,эт
165,Katze::N,kot,песи
166,Katze::N,kotka,песи
167,Bär::N,niedźwiedż,аю
168,Eichhörnchen::N,wiewiórka,тиен
169,Elch::N,łóś,поши
170,Fuchs::N,lis,төлке
171,Hase::N,zając,куян
172,Maus::N,mysz,тычкан
173,Wolf::N,wilk,бүре
174,Vogel::N,ptak,кош
175,Schwarm::N,stado,көтү
176,Huhn::N,kura,тавык
177,Hahn::N,kogut,әтәч
178,Gans::N,gęś,каз
179,Adler::N,orzeł,каракош
180,Ente::N,kaczka,үрдәк
181,Eule::N,sowa,ябалак
182,Kranich::N,żuraw,торна
183,Krähe::N,wrona,карга
184,Kuckuck::N,kukułka,күке
185,Kuckuck::N,kukułka,кәккүк
186,Schwan::N,łabędż,аккош
187,Fisch::N,ryba,балык
188,Barsch::N,okoń,алабуга
189,Hecht::N,szczupak,чуртан
190,Schlange[Tier]::N,wąż,елан
191,Schlange[Tier]::N,żmija,елан
192,Wurm::N,robak,корт
193,Spinne::N,pająk,үрмәкүч
194,Ameise::N,mrówka,кырмыска
195,Laus::N,wesz,бет
196,Mücke::N,komar,черки
197,Mücke::N,komar,озынборын
198,Fliege::N,mucha,чебен
199,Schmetterling::N,motyl,күбәләк
200,Beere::N,jagoda,җиләк
201,Apfel::N,jabłko,алма
202,Pilz::N,grzyb,гөмбә
203,Zwiebel::N,cebula,суган
204,Zwiebel::N,cebula,суганбаш
205,Saat::N,siew,орлык
206,Korn::N,ziarno,иген
207,Korn::N,ziarno,орлык
208,Heu::N,siano,печән
209,Schale::N,łupina,кабык
210,Grube::N,dół,баз
211,Grube::N,dół,чокыр
212,Grube::N,jama,баз
213,Grube::N,jama,чокыр
214,Falle::N,pułapka,тозак
215,Falle::N,pułapka,капкын
216,Schlinge::N,sidła,элмәк
217,Spur::N,ślad,эз
218,Asche::N,popiół,көл
219,Dreck::N,brud,пычрак
220,Eisen::N,żelazo,тимер
221,Gold::N,złoto,алтын
222,Silber::N,srebro,көмеш
223,Kohle::N,węgiel,күмер
224,Glas::N,szkło,пыяла
225,Lehm::N,glina,балчык
226,Sand::N,piasek,ком
227,Mensch::N,człowiek,адәм
228,Mensch::N,człowiek,инсан
229,Mann::N,mężczyzna,ир
230,Frau::N,kobieta,хатын
231,Kind::N,dziecko,бала
232,Junge::N,chłopak,малай
233,Junge::N,chłopiec,малай
234,Mädchen::N,dziewczynka,кыз
235,Familie::N,rodzina,гаилә
236,Großvater::N,dziadek,бабай
237,Großmutter::N,babka,әби
238,Eltern::N,rodzice,ата-ана
239,Vater::N,ojciec,ата
240,Mutter::N,matka,ана
241,Sohn::N,syn,ул
242,Tochter::N,córka,кыз
243,Bruder::N,brat,кардәш
244,Schwester::N,siostra,апа
245,Schwester::N,siostra,сеңел
246,Onkel::N,wuj,дәдә
247,Onkel::N,wuj,дәдәй
248,Onkel::N,stryj,дәдә
249,Onkel::N,stryj,дәдәй
250,Tante::N,ciotka,түти
251,Tante::N,ciotka,тәтәй
252,Ehemann::N,mąż,ир
253,Ehefrau::N,żona,хатын
254,Freude::N,radość,сөенеч
255,Gelächter::N,śmiech,көлү
256,Gelächter::N,śmiech,көлеш
257,Glück::N,szczęście,бәхет
258,Kummer::N,zmartwienie,хәсрәт
259,Wunsch::N,życzenie,теләк
260,Lust::N,chęć,теләк
261,Lust::N,chęć,теләү
262,Lust::N,ochota,теләк
263,Lust::N,ochota,теләү
264,Geist::N,duch,рух
265,Gedanke::N,myśl,уй
266,Gedanke::N,myśl,фикер
267,Gedächtnis::N,pamięć,хәтер
268,Verstand::N,rozum,акыл
269,Sinn::N,zmysł,мәгънә
270,Grund::N,powód,сәбәп
271,Wahrheit::N,prawda,хак
272,Gespräch::N,rozmowa,әңгәмә
273,Märchen::N,bajka,әкият
274,Erzählung::N,opowiadanie,хикәя
275,Nachricht::N,wiadomość,хәбәр
276,Neuigkeit::N,nowina,яңалык
277,Name::N,imię,исем
278,Rätsel::N,zagadka,табышмак
279,Rede::N,mowa,нотык
280,Sprache::N,język,тел
281,Stimme::N,głos,тавыш
282,Wort::N,słowo,сүз
283,Zeichen::N,znak,ишарә
284,Ruf::N,wołanie,дәшү
285,Lärm::N,hałas,шау
286,Lärm::N,zgiełk,шау
287,Laut::N,dźwięk,аваз
288,Ton::N,ton,шалтырату
289,Ton::N,dźwięk,шалтырату
290,Lied::N,pieśń,җыр
291,Lied::N,piosenka,җыр
292,Ruhe::N,spokój,тынлык
293,Leute::N,ludzie,халык
294,Volk::N,naród,халык
