,Concept_ID,it,ja
0,Auge::N,occhio,目
1,Ohr::N,orecchio,耳
2,Nase::N,naso,鼻
3,Mund::N,bocca,口
4,Zahn::N,dente,歯
5,Zunge::N,lingua,舌
6,Lippe::N,labbro,唇
7,Wange::N,guancia,頬
8,Gesicht::N,viso,顔
9,Gesicht::N,faccia,顔
10,Stirn::N,fronte,額
11,Haar::N,capello,髪
12,Schnurrbart::N,baffi,口髭
13,Schnurrbart::N,mustacchi,口髭
14,Bart::N,barba,髭
15,Kinn::N,mento,顎
16,Kiefer[Anatomie]::N,mascella,顎
17,Kehle::N,gola,喉
18,Hals::N,collo,首
19,Genick::N,nuca,首
20,Kopf::N,capo,頭
21,Kopf::N,testa,頭
22,Rücken::N,dorso,背中
23,Rücken::N,schiena,背中
24,Bauch::N,ventre,腹
25,Bauch::N,ventre,お腹
26,Nabel::N,ombelico,へそ
27,Busen::N,seno,乳房
28,Brust::N,petto,胸
29,Schulter::N,spalla,肩
30,Arm::N,braccio,腕
31,Ellenbogen::N,gomito,肘
32,Hand::N,mano,手
33,Handfläche::N,palma,手のひら
34,Finger::N,dito,指
35,Fingernagel::N,unghia,爪
36,Nagel[Anatomie]::N,unghia,爪
37,Zeh::N,dito del piede,足の指
38,Fuß::N,piede,足
39,Ferse::N,tallone,かかと
40,Ferse::N,calcagno,かかと
41,Knie::N,ginocchio,膝
42,Oberschenkel::N,fèmore,上腿
43,Bein::N,gamba,足
44,Körper::N,corpo,体
45,Haut::N,pelle,皮膚
46,Blut::N,sangue,血
47,Ader::N,vena,血管
48,Sehne::N,tèndine,腱
49,Knochen::N,osso,骨
50,Gehirn::N,cervello,脳
51,Herz::N,cuore,心
52,Herz::N,cuore,心臓
53,Magen::N,stòmaco,胃
54,Leber::N,fegato,肝臓
55,Atem::N,fiato,息
56,Atem::N,fiato,呼吸
57,Atem::N,respiro,息
58,Atem::N,respiro,呼吸
59,Hunger::N,fame,空腹
60,Träne::N,làcrima,涙
61,Geschmack::N,gusto,味
62,Geschmack::N,sapore,味
63,Geruch::N,odore,匂い
64,Schlaf::N,sonno,睡眠
65,Traum::N,sogno,夢
66,Himmel::N,cielo,空
67,Sonne::N,sole,太陽
68,Mond::N,luna,月
69,Stern::N,stella,星
70,Luft::N,aria,空気
71,Wind::N,vento,風
72,Welle::N,onda,波
73,Wasser::N,acqua,水
74,Stein::N,sasso,石
75,Stein::N,pietra,石
76,Boden::N,suolo,土地
77,Boden::N,terreno,土地
78,Erde::N,terra,土
79,Staub::N,polvere,埃
80,Rauch::N,fumo,煙
81,Funke::N,scintilla,火花
82,Feuer::N,fuoco,火
83,Licht::N,luce,光
84,Schatten::N,ombra,陰
85,Wetter::N,tempo,天気
86,Nebel::N,nebbia,霧
87,Wolke::N,nube,雲
88,Wolke::N,nùvola,雲
89,Regen::N,pioggia,雨
90,Schnee::N,neve,雪
91,Eis::N,ghiaccio,氷
92,Frost::N,gelo,霜
93,Kälte::N,freddo,寒さ
94,Hitze::N,caldo,暑さ
95,Hitze::N,calura,暑さ
96,Raureif::N,brina,霧氷
97,Regenbogen::N,arcobaleno,虹
98,Donner::N,tuono,雷
99,Strömung::N,corrente,流れ
100,Tropfen::N,goccia,滴
101,Schaum::N,spuma,泡
102,Schaum::N,schiuma,泡
103,Schmutz::N,sudiciume,汚れ
104,See::N,lago,湖
105,Sumpf::N,palude,沼
106,Moor::N,torbiera,湿原
107,Wiese::N,prato,草原
108,Wald::N,bosco,森
109,Wald::N,foresta,森
110,Hügel::N,colle,丘
111,Hügel::N,collina,丘
112,Anhöhe::N,altura,高み
113,Berg::N,monte,山
114,Berg::N,montagna,山
115,Gipfel::N,cima,頂上
116,Höhle::N,grotta,洞窟
117,Höhle::N,caverna,洞窟
118,Abhang::N,pendìo,斜面
119,Quelle::N,sorgente,泉
120,Bach::N,ruscello,小川
121,Fluss::N,fiume,川
122,Ufer::N,riva,岸
123,Küste::N,costa,海岸
124,Festland::N,terraferma,陸
125,Meer::N,mare,海
126,Bucht::N,cala,湾
127,Insel::N,ìsola,島
128,Blume::N,fiore,花
129,Gras::N,erba,草
130,Wurzel::N,radice,根
131,Baum::N,àlbero,木
132,Stamm::N,tronco,幹
133,Rinde::N,corteccia,皮層
134,Ast::N,ramo,枝
135,Zweig::N,ramo,小枝
136,Blatt::N,foglia,葉
137,Birke::N,betulla,樺
138,Kiefer[Baum]::N,pino,松
139,Weide[Baum]::N,sàlice,柳
140,Tanne::N,abete,樅
141,Horn::N,corno,角
142,Feder::N,penna,羽根
143,Fell::N,manto,毛皮
144,Fell::N,pelame,毛皮
145,Flügel::N,ala,羽
146,Klaue::N,grinfia,鉤爪
147,Kralle::N,unghia,爪
148,Kralle::N,artiglio,爪
149,Schwanz::N,coda,尻尾
150,Ei::N,uovo,卵
151,Nest::N,nido,巣
152,Bau::N,covo,穴
153,Tier::N,bestia,動物
154,Tier::N,animale,動物
155,Herde::N,gregge,群れ
156,Kuh::N,vacca,牛
157,Bulle::N,toro,雄牛
158,Pferd::N,cavallo,馬
159,Schaf::N,pècora,羊
160,Schwein::N,porco,豚
161,Schwein::N,maiale,豚
162,Hund::N,cane,犬
163,Katze::N,gatta,猫
164,Bär::N,orso,熊
165,Eichhörnchen::N,scoiàttolo,栗鼠
166,Elch::N,alce,ヘラジカ
167,Fuchs::N,volpe,狐
168,Hase::N,lepre,兎
169,Maus::N,topo,鼠
170,Maus::N,sorcio,鼠
171,Wolf::N,lupo,狼
172,Vogel::N,uccello,鳥
173,Schwarm::N,stormo,群れ
174,Huhn::N,gallina,鶏
175,Hahn::N,gallo,雄鶏
176,Gans::N,oca,ガチョウ
177,Adler::N,àquila,鷲
178,Ente::N,ànatra,鴨
179,Eule::N,gufo,フクロウ
180,Eule::N,civetta,フクロウ
181,Kranich::N,gru,鶴
182,Krähe::N,cornacchia,烏
183,Kuckuck::N,cuccù,郭公
184,Kuckuck::N,cùculo,郭公
185,Schwan::N,cigno,白鳥
186,Fisch::N,pesce,魚
187,Barsch::N,pèrsico,鱸
188,Hecht::N,luccio,川魳
189,Schlange[Tier]::N,serpente,蛇
190,Wurm::N,baco,虫
191,Wurm::N,verme,虫
192,Spinne::N,ragno,蜘蛛
193,Ameise::N,formica,蟻
194,Laus::N,pidocchio,虱
195,Mücke::N,zanzara,蚊
196,Fliege::N,mosca,蝿
197,Schmetterling::N,farfalla,蝶
198,Beere::N,bacca,漿果
199,Apfel::N,mela,林檎
200,Pilz::N,fungo,茸
201,Zwiebel::N,cipolla,玉葱
202,Saat::N,semente,種
203,Korn::N,grano,粒
204,Heu::N,fieno,干し草
205,Schale::N,buccia,皮
206,Grube::N,cava,穴
207,Grube::N,fossa,穴
208,Falle::N,tràppola,わな
209,Schlinge::N,laccio,輪
210,Spur::N,traccia,跡
211,Asche::N,cenere,灰
212,Dreck::N,fango,泥
213,Eisen::N,ferro,鉄
214,Gold::N,oro,金
215,Silber::N,argento,銀
216,Kohle::N,carbone,炭
217,Glas::N,vetro,ガラス
218,Lehm::N,argilla,ローム
219,Sand::N,arena,砂
220,Sand::N,sabbia,砂
221,Mensch::N,uomo,人
222,Mensch::N,èssere umano,人
223,Mann::N,uomo,男
224,Mann::N,uomo,男性
225,Frau::N,donna,女
226,Frau::N,donna,女性
227,Kind::N,bambino,子
228,Kind::N,bambino,子供
229,Junge::N,ragazzo,男の子
230,Mädchen::N,ragazza,女の子
231,Familie::N,famiglia,家族
232,Großvater::N,nonno,祖父
233,Großvater::N,nonno,おじいさん
234,Großmutter::N,nonna,祖母
235,Großmutter::N,nonna,おばあさん
236,Eltern::N,genitori,親
237,Eltern::N,genitori,両親
238,Vater::N,padre,父
239,Vater::N,padre,お父さん
240,Mutter::N,madre,母
241,Mutter::N,madre,お母さん
242,Sohn::N,figlio,息子
243,Sohn::N,figlio,息子さん
244,Tochter::N,figlia,娘
245,Tochter::N,figlia,お嬢さん
246,Bruder::N,fratello,弟
247,Schwester::N,sorella,妹
248,Onkel::N,zio,伯父
249,Onkel::N,zio,伯父さん
250,Tante::N,zia,叔母
251,Tante::N,zia,叔母さん
252,Ehemann::N,marito,夫
253,Ehemann::N,marito,主人
254,Ehefrau::N,moglie,妻
255,Ehefrau::N,moglie,奥さん
256,Freude::N,gioia,喜び
257,Freude::N,piacere,喜び
258,Gelächter::N,risata,笑い
259,Glück::N,felicità,幸せ
260,Kummer::N,afflizione,悩み
261,Wunsch::N,desiderio,希望
262,Lust::N,voglia,気
263,Geist::N,mente,精神
264,Geist::N,spìrito,精神
265,Gedanke::N,idea,考え
266,Gedanke::N,pensiero,考え
267,Gedächtnis::N,memoria,記憶
268,Verstand::N,intelletto,理解力
269,Sinn::N,senso,意味
270,Sinn::N,significato,意味
271,Grund::N,causa,理由
272,Grund::N,motivo,理由
273,Grund::N,ragione,理由
274,Wahrheit::N,verità,真実
275,Gespräch::N,discorso,会話
276,Gespräch::N,conversazione,会話
277,Märchen::N,fiaba,童話
278,Märchen::N,fàvola,童話
279,Erzählung::N,racconto,物語
280,Erzählung::N,narrazione,物語
281,Nachricht::N,messaggio,報告
282,Neuigkeit::N,notizia,ニュース
283,Name::N,nome,名前
284,Rätsel::N,indovinello,謎
285,Rede::N,discorso,演説
286,Sprache::N,lingua,言語
287,Sprache::N,linguaggio,言語
288,Stimme::N,voce,声
289,Wort::N,parola,言葉
290,Zeichen::N,segno,記号
291,Zeichen::N,segnale,記号
292,Ruf::N,chiamata,呼び声
293,Lärm::N,chiasso,騒音
294,Lärm::N,strèpito,騒音
295,Laut::N,suono,音
296,Ton::N,tono,音
297,Lied::N,canto,歌
298,Lied::N,canzone,歌
299,Ruhe::N,calma,静けさ
300,Ruhe::N,tranquillità,静けさ
301,Leute::N,gente,人々
302,Volk::N,pòpolo,民族
303,Arbeit::N,lavoro,仕事
304,Gast::N,òspite,客
305,Gast::N,invitato,客
306,Geschenk::N,regalo,贈り物
307,Spiel::N,gioco,遊び
308,Gesellschaft::N,compagnìa,社会
309,Hilfe::N,aiuto,援助
310,Hilfe::N,soccorso,援助
311,Freund::N,amico,友達
312,Kamerad::N,camerata,同志
313,Angelegenheit::N,affare,件
314,Angelegenheit::N,faccenda,件
315,Anzahl::N,nùmero,数
316,Anzahl::N,quantità,数
317,Art::N,tipo,種類
318,Art::N,specie,種類
319,Stück::N,pezzo,部分
320,Teil::N,parte,部分
321,Hälfte::N,metà,半分
322,Kreis::N,cìrcolo,円
323,Kreuz::N,croce,十字
324,Linie::N,lìnea,線
325,Strich::N,tratto,線
326,Abstand::N,distanza,距離
327,Entfernung::N,distanza,距離
328,Entfernung::N,lontananza,距離
329,Gegend::N,regione,辺
330,Gegend::N,regione,地域
331,Platz::N,posto,ゆとり
332,Platz::N,spazio,ゆとり
333,Ort::N,luogo,所
334,Ort::N,luogo,場所
335,Ort::N,località,所
336,Ort::N,località,場所
337,Seite::N,lato,横
338,Seite::N,parte,横
339,Mitte::N,mezzo,真ん中
340,Mitte::N,centro,真ん中
341,Gegenstand::N,oggetto,物件
342,Sache::N,cosa,物
343,Rand::N,orlo,端
344,Rand::N,bordo,端
345,Kante::N,spìgolo,縁
346,Ecke::N,canto,角
347,Spitze::N,punta,先頭
348,Ende::N,capo,端
349,Ende::N,estremità,端
350,Loch::N,buco,穴
351,Winkel::N,àngolo,片隅
352,Muster::N,disegno,模様
353,Größe::N,taglia,大きさ
354,Größe::N,grandezza,大きさ
355,Länge::N,lunghezza,長さ
356,Höhe::N,altezza,高さ
357,Gewicht::N,peso,重さ
358,Menge::N,quantità,量
359,Haufen::N,cùmulo,堆積
360,Haufen::N,mucchio,堆積
361,Reihe::N,fila,並び
362,Boot::N,barca,ボート
363,Boot::N,battello,ボート
364,Ruder::N,remo,オール
365,Schlitten::N,slitta,そり
366,Ski::N,sci,スキー
367,Lagerfeuer::N,falò,篝火
368,Lagerfeuer::N,fuoco di bivacco,篝火
369,Last::N,càrico,荷物
370,Gang::N,andata,歩み
371,Schritt::N,passo,歩
372,Norden::N,nord,北
373,Norden::N,settentrione,北
374,Süden::N,sud,南
375,Süden::N,meridione,南
376,Westen::N,òvest,西
377,Westen::N,occidente,西
378,Osten::N,est,東
379,Osten::N,oriente,東
380,Holz::N,legno,木
381,Holz::N,legno,木材
382,Brett::N,asse,板
383,Brett::N,tàvola,板
384,Platte::N,lastra,盤
385,Platte::N,piastra,盤
386,Stütze::N,supporto,支柱
387,Stange::N,sbarra,棒
388,Stange::N,pèrtica,棒
389,Stock::N,verga,杖
390,Stock::N,bastone,杖
391,Stock::N,bacchetta,杖
392,Stab::N,asta,棒
393,Rohr::N,tubo,管
394,Haus::N,casa,家
395,Heim::N,casa,家
396,Ofen::N,stufa,ストーブ
397,Fußboden::N,pavimento,床
398,Tisch::N,tàvolo,机
399,Stuhl::N,sedia,椅子
400,Wiege::N,culla,揺籃
401,Bett::N,letto,ベッド
402,Regal::N,scaffale,棚
403,Kiste::N,cassa,箱
404,Fenster::N,finestra,窓
405,Tür::N,porta,戸
406,Tür::N,porta,ドア
407,Tor::N,portone,門
408,Zaun::N,recinto,垣根
409,Dach::N,tetto,屋根
410,Leiter::N,scala,梯子
411,Leiter::N,scala a pioli,梯子
412,Besen::N,scopa,ほうき
413,Spaten::N,vanga,スコップ
414,Schaufel::N,pala,シャベル
415,Gabel::N,forchetta,フォーク
416,Löffel::N,cucchiaio,スプーン
417,Messer::N,coltello,ナイフ
418,Nagel::N,chiodo,釘
419,Netz::N,rete,網
420,Haken::N,uncino,鉤
421,Haken::N,uncino,フック
422,Griff::N,mànico,取っ手
423,Griff::N,maniglia,取っ手
424,Schloss::N,serratura,錠
425,Bild::N,quadro,絵
426,Bild::N,immàgine,絵
427,Figur::N,figura,像
428,Puppe::N,bàmbola,人形
429,Beutel::N,borsa,袋
430,Beutel::N,sacchetto,袋
431,Bündel::N,fascio,束
432,Bündel::N,fascio,包み
433,Bündel::N,fagotto,束
434,Bündel::N,fagotto,包み
435,Tasche::N,borsa,かばん
436,Eimer::N,secchio,バケツ
437,Deckel::N,coperchio,蓋
438,Geschirr::N,stoviglie,食器
439,Sack::N,sacco,袋
440,Tasse::N,tazza,カップ
441,Topf::N,pèntola,鍋
442,Kessel::N,paiolo,釜
443,Kessel::N,calderone,釜
444,Essen::N,pasto,食事
445,Essen::N,mangiare,食事
446,Nahrung::N,cibo,食物
447,Nahrung::N,alimento,食物
448,Speise::N,piatto,料理
449,Fleisch::N,carne,肉
450,Getreide::N,cereali,麦
451,Getreide::N,cereali,穀物
452,Brei::N,purè,粥
453,Brei::N,pappa,粥
454,Brot::N,pane,パン
455,Scheibe::N,fetta,枚
456,Scheibe::N,fetta,切れ
457,Scheibe::N,trancia,枚
458,Scheibe::N,trancia,切れ
459,Fett::N,grasso,脂肪
460,Butter::N,burro,バター
461,Öl::N,olio,油
462,Salz::N,sale,塩
463,Suppe::N,zuppa,スープ
464,Suppe::N,minestra,スープ
465,Honig::N,miele,蜂蜜
466,Milch::N,latte,牛乳
467,Tee::N,tè,茶
468,Tee::N,tè,お茶
469,Leder::N,pelle,革
470,Wolle::N,lana,毛糸
471,Stoff::N,panno,布
472,Stoff::N,tessuto,布
473,Nadel::N,ago,針
474,Faden::N,filo,糸
475,Knopf::N,bottone,ボタン
476,Knoten::N,nodo,結び目
477,Farbe::N,pittura,ペンキ
478,Kleidung::N,vestiti,衣服
479,Kleidung::N,vestiario,衣服
480,Hemd::N,camicia,シャツ
481,Kragen::N,bàvero,襟
482,Kragen::N,colletto,襟
483,Ärmel::N,mànica,袖
484,Hose::N,calzoni,ズボン
485,Gürtel::N,cintura,帯
486,Gürtel::N,cintura,ベルト
487,Mütze::N,berretto,帽子
488,Schuh::N,scarpa,靴
489,Stiefel::N,stivale,ブーツ
490,Ring::N,anello,輪
491,Band::N,nastro,リボン
492,Band::N,fettuccia,リボン
493,Kamm::N,pèttine,櫛
494,Spiegel::N,specchio,鏡
495,Riemen::N,cinghia,緒
496,Schnur::N,corda,紐
497,Leine::N,guinzaglio,綱
498,Decke::N,coperta,掛け布団
499,Kissen::N,cuscino,枕
500,Kissen::N,guanciale,枕
501,Tuch::N,fazzoletto,スカーフ
502,Handtuch::N,asciugamano,タオル
503,Kraft::N,forza,力
504,Stärke::N,forza,強さ
505,Stärke::N,vigore,強さ
506,Stärke::N,fortezza,強さ
507,Gesundheit::N,salute,健康
508,Krankheit::N,malattìa,病気
509,Schmerz::N,dolore,痛み
510,Wunde::N,piaga,傷
511,Wunde::N,ferita,傷
512,Fieber::N,febbre,熱
513,Arznei::N,fàrmaco,薬
514,Arznei::N,medicina,薬
515,Brücke::N,ponte,橋
516,Brunnen::N,pozzo,井戸
517,Weide::N,pàscolo,牧場
518,Pfad::N,sentiero,小路
519,Weg::N,via,道
520,Weg::N,cammino,道
521,Straße::N,strada,街道
522,Dorf::N,paese,村
523,Dorf::N,villaggio,村
524,Stadt::N,città,町
525,Stadt::N,città,都市
526,Brief::N,lèttera,手紙
527,Buch::N,libro,本
528,Buchstabe::N,lèttera,文字
529,Zeitung::N,giornale,新聞
530,Leben::N,vita,生活
531,Tod::N,morte,死
532,Grab::N,tomba,墓
533,Grab::N,sepolcro,墓
534,Kirche::N,chiesa,教会
535,Sünde::N,peccato,罪
536,Gott::N,dio,神
537,Arbeiter::N,operaio,労働者
538,Arbeiter::N,lavoratore,労働者
539,Chef::N,capo,上司
540,Chef::N,padrone,上司
541,Meister::N,mastro,達人
542,Meister::N,mastro,マイスター
543,Meister::N,maestro,達人
544,Meister::N,maestro,マイスター
545,Arzt::N,mèdico,医者
546,Arzt::N,dottore,医者
547,Lehrer::N,professore,先生
548,Geld::N,soldi,金
549,Geld::N,denaro,金
550,Geschäft::N,affare,取り引き
551,Geschäft::N,negozio,取り引き
552,Laden::N,negozio,店
553,Preis::N,prezzo,値段
554,Ware::N,merce,商品
555,Nutzen::N,ùtile,利益
556,Nutzen::N,profitto,利益
557,Reichtum::N,ricchezza,豊かさ
558,Welt::N,mondo,世界
559,Land::N,paese,国
560,Staat::N,Stato,国家
561,König::N,re,国王
562,Macht::N,potere,権力
563,Grenze::N,confine,国境
564,Grenze::N,frontiera,国境
565,Krieg::N,guerra,戦争
566,Feind::N,nemico,敵
567,Gewalt::N,violenza,暴力
568,Kampf::N,lotta,戦い
569,Bogen[Waffe]::N,arco,弓
570,Pfeil::N,freccia,矢
571,Gewehr::N,fucile,銃
572,Fehler::N,errore,間違い
573,Fehler::N,sbaglio,間違い
574,Lüge::N,bugìa,嘘
575,Lüge::N,menzogna,嘘
576,Schaden::N,danno,損害
577,Unglück::N,sfortuna,不幸
578,Schuld::N,colpa,罪
579,Alter::N,età,年
580,Alter::N,età,年齢
581,Schluss::N,fine,終わり
582,Zeit::N,tempo,時
583,Zeit::N,tempo,時間
584,Tag::N,giorno,日
585,Tag::N,giornata,日
586,Morgen::N,mattina,朝
587,Mittag::N,mezzogiorno,昼
588,Abend::N,sera,晩
589,Abend::N,sera,夕方
590,Abend::N,serata,晩
591,Abend::N,serata,夕方
592,Nacht::N,notte,夜
593,Woche::N,settimana,週
594,Monat::N,mese,月
595,Jahr::N,anno,年
596,Frühling::N,primavera,春
597,Sommer::N,estate,夏
598,Herbst::N,autunno,秋
599,Winter::N,inverno,冬
600,Januar::N,gennaio,一月
601,Februar::N,febbraio,二月
602,März::N,marzo,三月
603,April::N,aprile,四月
604,Mai::N,maggio,五月
605,Juni::N,giugno,六月
606,Juli::N,luglio,七月
607,August::N,agosto,八月
608,September::N,settembre,九月
609,Oktober::N,ottobre,十月
610,November::N,novembre,十一月
611,Dezember::N,dicembre,十二月
612,Montag::N,lunedì,月曜日
613,Dienstag::N,martedì,火曜日
614,Mittwoch::N,mercoledì,水曜日
615,Donnerstag::N,giovedì,木曜日
616,Freitag::N,venerdì,金曜日
617,Samstag::N,sàbato,土曜日
618,Sonntag::N,domenica,日曜日
619,groß::A,grande,大きい
620,klein::A,pìccolo,小さい
621,lang::A,lungo,長い
622,kurz::A,corto,短い
623,breit::A,largo,広い
624,schmal::A,stretto,狭い
625,dicht::A,denso,密な
626,dick[Gegenstand]::A,spesso,厚い
627,dünn::A,sottile,薄い
628,fein::A,fine,細い
629,fein::A,delicato,細い
630,fest::A,sodo,硬い
631,fest::A,fisso,硬い
632,flach::A,piano,平らな
633,flach::A,piatto,平らな
634,glatt::A,liscio,滑らかな
635,hart::A,duro,堅い
636,weich::A,molle,柔らかい
637,rund::A,rotondo,丸い
638,spitz::A,aguzzo,尖った
639,spitz::A,appuntito,尖った
640,scharf::A,affilato,鋭い
641,scharf::A,tagliente,鋭い
642,stumpf::A,smussato,鈍い
643,schwer::A,pesante,重い
644,schön::A,bello,綺麗な
645,heiß::A,caldo,熱い
646,heiß::A,bollente,熱い
647,warm::A,caldo,温かい
648,kalt::A,freddo,寒い
649,kalt::A,freddo,冷たい
650,kühl::A,fresco,涼しい
651,frisch::A,fresco,ひんやりした
652,feucht::A,ùmido,湿った
653,nass::A,bagnato,濡れた
654,trocken::A,secco,乾いた
655,voll::A,pieno,いっぱいの
656,leer::A,vuoto,空の
657,offen::A,aperto,開いた
658,geschlossen::A,chiuso,閉まった
659,sauber::A,netto,清潔な
660,sauber::A,pulito,清潔な
661,schmutzig::A,sporco,汚い
662,schmutzig::A,sùdicio,汚い
663,roh::A,crudo,生の
664,reif::A,maturo,熟した
665,lecker::A,ghiotto,美味しい
666,lecker::A,squisito,美味しい
667,süß::A,dolce,甘い
668,bitter::A,amaro,苦い
669,sauer::A,aspro,酸っぱい
670,sauer::A,acerbo,酸っぱい
671,hell::A,chiaro,明るい
672,dunkel::A,buio,暗い
673,dunkel::A,oscuro,暗い
674,schwarz::A,nero,黒い
675,weiß::A,bianco,白い
676,rot::A,rosso,赤い
677,gelb::A,giallo,黄色い
678,blau::A,blu,青い
679,blau::A,azzurro,青い
680,grün::A,verde,緑の
681,grau::A,grigio,灰色の
682,bunt::A,variopinto,色取り取りの
683,billig::A,a buon prezzo,安い
684,billig::A,a buon mercato,安い
685,teuer::A,caro,高い
686,wertvoll::A,prezioso,貴重な
687,blind::A,cieco,盲目の
688,taub::A,sordo,耳が聞こえない
689,kräftig::A,forte,強力な
690,kräftig::A,robusto,強力な
691,stark::A,forte,強い
692,stark::A,vigoroso,強い
