,Concept_ID,bn,ko
0,Auge::N,চক্ষু,눈
1,Ohr::N,কর্ণ,귀
2,Nase::N,নাক,코
3,Mund::N,মুখ,입
4,Zahn::N,দাঁত,이
5,Zunge::N,জিহবা,혀
6,Lippe::N,অধর,입술
7,Wange::N,গণ্ড,뺨
8,Gesicht::N,মুখমণ্ডল,얼굴
9,Stirn::N,কপাল,이마
10,Haar::N,চুল,털
11,Schnurrbart::N,গোঁফ,윗수몀
12,Schnurrbart::N,গোঁফ,코밑수염
13,Bart::N,শ্মশ্রু,수엄
14,Kinn::N,চিবুক,아래턱
15,Kiefer[Anatomie]::N,চোয়াল,턱
16,Kehle::N,কণ্ঠ,인후
17,Hals::N,গল,목
18,Genick::N,ঘাড়,먹덜이
19,Kopf::N,মাথা,머리
20,Rücken::N,পৃষ্ঠ,든
21,Bauch::N,উদর,배
22,Nabel::N,নাভি,배꼽
23,Busen::N,স্তন,가슴속
24,Brust::N,বুক,가슴
25,Schulter::N,স্কন্ধ,어깨
26,Arm::N,বাহু,팔
27,Ellenbogen::N,কনুই,팔쿰치
28,Hand::N,হাত,손
29,Handfläche::N,করতল,손바닥
30,Finger::N,আঙ্গুল,속가락
31,Fingernagel::N,হাতের নখ,손톱
32,Nagel[Anatomie]::N,নখ,손톱
33,Zeh::N,আঙ্গুল,발가락
34,Fuß::N,পা,발
35,Ferse::N,গোড়ালি,발꿈치
36,Knie::N,হাঁটু,무릎
37,Oberschenkel::N,ঊরু,허벅다리
38,Bein::N,পা,다리
39,Körper::N,দেহ,구간
40,Haut::N,ত্বক,살갗
41,Blut::N,রক্ত,피
42,Ader::N,শিরা,정맥
43,Sehne::N,কণ্ডরা,현
44,Knochen::N,অস্থি,뼈
45,Gehirn::N,মস্তিষ্ক,뇌
46,Gehirn::N,মস্তিষ্ক,뇌수
47,Herz::N,হৃৎপিণ্ড,염통
48,Magen::N,পাকস্থলী,위
49,Leber::N,যকৃৎ,간
50,Atem::N,শ্বাস,기식
51,Hunger::N,ক্ষুধা,공복
52,Träne::N,অশ্রু,눈물
53,Geschmack::N,স্বাদ,기호
54,Geruch::N,গন্ধ,냄새
55,Schlaf::N,ঘুম,수면
56,Traum::N,স্বপ্ন,쿰
57,Himmel::N,আকাশ,하늘
58,Sonne::N,সূর্য,해
59,Mond::N,চন্দ্র,달
60,Stern::N,নক্ষত্র,별
61,Luft::N,বায়ু,동준
62,Luft::N,বায়ু,가스채
63,Wind::N,বাতাস,바람
64,Welle::N,ঢেউ,물결
65,Welle::N,তরঙ্গ,물결
66,Wasser::N,জল,물
67,Stein::N,ঢিল,돌
68,Stein::N,প্রস্তর,돌
69,Boden::N,ভূতল,바닥
70,Erde::N,ভূমি,흙
71,Staub::N,ধুলা,먼지
72,Rauch::N,ধোঁয়া,연기
73,Funke::N,স্ফুলিঙ্গ,불티
74,Feuer::N,অগ্নি,불
75,Licht::N,আলো,불
76,Schatten::N,ছায়া,어스레함
77,Wetter::N,আবহাওয়া,기상
78,Nebel::N,কুহেলিকা,안개
79,Wolke::N,মেঘ,구름
80,Regen::N,বৃষ্টি,비
81,Schnee::N,তুষার,눈
82,Eis::N,বরফ,얼음
83,Frost::N,তুষার,혹한
84,Kälte::N,শৈত্য,추위
85,Kälte::N,শৈত্য,차가움
86,Hitze::N,তাপ,고온
87,Hitze::N,তাপ,더위
88,Raureif::N,তুহিন,
89,Regenbogen::N,রামধনু,무지개
90,Donner::N,বজ্রধ্বনি,뇌명
91,Strömung::N,স্রোত,유동
92,Tropfen::N,ফোঁটা,물방울
93,Schaum::N,ফেনা,포말
94,Schmutz::N,ধুলা,때
95,See::N,হ্রদ,호수
96,Sumpf::N,জলা,습지
97,Moor::N,মাঠ,저습지
98,Wiese::N,তৃণভূমি,목초지
99,Wald::N,বন,숲
100,Hügel::N,পাহাড়,언덕
101,Anhöhe::N,টিলা,언덕
102,Berg::N,পর্বত,산
103,Gipfel::N,শীর্ষ,졀졍
104,Höhle::N,গুহা,공동
105,Abhang::N,ঢাল,몰매
106,Quelle::N,উৎস,근원
107,Bach::N,ক্ষুদ্র নদী,내
108,Fluss::N,নদী,강
109,Ufer::N,উপকূল,강변
110,Ufer::N,উপকূল,바닷가
111,Küste::N,তীর,해변
112,Küste::N,তীর,해변가
113,Festland::N,ভূমি,본토
114,Meer::N,সমুদ্র,바다
115,Bucht::N,উপসাগর,협만
116,Insel::N,দ্বীপ,섬
117,Blume::N,ফুল,꽃
118,Gras::N,ঘাস,풀
119,Wurzel::N,শিকড়,뿌리
120,Baum::N,গাছ,나무
121,Stamm::N,স্কন্ধ,대
122,Rinde::N,বল্কল,나무껍질
123,Ast::N,শাখা,가지
124,Zweig::N,ডাল,가지
125,Blatt::N,পর্ণ,잎
126,Birke::N,ভুর্জ,자작나무
127,Kiefer[Baum]::N,পাইন গাছ,소나무
128,Weide[Baum]::N,উইলো,쉬양버들
129,Tanne::N,দেবদারূ গাছ,전나무
130,Horn::N,শিং,뿔
131,Feder::N,পালক,깃털
132,Fell::N,রোম,피혁모피
133,Flügel::N,ডানা,날개
134,Klaue::N,নখর,갈고리 발톺
135,Kralle::N,নখর,발툭
136,Schwanz::N,লেজ,꼬리
137,Ei::N,ডিম,알
138,Nest::N,কুলায়,보금자리
139,Bau::N,ডেরা,굴
140,Tier::N,জন্তু,짐승
141,Herde::N,ঝাঁক,가축의떼
142,Kuh::N,গোরু,암소
143,Bulle::N,বৃষ,황소
144,Pferd::N,ঘোড়া,말
145,Schaf::N,ভেড়া,양
146,Schwein::N,শূকর,돼지
147,Hund::N,কুকুর,개
148,Katze::N,বেড়াল,고양이
149,Bär::N,ভল্লুক,콤
150,Eichhörnchen::N,কাঠবিড়াল,다람쥐
151,Elch::N,হরিণবিশেষ,고라니
152,Fuchs::N,পাঁতিশিয়াল,여우
153,Hase::N,শশক,토끼
154,Maus::N,নেংটি ইঁদুর,쥐
155,Wolf::N,নেকড়ে,늑대
156,Vogel::N,পক্ষী,새
157,Schwarm::N,ঝাঁক,뗴
158,Huhn::N,মোরগ,암탉
159,Hahn::N,কুক্কুট,수탉
160,Gans::N,হংসী,거위
161,Adler::N,ইগল,수리
162,Ente::N,হংসী,오리
163,Eule::N,পেচক,부엉이
164,Kranich::N,সারস,두루미
165,Krähe::N,কাক,까마귀
166,Kuckuck::N,কোকিল,뻐꾸기
167,Schwan::N,মরাল,배조
168,Fisch::N,মাছ,물고기
169,Barsch::N,মৎন্যবিশেষ,농어
170,Hecht::N,বানমাছ,에속스
171,Schlange[Tier]::N,সর্প,뱀
172,Wurm::N,কীট,벌레
173,Spinne::N,মাকড়সা,거미
174,Ameise::N,পিপীলিকা,개미
175,Laus::N,উকুন,이
176,Mücke::N,মশা,모기
177,Fliege::N,মাছি,날기
178,Schmetterling::N,প্রজাপতি,나비
179,Beere::N,বেরি,장과
180,Apfel::N,আপেল,사과
181,Pilz::N,ছত্রক,고방이
182,Zwiebel::N,পিয়াজ,양파
183,Saat::N,বীজ,씨
184,Korn::N,শস্য,알맹이
185,Heu::N,খড়,건초
186,Schale::N,খোসা,피상
187,Grube::N,গর্ত,
188,Falle::N,ফাঁদ,함정
189,Schlinge::N,পাশ,올가미
190,Schlinge::N,পাশ,멜빵붕대
191,Spur::N,চিহ্ন,발지국
192,Asche::N,ভস্ম,재
193,Dreck::N,ময়লা,똥
194,Dreck::N,ময়লা,오물
195,Eisen::N,লোহা,쇠
196,Eisen::N,লোহা,철
197,Gold::N,স্বর্ণ,항금
198,Silber::N,রৌপ্য,은
199,Kohle::N,অঙ্গার,슻
200,Glas::N,কাচ,유리
201,Lehm::N,মৃত্তিকা,찰흙
202,Sand::N,বালি,모래
203,Mensch::N,নর,사람
204,Mensch::N,মানুষ,사람
205,Mann::N,মানুষ,남자
206,Frau::N,নারী,여자
207,Kind::N,বাচ্চা,아이
208,Junge::N,ছেলে,소녁
209,Mädchen::N,মেয়ে,소녀
210,Familie::N,পরিবার,가족
211,Großvater::N,মাতামহ,할아버지
212,Großmutter::N,মাতামহী,할머니
213,Eltern::N,মাতাপিতা,어버오
214,Vater::N,পিতা,아버지
215,Mutter::N,মাতা,어머니
216,Sohn::N,ছেলে,아들
217,Tochter::N,মেয়ে,딸기
218,Bruder::N,দাদা,형제
219,Schwester::N,বোন,누이
220,Schwester::N,দিদি,누이
221,Onkel::N,মামা,백부
222,Tante::N,মাসী,아주머니
223,Ehemann::N,স্বামী,남편
224,Ehefrau::N,পত্নী,아내
225,Freude::N,উল্লাস,기쁨
226,Gelächter::N,হাসি,웃음
227,Glück::N,সুখ,즐거움
228,Kummer::N,দুঃখ,슬픔
229,Wunsch::N,আকাঙ্ক্ষা,소망
230,Lust::N,বাসনা,
231,Geist::N,আত্না,할기
232,Gedanke::N,চিন্তা,상념
233,Gedächtnis::N,স্মরণশক্তি,기억
234,Verstand::N,মন,분별
235,Verstand::N,মন,지능
236,Sinn::N,পদার্থ,센스
237,Grund::N,কারণ,까닭
238,Wahrheit::N,সত্য,참
239,Wahrheit::N,সত্য,진실
240,Gespräch::N,কথাবার্তা,대화
241,Märchen::N,রূপকথা,동화
242,Erzählung::N,গল্প,이야기
243,Nachricht::N,তথ্য,
244,Neuigkeit::N,খবরাখবর,뉴스
245,Name::N,নাম,이름
246,Rätsel::N,ধাঁধা,수수께끼
247,Rede::N,বক্তৃতা,연설
248,Sprache::N,ভাষা,말
249,Stimme::N,স্বর,목소리
250,Wort::N,শব্দ,낱말
251,Zeichen::N,প্রতীক,신호
252,Ruf::N,ডাক,부름
253,Lärm::N,হৈচৈ,소동
254,Laut::N,ধ্বনি,음성
255,Ton::N,স্বর,목소리
256,Lied::N,গান,노래
257,Ruhe::N,শান্তি,쉼
258,Leute::N,প্রজাপুঞ্জ,사람들
259,Volk::N,জাতি,국중
260,Arbeit::N,চাকরি,근로
261,Arbeit::N,চাকরি,너무
262,Gast::N,অতিথি,손님
263,Geschenk::N,উপহার,행하
264,Spiel::N,খেলা,무리
265,Gesellschaft::N,সঙ্গিগণ,교제
266,Hilfe::N,সাহায্য,거들음
267,Hilfe::N,সাহায্য,보좌
268,Freund::N,বন্ধু,친구
269,Kamerad::N,সঙ্গী,동실자
270,Angelegenheit::N,বিষয়,용무
271,Anzahl::N,পরিমাণ,어떤
272,Anzahl::N,পরিমাণ,수
273,Art::N,রকম,정류
274,Stück::N,টুকরো,일부분
275,Teil::N,অংশ,몱
276,Teil::N,অংশ,구훠
277,Hälfte::N,অর্ধেক,2분의
278,Kreis::N,বৃত্ত,고리
279,Kreuz::N,ক্রুশ,열십자
280,Linie::N,রেখা,선
281,Strich::N,কষি,스침
282,Abstand::N,ফাঁক,거리
283,Entfernung::N,ব্যবধান,거리
284,Gegend::N,ক্ষেত্র,곳
285,Gegend::N,ক্ষেত্র,부금
286,Platz::N,জায়গা,장소
287,Ort::N,স্থান,장소
288,Seite::N,পার্শ্ব,옆면
289,Mitte::N,মধ্য,궁간
290,Gegenstand::N,জিনিস,항목
291,Sache::N,বস্তু,뭉에
292,Rand::N,কানা,가
293,Kante::N,ধার,귀퉁
294,Ecke::N,কোণ,구석
295,Spitze::N,ডগা,끝
296,Spitze::N,ডগা,참단
297,Ende::N,প্রান্ত,말당
298,Loch::N,গর্ত,빙옷
299,Winkel::N,কোণ,각도
300,Muster::N,নমুন্,본
301,Muster::N,নমুন্,견복
302,Größe::N,আয়তন,신장
303,Länge::N,দৈর্ঘ্য,길이긺
304,Höhe::N,উচ্চতা,높이
305,Gewicht::N,ওজন,추
306,Menge::N,পরিমাণ,수양
307,Haufen::N,পুঞ্জ,퇴적
308,Reihe::N,শ্রেণী,열
309,Boot::N,নৌকা,보트
310,Ruder::N,দাঁড়,노
311,Schlitten::N,স্নেজ্-গাড়ি,썰매
312,Ski::N,শী,스키
313,Lagerfeuer::N,অগ্নি,캠프의 모닥불
314,Last::N,বোঝা,무거운짐
315,Gang::N,হণ্টন,걸음
316,Schritt::N,পদ,보조
317,Norden::N,উত্তরদিক্,북쪽 
318,Süden::N,দক্ষিণদিক,남쪽
319,Westen::N,পশ্চিমদিক্,서쪽
320,Osten::N,পূর্বদিক,동쪽
321,Holz::N,কাঠ,목재
322,Brett::N,তক্তা,마루널
323,Platte::N,ফলক,탤
324,Platte::N,ফলক,금속판
325,Stütze::N,নাগদণ্ড,버팀목
326,Stange::N,দণ্ড,장대
327,Stock::N,ছড়ি,막대기
328,Stab::N,যষ্টি,작대기
329,Rohr::N,নল,갈대
330,Haus::N,ঘর,집
331,Heim::N,বাসা,집
332,Ofen::N,স্টোভ্,아궁이
333,Fußboden::N,গহতল,마루
334,Tisch::N,মেজ,탁자
335,Tisch::N,টেবিল,탁자
336,Stuhl::N,চেয়ার,의자
337,Stuhl::N,কেদারা,의자
338,Wiege::N,দোলনা,발상지
