,Concept_ID,mdf,tt
0,Auge::N,сельме,күз
1,Ohr::N,пиле,колак
2,Nase::N,шалхка,борын
3,Mund::N,курга,авыз
4,Mund::N,курга,тамак
5,Zahn::N,пей,теш
6,Zunge::N,кяль,тел
7,Lippe::N,търва́,ирен
8,Wange::N,щёка,яңак
9,Gesicht::N,шама,йөз
10,Stirn::N,коня,маңгай
11,Haar::N,шя́ярь,чәч
12,Schnurrbart::N,уса́,мыек
13,Bart::N,сакал,сакал
14,Kinn::N,ула,ияк
15,Kiefer[Anatomie]::N,саласка,казналык
16,Kehle::N,кълдома,тамак
17,Kehle::N,кърга́парь,тамак
18,Hals::N,сялдаз,бугаз
19,Genick::N,шовонь,җилкә
20,Kopf::N,пря,баш
21,Rücken::N,копорь,сырт
22,Bauch::N,пеке,корсак
23,Nabel::N,по́кон,кендек
24,Busen::N,потя,түш
25,Brust::N,мяште,имчәк
26,Brust::N,мяште,күкрәк
27,Schulter::N,лафту,иңбаш
28,Schulter::N,лафту,кулбаш
29,Arm::N,кядь,кул
30,Ellenbogen::N,кенерьба́карь,терсәк
31,Hand::N,кядь,кул
32,Handfläche::N,кядьлапш,уч
33,Finger::N,сур,бармак
34,Fingernagel::N,кенже,тырнак
35,Nagel[Anatomie]::N,кенже,тырнак
36,Zeh::N,пильгосу́р,бармак
37,Fuß::N,пильге,табан
38,Fuß::N,пильгелапа,табан
39,Ferse::N,кочкяря,үкчә
40,Knie::N,эль,тез
41,Knie::N,пълма́нжа,тез
42,Oberschenkel::N,пильгепукша,бот
43,Bein::N,пильге,аяк
44,Körper::N,ро́нга,тән
45,Körper::N,ро́нга,җисем
46,Körper::N,по́нда,тән
47,Körper::N,по́нда,җисем
48,Haut::N,киське,тире
49,Blut::N,вер,кан
50,Ader::N,сан,тамыр
51,Ader::N,верза́н,тамыр
52,Sehne::N,коське сан,сеңер
53,Knochen::N,пакарь,сөяк
54,Gehirn::N,уй,ми
55,Herz::N,седи,йөрәк
56,Magen::N,коткърдазь,ашказаны
57,Leber::N,макса,бавыр
58,Atem::N,лекома,сулыш
59,Atem::N,ваймонь тарксема,сулыш
60,Hunger::N,вачеши,ачлык
61,Träne::N,сельмове́дь,яшь
62,Geschmack::N,таньф,тәм
63,Geschmack::N,таньф,зәвык
64,Geruch::N,шине,ис
65,Schlaf::N,удома́,йокы
66,Traum::N,он,төш
67,Himmel::N,менель,күк
68,Sonne::N,ши,кояш
69,Mond::N,ков,ай
70,Stern::N,тяште,йолдыз
71,Luft::N,кожф,һава
72,Wind::N,варма,җил
73,Welle::N,тавла,дулкын
74,Wasser::N,ведь,су
75,Stein::N,кев,таш
76,Boden::N,мода,туфрак
77,Boden::N,потмакс,туфрак
78,Erde::N,мода,җир
79,Erde::N,мастор,җир
80,Staub::N,пуль,тузан
81,Rauch::N,качам,төтен
82,Funke::N,ця́тка,очкын
83,Feuer::N,тол,ут
84,Licht::N,ва́лда,якты
85,Schatten::N,цильф,күләгә
86,Wetter::N,уша,һава
87,Nebel::N,тума́н,томан
88,Wolke::N,ковол,болыт
89,Regen::N,пизем,яңгыр
90,Schnee::N,лов,кар
91,Eis::N,эй,боз
92,Frost::N,ке́льме,суык
93,Frost::N,ке́льме,салкын
94,Kälte::N,якшама,суык
95,Kälte::N,якшама,салкын
96,Hitze::N,пси,эсселек
97,Raureif::N,леш,бәс
98,Raureif::N,леш,сыкы
99,Regenbogen::N,а́тямъёнга,салават күпере
100,Donner::N,атям,күкрәү
101,Strömung::N,шудема́,агыш'агым
102,Tropfen::N,путькс,тамчы
103,Tropfen::N,пътняфкс,тамчы
104,Schaum::N,шов,күбек
105,Schmutz::N,ърда́з,пычрак
106,See::N,эрьхке,күл
107,Sumpf::N,шяй,саз
108,Moor::N,шяй,торфлык
109,Wiese::N,луга,болын
110,Wald::N,вирь,урман
111,Hügel::N,губо́р,калку
112,Hügel::N,пандоня,калку
113,Anhöhe::N,губо́р,үр
114,Berg::N,панда,тау
115,Gipfel::N,пря,оч
116,Höhle::N,у́нда,мәгарә
117,Abhang::N,па́нда ша́ма,кабырга
118,Quelle::N,эшиня,чишмә
119,Bach::N,шудерькс,елга
120,Fluss::N,ляй,дәрья
121,Ufer::N,търва́,су кырые
122,Küste::N,ляйтърва́,яр буе
123,Festland::N,мода,коры җир
124,Meer::N,моря,диңгез
125,Bucht::N,ведьуське,бухта
126,Bucht::N,ведьуське,култык
127,Insel::N,цёнга,атау
128,Insel::N,цёнга,утрау
129,Blume::N,панчф,чәчкә
130,Gras::N,тише,үлән
131,Wurzel::N,юр,тамыр
132,Wurzel::N,ункс,тамыр
133,Baum::N,шуфта,агач
134,Stamm::N,ро́нга,кәүсә
135,Rinde::N,кер,кабык
136,Ast::N,морга,ботак
137,Zweig::N,тарад,ботак
138,Zweig::N,тарад,тармак
139,Blatt::N,лопа,яфрак
140,Birke::N,ке́лу,каен
141,Kiefer[Baum]::N,пиче,нарат
142,Weide[Baum]::N,каль,тал
143,Tanne::N,куз,чыршы
144,Horn::N,сюра,мөгез
145,Feder::N,толга,йон
146,Fell::N,кедь,тире
147,Flügel::N,паця,канат
148,Klaue::N,кенже,тырнак
149,Kralle::N,кенже,тырнак
150,Schwanz::N,пула,койрык
151,Ei::N,ал,күкәй
152,Ei::N,ал,йомырка
153,Nest::N,пиза,оя
154,Bau::N,пиза,өн
155,Tier::N,жува́та,хайван
156,Herde::N,нал,көтү
157,Herde::N,стада,көтү
158,Kuh::N,скал,сыер
159,Kuh::N,тракс,сыер
160,Bulle::N,бука,үгез
161,Pferd::N,лишме,ат
162,Schaf::N,уча́,сарык
163,Schwein::N,тува,дуңгыз
164,Hund::N,пине,эт
165,Katze::N,катоня,песи
166,Katze::N,аваката,песи
167,Bär::N,офта,аю
168,Eichhörnchen::N,ур,тиен
169,Elch::N,ся́рда,поши
170,Fuchs::N,келазь,төлке
171,Hase::N,ну́мол,куян
172,Maus::N,шеер,тычкан
