,Concept_ID,se,tt
0,Auge::N,tjelmie,күз
1,Auge::N,tjalmme,күз
2,Auge::N,čalbmi,күз
3,Auge::N,čalme,күз
4,Auge::N,čâ´lmm,күз
5,Auge::N,ча̄лльм,күз
6,Ohr::N,bieljie,колак
7,Ohr::N,biellje,колак
8,Ohr::N,beallji,колак
9,Ohr::N,pelji,колак
10,Ohr::N,pe´llj,колак
11,Ohr::N,пе̄лльй,колак
12,Nase::N,njuenie,борын
13,Nase::N,njunnje,борын
14,Nase::N,njunni,борын
15,Nase::N,njuṇe,борын
16,Nase::N,njuu´nn,борын
17,Nase::N,нюннҍ,борын
18,Mund::N,njaelmie,авыз
19,Mund::N,njaelmie,тамак
20,Mund::N,njálmme,авыз
21,Mund::N,njálmme,тамак
22,Mund::N,njálbmi,авыз
23,Mund::N,njálbmi,тамак
24,Mund::N,njälmi,авыз
25,Mund::N,njälmi,тамак
26,Mund::N,njä´lmm,авыз
27,Mund::N,njä´lmm,тамак
28,Mund::N,ня̄лльм,авыз
29,Mund::N,ня̄лльм,тамак
30,Zahn::N,baenie,теш
31,Zahn::N,bádne,теш
32,Zahn::N,bátni,теш
33,Zahn::N,pääṇi,теш
34,Zahn::N,pää´nn,теш
35,Zahn::N,па̄ннҍ,теш
36,Zunge::N,njoektjeme,тел
37,Zunge::N,njuovtjav,тел
38,Zunge::N,njuovčča,тел
39,Zunge::N,njuovčâ,тел
40,Zunge::N,njuhččâm,тел
41,Zunge::N,нюхчем,тел
42,Lippe::N,bangseme,ирен
43,Lippe::N,njálmmerabdda,ирен
44,Lippe::N,bavssa,ирен
45,Lippe::N,poovsâ,ирен
46,Lippe::N,põõus,ирен
47,Lippe::N,пэ̄кс,ирен
48,Wange::N,skiehrie,яңак
49,Wange::N,nierra,яңак
50,Wange::N,muohtu,яңак
51,Wange::N,nieṛâ,яңак
52,Wange::N,njiõrr,яңак
53,Wange::N,нӣрр,яңак
54,Gesicht::N,ååredæjja,йөз
55,Gesicht::N,muohto,йөз
56,Gesicht::N,muođut,йөз
57,Gesicht::N,ámadadju,йөз
58,Gesicht::N,muáđuh,йөз
59,Gesicht::N,muâđ,йөз
60,Gesicht::N,ка̄ссв,йөз
61,Stirn::N,gaalloe,маңгай
62,Stirn::N,gállo,маңгай
63,Stirn::N,gállu,маңгай
64,Stirn::N,kállu,маңгай
65,Stirn::N,käll,маңгай
66,Stirn::N,вуэххьц,маңгай
67,Haar::N,voepte,чәч
68,Haar::N,vuoppta,чәч
69,Haar::N,vuokta,чәч
70,Haar::N,vuop'tâ,чәч
71,Haar::N,vuõpt,чәч
72,Haar::N,вӯппт,чәч
73,Schnurrbart::N,bijjie-skaavtjoe,мыек
74,Schnurrbart::N,njunjevuolskávttjá,мыек
75,Schnurrbart::N,seamu,мыек
76,Schnurrbart::N,siämu,мыек
77,Schnurrbart::N,ää´bben,мыек
78,Schnurrbart::N,о̄а̄бпан,мыек
79,Bart::N,skaavtja,сакал
80,Bart::N,skaavtjoe,сакал
81,Bart::N,skávttjá,сакал
82,Bart::N,seamu,сакал
83,Bart::N,siämu,сакал
84,Bart::N,seäm,сакал
85,Bart::N,ся̄м,сакал
86,Kinn::N,gaejpie,ияк
87,Kinn::N,gájbbe,ияк
88,Kinn::N,gáibi,ияк
89,Kinn::N,käibi,ияк
90,Kinn::N,käi´bb,ияк
91,Kinn::N,ка̄ййп,ияк
92,Kiefer[Anatomie]::N,gaejpie,казналык
93,Kiefer[Anatomie]::N,oalol,казналык
94,Kiefer[Anatomie]::N,oaloldákte,казналык
95,Kiefer[Anatomie]::N,gáibi,казналык
96,Kiefer[Anatomie]::N,uá'lultähti,казналык
97,Kiefer[Anatomie]::N,vuâl'lõš,казналык
98,Kiefer[Anatomie]::N,вуаллнешш,казналык
99,Kehle::N,gealoe,тамак
100,Kehle::N,tjåttå,тамак
101,Kehle::N,njiello,тамак
102,Kehle::N,čotta,тамак
103,Kehle::N,čuudâ,тамак
104,Kehle::N,čoodd,тамак
105,Kehle::N,чонт,тамак
106,Kehle::N,кэ̄ҏс,тамак
107,Hals::N,tjeapohke,бугаз
108,Hals::N,tjiebet,бугаз
109,Hals::N,čeabet,бугаз
110,Hals::N,čiäppát,бугаз
111,Hals::N,čeäppat,бугаз
112,Hals::N,ча̄пэх,бугаз
113,Genick::N,tjovrese,җилкә
114,Genick::N,nisske,җилкә
115,Genick::N,niehkki,җилкә
116,Genick::N,niski,җилкә
117,Genick::N,niek'ki,җилкә
118,Genick::N,nji´šǩǩmaadd,җилкә
119,Genick::N,нышшькмоант,җилкә
120,Kopf::N,åejjie,баш
121,Kopf::N,oajvve,баш
122,Kopf::N,oaivi,баш
123,Kopf::N,uái'vi,баш
124,Kopf::N,vuei´vv,баш
125,Kopf::N,вуэййв,баш
126,Rücken::N,rudtje,сырт
127,Rücken::N,hárddo,сырт
128,Rücken::N,tjavelk,сырт
129,Rücken::N,sealgi,сырт
130,Rücken::N,selgi,сырт
131,Rücken::N,čielgi,сырт
132,Rücken::N,seä´lǧǧ,сырт
133,Rücken::N,се̄лльк,сырт
134,Bauch::N,tjåejjie,корсак
135,Bauch::N,tjoajvve,корсак
136,Bauch::N,čoavji,корсак
137,Bauch::N,čuáv'ji,корсак
138,Bauch::N,čåu´jj,корсак
139,Bauch::N,чо̄ввьй,корсак
140,Nabel::N,naepie,кендек
141,Nabel::N,náhpe,кендек
142,Nabel::N,náhpi,кендек
143,Nabel::N,nääpi,кендек
144,Nabel::N,nää´pp,кендек
145,Nabel::N,на̄бпь,кендек
146,Busen::N,boenge,түш
147,Busen::N,bållå,түш
148,Busen::N,čižži,түш
149,Busen::N,njamma,түш
150,Busen::N,njižže,түш
151,Busen::N,nje´ǯǯ,түш
152,Busen::N,раннҍт,түш
153,Brust::N,mïelke,имчәк
154,Brust::N,mïelke,күкрәк
155,Brust::N,radde,имчәк
156,Brust::N,radde,күкрәк
157,Brust::N,mielgga,имчәк
158,Brust::N,mielgga,күкрәк
159,Brust::N,raddi,имчәк
160,Brust::N,raddi,күкрәк
161,Brust::N,radde,имчәк
162,Brust::N,radde,күкрәк
163,Brust::N,râ´dd,имчәк
164,Brust::N,râ´dd,күкрәк
165,Brust::N,раннҍт,имчәк
166,Brust::N,раннҍт,күкрәк
167,Schulter::N,åelkie,иңбаш
168,Schulter::N,åelkie,кулбаш
169,Schulter::N,oalgge,иңбаш
170,Schulter::N,oalgge,кулбаш
171,Schulter::N,hárdu,иңбаш
172,Schulter::N,hárdu,кулбаш
173,Schulter::N,ärdee,иңбаш
174,Schulter::N,ärdee,кулбаш
175,Schulter::N,uál'gi,иңбаш
176,Schulter::N,uál'gi,кулбаш
177,Schulter::N,a´rddi,иңбаш
178,Schulter::N,a´rddi,кулбаш
179,Schulter::N,vuä´lǧǧ,иңбаш
180,Schulter::N,vuä´lǧǧ,кулбаш
181,Schulter::N,вуэллык,иңбаш
182,Schulter::N,вуэллык,кулбаш
183,Arm::N,gïete,кул
184,Arm::N,giehta,кул
185,Arm::N,giehta,кул
186,Arm::N,kietâ,кул
187,Arm::N,kie'tâkaaṿâ,кул
188,Arm::N,ǩiõtt,кул
189,Arm::N,кӣдт,кул
190,Ellenbogen::N,gernjere,терсәк
191,Ellenbogen::N,garŋŋel,терсәк
192,Ellenbogen::N,gargŋil,терсәк
193,Ellenbogen::N,käŋŋir,терсәк
194,Ellenbogen::N,kõõnjâr,терсәк
195,Ellenbogen::N,карьнэль,терсәк
196,Hand::N,gïete,кул
197,Hand::N,giehta,кул
198,Hand::N,giehta,кул
199,Hand::N,kietâ,кул
200,Hand::N,ǩiõtt,кул
201,Hand::N,кӣдт,кул
202,Handfläche::N,gïeten-låapoe,уч
203,Handfläche::N,giehtavuodo,уч
204,Handfläche::N,tjårmmåvuodo,уч
205,Handfläche::N,giehtaloahpu,уч
206,Handfläche::N,kiämád,уч
207,Handfläche::N,kuámmir,уч
208,Handfläche::N,kuä´m'mer,уч
209,Handfläche::N,ǩiõttǩeä´m'men,уч
210,Handfläche::N,ко̄а̄ллдэгк,уч
211,Handfläche::N,кӣдткоалдэгк,уч
212,Finger::N,soerme,бармак
213,Finger::N,tjuvdde,бармак
214,Finger::N,suorbma,бармак
215,Finger::N,čuvde,бармак
216,Finger::N,suor'mâ,бармак
217,Finger::N,suõrmm,бармак
218,Finger::N,це̄ххп,бармак
219,Fingernagel::N,gadtse,тырнак
220,Fingernagel::N,guehpere,тырнак
221,Fingernagel::N,gadtsa,тырнак
222,Fingernagel::N,gazza,тырнак
223,Fingernagel::N,kozzâ,тырнак
224,Fingernagel::N,kõʒʒ,тырнак
225,Fingernagel::N,кэ̄ннц,тырнак
226,Nagel[Anatomie]::N,gadtse,тырнак
227,Nagel[Anatomie]::N,guehpere,тырнак
228,Nagel[Anatomie]::N,gadtsa,тырнак
229,Nagel[Anatomie]::N,gazza,тырнак
230,Nagel[Anatomie]::N,kozzâ,тырнак
231,Nagel[Anatomie]::N,kõʒʒ,тырнак
232,Nagel[Anatomie]::N,кэ̄ннц,тырнак
233,Zeh::N,tjiehtjere,бармак
234,Zeh::N,juolggetjuvdde,бармак
235,Zeh::N,juolgesuorbma,бармак
236,Zeh::N,jyel'gisuor'mâ,бармак
237,Zeh::N,jue´lǧǧsuõrmm,бармак
238,Zeh::N,ю̄лльк-це̄һп,бармак
239,Fuß::N,juelkie,табан
240,Fuß::N,juolgge,табан
241,Fuß::N,juolgi,табан
242,Fuß::N,jyel'gi,табан
