,Concept_ID,ka,br
0,Auge::N,თვალი,lagad
1,Ohr::N,ყური,skouarn
2,Nase::N,ცხვირი,fri
3,Mund::N,პირი,genoù
4,Zahn::N,კბილი,dant
5,Zunge::N,ენა,teod
6,Lippe::N,ბაგე,muzell
7,Wange::N,ლოყა,chot
8,Gesicht::N,სახე,dremm
9,Stirn::N,შუბლი,tal
10,Haar::N,თმა,blev
11,Schnurrbart::N,ულვაში,mourenn
12,Bart::N,წვერი,barv
13,Kinn::N,ნიკაპი,groñj
14,Kiefer[Anatomie]::N,ყბა,javed
15,Kehle::N,ყელი,gouzoug
16,Hals::N,ყელი,gouzoug
17,Hals::N,კისერი,gouzoug
18,Genick::N,კეფა,choug
19,Kopf::N,თავი,penn
20,Rücken::N,ზურგი,kein
21,Bauch::N,მუცელი,kof
22,Nabel::N,ჭიპი,begel
23,Busen::N,ძუძუ,bronn
24,Brust::N,მკერდი,bruched
25,Schulter::N,მხარი,skoaz
26,Schulter::N,მკლავი,skoaz
27,Arm::N,ხელი,brec'h
28,Ellenbogen::N,იდაყვი,ilin
29,Hand::N,ხელი,dorn
30,Handfläche::N,ნები,palv
31,Handfläche::N,ხელისგული,palv
32,Finger::N,თითი,biz
33,Fingernagel::N,ფრჩხილი,ivin
34,Nagel[Anatomie]::N,ფრჩხილი,ivin
35,Zeh::N,ფეხის თითი,biz-troad
36,Fuß::N,ტერფი,troad
37,Fuß::N,ფეხისგული,troad
38,Ferse::N,ქუსლი,seul
39,Knie::N,მუხლი,glin
40,Oberschenkel::N,ბარძაყი,morzhed
41,Bein::N,ფეხი,gar
42,Körper::N,ტანი,korf
43,Körper::N,სხეული,korf
44,Haut::N,კანი,kroc'hen
45,Blut::N,სისხლი,gwad
46,Ader::N,ძარღვი,gwazhi
47,Sehne::N,მყესი,stir
48,Knochen::N,ძვალი,askorn
49,Gehirn::N,ტვინი,empenn
50,Herz::N,გული,kalon
51,Magen::N,კუჭი,stomog
52,Leber::N,ღვიძლი,avu
53,Atem::N,სუნთქვა,anal
54,Hunger::N,შიმშილი,naon
55,Träne::N,ცრემლი,daer
56,Geschmack::N,გემო,blaz
57,Geruch::N,სუნი,c'hwezh
58,Schlaf::N,ძილი,kousked
59,Traum::N,სიზმარი,hune
60,Himmel::N,ცა,oabl
61,Sonne::N,მზე,heol
62,Mond::N,მთვარე,loar
63,Stern::N,ვარსკვლავი,steredenn
64,Luft::N,ჰაერი,aer
65,Wind::N,ქარი,avel
66,Welle::N,ტალღა,houlenn
67,Wasser::N,წყალი,dour
68,Stein::N,ქვა,maen
69,Boden::N,მიწა,tachenn
70,Erde::N,ნიადაგი,douar
71,Staub::N,მტვერი,poultr
72,Rauch::N,ბოლი,moged
73,Rauch::N,კვამლი,moged
74,Funke::N,ნაკვესი,ful
75,Feuer::N,ცეცხლი,tan
76,Licht::N,შუქი,gouloù
77,Licht::N,სინათლე,gouloù
78,Schatten::N,ლანდი,disheol
79,Schatten::N,ჩრდილი,disheol
80,Wetter::N,ამინდი,amzer
81,Nebel::N,ნისლი,brumenn
82,Wolke::N,ღრუბელი,koumoulenn
83,Regen::N,წვიმა,glav
84,Schnee::N,თოვლი,erc'h
85,Eis::N,თოში,skorn
86,Eis::N,ყინული,skorn
87,Frost::N,ყინვა,rev
88,Kälte::N,სიცივე,yen
89,Hitze::N,სიცხე,tommder
90,Raureif::N,ჭირხლი,frim
91,Raureif::N,თრთვილი,frim
92,Regenbogen::N,ცისარტყელა,gwareg-ar-glav
93,Donner::N,ქუხილი,kurun
94,Strömung::N,დინება,red
95,Tropfen::N,წვეთი,bannac'h
96,Tropfen::N,წვეთი,takenn
97,Schaum::N,ქაფი,spoum
98,Schaum::N,დორბლი,spoum
99,Schmutz::N,ჭუჭყი,fank
100,Schmutz::N,ტალახი,fank
101,See::N,ტბა,lenn
102,Sumpf::N,ჭაობი,gwern
103,Moor::N,ტორფნარი,taouarc'heg
104,Wiese::N,ველი,prad
105,Wiese::N,მდელო,prad
106,Wald::N,ტყე,koad
107,Hügel::N,ბორცვი,torgenn
108,Anhöhe::N,მაღლობი,run
109,Berg::N,მთა,menez
110,Gipfel::N,მწვერვალი,barr
111,Höhle::N,მღვიმე,kav
112,Höhle::N,გამოქვებული,kav
113,Abhang::N,ფერდობი,naou
114,Quelle::N,წყარო,feunteun
115,Quelle::N,სათავე,feunteun
116,Bach::N,რუ,gwazh
117,Bach::N,ნაკადული,gwazh
118,Fluss::N,მდინარე,stêr
119,Ufer::N,კიდე,ribl
120,Ufer::N,ნაპირი,ribl
121,Küste::N,ნაპირი,aod
122,Festland::N,ხმელეთი,douar
123,Meer::N,ზღვა,mor
124,Bucht::N,ყურე,mor-bihan
125,Insel::N,კუნძული,enez
126,Blume::N,ყვავილი,bleunienn
127,Gras::N,ბალახი,geot
128,Wurzel::N,ძირი,gwrizienn
129,Wurzel::N,ფესვი,gwrizienn
130,Baum::N,ხე,gwezenn
131,Stamm::N,ტანი,kef
132,Rinde::N,ქერქი,rusk
133,Ast::N,ტოტი,barr
134,Zweig::N,შტო,bod
135,Blatt::N,ფოთოლი,delienn
136,Birke::N,არყი,bezvenn
137,Kiefer[Baum]::N,ფიჭვი,pinenn
138,Weide[Baum]::N,ტირიფი,halegenn
139,Tanne::N,ნაძვი,sapenn
140,Horn::N,რქა,korn
141,Feder::N,ფრთა,pluñv
142,Fell::N,ტყავი,kreoñ
143,Flügel::N,ფრთა,askell
144,Klaue::N,კლანჭი,skilf
145,Kralle::N,ტორი,skilf
146,Schwanz::N,კუდი,lost
147,Ei::N,კვერცხი,vi
148,Nest::N,ბუდე,neizh
149,Bau::N,სორო,douarenn
150,Tier::N,ნადირი,loen
151,Tier::N,ცხოველი,loen
152,Herde::N,ფარა,tropell
153,Kuh::N,ფური,buoc'h
154,Kuh::N,ძროხა,buoc'h
155,Bulle::N,ხარი,tarv
156,Pferd::N,რაში,marc'h
157,Pferd::N,ცხენი,marc'h
158,Schaf::N,ცხვარი,dañvad
159,Schwein::N,ღორი,pemoc'h
160,Hund::N,ძაღლი,ki
161,Katze::N,კატა,kazh
162,Bär::N,დათვი,arzh
163,Eichhörnchen::N,ციყვი,gwiñver
164,Elch::N,ცხენ-ირემი,karv-dour
165,Fuchs::N,მელა,louarn
166,Hase::N,კურდღელი,gad
167,Maus::N,თაგვი,logodenn
168,Wolf::N,მგელი,bleiz
169,Vogel::N,ჩიტი,labous
170,Vogel::N,ფრინველი,labous
171,Schwarm::N,გუნდი,nijad
172,Huhn::N,დედალი,yar
173,Hahn::N,მამალი,kilhog
174,Gans::N,ბატი,gwazenn
175,Adler::N,არწივი,erer
176,Ente::N,იხვი,houad
177,Eule::N,ბუ,toud
178,Kranich::N,წერო,garan
179,Krähe::N,ყვავი,bran
180,Kuckuck::N,გუგული,koukoug
181,Schwan::N,გედი,alarc'h
182,Fisch::N,თევზი,pesk
183,Barsch::N,ქორჭილა,brell
184,Hecht::N,ქარიყლაპია,beked
185,Schlange[Tier]::N,გველი,naer
186,Wurm::N,ჭია,preñv
187,Spinne::N,ობობა,kevnidenn
188,Ameise::N,ჭიანჭველა,merion
189,Laus::N,ტილი,laouenn
190,Laus::N,მკბენარი,laouenn
191,Mücke::N,კოღო,moustik
192,Fliege::N,ბუზი,kelienenn
193,Schmetterling::N,პეპელა,balafenn
194,Beere::N,კენკრა,hog
195,Apfel::N,ვაშლი,aval
196,Pilz::N,სოკო,kabell-touseg
197,Zwiebel::N,ხახვი,ognonenn
198,Saat::N,თესლი,had
199,Korn::N,მარცვალი,ed
200,Heu::N,თივა,foenn
201,Schale::N,ჩენჩო,peliadur
202,Grube::N,ორმო,
203,Falle::N,ხაფანგი,pech
204,Schlinge::N,მახე,krouglas
205,Spur::N,კვალი,
206,Asche::N,ფერფლი,ludu
207,Dreck::N,ტალახი,fank
208,Dreck::N,სიბინძურე,fank
209,Eisen::N,რკინა,houarn
210,Gold::N,ოქრო,aour
211,Silber::N,ვერცხლი,arc'hant
212,Kohle::N,ნახშირი,glaou
213,Glas::N,მინა,gwer
214,Lehm::N,თიხა,
215,Sand::N,ქვიშა,traezh
216,Mensch::N,ადამიანი,den
217,Mann::N,კაცი,den
218,Frau::N,ქალი,maouez
219,Kind::N,ბავშვი,bugel
220,Junge::N,ვაჟი,paotr
221,Mädchen::N,გოგო,plac'h
222,Familie::N,ოჯახი,familh
223,Großvater::N,პაპა,tad-kozh
224,Großvater::N,ბაბუა,tad-kozh
225,Großmutter::N,ბებია,mamm-gozh
226,Großmutter::N,დიდედა,mamm-gozh
227,Eltern::N,მშობლები,kerent
228,Vater::N,მამა,tad
229,Mutter::N,დედა,mamm
230,Sohn::N,ვაჟიშვილი,mab
231,Tochter::N,ქალიშვილი,merc'h
232,Bruder::N,ძმა,breur
233,Schwester::N,და,c'hoar
234,Onkel::N,ბიძა,eontr
235,Tante::N,დეიდა,moereb
236,Tante::N,მამიდა,moereb
237,Ehemann::N,ქმარი,gwaz
238,Ehefrau::N,ცოლი,gwreg
239,Freude::N,სიხარული,levenez
240,Gelächter::N,სიცილი,c'hoarzherezh
241,Glück::N,ბედნიერება,chañs
242,Kummer::N,მწუხარება,doan
243,Wunsch::N,წადილი,c'hoant
244,Wunsch::N,სურვილი,c'hoant
245,Lust::N,წადილი,c'hoant
246,Geist::N,სული,spered
247,Gedanke::N,ფიქრი,soñj
248,Gedächtnis::N,მეხსიერება,eñvor
249,Verstand::N,ჭკუა,skiant
250,Verstand::N,გონება,skiant
251,Sinn::N,მნიშვნელობა,ster
252,Grund::N,მიზეზი,kaoz
253,Wahrheit::N,სიმართლე,gwirionez
254,Wahrheit::N,ჭეშმარიტება,gwirionez
255,Gespräch::N,ბაასი,kaozeadenn
256,Gespräch::N,საუბარი,kaozeadenn
257,Märchen::N,არაკი,kaoz korriganez
