,Concept_ID,cy,lt
0,Auge::N,llygad,akis
1,Ohr::N,clust,ausis
2,Nase::N,trwyn,nosis
3,Mund::N,ceg,burna
4,Zahn::N,dant,dantis
5,Zunge::N,tafod,liežuvis
6,Lippe::N,gwefus,lūpa
7,Wange::N,boch,žandas
8,Wange::N,boch,skruostas
9,Gesicht::N,wyneb,veidas
10,Stirn::N,talcen,kakta
11,Haar::N,blew,plaukai
12,Schnurrbart::N,mwstas,ūsai
13,Bart::N,barf,barzda
14,Kinn::N,gên,smakras
15,Kiefer[Anatomie]::N,gên,žandikaulis
16,Kehle::N,gwddf,gerklė
17,Hals::N,gwddf,kaklas
18,Genick::N,gwar,sprandas
19,Genick::N,gwegil,sprandas
20,Kopf::N,pen,galva
21,Rücken::N,cefn,nugara
22,Bauch::N,bol,pilvas
23,Nabel::N,bogail,bamba
24,Busen::N,bron,krūtinė
25,Brust::N,brest,krūtis
26,Schulter::N,ysgwydd,petys
27,Arm::N,braich,ranka
28,Ellenbogen::N,penelin,alkūnė
29,Hand::N,llaw,ranka
30,Hand::N,llaw,plaštaka
31,Handfläche::N,palf,delnas
32,Handfläche::N,palf,plaštaka
33,Finger::N,bys,pirštas
34,Fingernagel::N,ewin,nagas
35,Nagel[Anatomie]::N,ewin,nagas
36,Zeh::N,bys troed,pirštas
37,Fuß::N,troed,pėda
38,Ferse::N,sawdl,kulnas
39,Knie::N,glin,kelis
40,Oberschenkel::N,clun,kulšis
41,Oberschenkel::N,clun,šlaunis
42,Bein::N,coes,koja
43,Körper::N,corff,kūnas
44,Haut::N,croen,oda
45,Blut::N,gwaed,kraujas
46,Ader::N,gwythïen,kraujagyslė
47,Sehne::N,gewyn,sausgyslė
48,Knochen::N,asgwrn,kaulas
49,Gehirn::N,ymennydd,smegenys
50,Herz::N,calon,širdis
51,Magen::N,cylla,skrandis
52,Magen::N,stumog,skrandis
53,Leber::N,iau,kepenys
54,Atem::N,anadl,kvapas
55,Hunger::N,newyn,badas
56,Hunger::N,newyn,alkis
57,Träne::N,deigryn,ašara
58,Geschmack::N,cyflas,skonis
59,Geruch::N,aroglau,kvapas
60,Schlaf::N,cwsg,miegas
61,Traum::N,breuddwyd,sapnas
62,Himmel::N,awyr,dangus
63,Sonne::N,haul,saulė
64,Mond::N,lleuad,mėnulis
65,Stern::N,seren,žvaigždė
66,Luft::N,awyr,oras
67,Wind::N,gwynt,vėjas
68,Welle::N,ton,banga
69,Welle::N,ton,vilnis
70,Wasser::N,dŵr,vanduo
71,Stein::N,carreg,akmuo
72,Boden::N,llawr,žemė
73,Boden::N,llawr,dugnas
74,Erde::N,pridd,žemė
75,Staub::N,llwch,dulkės
76,Rauch::N,mwg,dūmai
77,Funke::N,gwreichioni,kibirkštis
78,Feuer::N,tân,ugnis
79,Licht::N,golau,šviesa
80,Schatten::N,cysgod,paūksmė
81,Wetter::N,tywydd,oras
82,Nebel::N,niwl,migla
83,Nebel::N,niwl,rūkas
84,Wolke::N,cwmwl,debesis
85,Regen::N,glaw,lietus
86,Schnee::N,ôd,sniegas
87,Schnee::N,eira,sniegas
88,Eis::N,iâ,ledas
89,Frost::N,rhew,šalna
90,Kälte::N,oerni,šaltis
91,Kälte::N,annwyd,šaltis
92,Hitze::N,gwres,karštis
93,Raureif::N,barrug,šerkšnas
94,Regenbogen::N,enfys,vaivorykštė
95,Donner::N,tyrfau,perkūnas
96,Donner::N,tyrfau,griaustinis
97,Strömung::N,cerrynt,tėkmė
98,Tropfen::N,dafn,lašas
99,Tropfen::N,diferyn,lašas
100,Schaum::N,ewyn,putos
101,Schmutz::N,baw,purvas
102,Schmutz::N,budreddi,purvas
103,See::N,llyn,ežeras
104,Sumpf::N,cors,klampynė
105,Sumpf::N,cors,liūnas
106,Moor::N,rhos,pelkė
107,Wiese::N,dôl,pieva
108,Wald::N,coedwig,miškas
109,Hügel::N,bryn,kalva
110,Anhöhe::N,bryn,kauburys
111,Berg::N,mynydd,kalnas
112,Gipfel::N,copa,viršūnė
113,Höhle::N,ogof,ola
114,Abhang::N,llethr,šlaitas
115,Abhang::N,llethr,nuokalnė
116,Quelle::N,tarddiad,versmė
117,Quelle::N,tarddiad,šaltinis
118,Quelle::N,ffynhonnell,versmė
119,Quelle::N,ffynhonnell,šaltinis
120,Bach::N,nant,upelis
121,Bach::N,afonig,upelis
122,Bach::N,cornant,upelis
123,Fluss::N,afon,upė
124,Ufer::N,glan,krantas
