,Concept_ID,sv,ko
0,Auge::N,öga,눈
1,Ohr::N,öra,귀
2,Nase::N,näsa,코
3,Mund::N,mun,입
4,Zahn::N,tand,이
5,Zunge::N,tunga,혀
6,Lippe::N,läpp,입술
7,Wange::N,kind,뺨
8,Gesicht::N,syn,얼굴
9,Gesicht::N,ansikte,얼굴
10,Stirn::N,panna,이마
11,Haar::N,hår,털
12,Schnurrbart::N,mustasch,윗수몀
13,Schnurrbart::N,mustasch,코밑수염
14,Bart::N,skägg,수엄
15,Kinn::N,haka,아래턱
16,Kiefer[Anatomie]::N,käke,턱
17,Kehle::N,strupe,인후
18,Hals::N,hals,목
19,Genick::N,nacke,먹덜이
20,Kopf::N,huvud,머리
21,Rücken::N,rygg,든
22,Bauch::N,buk,배
23,Bauch::N,mage,배
24,Nabel::N,navel,배꼽
25,Busen::N,barm,가슴속
26,Brust::N,bröst,가슴
27,Schulter::N,skuldra,어깨
28,Arm::N,arm,팔
29,Ellenbogen::N,armbåge,팔쿰치
30,Hand::N,hand,손
31,Handfläche::N,handflata,손바닥
32,Finger::N,finger,속가락
33,Fingernagel::N,fingernagel,손톱
34,Nagel[Anatomie]::N,nagel,손톱
35,Zeh::N,tå,발가락
36,Fuß::N,fot,발
37,Ferse::N,häl,발꿈치
38,Knie::N,knä,무릎
39,Oberschenkel::N,lår,허벅다리
40,Bein::N,ben,다리
41,Körper::N,kropp,구간
42,Haut::N,hud,살갗
43,Haut::N,skinn,살갗
44,Blut::N,blod,피
45,Ader::N,åder,정맥
46,Sehne::N,sena,현
47,Knochen::N,ben,뼈
48,Gehirn::N,hjärna,뇌
49,Gehirn::N,hjärna,뇌수
50,Herz::N,hjärta,염통
51,Magen::N,mage,위
52,Leber::N,lever,간
53,Atem::N,anda,기식
54,Atem::N,andedräkt,기식
55,Hunger::N,svält,공복
56,Hunger::N,hunger,공복
57,Träne::N,tår,눈물
58,Geschmack::N,smak,기호
59,Geruch::N,lukt,냄새
60,Schlaf::N,sömn,수면
61,Traum::N,dröm,쿰
62,Himmel::N,himmel,하늘
63,Sonne::N,sol,해
64,Mond::N,måne,달
65,Stern::N,stjärna,별
66,Luft::N,luft,동준
67,Luft::N,luft,가스채
68,Wind::N,vind,바람
69,Welle::N,våg,물결
70,Welle::N,bölja,물결
71,Wasser::N,vatten,물
72,Stein::N,sten,돌
73,Boden::N,mark,바닥
74,Erde::N,jord,흙
75,Staub::N,damm,먼지
76,Rauch::N,rök,연기
77,Funke::N,gnista,불티
78,Feuer::N,eld,불
79,Licht::N,ljus,불
80,Schatten::N,skugga,어스레함
81,Wetter::N,väder,기상
82,Nebel::N,dimma,안개
83,Nebel::N,töcken,안개
84,Wolke::N,sky,구름
85,Wolke::N,moln,구름
86,Regen::N,regn,비
87,Schnee::N,snö,눈
88,Eis::N,is,얼음
89,Frost::N,frost,혹한
90,Kälte::N,köld,추위
91,Kälte::N,köld,차가움
92,Hitze::N,hetta,고온
93,Hitze::N,hetta,더위
94,Raureif::N,rimfrost,
95,Regenbogen::N,regnbåge,무지개
96,Donner::N,åska,뇌명
97,Donner::N,dunder,뇌명
98,Strömung::N,strömning,유동
99,Tropfen::N,dropper,물방울
100,Schaum::N,skum,포말
101,Schmutz::N,lort,때
102,Schmutz::N,smuts,때
103,See::N,sjö,호수
104,Sumpf::N,träsk,습지
105,Moor::N,myr,저습지
