,Concept_ID,ce,sk
0,Auge::N,бӏаьрг,oko
1,Ohr::N,лерг,ucho
2,Nase::N,мара,nos
3,Mund::N,бага,ústa
4,Zahn::N,церг,zub
5,Zunge::N,мотт,jazyk
6,Lippe::N,балда,pera
7,Wange::N,бесни,líce
8,Gesicht::N,юьхь,tvár
9,Gesicht::N,юьхь,obličaj
10,Stirn::N,хьаж,čelo
11,Haar::N,мас,vlas
12,Schnurrbart::N,мекх,fúzy
13,Bart::N,маж,brada
14,Kinn::N,чӏениг,brada
15,Kiefer[Anatomie]::N,мочхал,čeľusť
16,Kehle::N,къамкъарг,hrdlo
17,Hals::N,ворта,krk
18,Genick::N,кӏесаркӏаг,väzy
19,Kopf::N,корта,hlava
20,Rücken::N,букъ,chrbát
21,Bauch::N,кийра,brucho
22,Nabel::N,цӏонга,pupok
23,Busen::N,зударийн накха,prsia
24,Brust::N,накха,hruď
25,Schulter::N,белш,plece
26,Arm::N,пхьарс,rameno
27,Ellenbogen::N,пхьаьрсан гола,lakeť
28,Hand::N,куьг,ruka
29,Handfläche::N,кераюкъ,dlaň
30,Finger::N,пӏелг,prst
31,Fingernagel::N,мӏара,necht
32,Nagel[Anatomie]::N,мӏара,necht
33,Zeh::N,кога пӏелг,prst na nohe
34,Fuß::N,ког,noha
35,Ferse::N,кӏажа,päta
36,Knie::N,гола,koleno
37,Oberschenkel::N,варе,stehno
38,Bein::N,ког,noha
39,Körper::N,хӏума,telo
40,Haut::N,чкъор,koža
41,Blut::N,цӏий,krv
42,Ader::N,пха,žila
43,Sehne::N,хьорзам,šľacha
44,Knochen::N,даьӏахк,kosť
45,Gehirn::N,хье,mozog
46,Herz::N,дог,srdce
47,Magen::N,зорх,žalúdok
48,Leber::N,доӏах,pečeň
49,Atem::N,садеӏар,dych
50,Hunger::N,мацалла,hlad
51,Träne::N,бӏаьрхи,slza
52,Geschmack::N,чам,chuť
53,Geruch::N,хьожа,pach
54,Schlaf::N,наб,spánok
55,Traum::N,гӏан,sen
56,Himmel::N,стигал,nebo
57,Sonne::N,малх,slnko
58,Mond::N,бутт,mesiac
59,Stern::N,седа,hviezda
60,Luft::N,xӏаваъ,vzduch
61,Wind::N,мох,vietor
62,Welle::N,тулгӏе,vlna
63,Wasser::N,хи,voda
64,Stein::N,тӏулг,kameň
65,Boden::N,цӏенкъа,zem
66,Boden::N,цӏенкъа,pôda
67,Erde::N,латта,zem
68,Staub::N,чан,prach
69,Rauch::N,кӏур,dym
70,Funke::N,суй,iskra
71,Feuer::N,цӏе,oheň
72,Licht::N,серло,svetlo
73,Schatten::N,ӏиндагӏ,tieň
74,Wetter::N,хенан хӏоттам,počasie
75,Nebel::N,дохк,hmla
76,Wolke::N,марха,oblak
77,Wolke::N,марха,mračno
78,Regen::N,догӏа,dážď
79,Schnee::N,ло,sneh
80,Eis::N,ша,ľad
81,Frost::N,шело,mráz
82,Kälte::N,шело,zima
83,Kälte::N,шело,chlad
84,Hitze::N,йовхо,horúčava
85,Raureif::N,йис,srieň
86,Raureif::N,йис,inovať
87,Regenbogen::N,стелаӏад,dúha
88,Donner::N,ткъес,hrom
89,Strömung::N,дӏаэхар,prúdenie
90,Strömung::N,дӏасалелар,prúdenie
91,Tropfen::N,тӏадам,kvapka
92,Schaum::N,чопа,pena
93,Schmutz::N,хатт,špina
94,Schmutz::N,хатт,nečistota
95,See::N,ӏам,jazero
96,Sumpf::N,уьшал,bahno
97,Moor::N,уьшал,močiar
98,Wiese::N,бай,lúka
99,Wald::N,хьун,les
100,Wald::N,хьун,hora
101,Hügel::N,гу,vŕšok
102,Hügel::N,шу,vŕšok
103,Hügel::N,барз,vŕšok
104,Anhöhe::N,акъари,výšina
105,Anhöhe::N,акъари,vyvýšenina
106,Berg::N,лам,hora
107,Gipfel::N,бохь,vrchol
108,Höhle::N,хьех,jaskyňa
109,Abhang::N,басе,úbočie
110,Quelle::N,шовда,prameň
111,Bach::N,татол,potok
112,Fluss::N,хи,rieka
113,Ufer::N,хийист,breh
114,Küste::N,йист,pobrežie
115,Festland::N,латта,pevnina
116,Meer::N,xӏорд,more
117,Bucht::N,чож,záliv
118,Bucht::N,чож,zátoka
119,Insel::N,гӏайре,ostrov
120,Blume::N,зезаг,kvet
121,Blume::N,зезаг,kvetina
122,Gras::N,буц,tráva
123,Wurzel::N,орам,koreň
124,Baum::N,дитт,strom
125,Stamm::N,гӏад,kmeň
126,Stamm::N,тайпа,kmeň
127,Rinde::N,кевстиг,kôra
128,Ast::N,га,konár
129,Zweig::N,га,vetva
130,Blatt::N,гӏа,list
131,Birke::N,дакх,breza
132,Kiefer[Baum]::N,бага,sosna
133,Kiefer[Baum]::N,бага,borovica
134,Weide[Baum]::N,дак,vŕba
135,Tanne::N,база,jedľa
136,Horn::N,маӏа,roh
137,Feder::N,пелаг,pero
138,Fell::N,цӏока,koža
139,Fell::N,цӏока,kožušina
140,Flügel::N,тӏам,krídlo
141,Klaue::N,мӏара,paznecht
142,Kralle::N,тlод,pazúr
143,Schwanz::N,цӏога,chvost
144,Ei::N,xӏoa,vajce
145,Ei::N,xӏoa,vajíčko
146,Nest::N,бен,hniezdo
147,Bau::N,lуьрг,nora
148,Tier::N,дийнат,zviera
149,Herde::N,жа,stádo
150,Kuh::N,етт,krava
151,Bulle::N,сту,býk
152,Pferd::N,говр,kôň
153,Schaf::N,жий,ovca
154,Schaf::N,уьстагӏ,ovca
155,Schwein::N,хьакха,sviňa
156,Hund::N,жӏаьла,pes
157,Katze::N,цициг,mačka
158,Bär::N,ча,medveď
159,Eichhörnchen::N,тарсал,veverička
160,Elch::N,сай,los
161,Fuchs::N,цхьогал,líška
162,Hase::N,пхьагал,zajac
163,Maus::N,дахка,myš
164,Wolf::N,борз,vlk
165,Vogel::N,олхазар,vták
166,Huhn::N,котам,kurča
167,Huhn::N,котам,sliepka
168,Hahn::N,нӏаьна,kohút
169,Hahn::N,боргӏал,kohút
170,Gans::N,гӏаз,hus
171,Adler::N,aьрзу,orol
172,Ente::N,бад,kačka
173,Ente::N,бад,kačica
174,Eule::N,бухӏа,sova
175,Kranich::N,гӏаргӏули,žeriav
176,Krähe::N,къиг,vrana
177,Kuckuck::N,aттйокх,kukučka
178,Schwan::N,гӏургӏаз,labuť
179,Fisch::N,чӏара,ryba
180,Barsch::N,окунь,ostriež
