,Concept_ID,cs,vep
0,Auge::N,oko,sil'm
1,Ohr::N,ucho,korv
2,Nase::N,nos,nena
3,Mund::N,pusa,su
4,Zahn::N,zub,pi
5,Zahn::N,zub,hambaz
6,Zunge::N,jazyk,kel'
7,Lippe::N,ret,hul'
8,Wange::N,tvář,modpolišk
9,Gesicht::N,obličej,mod
10,Stirn::N,čelo,oc
11,Haar::N,vlas,tuk
12,Haar::N,vlas,hibuz
13,Haar::N,vlasy,tuk
14,Haar::N,vlasy,hibuz
15,Schnurrbart::N,kníry,habinod
16,Bart::N,vousy,bard
17,Kinn::N,brada,löug
18,Kiefer[Anatomie]::N,čelist,hambazlu
19,Kehle::N,hrdlo,kurk
20,Hals::N,krk,kagl
21,Genick::N,týl,tagarai
22,Kopf::N,hlava,pä
23,Rücken::N,záda,sel'g
24,Rücken::N,hřbet,sel'g
25,Bauch::N,břicho,vac
26,Bauch::N,břicho,koht
27,Nabel::N,pupek,naba
28,Busen::N,ňadra,niža
29,Brust::N,prsa,rind
30,Schulter::N,plece,oug
31,Schulter::N,rameno,oug
32,Arm::N,ruka,käzi
33,Ellenbogen::N,loket,künambruz
34,Hand::N,ruka,käzi
35,Hand::N,ruka,käzitera
36,Handfläche::N,dlaň,kämen
37,Finger::N,prst,sor'm
38,Fingernagel::N,nehet,künz'
39,Nagel[Anatomie]::N,nehet,künz'
40,Zeh::N,prst u nohy,barbaz
41,Fuß::N,noha,jaug
42,Ferse::N,pata,kand
43,Knie::N,koleno,komb
44,Knie::N,koleno,pol'v
45,Oberschenkel::N,stehno,riiže
46,Bein::N,noha,jaug
47,Körper::N,tělo,hibj
48,Haut::N,kůže,nahk
49,Blut::N,krev,čak
50,Blut::N,krev,veri
51,Ader::N,céva,son'
52,Sehne::N,šlacha,jände
53,Knochen::N,kost,lu
54,Gehirn::N,mozek,aivod
55,Herz::N,srdce,südäin
56,Magen::N,žaludek,südäikoht
57,Leber::N,játra,maks
58,Atem::N,dech,hengaiduz
59,Hunger::N,hlad,näl'g
60,Träne::N,slza,kündal'
61,Geschmack::N,vkus,magu
62,Geruch::N,vůně,haju
63,Geruch::N,zápach,haju
64,Schlaf::N,spánek,uni
65,Traum::N,sen,unikuva
66,Himmel::N,nebe,taivaz
67,Sonne::N,slunce,päiväine
68,Mond::N,měsíc,kudmaine
69,Stern::N,hvězda,tähtaz
70,Luft::N,vzduch,il'm
71,Wind::N,vítr,döl
72,Wind::N,vítr,tullei
73,Welle::N,vlna,ald
74,Welle::N,vlna,laineh
75,Wasser::N,voda,vezi
76,Stein::N,kámen,kivi
77,Boden::N,půda,ma
78,Boden::N,půda,pohj
79,Erde::N,země,ma
80,Staub::N,prach,pölü
81,Rauch::N,dým,savu
82,Rauch::N,kouř,savu
83,Funke::N,jiskra,kibin
84,Feuer::N,oheň,lämoi
85,Licht::N,světlo,vauktuz
86,Schatten::N,stín,pil'vez
87,Schatten::N,stín,kuvahaine
88,Wetter::N,počasí,sä
89,Nebel::N,mlha,sumeg
90,Wolke::N,mrak,pil'v
91,Wolke::N,oblak,pil'v
92,Regen::N,déšť,vihm
93,Schnee::N,sníh,lumi
94,Eis::N,led,jä
95,Frost::N,mráz,hala
96,Frost::N,mráz,pakaine
97,Kälte::N,chlad,vilu
98,Hitze::N,horko,räk
99,Raureif::N,jinovatka,hüde
100,Regenbogen::N,duha,jumalanbembel'
101,Donner::N,hrom,juru
102,Donner::N,hrom,jumalanjuru
103,Strömung::N,proudění,joksmuz
104,Tropfen::N,kapka,tilkuine
105,Schaum::N,pěna,vaht
106,Schmutz::N,špína,redu
107,Schmutz::N,špína,pačak
108,See::N,jezero,järv
109,Sumpf::N,močál,so
110,Sumpf::N,bažina,so
111,Moor::N,bažina,so
