,Concept_ID,tr,hy
0,Auge::N,göz,աչք
1,Ohr::N,kulak,ականջ
2,Nase::N,burun,քիթ
3,Mund::N,ağız,բերան
4,Zahn::N,diş,ատամ
5,Zunge::N,dil,լեզու
6,Lippe::N,dudak,շրթունք
7,Wange::N,yanak,այտ
8,Wange::N,yanak,թուշ
9,Gesicht::N,yüz,դեմք
10,Stirn::N,alın,ճակատ
11,Haar::N,saç,մազ
12,Schnurrbart::N,bıyık,բեղ
13,Bart::N,sakal,մորուք
14,Kinn::N,çene,կզակ
15,Kiefer[Anatomie]::N,çene,ծնոտ
16,Kehle::N,boğaz,կոկորդ
17,Hals::N,boyun,վիզ
18,Hals::N,boyun,պարանոց
19,Hals::N,gerdan,վիզ
20,Hals::N,gerdan,պարանոց
21,Genick::N,ense,ծոծրակ
22,Kopf::N,baş,գլուխ
23,Kopf::N,kafa,գլուխ
24,Rücken::N,arka,մեջք
25,Bauch::N,karın,փոր
26,Bauch::N,karın,որովայն
27,Nabel::N,göbek,պորտ
28,Busen::N,koyun,ծոց
29,Brust::N,göğüs,կուրծք
30,Schulter::N,omuz,ուս
31,Arm::N,kol,թեւ
32,Arm::N,kol,բազուկ
33,Ellenbogen::N,dirsek,արմունկ
34,Hand::N,el,ձեռք
35,Handfläche::N,avuç,ափ
36,Handfläche::N,el ayası,ափ
37,Finger::N,parmak,մատ
38,Fingernagel::N,el tırnağı,եղունգ
39,Nagel[Anatomie]::N,tırnak,եղունգ
40,Zeh::N,ayak parmağı,ոտքի մատ
41,Fuß::N,ayak,ոտք
42,Ferse::N,topuk,գարշապար
43,Knie::N,diz,ծունկ
44,Oberschenkel::N,uyluk,ազդր
45,Bein::N,bacak,ոտք
46,Körper::N,vücut,մարմին
47,Haut::N,cilt,մաշկ
48,Blut::N,kan,արյուն
49,Ader::N,damar,երակ
50,Sehne::N,kiriş,ջիղ
51,Sehne::N,kiriş,ձգտան
52,Knochen::N,kemik,ոսկոր
53,Gehirn::N,beyin,խելք
54,Herz::N,kalp,սիրտ
55,Herz::N,yürek,սիրտ
56,Magen::N,mide,ստամոքս
57,Leber::N,karaciğer,լյարդ
58,Atem::N,nefes,շունչ
59,Hunger::N,açlık,քաղց
60,Träne::N,gözyaşı,արտասուք
61,Geschmack::N,tat,համ
62,Geschmack::N,tat,բուրմունք
63,Geschmack::N,lezzet,համ
64,Geschmack::N,lezzet,բուրմունք
65,Geruch::N,koku,հոտ
66,Geruch::N,koku,բուրում
67,Schlaf::N,uyku,քուն
68,Traum::N,düş,երազ
69,Traum::N,rüya,երազ
70,Himmel::N,gök,երկինք
71,Sonne::N,güneş,արեւ
72,Mond::N,ay,լուսին
73,Stern::N,yıldız,աստղ
74,Luft::N,hava,օդ
75,Wind::N,yel,քամի
76,Wind::N,rüzgâr,քամի
77,Welle::N,dalga,ալիք
78,Wasser::N,su,ջուր
79,Stein::N,taş,քար
80,Boden::N,yer,գետին
81,Boden::N,zemin,գետին
82,Erde::N,toprak,հող
83,Staub::N,toz,փոշի
84,Rauch::N,duman,ծուխ
85,Funke::N,kıvılcım,կայծ
86,Feuer::N,ateş,կրակ
87,Feuer::N,ateş,հրդեհ
88,Licht::N,ışık,լույս
89,Schatten::N,gölge,ստվեր
90,Wetter::N,hava,եղանակ
91,Nebel::N,pus,մեգ
92,Nebel::N,pus,մառախուղ
93,Wolke::N,bulut,ամպ
94,Regen::N,yağmur,անձրև
95,Schnee::N,kar,ձյուն
96,Eis::N,buz,սառույց
97,Frost::N,don,սառնամանիք
98,Kälte::N,soğukluk,դող
99,Hitze::N,sıcaklık,շոգ
100,Raureif::N,kırç,ցօղեղեամ
101,Regenbogen::N,gökkuşağı,ծիածան
102,Donner::N,gök gürlemesi,որոտ
103,Strömung::N,akıntı,հոսանք
