,Concept_ID,lv,es
0,Auge::N,син,ojo
1,Auge::N,acs,ojo
2,Ohr::N,пель,oreja
3,Ohr::N,auss,oreja
4,Nase::N,ныр,nariz
5,Nase::N,deguns,nariz
6,Mund::N,вом,boca
7,Mund::N,mute,boca
8,Zahn::N,пинь,diente
9,Zahn::N,zobs,diente
10,Zunge::N,кыв,lengua
11,Zunge::N,mēle,lengua
12,Lippe::N,вом дор,labio
13,Lippe::N,lūpa,labio
14,Wange::N,бан,mejilla
15,Wange::N,vaigs,mejilla
16,Gesicht::N,чужӧм,cara
17,Gesicht::N,seja,cara
18,Gesicht::N,ģīmis,cara
19,Stirn::N,плеш,frente
20,Stirn::N,кымӧс,frente
21,Stirn::N,piere,frente
22,Haar::N,си,cabello
23,Haar::N,юрси,cabello
24,Haar::N,mats,cabello
25,Schnurrbart::N,ус,bigote
26,Schnurrbart::N,пыртсим,bigote
27,Schnurrbart::N,ūsas,bigote
28,Bart::N,тош,barba
29,Bart::N,bārda,barba
30,Kinn::N,тшӧка,barbilla
31,Kinn::N,zods,barbilla
32,Kinn::N,smakrs,barbilla
33,Kiefer[Anatomie]::N,черлы,mandíbula
34,Kiefer[Anatomie]::N,алака лы,mandíbula
35,Kiefer[Anatomie]::N,вомкӧтш лы,mandíbula
36,Kiefer[Anatomie]::N,žoklis,mandíbula
37,Kehle::N,голя,garganta
38,Kehle::N,rīkle,garganta
39,Hals::N,сьылі,cuello
40,Hals::N,kakls,cuello
41,Genick::N,юрбӧр,nuca
42,Genick::N,юрбӧр,cerviz
43,Genick::N,балябӧж,nuca
44,Genick::N,балябӧж,cerviz
45,Genick::N,sprands,nuca
46,Genick::N,sprands,cerviz
47,Kopf::N,юр,cabeza
48,Kopf::N,galva,cabeza
49,Rücken::N,мыш,espalda
50,Rücken::N,mugura,espalda
51,Bauch::N,рушку,vientre
52,Bauch::N,vēders,vientre
53,Nabel::N,гӧг,ombligo
54,Nabel::N,naba,ombligo
55,Busen::N,морӧс,pecho
56,Busen::N,krūts,pecho
57,Brust::N,морӧс,pecho
58,Brust::N,krūts,pecho
59,Schulter::N,пельпом,hombro
60,Schulter::N,plecs,hombro
61,Arm::N,ки,brazo
62,Arm::N,roka,brazo
63,Arm::N,delms,brazo
64,Ellenbogen::N,гырддза,codo
65,Ellenbogen::N,elkonis,codo
66,Hand::N,ки,mano
67,Hand::N,roka,mano
68,Hand::N,plauksta,mano
69,Handfläche::N,ки пыдӧс,palma
70,Handfläche::N,delna,palma
71,Handfläche::N,plauksta,palma
72,Finger::N,чунь,dedo
73,Finger::N,pirksts,dedo
74,Fingernagel::N,гыж,uña
75,Fingernagel::N,nags,uña
76,Nagel[Anatomie]::N,гыж,uña
77,Nagel[Anatomie]::N,nags,uña
78,Zeh::N,кок чунь,dedo del pie
79,Zeh::N,pirksts,dedo del pie
80,Fuß::N,кок,pie
81,Fuß::N,kāja,pie
82,Ferse::N,кокбӧр,talón
83,Ferse::N,papēdis,talón
84,Knie::N,пидзӧс,rodilla
85,Knie::N,celis,rodilla
86,Oberschenkel::N,лядьвей,muslo
87,Oberschenkel::N,бек,muslo
88,Oberschenkel::N,ciska,muslo
89,Oberschenkel::N,augšstilbs,muslo
90,Bein::N,кок,pierna
91,Bein::N,kāja,pierna
92,Körper::N,туша,cuerpo
93,Körper::N,вывтыр,cuerpo
94,Körper::N,miesa,cuerpo
95,Körper::N,ķermenis,cuerpo
96,Haut::N,ку,piel
97,Haut::N,āda,piel
98,Blut::N,вир,sangre
99,Blut::N,asins,sangre
100,Ader::N,сӧн,vena
101,Ader::N,asinsvads,vena
102,Sehne::N,вез,tendón
103,Sehne::N,dzīsla,tendón
104,Knochen::N,лы,hueso
105,Knochen::N,kauls,hueso
106,Gehirn::N,вем,cerebro
107,Gehirn::N,вем,encéfalo
108,Gehirn::N,smadzenes,cerebro
109,Gehirn::N,smadzenes,encéfalo
110,Herz::N,сьӧлӧм,corazón
111,Herz::N,sirds,corazón
112,Magen::N,кынӧм,estómago
113,Magen::N,kuņģis,estómago
114,Leber::N,мус,hígado
115,Leber::N,aknas,hígado
116,Atem::N,лов,aliento
117,Atem::N,elpa,aliento
118,Hunger::N,тшыг,hambre
119,Hunger::N,bads,hambre
120,Hunger::N,izsalkums,hambre
121,Träne::N,синва,lágrima
122,Träne::N,asara,lágrima
123,Geschmack::N,кӧр,gusto
124,Geschmack::N,чӧсмӧс,gusto
125,Geschmack::N,garša,gusto
126,Geruch::N,зын,olor
127,Geruch::N,дук,olor
128,Geruch::N,smaka,olor
129,Schlaf::N,узьӧм,sueño
130,Schlaf::N,miegs,sueño
131,Traum::N,вӧт,sueño
132,Traum::N,вӧт,ensueño
133,Traum::N,вӧтасьӧм,sueño
134,Traum::N,вӧтасьӧм,ensueño
135,Traum::N,sapnis,sueño
136,Traum::N,sapnis,ensueño
137,Himmel::N,енэж,cielo
138,Himmel::N,debess,cielo
139,Sonne::N,шонді,sol
140,Sonne::N,saule,sol
141,Mond::N,тӧлысь,luna
142,Mond::N,mēness,luna
143,Stern::N,кодзув,estrella
144,Stern::N,zvaigzne,estrella
145,Luft::N,сынӧд,aire
146,Luft::N,gaiss,aire
147,Wind::N,тӧв,viento
148,Wind::N,vējš,viento
149,Welle::N,гы,ola
150,Welle::N,гы,onda
151,Welle::N,vilnis,ola
152,Welle::N,vilnis,onda
153,Wasser::N,ва,agua
154,Wasser::N,ūdens,agua
155,Stein::N,из,piedra
156,Stein::N,akmens,piedra
157,Boden::N,му,suelo
158,Boden::N,augsne,suelo
159,Erde::N,му,tierra
160,Erde::N,му-ва,tierra
161,Erde::N,zeme,tierra
162,Staub::N,бус,polvo
163,Staub::N,putekļi,polvo
164,Rauch::N,тшын,humo
165,Rauch::N,dūmi,humo
166,Funke::N,кинь,chispa
167,Funke::N,би кинь,chispa
168,Funke::N,dzirkstele,chispa
169,Feuer::N,би,fuego
170,Feuer::N,uguns,fuego
171,Licht::N,югӧр,luz
172,Licht::N,gaisma,luz
173,Schatten::N,вуджӧр,sombra
174,Schatten::N,ēna,sombra
175,Wetter::N,поводдя,tiempo
176,Wetter::N,laiks,tiempo
177,Nebel::N,ру,niebla
178,Nebel::N,онь,niebla
179,Nebel::N,migla,niebla
180,Wolke::N,кымӧр,nube
181,Wolke::N,mākonis,nube
182,Regen::N,зэр,lluvia
183,Regen::N,lietus,lluvia
184,Schnee::N,лым,nieve
185,Schnee::N,sniegs,nieve
186,Eis::N,йи,hielo
187,Eis::N,ledus,hielo
188,Frost::N,кӧдзыд,helada
189,Frost::N,sals,helada
190,Kälte::N,кӧдзыд,frío
191,Kälte::N,saltums,frío
192,Kälte::N,aukstums,frío
193,Hitze::N,пӧсь,calor
194,Hitze::N,гожӧд,calor
195,Hitze::N,karstums,calor
196,Raureif::N,пуж,escarcha
197,Raureif::N,гыӧр,escarcha
198,Raureif::N,sarma,escarcha
199,Regenbogen::N,ӧшкамӧшка,arco iris
200,Regenbogen::N,varavīksne,arco iris
201,Donner::N,гым,trueno
202,Donner::N,pērkons,trueno
203,Strömung::N,ва ныр,corriente
204,Strömung::N,визувтӧм,corriente
205,Strömung::N,straume,corriente
206,Strömung::N,strāvojums,corriente
207,Tropfen::N,войт,gota
208,Tropfen::N,lāse,gota
209,Schaum::N,быг,espuma
210,Schaum::N,быгзьӧм,espuma
211,Schaum::N,putas,espuma
212,Schmutz::N,няйт,suciedad
213,Schmutz::N,dubļi,suciedad
214,See::N,ты,lago
215,See::N,ezers,lago
216,Sumpf::N,гыбад,pantano
217,Sumpf::N,кад,pantano
218,Sumpf::N,dumbrājs,pantano
219,Sumpf::N,staignājs,pantano
220,Moor::N,нюр,turbera
221,Moor::N,purvs,turbera
222,Moor::N,muklājs,turbera
223,Wiese::N,видз,prado
224,Wiese::N,видз,pradera
225,Wiese::N,pļava,prado
226,Wiese::N,pļava,pradera
227,Wald::N,вӧр,bosque
228,Wald::N,mežs,bosque
229,Hügel::N,дзиб,colina
230,Hügel::N,мыльк,colina
231,Hügel::N,нӧрыс,colina
232,Hügel::N,paugurs,colina
