,Concept_ID,pl,hi
0,Auge::N,oko,आँख
1,Auge::N,oko,चक्षु
2,Ohr::N,ucho,कान
3,Ohr::N,ucho,कर्ण
4,Nase::N,nos,नाक
5,Nase::N,nos,नासा
6,Mund::N,usta,मुख
7,Mund::N,usta,मुँह
8,Zahn::N,ząb,दंत
9,Zahn::N,ząb,दाँत
10,Zunge::N,język,जीभ
11,Zunge::N,język,ज़बान
12,Zunge::N,język,जिह्वा
13,Lippe::N,warga,ओंठ
14,Lippe::N,warga,होंठ
15,Wange::N,policzek,गाल
16,Wange::N,policzek,कपोल
17,Gesicht::N,twarz,मुँह
18,Gesicht::N,twarz,चेहरा
19,Stirn::N,czoło,माथा
20,Stirn::N,czoło,मस्तक
21,Haar::N,włos,बाल
22,Haar::N,włosy,बाल
23,Schnurrbart::N,wąsy,मूँछें
24,Bart::N,broda,दाढ़ी
25,Kinn::N,podbródek,चिबुक
26,Kiefer[Anatomie]::N,czeluść,जबड़ा
27,Kehle::N,gardło,गला
28,Hals::N,szyja,गला
29,Hals::N,szyja,गरदन
30,Genick::N,kark,गरदन
31,Genick::N,kark,ग्रीवा
32,Kopf::N,głowa,सिर
33,Kopf::N,głowa,शीर्ष
34,Rücken::N,plecy,पीठ
35,Rücken::N,grzbiet,पीठ
36,Bauch::N,brzuch,उदर
37,Nabel::N,pępek,नाभि
38,Nabel::N,pępek,ढोंढी
39,Busen::N,biust,कुच
40,Busen::N,biust,स्तन
41,Brust::N,pierś,वक्ष
42,Schulter::N,bark,कंधा
43,Schulter::N,bark,स्कंध
44,Schulter::N,ramię,कंधा
45,Schulter::N,ramię,स्कंध
46,Arm::N,ręka,बाँह
47,Arm::N,ręka,बाज़ू
48,Arm::N,ramię,बाँह
49,Arm::N,ramię,बाज़ू
50,Ellenbogen::N,łokieć,कुहनी
51,Hand::N,dłoń,हाथ
52,Hand::N,dłoń,हस्त
53,Handfläche::N,dłoń,हथेली
54,Finger::N,palec,उँगली
55,Finger::N,palec,अँगुली
56,Fingernagel::N,paznokieć,नख
57,Fingernagel::N,paznokieć,नाख़ून
58,Nagel[Anatomie]::N,paznokieć,नख
59,Nagel[Anatomie]::N,paznokieć,नाख़ून
60,Zeh::N,palec,उँगली
61,Zeh::N,palec,पाँव की उँगली
62,Fuß::N,stopa,चरण
63,Fuß::N,stopa,पाँव
64,Ferse::N,pięta,एड़ी
65,Knie::N,kolano,जानु
66,Knie::N,kolano,घुटना
67,Oberschenkel::N,udo,उरु
68,Bein::N,noga,टाँग
69,Körper::N,ciało,तन
70,Körper::N,ciało,देह
71,Körper::N,ciało,शरीर
72,Haut::N,skóra,चर्म
73,Haut::N,skóra,त्वचा
74,Blut::N,krew,लहू
75,Blut::N,krew,ख़ून
76,Ader::N,żyła,रग
77,Ader::N,żyła,शिरा
78,Sehne::N,ścięgno,कंडरा
79,Sehne::N,ścięgno,स्नायु
80,Knochen::N,kość,अस्थि
81,Gehirn::N,mózg,दिमाग़
82,Gehirn::N,mózg,मस्तिष्क
83,Herz::N,serce,दिल
84,Herz::N,serce,हृदय
85,Magen::N,żołądek,मेदा
86,Magen::N,żołądek,अमाशय
87,Leber::N,wątroba,जिगर
88,Leber::N,wątroba,यकृत्
89,Atem::N,dech,दम
90,Atem::N,dech,साँस
91,Atem::N,dech,श्वास
92,Atem::N,oddech,दम
93,Atem::N,oddech,साँस
94,Atem::N,oddech,श्वास
95,Hunger::N,głód,भूख
96,Hunger::N,głód,क्षुधा
97,Träne::N,łza,आँसू
98,Träne::N,łza,अश्रु
99,Geschmack::N,smak,स्वाद
100,Geschmack::N,smak,ज़ायक़ा
101,Geruch::N,woń,बू
102,Geruch::N,woń,गंध
