,Concept_ID,mrj,lez
0,Auge::N,сӹнзӓ,вил
1,Ohr::N,пӹлӹш,яб
2,Nase::N,нер,нер
3,Mund::N,ышма,сив
4,Zahn::N,пӱ,сас
5,Zahn::N,пӱ,свах
6,Zunge::N,йӹлмӹ,мез
7,Lippe::N,тӹрвӹ,пӏуз
8,Wange::N,шӹргӹ,хъвехъ
9,Gesicht::N,лицӓ,ччин
10,Stirn::N,лепкӓ,пел
11,Haar::N,ӱп,чӏар
12,Schnurrbart::N,öрш,спел
13,Schnurrbart::N,öрш,спелар
14,Bart::N,пандаш,ччуру
15,Kinn::N,онгылаш,чене
16,Kiefer[Anatomie]::N,пӱ арата,чене
17,Kehle::N,логер,туьд
18,Hals::N,шӱ,гардан
19,Genick::N,ланга,кьам
20,Kopf::N,вуй,кьил
21,Rücken::N,туп,далу
22,Bauch::N,мӹшкӹр,руфун
23,Nabel::N,кӹлӹмдӹ,пицӏ
24,Busen::N,цӹзӹ,мам
25,Brust::N,мел,хур
26,Schulter::N,ӹнгӹжӓ,къуьн
27,Arm::N,кид,гъил
28,Ellenbogen::N,кӹнервуй,кьуьнт
29,Hand::N,лапа,капаш
30,Handfläche::N,кид лапа,капан юкь
31,Finger::N,парня,тӏуб
32,Fingernagel::N,кӹч,кек
33,Nagel[Anatomie]::N,кӹч,кек
34,Zeh::N,парня,кул
35,Fuß::N,ял лапа,кӏвач
36,Ferse::N,ялгавал,дабан
37,Ferse::N,ял кавал,дабан
38,Knie::N,пылвуй,мет
39,Oberschenkel::N,ӓрдӹ,
40,Bein::N,ял,кӏвач
41,Körper::N,монгыр,беден
42,Haut::N,кавашты,хам
43,Blut::N,вӹр,иви
44,Ader::N,вӹршӓр,дамар
45,Sehne::N,кукшышӱн,кьуру дамар
46,Knochen::N,лу,кӏараб
47,Gehirn::N,вим,мефт
48,Herz::N,шӱм,рикӏ
49,Magen::N,шӱм,хук
50,Leber::N,мокш,лекь
51,Atem::N,шӱлӹш,ял
