,Concept_ID,ba,ga
0,Auge::N,күҙ,súil
1,Ohr::N,ҡолаҡ,cluas
2,Nase::N,танау,soc
3,Mund::N,ауыҙ,béal
4,Zahn::N,теш,fiacail
5,Zunge::N,тел,teanga
6,Lippe::N,ирен,liopa
7,Wange::N,яцаҡтар,grua
8,Wange::N,яцаҡтар,leiceann
9,Gesicht::N,бит,éadan
10,Gesicht::N,бит,aghaidh
11,Stirn::N,маңлай,baithis
12,Stirn::N,маңлай,clár éadain
13,Haar::N,сәс,gruaig
14,Schnurrbart::N,мылтыҡ,croiméal
15,Bart::N,һаҡал,féasóg
16,Kinn::N,эйэк,smig
17,Kiefer[Anatomie]::N,яңаҡ һөйәге,giall
18,Kehle::N,тамаҡ,scornach
19,Hals::N,муйын,muinéal
20,Genick::N,соңҡа,baic
21,Kopf::N,баш,ceann
22,Rücken::N,арҡа,droim
23,Bauch::N,ҡорһаҡ,bolg
24,Nabel::N,кендек,imleacán
25,Busen::N,күкрәк,cíoch
26,Brust::N,түш,brollach
27,Schulter::N,яурын,gualainn
28,Arm::N,ҡул,lámh
29,Ellenbogen::N,терһәк,uillinn
30,Hand::N,ҡул,lámh
31,Hand::N,ҡул суғы,lámh
32,Handfläche::N,ус төбө,bos
33,Finger::N,бармаҡ,méar
34,Fingernagel::N,тырнаҡ,ionga
35,Nagel[Anatomie]::N,тырнаҡ,ionga
36,Zeh::N,бармаҡ,ladhar
37,Fuß::N,табан,cos
38,Fuß::N,табан,troigh
39,Ferse::N,үксә,sáil
40,Knie::N,тубыҡ,glúin
41,Oberschenkel::N,сандыр,ceathrú
42,Bein::N,аяҡ,cos
43,Körper::N,тән,corp
44,Körper::N,тән,colainn
45,Haut::N,тире,cneas
46,Haut::N,тире,craiceann
47,Blut::N,ҡан,fuil
48,Ader::N,тамыр,
49,Sehne::N,һеңер,teannán
50,Sehne::N,һеңер,féitheog
51,Sehne::N,тарамыш,teannán
52,Sehne::N,тарамыш,féitheog
53,Knochen::N,һойәк,cnámh
54,Gehirn::N,мейе,inchinn
55,Herz::N,йорәк,croí
56,Magen::N,ашҡаҙан,bolg
57,Magen::N,ашҡаҙан,goile
58,Leber::N,бауыр,ae
59,Atem::N,һулыш,anáil
60,Hunger::N,аслыҡ,ocras
61,Träne::N,күҙ иәше,deoir
62,Geschmack::N,тәм,blas
63,Geruch::N,еҫ,boladh
64,Schlaf::N,йоҡлау,suan
65,Schlaf::N,йоҡлау,codladh
66,Traum::N,төш,taibhreamh
67,Himmel::N,күк,spéir
68,Sonne::N,ҡояш,grian
69,Mond::N,ай,ré
70,Mond::N,ай,gealach
71,Stern::N,йондоҙ,rinn
72,Stern::N,йондоҙ,réalta
73,Luft::N,һауа,aer
74,Wind::N,ел,gaoth
75,Welle::N,тулҡын,tonn
76,Wasser::N,һыу,uisce
77,Stein::N,таш,cloch
78,Boden::N,тупраҡ,talamh
79,Erde::N,балсҡ,cré
80,Erde::N,балсҡ,ithir
81,Staub::N,туҙан,dusta
82,Staub::N,туҙан,deannach
83,Rauch::N,төтөн,toit
84,Rauch::N,төтөн,deatach
85,Funke::N,осҡон,drithle
86,Feuer::N,ут,tine
87,Licht::N,яҡтылыҡ,solas
88,Schatten::N,күләгә,scáth
89,Wetter::N,һауа торошо,aimsir
90,Nebel::N,төман,ceo
91,Wolke::N,болот,néal
92,Wolke::N,болот,scamall
93,Regen::N,ямғыр,báisteach
94,Regen::N,ямғыр,fearthainn
95,Schnee::N,ҡар,sneachta
96,Eis::N,боҙ,oighear
97,Frost::N,һалҡын,sioc
98,Kälte::N,һыуыҡ,fuacht
99,Hitze::N,томра,teas
100,Hitze::N,томра,teocht
101,Hitze::N,эҫелек,teas
102,Hitze::N,эҫелек,teocht
103,Raureif::N,ҡырау,sioc bán
104,Regenbogen::N,йәйғор,stua ceatha
105,Regenbogen::N,йәйғор,bogha báistí
106,Donner::N,күк күкрәү,toirneach
107,Strömung::N,ағым,sruth
108,Tropfen::N,тамсы,deoir
109,Schaum::N,күбек,cúr
110,Schmutz::N,батҡаҡ,salachar
111,See::N,күл,loch
112,Sumpf::N,һаҙлык,portach
113,Moor::N,һаҙ,caorán
114,Moor::N,һаҙ,móinteán
115,Wiese::N,болон,cluain
116,Wiese::N,болон,móinéar
117,Wald::N,урман,coill
118,Wald::N,урман,foraois
119,Hügel::N,түбә,ard
120,Anhöhe::N,түбә,ard
121,Anhöhe::N,түбә,ardán
122,Anhöhe::N,ҡалҡыулыҡ,ard
123,Anhöhe::N,ҡалҡыулыҡ,ardán
124,Berg::N,тау,sliabh
125,Gipfel::N,түбә,barr
126,Gipfel::N,түбә,mullach
127,Höhle::N,мәмерйә,uaimh
128,Höhle::N,мәмерйә,pluais
129,Abhang::N,ипкен,fána
130,Quelle::N,шишмә,foinse
131,Bach::N,шишмә,sruthán
132,Fluss::N,йылға,abhainn
133,Ufer::N,яр,bruach
134,Küste::N,яр буйы,cósta
135,Küste::N,яр буйы,cladach
136,Festland::N,ҡоро ер,míntír
137,Meer::N,диңгез,muir
138,Meer::N,диңгез,farraige
139,Bucht::N,бухта,bá
140,Bucht::N,бухта,cuan
141,Insel::N,үтрау,inis
142,Insel::N,үтрау,oileán
143,Blume::N,сәскә,bláth
144,Gras::N,үлән,féar
145,Wurzel::N,тамыр,rúta
146,Wurzel::N,тамыр,fréamh
147,Baum::N,ағас,crann
148,Stamm::N,олон,stoc
149,Stamm::N,олон,tamhan
150,Stamm::N,көбәк,stoc
151,Stamm::N,көбәк,tamhan
152,Rinde::N,ҡабыҡ,coirt
153,Rinde::N,ҡабыҡ,craiceann
154,Ast::N,ботаҡ,géag
155,Zweig::N,ботаҡ,géag
156,Zweig::N,ботаҡ,craobh
157,Zweig::N,тармаҡ,géag
158,Zweig::N,тармаҡ,craobh
159,Blatt::N,япраҡ,duille
160,Blatt::N,япраҡ,duilleog
161,Birke::N,ҡайын,beith
162,Birke::N,ҡайын,crann beithe
163,Kiefer[Baum]::N,ҡарғай,péine
