,Concept_ID,fi,hu
0,Auge::N,silmä,szem
1,Ohr::N,korva,fül
2,Nase::N,nenä,orr
3,Mund::N,suu,száj
4,Zahn::N,hammas,fog
5,Zunge::N,kieli,nyelv
6,Lippe::N,huuli,ajak
7,Wange::N,poski,orca
8,Gesicht::N,naama,arc
9,Gesicht::N,kasvot,arc
10,Stirn::N,otsa,homlok
11,Haar::N,hius,haj
12,Haar::N,tukka,haj
13,Schnurrbart::N,viikset,bajusz
14,Bart::N,parta,szakáll
15,Kinn::N,leuka,áll
16,Kiefer[Anatomie]::N,leukaluu,állkapocs
17,Kehle::N,kurkku,gége
18,Kehle::N,kurkku,torok
19,Hals::N,kaula,nyak
20,Genick::N,niska,tarkó
21,Kopf::N,pää,fő
22,Kopf::N,pää,fej
23,Rücken::N,selkä,hát
24,Bauch::N,maha,has
25,Bauch::N,vatsa,has
26,Nabel::N,napa,köldök
27,Busen::N,rinta,mell
28,Busen::N,rinta,kebel
29,Brust::N,rinta,mell
30,Schulter::N,olka,váll
31,Schulter::N,hartia,váll
32,Schulter::N,olkapää,váll
33,Arm::N,käsivarsi,kar
34,Ellenbogen::N,kyynärpää,könyök
35,Hand::N,käsi,kéz
36,Handfläche::N,kämmen,tenyér
37,Finger::N,sormi,ujj
38,Fingernagel::N,kynsi,köröm
39,Nagel[Anatomie]::N,kynsi,köröm
40,Zeh::N,varvas,lábujj
41,Fuß::N,jalka,láb
42,Ferse::N,kantapää,sarok
43,Knie::N,polvi,térd
44,Oberschenkel::N,reisi,comb
45,Bein::N,jalka,láb
46,Bein::N,jalka,lábszár
47,Körper::N,keho,test
48,Körper::N,ruumis,test
49,Haut::N,iho,bőr
50,Blut::N,veri,vér
51,Ader::N,suoni,ér
52,Sehne::N,jänne,ín
53,Knochen::N,luu,csont
54,Gehirn::N,aivot,agy
55,Gehirn::N,aivot,agyvelő
56,Herz::N,sydän,szív
57,Magen::N,maha,gyomor
58,Magen::N,vatsa,gyomor
59,Leber::N,maksa,máj
60,Atem::N,henki,lehelet
61,Atem::N,henki,lélegzet
62,Atem::N,hengitys,lehelet
63,Atem::N,hengitys,lélegzet
64,Hunger::N,nälkä,éhség
65,Träne::N,kyynel,könny
66,Geschmack::N,maku,íz
67,Geruch::N,haju,szag
68,Schlaf::N,uni,álom
69,Schlaf::N,uni,alvás
70,Traum::N,uni,álom
71,Himmel::N,taivas,ég
