,Concept_ID,cv,ta
0,Auge::N,куҫ,கண்
1,Ohr::N,хӑлха,காது
2,Nase::N,сӑмса,மூக்கு
3,Mund::N,ҫӑвар,வாய்
4,Zahn::N,шӑл,பல்
5,Zunge::N,чӗлхе,நாக்கு
6,Lippe::N,тута,உதடு
7,Wange::N,пит ҫӑмарти,கன்னம்
8,Gesicht::N,пит,முகம்
9,Gesicht::N,пит-куҫ,முகம்
10,Stirn::N,ҫамка,முன்னெற்றி
11,Haar::N,ҫӳҫ,முடி
12,Schnurrbart::N,усси,மீசை
13,Bart::N,сухал,தாடி
14,Kinn::N,янах,கீழதாடை
15,Kiefer[Anatomie]::N,янах,தாடை
16,Kehle::N,пыр,தொண்டை
17,Kehle::N,карланкӑ,தொண்டை
18,Hals::N,пыр,கழுத்து
19,Genick::N,ӗнсе,கழுத்து
20,Kopf::N,пуҫ,தலை
21,Rücken::N,ҫурӑм,முதுகு
22,Nabel::N,кӑвапа,தொப்புள்
23,Busen::N,кӑкӑр,மார்பகம்
24,Brust::N,умӗ, மார்பு
25,Schulter::N,хул пуҫҫи,தோள்பட்டை
26,Arm::N,алӑ,கரம்
27,Ellenbogen::N,чавса,முழங்கை
28,Hand::N,алӑ сыппи,கை
29,Handfläche::N,ал лаппи,உள்ளங்கை
30,Finger::N,пӳрне,விரல்
31,Fingernagel::N,чӗрне,விரல் நகம்
32,Nagel[Anatomie]::N,чӗрне,நகம்
33,Zeh::N,пӳрне,கால்விரல்
34,Fuß::N,ура лаппи,கால்
35,Ferse::N,кӗле,குதிகால்
36,Knie::N,чӗркуҫҫи,முழங்கால்
37,Oberschenkel::N,пӗҫӗ,தொடை
38,Bein::N,ура,கால்
39,Körper::N,ӳт,உடல்
40,Körper::N,ӳт-пӳ,உடல்
41,Haut::N,тир,சருமம்
42,Blut::N,юн,இரத்தம்
43,Ader::N,вена,நாளம்
44,Sehne::N,шӑнӑр,தசைநார்
45,Knochen::N,шӑмӑ,எலுமபு
46,Gehirn::N,миме,மூனை
47,Herz::N,чӗре,இதயம
48,Magen::N,хырӑмлӑх,வயிறு
49,Leber::N,пӗвер,கல்லீரல்
50,Atem::N,сывлав,மூச்சு
51,Hunger::N,выҫлӑх,பசி
52,Träne::N,куҫҫуль,கண்ணீர்
53,Geschmack::N,техӗм,நறுமணம்
54,Geruch::N,шӑршӑ,துர்நாற்றம்
55,Schlaf::N,ыйхӑ,தூக்கம்
56,Traum::N,тӗлӗк,கனவு
57,Himmel::N,пӗлӗт,வானம்
58,Sonne::N,хӗвел,சூரியன்
59,Mond::N,уйӑх,சந்திரன்
60,Stern::N,ҫӑлтӑр,நட்சத்திரம்
61,Luft::N,сывлӑш,காறறு
62,Wind::N,ҫил,காற்று
63,Welle::N,хум,அலை
64,Wasser::N,шыв,நீர்
65,Wasser::N,шыв-шур,நீர்
66,Stein::N,чул,கல்
67,Boden::N,тӑпра,தரை
68,Erde::N,ҫӗр,மண்
69,Staub::N,тусан,தூசி
70,Rauch::N,тӗтӗм,புகை
71,Funke::N,хӗм,தீப்பொறி
72,Feuer::N,вут,தீ
73,Feuer::N,ҫулӑм,தீ
74,Licht::N,ҫутӑ,வெளிச்சம்
75,Schatten::N,сулхӑн,நிழல்
76,Wetter::N,ҫанталӑк,வானிலை
77,Nebel::N,тӗтре,பனிமூட்டம்
78,Wolke::N,пӗлӗт,மேகம்
79,Regen::N,ҫумӑр,மழை
80,Schnee::N,юр,உறைபனி
81,Eis::N,пӑр,பனிக்கட்டி
82,Frost::N,сивӗ,உறைபனி
83,Kälte::N,сивӗ,குளிர்ந்த
84,Hitze::N,вӗри,சூடு
85,Hitze::N,шӑрӑх,சூடு
86,Raureif::N,пас,உறைபனி வெண்திரை
87,Regenbogen::N,асамат кӗперӗ,வானவில்
88,Donner::N,аслати,இடி
89,Strömung::N,юхӑ,நீரோட்டம்
90,Tropfen::N,тумлам,துளி
91,Schaum::N,кӑпӑк,நுரை
92,Schmutz::N,пылчӑк,அழுக்கு
93,See::N,кӳлӗ,ஏரி
94,Sumpf::N,шур,சதுப்பு நிலம்
95,Sumpf::N,шурлӑх,சதுப்பு நிலம்
96,Moor::N,торфлӑ шурлӑх,முட்புதற்காடு
97,Wiese::N,улӑх,பசும் புல்தரை
98,Wiese::N,ҫаран,பசும் புல்தரை
99,Wald::N,вӑрман,காடு
100,Hügel::N,сӑрт,குன்று
101,Hügel::N,тӗмеске,குன்று
102,Anhöhe::N,сӑрт,பதுக்கை
103,Berg::N,ту,மலை
104,Gipfel::N,тӳпе,உச்சி மாநாடு
105,Höhle::N,ҫӗр хӑвӑлӗ,குகை
106,Abhang::N,тӑвайкки,சரிவு
107,Quelle::N,ҫӑл куҫ,மூலம்
108,Bach::N,пӗчӗк шыв,ஓடை
109,Fluss::N,юхан шыв,ஆறு
110,Ufer::N,ҫыран,நீர்க்கரை
111,Küste::N,тинӗс ҫыранӗ,கடற்கரை
112,Festland::N,тип ҫӗр,நிலம்
113,Meer::N,тинӗс,கடல்
114,Bucht::N,тинӗс кукӑрӗ,சிறுகுடா
