,Concept_ID,te,ar
0,Auge::N,కన్ను,عين
1,Ohr::N,చెవి,أذن
2,Nase::N,ముక్కు,أنف
3,Mund::N,నోరు,فم
4,Zahn::N,పల్లు,سن
5,Zunge::N,నాలుక,لسان
6,Lippe::N,పెదవి,شفة
7,Wange::N,చెంప,خد
8,Wange::N,చెంప,وجنة
9,Gesicht::N,ముఖము,وجه
10,Stirn::N,నుదురు,جبين
11,Haar::N,వెండ్రుక,شعر
12,Schnurrbart::N,మీసము,شارب
13,Bart::N,గడ్డము,لحية
14,Kinn::N,గడ్డము,ذقن
15,Kiefer[Anatomie]::N,దౌడ,فك
16,Kehle::N,గొంతు,حلق
17,Hals::N,మెడ,عنق
18,Hals::N,మెడ,رقبة
19,Genick::N,మూపు,قفا
20,Kopf::N,తల,رأس
21,Rücken::N,వెన్ను,ظهر
22,Bauch::N,కడుపు,بطن
23,Nabel::N,బొడ్డు,سرة
24,Busen::N,స్తనము,ثدي
25,Brust::N,ఱొమ్ము,صدر
26,Schulter::N,భుజము,كتف
27,Arm::N,చేయి,ذراع
28,Ellenbogen::N,మోచేయి,كوع
29,Hand::N,చేయి,يد
30,Handfläche::N,అరచేయు,كف
31,Finger::N,చేతిప్రేలు,إصبع
32,Fingernagel::N,గోరు,ظفر
33,Nagel[Anatomie]::N,గోరు,ظفر
34,Zeh::N,కాలిప్రేలు,إصبع القدم
35,Fuß::N,అడుగు,قدم
36,Ferse::N,మడమ,كعب
37,Knie::N,మోకాలు,ركبة
38,Oberschenkel::N,తొడ,فخذ
39,Bein::N,కాలు,ساق
40,Körper::N,కాయము,جسم
41,Haut::N,చర్మము,بشرة
42,Blut::N,రక్తము,دم
43,Ader::N,సిర,عرق
44,Sehne::N,స్నాయువు,طنب
45,Knochen::N,ఎముక,عظم
46,Gehirn::N,మెదడు,دماغ
47,Herz::N,హృదయము,قلب
48,Magen::N,కడుపు,معدة
49,Leber::N,కాలేయము,كبد
50,Atem::N,ఉపిరి,نفس
51,Hunger::N,ఆకలి,جوع
52,Träne::N,కన్నీటిచుక్క,دمعة
53,Geschmack::N,రుచి,طعم
54,Geschmack::N,రుచి,مذاق
55,Geruch::N,వాసన,رائحة
56,Schlaf::N,నిద్ర,نوم
57,Schlaf::N,నిద్ర,منام
58,Traum::N,కల,حلم
59,Himmel::N,ఆకాశము,سماء
60,Sonne::N,సూర్యుడు,شمس
61,Mond::N,చంద్రుడు,قمر
62,Stern::N,నక్షత్రము,نجم
63,Stern::N,నక్షత్రము,كوكب
64,Luft::N,గాలి,هواء
65,Wind::N,వీచుచున్నగాలి,ريح
66,Welle::N,అల,موجة
67,Wasser::N,నీరు,ماء
68,Stein::N,ఱాయి,حجر
69,Boden::N,నేల,تراب
70,Erde::N,మన్ను,أرض
71,Staub::N,దుమ్ము,غبار
72,Rauch::N,పొగ,دخان
73,Funke::N,అగ్నికణము,شرارة
74,Feuer::N,అగ్ని,نار
75,Licht::N,కాంతి,نور
76,Licht::N,కాంతి,ضوء
77,Schatten::N,నీడ,ظل
78,Schatten::N,నీడ,فيء
79,Wetter::N,వాతావరణ స్థితి,جو
80,Wetter::N,వాతావరణ స్థితి,طقس
81,Nebel::N,పొగమంచు,ضباب
82,Wolke::N,మేఘము,غيمة
83,Wolke::N,మేఘము,سحابة
84,Regen::N,వాన,مطر
85,Schnee::N,హిమము,ثلج
86,Eis::N,మంచుగడ్డ,جليد
87,Frost::N,పేరిన మంచు,صقيع
88,Kälte::N,చలి,برد
89,Hitze::N,వేడిమి,حر
90,Hitze::N,వేడిమి,حرارة
91,Raureif::N,మంచు,صقيع
92,Regenbogen::N,ఇంద్రధనుస్సు,قوس قزح
93,Donner::N,ఉరుము,رعد
94,Strömung::N,ప్రవాహము,تيار
95,Tropfen::N,చుక్క,قطرة
96,Schaum::N,నురుగు,زبد
97,Schaum::N,నురుగు,رغوة
98,Schmutz::N,మైల,وسخ
99,See::N,సరస్సు,بحيرة
100,Sumpf::N,చిత్తడినేల,مستنقع
101,Moor::N,చిత్తడినేల,مستنقع
102,Wiese::N,పచ్చిక బయలు,مرج
103,Wald::N,అడవి,غابة
104,Hügel::N,చివ్నకొండ,تل
105,Anhöhe::N,కొండ,تل
106,Berg::N,పర్వతము,جبل
107,Gipfel::N,శిఖరము,قمة
108,Höhle::N,గుహ,كهف
109,Abhang::N,ఏటవాలు,منحدر
110,Quelle::N,మూలము,منبع
111,Bach::N,కాలువ,مجرى
112,Fluss::N,నది,نهر
113,Ufer::N,తీరము,ضفة
114,Küste::N,తీరము,ساحل
115,Festland::N,భూమి,بر
116,Meer::N,సముద్రము,بحر
117,Bucht::N,మరుగు,خليج
118,Insel::N,దీవి,جزيرة
119,Blume::N,పుష్పము,زهرة
120,Gras::N,పచ్చగడ్డి,حشيش
121,Wurzel::N,వేరు,أصل
122,Baum::N,చెట్టు,شجرة
