,Concept_ID,ko,ba
0,Auge::N,눈,күҙ
1,Ohr::N,귀,ҡолаҡ
2,Nase::N,코,танау
3,Mund::N,입,ауыҙ
4,Zahn::N,이,теш
5,Zunge::N,혀,тел
6,Lippe::N,입술,ирен
7,Wange::N,뺨,яцаҡтар
8,Gesicht::N,얼굴,бит
9,Stirn::N,이마,маңлай
10,Haar::N,털,сәс
11,Schnurrbart::N,윗수몀,мылтыҡ
12,Schnurrbart::N,코밑수염,мылтыҡ
13,Bart::N,수엄,һаҡал
14,Kinn::N,아래턱,эйэк
15,Kiefer[Anatomie]::N,턱,яңаҡ һөйәге
16,Kehle::N,인후,тамаҡ
17,Hals::N,목,муйын
18,Genick::N,먹덜이,соңҡа
19,Kopf::N,머리,баш
20,Rücken::N,든,арҡа
21,Bauch::N,배,ҡорһаҡ
22,Nabel::N,배꼽,кендек
23,Busen::N,가슴속,күкрәк
24,Brust::N,가슴,түш
25,Schulter::N,어깨,яурын
26,Arm::N,팔,ҡул
27,Ellenbogen::N,팔쿰치,терһәк
28,Hand::N,손,ҡул
29,Hand::N,손,ҡул суғы
30,Handfläche::N,손바닥,ус төбө
31,Finger::N,속가락,бармаҡ
32,Fingernagel::N,손톱,тырнаҡ
33,Nagel[Anatomie]::N,손톱,тырнаҡ
34,Zeh::N,발가락,бармаҡ
35,Fuß::N,발,табан
36,Ferse::N,발꿈치,үксә
37,Knie::N,무릎,тубыҡ
38,Oberschenkel::N,허벅다리,сандыр
39,Bein::N,다리,аяҡ
40,Körper::N,구간,тән
41,Haut::N,살갗,тире
42,Blut::N,피,ҡан
43,Ader::N,정맥,тамыр
44,Sehne::N,현,һеңер
45,Sehne::N,현,тарамыш
46,Knochen::N,뼈,һойәк
47,Gehirn::N,뇌,мейе
48,Gehirn::N,뇌수,мейе
49,Herz::N,염통,йорәк
50,Magen::N,위,ашҡаҙан
51,Leber::N,간,бауыр
52,Atem::N,기식,һулыш
53,Hunger::N,공복,аслыҡ
54,Träne::N,눈물,күҙ иәше
55,Geschmack::N,기호,тәм
56,Geruch::N,냄새,еҫ
57,Schlaf::N,수면,йоҡлау
58,Traum::N,쿰,төш
59,Himmel::N,하늘,күк
60,Sonne::N,해,ҡояш
61,Mond::N,달,ай
62,Stern::N,별,йондоҙ
63,Luft::N,동준,һауа
64,Luft::N,가스채,һауа
65,Wind::N,바람,ел
66,Welle::N,물결,тулҡын
67,Wasser::N,물,һыу
68,Stein::N,돌,таш
69,Boden::N,바닥,тупраҡ
70,Erde::N,흙,балсҡ
71,Staub::N,먼지,туҙан
72,Rauch::N,연기,төтөн
73,Funke::N,불티,осҡон
74,Feuer::N,불,ут
75,Licht::N,불,яҡтылыҡ
76,Schatten::N,어스레함,күләгә
77,Wetter::N,기상,һауа торошо
78,Nebel::N,안개,төман
79,Wolke::N,구름,болот
80,Regen::N,비,ямғыр
81,Schnee::N,눈,ҡар
82,Eis::N,얼음,боҙ
83,Frost::N,혹한,һалҡын
84,Kälte::N,추위,һыуыҡ
85,Kälte::N,차가움,һыуыҡ
86,Hitze::N,고온,томра
87,Hitze::N,고온,эҫелек
88,Hitze::N,더위,томра
89,Hitze::N,더위,эҫелек
90,Regenbogen::N,무지개,йәйғор
91,Donner::N,뇌명,күк күкрәү
92,Strömung::N,유동,ағым
93,Tropfen::N,물방울,тамсы
94,Schaum::N,포말,күбек
95,Schmutz::N,때,батҡаҡ
96,See::N,호수,күл
97,Sumpf::N,습지,һаҙлык
98,Moor::N,저습지,һаҙ
99,Wiese::N,목초지,болон
100,Wald::N,숲,урман
101,Hügel::N,언덕,түбә
102,Anhöhe::N,언덕,түбә
103,Anhöhe::N,언덕,ҡалҡыулыҡ
104,Berg::N,산,тау
105,Gipfel::N,졀졍,түбә
106,Höhle::N,공동,мәмерйә
107,Abhang::N,몰매,ипкен
108,Quelle::N,근원,шишмә
109,Bach::N,내,шишмә
110,Fluss::N,강,йылға
111,Ufer::N,강변,яр
112,Ufer::N,바닷가,яр
113,Küste::N,해변,яр буйы
114,Küste::N,해변가,яр буйы
115,Festland::N,본토,ҡоро ер
116,Meer::N,바다,диңгез
117,Bucht::N,협만,бухта
118,Insel::N,섬,үтрау
119,Blume::N,꽃,сәскә
120,Gras::N,풀,үлән
121,Wurzel::N,뿌리,тамыр
122,Baum::N,나무,ағас
123,Stamm::N,대,олон
