,Concept_ID,ps,fr
0,Auge::N,سترګه,œil
1,Ohr::N,غوږ,oreille
2,Nase::N,پوزه,nez
3,Mund::N,خوله,bouche
4,Zahn::N,غاښ,dent
5,Zunge::N,جبه,langue
6,Lippe::N,شونډه,lèvre
7,Wange::N,باړخو,joue
8,Gesicht::N,مخ,face
9,Gesicht::N,مخ,visage
10,Stirn::N,تندی,front
11,Stirn::N,وچولی,front
12,Haar::N,وېښته,cheveu
13,Schnurrbart::N,برېت,moustache
14,Bart::N,ږیره,barbe
15,Kinn::N,زنه,menton
16,Kiefer[Anatomie]::N,جامه,mâchoire
17,Kehle::N,غاړه,gorge
18,Hals::N,غاړه,cou
19,Genick::N,ورمېږ,nuque
20,Kopf::N,سر,tête
21,Rücken::N,شا,dos
22,Bauch::N,نس,ventre
23,Bauch::N,ګېډه,ventre
24,Nabel::N,نوم,nombril
25,Busen::N,تی,sein
26,Brust::N,سینه,poitrine
27,Schulter::N,اوږه,épaule
28,Arm::N,لاس,bras
29,Ellenbogen::N,څنګل,coude
30,Hand::N,لاس,main
31,Handfläche::N,ورغوی,paume
32,Finger::N,ګوته,doigt
33,Fingernagel::N,نوک,ongle
34,Nagel[Anatomie]::N,نوک,ongle
35,Zeh::N,ګوته,orteil
36,Zeh::N,ګوته,doigt de pied
37,Fuß::N,پښه,pied
38,Ferse::N,پونده,talon
39,Knie::N,زنګون,genou
40,Oberschenkel::N,پتون,cuisse
41,Bein::N,پښه,jambe
42,Körper::N,ځان,corps
43,Haut::N,پوټکی,peau
44,Blut::N,وینه,sang
45,Ader::N,رګ,veine
46,Sehne::N,پله,tendon
47,Knochen::N,هډوکی,os
48,Gehirn::N,ماغزه,cerveau
49,Herz::N,زړه,cœur
50,Magen::N,معده,estomac
51,Leber::N,ينه,foie
52,Leber::N,ځیګر,foie
53,Atem::N,نفس,haleine
54,Hunger::N,ولږه,faim
55,Träne::N,اوښکه,larme
56,Geschmack::N,مزه,goût
57,Geschmack::N,مزه,saveur
58,Geschmack::N,خوند,goût
59,Geschmack::N,خوند,saveur
60,Geruch::N,بوی,odeur
61,Schlaf::N,خوب,sommeil
62,Traum::N,خوب,songe
63,Himmel::N,اسمان,ciel
64,Sonne::N,لمر,soleil
65,Mond::N,سپوږمۍ,lune
66,Stern::N,ستوری,étoile
67,Luft::N,هوا,air
68,Wind::N,ورښ,vent
69,Welle::N,موج,vague
70,Wasser::N,اوبه,eau
71,Stein::N,ډبره,pierre
72,Boden::N,مځکه,sol
73,Boden::N,مځکه,terrain
74,Erde::N,خاوره,terre
75,Staub::N,ګرد,poussière
76,Staub::N,خاوره,poussière
77,Rauch::N,دود,fumée
78,Rauch::N,لوګی,fumée
79,Funke::N,سپرغۍ,étincelle
80,Feuer::N,اور,feu
81,Licht::N,رڼا,lumière
82,Schatten::N,سیوری,ombre
83,Wetter::N,هوا,temps
84,Nebel::N,لړه,brume
85,Nebel::N,لړه,brouillard
86,Wolke::N,ورېځ,nuage
87,Regen::N,وریا,pluie
88,Regen::N,باران,pluie
89,Schnee::N,واوره,neige
90,Eis::N,یخ,glace
91,Eis::N,کنګل,glace
92,Frost::N,یخ,gel
93,Frost::N,یخ,gelée
94,Kälte::N,ساړه,froid
95,Hitze::N,تودوخي,chaleur
96,Raureif::N,سپینه پرخه,givre
97,Regenbogen::N,بوډۍ ټال,arc-en-ciel
98,Regenbogen::N,سره زرغونه,arc-en-ciel
99,Donner::N,تالنده,tonnerre
100,Strömung::N,بهېدنه,courant
101,Tropfen::N,قطره,goutte
102,Tropfen::N,څاڅکی,goutte
103,Schaum::N,ځګ,écume
104,Schaum::N,ځګ,mousse
105,Schmutz::N,ناپاکي,boue
106,Schmutz::N,ناپاکي,saleté
107,See::N,جهیل,lac
108,Sumpf::N,جبه,marais
109,Sumpf::N,جبه,marécage
110,Moor::N,جبه,tourbière
111,Wiese::N,چمن,pré
112,Wiese::N,شنېلی,pré
113,Wald::N,ځنګل,bois
114,Wald::N,ځنګل,forêt
115,Hügel::N,تپه,coteau
116,Hügel::N,تپه,colline
117,Anhöhe::N,غونډۍ,éminence
118,Anhöhe::N,غونډۍ,élévation
119,Berg::N,غ‍‍‍‍‍ر,mont
120,Berg::N,غ‍‍‍‍‍ر,montagne
