,Concept_ID,ml,cv
0,Auge::N,കണ്ണ്,куҫ
1,Ohr::N,ചെവി,хӑлха
2,Nase::N,മൂക്ക്,сӑмса
3,Mund::N,വായ,ҫӑвар
4,Zahn::N,പല്ല്,шӑл
5,Zunge::N,നാക്ക്,чӗлхе
6,Lippe::N,ചുണ്ട്,тута
7,Wange::N,കവിൾത്തടം,пит ҫӑмарти
8,Gesicht::N,മുഖം,пит
9,Gesicht::N,മുഖം,пит-куҫ
10,Stirn::N,നെറ്റി,ҫамка
11,Haar::N,തലമുടി,ҫӳҫ
12,Schnurrbart::N,മീശ,усси
13,Bart::N,താടിരോമം,сухал
14,Kinn::N,താടി,янах
15,Kiefer[Anatomie]::N,താടിയെല്ല്,янах
16,Kehle::N,കണ്ഠനാളം,пыр
17,Kehle::N,കണ്ഠനാളം,карланкӑ
18,Hals::N,കഴുത്ത്,пыр
19,Genick::N,പിടലി,ӗнсе
20,Kopf::N,തല,пуҫ
21,Rücken::N,മുതുക്,ҫурӑм
22,Bauch::N,നയറ്,
23,Nabel::N,നാഭി,кӑвапа
24,Busen::N,സ്തനം,кӑкӑр
25,Brust::N,സ്തനം,умӗ
26,Schulter::N,തോൾ,хул пуҫҫи
27,Arm::N,കൈ,алӑ
28,Ellenbogen::N,കൈമുട്ട്,чавса
29,Hand::N,കൈ,алӑ сыппи
30,Handfläche::N,ഉള്ളം കൈ,ал лаппи
31,Finger::N,വിരൽ,пӳрне
32,Fingernagel::N,നഖം,чӗрне
33,Nagel[Anatomie]::N,നഖം,чӗрне
34,Zeh::N,കാൽവിരൽ,пӳрне
35,Fuß::N,കാൽപ്പാദം,ура лаппи
36,Ferse::N,ഉപ്പൂറ്റി,кӗле
37,Knie::N,കാൽമുട്ട്,чӗркуҫҫи
38,Oberschenkel::N,തുട,пӗҫӗ
39,Bein::N,കാൽ,ура
40,Körper::N,ശരീരം,ӳт
41,Körper::N,ശരീരം,ӳт-пӳ
42,Haut::N,ചർമ്മം,тир
43,Blut::N,രക്തം,юн
44,Ader::N,ഞരമ്പ്,вена
45,Sehne::N,സ്നായു,шӑнӑр
46,Knochen::N,അസ്ഥി,шӑмӑ
47,Gehirn::N,തലച്ചോറ്,миме
48,Herz::N,ഹൃദയം,чӗре
49,Magen::N,വയർ,хырӑмлӑх
50,Leber::N,കരൾ,пӗвер
51,Atem::N,ശ്വാസം,сывлав
52,Hunger::N,വിശപ്പ്,выҫлӑх
53,Träne::N,കണ്ണീർ,куҫҫуль
54,Geschmack::N,രുചി,техӗм
55,Geruch::N,ഗന്ധം,шӑршӑ
56,Schlaf::N,ഉറകും,ыйхӑ
57,Traum::N,സ്വപ്നം,тӗлӗк
58,Himmel::N,ആകാശം,пӗлӗт
59,Sonne::N,സൂര്യൻ,хӗвел
60,Mond::N,ചന്ദ്രൻ,уйӑх
61,Stern::N,നക്ഷത്രം,ҫӑлтӑр
62,Luft::N,കാറ്റ്,сывлӑш
63,Wind::N,കാറ്റ്,ҫил
64,Welle::N,തിരമാല,хум
65,Wasser::N,വെള്ളം,шыв
66,Wasser::N,വെള്ളം,шыв-шур
67,Stein::N,ശില,чул
68,Stein::N,കല്ല്,чул
69,Boden::N,തറ,тӑпра
70,Boden::N,നിലം,тӑпра
71,Erde::N,മണ്ണ്,ҫӗр
72,Staub::N,പൊടി,тусан
73,Rauch::N,പുക,тӗтӗм
74,Funke::N,തീപ്പൊരി,хӗм
75,Feuer::N,തീ,вут
76,Feuer::N,തീ,ҫулӑм
77,Licht::N,വിളക്ക്,ҫутӑ
78,Licht::N,സൂര്യപ്രകാശം,ҫутӑ
79,Schatten::N,തണൽ,сулхӑн
80,Wetter::N,കാലാവസ്ഥ,ҫанталӑк
81,Nebel::N,മൂടൽമഞ്ഞ്,тӗтре
82,Wolke::N,മേഘം,пӗлӗт
83,Regen::N,മഴ,ҫумӑр
84,Schnee::N,മഞ്ഞ്,юр
85,Eis::N,ഐസ്,пӑр
86,Frost::N,മൂടൽമഞ്ഞ്,сивӗ
87,Kälte::N,തണുപ്പ്,сивӗ
88,Hitze::N,ചൂട്,вӗри
89,Hitze::N,ചൂട്,шӑрӑх
90,Raureif::N,കോടമഞ്ഞ്,пас
91,Regenbogen::N,മഴവില്ല്,асамат кӗперӗ
92,Donner::N,ഇടി,аслати
93,Strömung::N,പ്രവാഹം,юхӑ
94,Tropfen::N,തുള്ളി,тумлам
95,Schaum::N,നുര,кӑпӑк
96,Schmutz::N,അഴുക്ക്,пылчӑк
97,See::N,തടാകം,кӳлӗ
98,Sumpf::N,ചതുപ്പുനിലം,шур
99,Sumpf::N,ചതുപ്പുനിലം,шурлӑх
100,Moor::N,പാഴ്നിലം,торфлӑ шурлӑх
101,Wiese::N,പുൽത്തകിടി,улӑх
102,Wiese::N,പുൽത്തകിടി,ҫаран
103,Wald::N,വനം,вӑрман
104,Wald::N,കാട്,вӑрман
105,Hügel::N,കുന്ന്,сӑрт
106,Hügel::N,കുന്ന്,тӗмеске
107,Anhöhe::N,ഉയർന്ന ഭൂമി,сӑрт
108,Berg::N,പർവ്വതം,ту
109,Gipfel::N,ഉച്ചകോടി,тӳпе
110,Höhle::N,ഗുഹ,ҫӗр хӑвӑлӗ
111,Abhang::N,ചരിവ്,тӑвайкки
112,Quelle::N,ഉറവിടം,ҫӑл куҫ
113,Bach::N,അരുവി,пӗчӗк шыв
114,Fluss::N,നദി,юхан шыв
115,Ufer::N,തീരം,ҫыран
116,Küste::N,കടൽത്തീരം,тинӗс ҫыранӗ
117,Festland::N,കര,тип ҫӗр
118,Meer::N,കടൽ,тинӗс
119,Bucht::N,ഉൾക്കടല്,тинӗс кукӑрӗ
120,Insel::N,ദ്വീപ്,утрав
121,Blume::N,പൂവ്,чечек
122,Gras::N,പുല്ല്,курӑк
123,Wurzel::N,വേര്,тымар
124,Baum::N,മരം,йывӑҫ
125,Stamm::N,തായ്ത്തടി,вулӑ
126,Rinde::N,പട്ട,хуйӑр
127,Ast::N,ശാഖ,турат
128,Zweig::N,ശാഖ,турат
129,Blatt::N,ഇല,ҫулҫӑ
130,Birke::N,പൂവരശ്,хурӑн
131,Kiefer[Baum]::N,പൈൻമരം,хыр
132,Weide[Baum]::N,വില്ലോ,хӑва
133,Tanne::N,ദേവദാരു,чӑрӑш
134,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,мӑйрака
135,Feder::N,തൂവൽ,тӗк
136,Fell::N,മൃദുരോമം,ҫӑм
137,Flügel::N,ചിറക്,ҫунат
138,Klaue::N,നഖം,чӗрне
139,Kralle::N,നഖം,ура
140,Schwanz::N,വാൽ,хӳре
141,Ei::N,മുട്ട,ҫӑмарта
142,Nest::N,കൂട്,йӑва
143,Bau::N,മാളം,йӗнӗ
144,Tier::N,മൃഗം,выльӑх
145,Herde::N,കൂട്ടം,кӗтӳ
146,Kuh::N,പശു,ӗне
147,Bulle::N,കാള,вӑкӑр
148,Pferd::N,കുതിര,лаша
149,Schaf::N,ആട്,сурӑх
150,Schwein::N,പന്നി,сысна
151,Hund::N,നായ്,йытӑ
152,Katze::N,പൂച്ച,кушак
153,Bär::N,കരടി,упа
154,Eichhörnchen::N,അണ്ണാൻ,пакша
155,Elch::N,കടമാന്,пӑши
156,Fuchs::N,കുറുക്കൻ,тилӗ
157,Hase::N,മുയൽ,куян
158,Hase::N,മുയൽ,мулкач
159,Maus::N,ചുണ്ടലി,шӑши
160,Wolf::N,ചെന്നായ,кашкӑр
161,Vogel::N,പക്ഷി,кайӑк
162,Vogel::N,പക്ഷി,вӗҫен кайӑк
163,Schwarm::N,കൂട്ടം,ушкӑн
164,Huhn::N,കോഴി,чӑх
165,Huhn::N,കോഴി,чӑхӑ
166,Hahn::N,പൂവൻകോഴി,автан
167,Gans::N,അരയന്നം,хур
168,Adler::N,കഴുകൻ,ӑмӑрт кайӑк
169,Ente::N,താറാവ്,кӑвакал
170,Eule::N,മൂങ്ങ,тӑмана
171,Kranich::N,കൊക്ക്,тӑрна
172,Krähe::N,കാക്ക,ула курак
173,Kuckuck::N,കുയിൽ,куккук
174,Schwan::N,അരയന്നം,акӑш
175,Fisch::N,മത്സ്യം,пулӑ
176,Barsch::N,ഒരിനം മത്സ്യം,уланкӑ
177,Hecht::N,ഒരു മത്സ്യം,ҫӑрттан
178,Schlange[Tier]::N,പാമ്പ്,ҫӗлен
179,Wurm::N,വിര,ӑман
180,Spinne::N,ചിലന്തി,эрешмен
181,Ameise::N,ഉറുമ്പ്,кӑткӑ
182,Laus::N,പേന്,пыйтӑ
183,Mücke::N,മശകം,вӑрӑм туна
184,Fliege::N,ഈച്ച,шӑна
185,Schmetterling::N,ചിത്രശലഭം,лӗпӗш
186,Beere::N,ബെറി,ҫырла
187,Apfel::N,ആപ്പിൾ,улма
188,Apfel::N,ആപ്പിൾ,пан улми
189,Pilz::N,കൂൺ,кӑмпа
190,Zwiebel::N,സവാള,сухан
191,Saat::N,വിത്ത്,вӑрӑ
192,Korn::N,ധാന്യം,тӗшӗ
193,Korn::N,ധാന്യം,пӗрчӗ
194,Heu::N,വയ്ക്കോൽ,утӑ
195,Schale::N,തൊലി,хупӑ
196,Grube::N,കുഴി,шӑтӑк
197,Falle::N,കെണി,тапӑ
198,Falle::N,കെണി,капкӑн
199,Schlinge::N,കുടുക്ക്,йӑлӑ
200,Spur::N,ചുവട്,йӗр
201,Asche::N,ചാരം,кӗл
202,Dreck::N,അഴുക്ക്,пылчӑк
203,Eisen::N,ഇരുമ്പ്,тимӗр
204,Gold::N,സ്വർണ്ണം,ылтӑн
205,Silber::N,വെള്ളി,кӗмӗл
206,Kohle::N,കൽക്കരി,кӑмрӑк
207,Glas::N,ഗ്ലാസ്,кӗленче
208,Lehm::N,കളിമണ്ണ്,тӑм
209,Sand::N,മണൽ,хӑйӑр
210,Mensch::N,മനുഷ്യർ,ҫын
211,Mensch::N,മനുഷ്യർ,этем
212,Mann::N,പുരുഷൻ,ар
213,Frau::N,സ്ത്രീ,хӗрарӑм
214,Kind::N,കുഞ്ഞ്,ача
215,Junge::N,ആൺകുട്ടി,ача
216,Junge::N,ആൺകുട്ടി,ар ҫын ача
217,Mädchen::N,പെൺകുട്ടി,хӗр ача
218,Familie::N,കുടുംബം,ҫемье
219,Familie::N,കുടുംബം,кил-йыш
220,Großvater::N,അപ്പൂപ്പൻ,кукаҫи
221,Großmutter::N,അമ്മുമ്മ,кукамай
222,Eltern::N,മാതാപിതാക്കള്,аҫа-ама
223,Vater::N,അച്ഛൻ,атте
224,Mutter::N,അമ്മ,анне
225,Sohn::N,മകൻ,ывӑл
226,Tochter::N,മകൾ,хӗр
227,Bruder::N,ചേട്ടൻ,ар тӑван
228,Bruder::N,അനിയൻ,ар тӑван
229,Schwester::N,ചേച്ചി,аппа
230,Schwester::N,ചേച്ചി,йӑмӑк
231,Schwester::N,അനിയത്തി,аппа
232,Schwester::N,അനിയത്തി,йӑмӑк
233,Onkel::N,അമ്മാവൻ,мучи
234,Onkel::N,അമ്മാവൻ,пичче
235,Tante::N,മാമി,аппа
236,Ehemann::N,ഭർത്താവ്,упӑшка
237,Ehefrau::N,ഭാര്യ,арӑм
238,Freude::N,ആഹ്ലാദം,савӑнӑҫ
239,Freude::N,ആഹ്ലാദം,хаваслӑх
240,Gelächter::N,ചിരിയുടെ ശബ്ദം,кулӑ
241,Glück::N,സന്തോഷം,телей
242,Glück::N,സന്തോഷം,ӑраскал
243,Glück::N,സന്തുഷ്ടി,телей
244,Glück::N,സന്തുഷ്ടി,ӑраскал
245,Kummer::N,ശോകം,хурлӑх
246,Wunsch::N,ആഗ്രഹം,ӗмӗт
247,Wunsch::N,ആഗ്രഹം,кӑмӑл
248,Lust::N,ആഗ്രഹം,кӑмӑл
249,Geist::N,ചുറുചുറുക്ക്,чун-чӗм
250,Geist::N,ചുറുചുറുക്ക്,ыр-усал
251,Geist::N,ചുറുചുറുക്ക്,чун хавалӗ
252,Gedanke::N,ചിന്ത,шухӑш
253,Gedächtnis::N,ഓർമ്മശക്തി,ас
254,Verstand::N,മനസ്സ്,ӑс
255,Verstand::N,മനസ്സ്,ӑс-тӑн
256,Verstand::N,മനസ്സ്,ӑс-хакӑл
257,Sinn::N,അർത്ഥം,тупсӑм
258,Sinn::N,അർത്ഥം,пӗлтерӗш
259,Grund::N,കാരണം,сӑлтав
260,Wahrheit::N,സത്യം,чӑнлӑх
261,Gespräch::N,സല്ലാപം,калаҫу
262,Märchen::N,യക്ഷിക്കഥ,юмах
263,Erzählung::N,കഥ,акалав
264,Erzählung::N,കഥ,каласа пани
265,Nachricht::N,സന്ദേശം,хыпар
266,Neuigkeit::N,വാർത്ത,ҫӗнӗ хыпар
267,Name::N,പേര്,ят
268,Rätsel::N,പ്രഹേളിക,сутмалли юмах
269,Rede::N,സംസാരം,сӑмах
270,Sprache::N,ഭാഷ,чӗлхе
271,Stimme::N,സ്വരം,сасӑ
272,Wort::N,വാക്ക്,сӑмах
273,Zeichen::N,സംജ്ഞ,паллӑ
274,Ruf::N,വിളി,йыхрав
275,Ruf::N,വിളി,чӗнӳ
276,Lärm::N,ആരവം,шав
277,Laut::N,ശബ്ദം,сасӑ
278,Ton::N,സ്വരഭേദം,сасӑ
279,Lied::N,പാട്ട്,юрӑ
280,Ruhe::N,നിശ്ചലത,канӑҫлӑх
281,Ruhe::N,നിശ്ചലത,лӑпкӑлӑх
282,Leute::N,ജനങ്ങൾ,ҫамрӑксем
283,Leute::N,ജനങ്ങൾ,ҫамрӑк ҫынсем
284,Volk::N,രാഷ്ടം,халӑх
285,Arbeit::N,ജോലി,ӗҫхӗл
286,Arbeit::N,ജോലി,ӗҫлев
287,Gast::N,അതിലി,хӑна
288,Geschenk::N,സമ്മാനം,парне
289,Geschenk::N,സമ്മാനം,кучченеҫ
290,Spiel::N,കളി,вӑйӑ
291,Gesellschaft::N,കൂട്ടായ്മ,общество
292,Hilfe::N,സഹായം,пулӑшу
293,Freund::N,സുഹൃത്ത്,тус
294,Kamerad::N,കൂട്ടാളി,юлташ
295,Kamerad::N,കൂട്ടാളി,тус
296,Angelegenheit::N,കാര്യം,ӗҫ
297,Anzahl::N,എണ്ണം,йыш
298,Anzahl::N,എണ്ണം,хисеп
299,Art::N,തരം,тӗс
300,Stück::N,കഷണം,татӑк
301,Teil::N,ഭാഗം,пай
302,Hälfte::N,പകുതി,ҫурӑ
303,Kreis::N,വൃത്തം,ункӑ
304,Kreis::N,വൃത്തം,ҫавракӑш
305,Kreuz::N,കുരിശടയാളം,хӗрес
306,Linie::N,വര,йӗр
307,Linie::N,രേഖ,йӗр
308,Strich::N,പക്ഷാഘാതം,йӗр
309,Abstand::N,വിടവ്,хушӑ
310,Entfernung::N,അകലം,хушӑ
311,Gegend::N,പ്രദേശം,вырӑн
312,Platz::N,ഇടം,хутлӑх
313,Ort::N,സ്ഥലം,вырӑн
314,Seite::N,വശം,ен
315,Seite::N,വശം,аяк
316,Seite::N,വശം,айӑк
317,Mitte::N,മധ്യസ്ഥാനം,варӑ
318,Gegenstand::N,സാധനം,япала
319,Sache::N,വസ്തു,япала
320,Rand::N,തൊങ്ങൽ,вӗҫ
321,Rand::N,തൊങ്ങൽ,хӗрӗ
322,Rand::N,തൊങ്ങൽ,хӗрри
323,Kante::N,അറ്റം,хайкача
324,Kante::N,അറ്റം,хысак
325,Ecke::N,മൂല,кӗтес
326,Spitze::N,അഗ്രം,вӗҫ
327,Ende::N,അവസാനം,вӗҫ
328,Loch::N,ദ്വാരം,шӑтӑк
329,Winkel::N,കോൺ,кӗтес
330,Muster::N,ക്രമം,эреш
331,Größe::N,വലുപ്പം,пысӑкӑш
332,Länge::N,നീളം,вӑрӑмӑш
333,Höhe::N,ഉയരം,ҫӳллӗш
334,Gewicht::N,കട്ടി,виҫе
335,Gewicht::N,കട്ടി,йывӑрӑш
336,Menge::N,അളവ്,йыш
337,Haufen::N,കൂമ്പാരം,купа
338,Reihe::N,വരി,рет
339,Boot::N,ബോട്ട്,кимӗ
340,Ruder::N,പങ്കായം,кӗсмен
341,Schlitten::N,ഉരുളില്ലാവണ്ടി,ҫуна
342,Ski::N,ഹിമപാദുകം,йӗлтӗр
343,Lagerfeuer::N,തീ,вут
344,Lagerfeuer::N,തീ,кӑвайт
345,Last::N,ഭാരം,сулмаклӑх
346,Last::N,ഭാരം,йывӑр япала
347,Gang::N,നടത്തം,куҫӑм
348,Schritt::N,ചുവട്,утӑм
349,Schritt::N,ചുവട്,пусӑм
350,Norden::N,വടക്ക്,ҫурҫӗр
351,Süden::N,തെക്ക്,кӑнтӑр
352,Westen::N,പടിഞ്ഞാറ്,анӑҫ
353,Westen::N,പടിഞ്ഞാറ്,хӗвел анӑҫ
354,Osten::N,കിഴക്ക്,хӗвел тухӑҫ
355,Holz::N,തടി,йывӑҫ
356,Brett::N,ബോർഡ്,хӑма
357,Platte::N,തകിട്,плита
358,Stütze::N,താങ്ങ്,ура
359,Stange::N,കമ്പ്,шерте
360,Stock::N,വടി,патак
361,Stab::N,കുറുവടി,шӑчӑ
362,Rohr::N,കുഴൽ,пӑрӑх
363,Haus::N,വീട്,ҫурт
