,Concept_ID,ko,kn
0,Auge::N,눈,ಕಣ್ಣು
1,Ohr::N,귀,ಕಿವಿ
2,Nase::N,코,ಮೂಗು
3,Mund::N,입,ಬಾಯಿ
4,Zahn::N,이,ಹಲ್ಲು
5,Zunge::N,혀,ನಾಲಿಗೆ
6,Lippe::N,입술,ತುಟಿ
7,Wange::N,뺨,ಗಲ್ಲ
8,Gesicht::N,얼굴,ಮುಖ
9,Stirn::N,이마,ಹಣೆ
10,Haar::N,털,ಕೂದಲು
11,Schnurrbart::N,윗수몀,ಮೀಸೆ
12,Schnurrbart::N,코밑수염,ಮೀಸೆ
13,Bart::N,수엄,ಗಡ್ಡ
14,Kinn::N,아래턱,ಗದ್ದ
15,Kiefer[Anatomie]::N,턱,ದವಡೆ
16,Kehle::N,인후,ಗಂಟಲು
17,Hals::N,목,ಕೊರಳು
18,Genick::N,먹덜이,ಹಿಂಗತ್ತು
19,Kopf::N,머리,ತಲೆ
20,Rücken::N,든,ಬೆನ್ನು
21,Bauch::N,배,ಹೊಟ್ಟೆ
22,Nabel::N,배꼽,ಹೊಕ್ಕುಳು
23,Busen::N,가슴속,ಸ್ತನ
24,Brust::N,가슴,ಎದೆ
25,Schulter::N,어깨,ಭುಜ
26,Arm::N,팔,ತೋಳು
27,Ellenbogen::N,팔쿰치,ಮೊಣಕೈ
28,Hand::N,손,ಕೈ
29,Handfläche::N,손바닥,ಅಂಗೈ
30,Finger::N,속가락,ಕೈಬೆರಳು
31,Fingernagel::N,손톱,ಉಗುರು
32,Nagel[Anatomie]::N,손톱,ಉಗುರು
33,Zeh::N,발가락,ಕಾಲ್ಬೆರಳು
34,Fuß::N,발,ಪಾದ
35,Ferse::N,발꿈치,ಹಿಮ್ಮಡಿ
36,Knie::N,무릎,ಮಂಡಿ
37,Oberschenkel::N,허벅다리,ತೊಡೆ
38,Bein::N,다리,ಕಾಲು
39,Körper::N,구간,ದೇಹ
40,Haut::N,살갗,ಚರ್ಮ
41,Blut::N,피,ರಕ್ತ
42,Ader::N,정맥,ನರ
43,Sehne::N,현,ನರ
44,Knochen::N,뼈,ಮೂಳೆ
45,Gehirn::N,뇌,ಮಿದುಳು
46,Gehirn::N,뇌수,ಮಿದುಳು
47,Herz::N,염통,ಹೃದಯ
48,Magen::N,위,ಉದರ
49,Leber::N,간,ಯಕೃತ್ತು
50,Atem::N,기식,ಉಸಿರು
51,Hunger::N,공복,ಹಸಿವು
52,Träne::N,눈물,ಕಣ್ಣೀರು
53,Geschmack::N,기호,ರುಚಿ
54,Geruch::N,냄새,ವಾಸನೆ
55,Schlaf::N,수면,ನಿದ್ರೆ
56,Traum::N,쿰,ಕನಸು
57,Himmel::N,하늘,ಬಾನು
58,Sonne::N,해,ಸೂರ್ಯ
59,Mond::N,달,ಚಂದ್ರ
60,Stern::N,별,ಚುಕ್ಕಿ
61,Luft::N,동준,ವಾಯು
62,Luft::N,가스채,ವಾಯು
63,Wind::N,바람,ಗಾಳಿ
64,Welle::N,물결,ಅಲೆ
65,Wasser::N,물,ನೀರು
66,Stein::N,돌,ಕಲ್ಲು
67,Boden::N,바닥,ನೆಲ
68,Erde::N,흙,ಭೂಮಿ
69,Staub::N,먼지,ದೂಳು
70,Rauch::N,연기,ಹೊಗೆ
71,Funke::N,불티,ಕಿಡಿ
72,Feuer::N,불,ಬೆಂಕಿ
73,Licht::N,불,ಬೆಳಕು
74,Schatten::N,어스레함,ನೆರಳು
75,Wetter::N,기상,ಹವ
76,Nebel::N,안개,ಮಂಜು
77,Wolke::N,구름,ಮೋಡ
78,Regen::N,비,ಮಳೆ
79,Schnee::N,눈,ಹಿಮ
80,Eis::N,얼음,ಮಂಜುಗಡ್ಡೆ
81,Frost::N,혹한,ಮಂಜು
82,Kälte::N,추위,ಹಿಮ
83,Kälte::N,차가움,ಹಿಮ
84,Hitze::N,고온,ಉಷ್ಣ
85,Hitze::N,더위,ಉಷ್ಣ
86,Regenbogen::N,무지개,ಇಂದ್ರಚಾಪ
87,Donner::N,뇌명,ಗುಡುಗು
88,Strömung::N,유동,ಪ್ರವಾಹ
89,Tropfen::N,물방울,ತೊಟ್ಟು
90,Schaum::N,포말,ನೊರೆ
91,Schmutz::N,때,ಕಸ
92,See::N,호수,ಸರೋವರ
93,Sumpf::N,습지,ಜೌಗುಸ್ಥಳ
94,Moor::N,저습지,ಬಂಜರು ಭೂಮಿ
95,Wiese::N,목초지,ಹುಲ್ಲುಗಾವಲು
96,Wald::N,숲,ಕಾಡು
97,Hügel::N,언덕,ಗುಡ್ಡೆ
98,Anhöhe::N,언덕,ದಿಬ್ಬ
99,Berg::N,산,ಮಲೆ
100,Berg::N,산,ಪರ್ವತ
101,Gipfel::N,졀졍,ಶೃಂಗ
102,Höhle::N,공동,ಗುಹೆ
103,Abhang::N,몰매,ಇಳಿಜಾರು
104,Quelle::N,근원,ಮೂಲ
105,Bach::N,내,ತೊರೆ
106,Fluss::N,강,ನದಿ
107,Ufer::N,강변,ತೀರ
108,Ufer::N,바닷가,ತೀರ
109,Küste::N,해변,ದಂಡೆ
110,Küste::N,해변가,ದಂಡೆ
111,Festland::N,본토,ಭೂಮಿ
112,Meer::N,바다,ಕಡಲು
113,Bucht::N,협만,ಖಾರಿ
