,Concept_ID,az,sk
0,Auge::N,göz,oko
1,Ohr::N,qulaq,ucho
2,Nase::N,burun,nos
3,Mund::N,ağız,ústa
4,Zahn::N,diş,zub
5,Zunge::N,dil,jazyk
6,Lippe::N,dodaq,pera
7,Wange::N,yanaq,líce
8,Gesicht::N,üz,tvár
9,Gesicht::N,üz,obličaj
10,Stirn::N,alın,čelo
11,Haar::N,saç,vlas
12,Schnurrbart::N,bığ,fúzy
13,Bart::N,saqqal,brada
14,Kinn::N,çənə,brada
15,Kiefer[Anatomie]::N,çənə,čeľusť
16,Kehle::N,boğaz,hrdlo
17,Hals::N,boyun,krk
18,Genick::N,ənsə,väzy
19,Kopf::N,baş,hlava
20,Rücken::N,bel,chrbát
21,Bauch::N,qarın,brucho
22,Nabel::N,göbək,pupok
23,Busen::N,məmə,prsia
24,Brust::N,döş,hruď
25,Schulter::N,çiyin,plece
26,Arm::N,qol,rameno
27,Ellenbogen::N,dirsək,lakeť
28,Hand::N,əl,ruka
29,Handfläche::N,ovuc,dlaň
30,Finger::N,barmaq,prst
31,Fingernagel::N,barmaq dırnağı,necht
32,Nagel[Anatomie]::N,dırnak,necht
33,Zeh::N,ayaq barmağı,prst na nohe
34,Fuß::N,ayaq,noha
35,Ferse::N,daban,päta
36,Knie::N,diz,koleno
37,Oberschenkel::N,bud,stehno
38,Bein::N,qıç,noha
39,Körper::N,əndam,telo
40,Haut::N,dəri,koža
41,Blut::N,qan,krv
42,Ader::N,damar,žila
43,Sehne::N,vətər,šľacha
44,Knochen::N,sümük,kosť
45,Gehirn::N,beyin,mozog
46,Herz::N,ürək,srdce
47,Magen::N,mədə,žalúdok
48,Leber::N,qara ciyər,pečeň
49,Atem::N,nəfəs,dych
50,Hunger::N,aclıq,hlad
51,Träne::N,göz yaşı,slza
52,Geschmack::N,tam,chuť
53,Geschmack::N,ləzzət,chuť
54,Geruch::N,qoxu,pach
55,Schlaf::N,yuxu,spánok
56,Traum::N,röya,sen
57,Himmel::N,göy,nebo
58,Himmel::N,səma,nebo
59,Sonne::N,günəş,slnko
60,Mond::N,ay,mesiac
61,Stern::N,ulduz,hviezda
62,Luft::N,hava,vzduch
63,Wind::N,yel,vietor
64,Wind::N,külək,vietor
65,Welle::N,dalğa,vlna
66,Wasser::N,su,voda
67,Stein::N,daş,kameň
68,Boden::N,yer,zem
69,Boden::N,yer,pôda
70,Boden::N,zəmin,zem
71,Boden::N,zəmin,pôda
72,Erde::N,yer torpaq,zem
73,Staub::N,toz,prach
74,Rauch::N,tüstü,dym
75,Funke::N,qığılcım,iskra
76,Feuer::N,od,oheň
77,Licht::N,işıq,svetlo
78,Schatten::N,kölgə,tieň
79,Wetter::N,hava,počasie
80,Nebel::N,duman,hmla
81,Wolke::N,bulud,oblak
82,Wolke::N,bulud,mračno
83,Regen::N,yağış,dážď
84,Regen::N,yağmur,dážď
85,Schnee::N,qar,sneh
86,Eis::N,buz,ľad
87,Frost::N,ayaz,mráz
88,Kälte::N,soyuq,zima
89,Kälte::N,soyuq,chlad
90,Hitze::N,coşğunluq,horúčava
91,Raureif::N,qırov,srieň
92,Raureif::N,qırov,inovať
93,Regenbogen::N,göy qurşağı,dúha
94,Donner::N,göy gurultusu,hrom
95,Strömung::N,axın,prúdenie
96,Tropfen::N,damcı,kvapka
97,Schaum::N,köpük,pena
98,Schmutz::N,çamır,špina
99,Schmutz::N,çamır,nečistota
100,See::N,göl,jazero
101,Sumpf::N,bataqlıq,bahno
102,Moor::N,bataqlıq,močiar
103,Wiese::N,çəmən,lúka
104,Wald::N,meşə,les
105,Wald::N,meşə,hora
106,Hügel::N,təpə,vŕšok
107,Anhöhe::N,təpə,výšina
108,Anhöhe::N,təpə,vyvýšenina
109,Berg::N,dağ,hora
110,Gipfel::N,zirvə,vrchol
111,Höhle::N,mağara,jaskyňa
112,Abhang::N,yamac,úbočie
113,Quelle::N,bulaq,prameň
114,Bach::N,kiçik çay,potok
115,Fluss::N,çay,rieka
116,Ufer::N,kənar,breh
117,Küste::N,sahil,pobrežie
118,Festland::N,materik,pevnina
119,Meer::N,dəniz,more
120,Bucht::N,körfəz,záliv
121,Bucht::N,körfəz,zátoka
122,Insel::N,ada,ostrov
123,Blume::N,çiçək,kvet
124,Blume::N,çiçək,kvetina
125,Gras::N,ot,tráva
126,Wurzel::N,kök,koreň
127,Baum::N,ağac,strom
128,Stamm::N,gövdə,kmeň
129,Rinde::N,qabıq,kôra
130,Ast::N,şax,konár
131,Zweig::N,budaq,vetva
132,Blatt::N,yarpaq,list
133,Birke::N,tozağacı,breza
134,Kiefer[Baum]::N,şam,sosna
135,Kiefer[Baum]::N,şam,borovica
136,Weide[Baum]::N,söyüd,vŕba
137,Tanne::N,küknar,jedľa
138,Horn::N,buynuz,roh
139,Feder::N,tük,pero
140,Feder::N,lələk,pero
141,Fell::N,xəz,koža
142,Fell::N,xəz,kožušina
143,Flügel::N,qanad,krídlo
144,Klaue::N,pəncə,paznecht
145,Kralle::N,dırnaq,pazúr
146,Schwanz::N,quyruq,chvost
147,Ei::N,yumurta,vajce
148,Ei::N,yumurta,vajíčko
149,Nest::N,yuva,hniezdo
150,Bau::N,yuva,nora
151,Tier::N,heyvan,zviera
152,Herde::N,sürü,stádo
153,Kuh::N,inək,krava
154,Bulle::N,öküz,býk
