,Concept_ID,kn,uk
0,Auge::N,ಕಣ್ಣು,око
1,Ohr::N,ಕಿವಿ,вухо
2,Nase::N,ಮೂಗು,ніс
3,Mund::N,ಬಾಯಿ,рот
4,Zahn::N,ಹಲ್ಲು,зуб
5,Zunge::N,ನಾಲಿಗೆ,язик
6,Lippe::N,ತುಟಿ,губа
7,Wange::N,ಗಲ್ಲ,щока
8,Gesicht::N,ಮುಖ,обличчя
9,Stirn::N,ಹಣೆ,лоб
10,Haar::N,ಕೂದಲು,волосся
11,Schnurrbart::N,ಮೀಸೆ,вуса
12,Bart::N,ಗಡ್ಡ,борода
13,Kinn::N,ಗದ್ದ,підборіддя
14,Kiefer[Anatomie]::N,ದವಡೆ,щелепа
15,Kehle::N,ಗಂಟಲು,горло
16,Hals::N,ಕೊರಳು,шия
17,Genick::N,ಹಿಂಗತ್ತು,потилиця
18,Kopf::N,ತಲೆ,голова
19,Rücken::N,ಬೆನ್ನು,спина
20,Bauch::N,ಹೊಟ್ಟೆ,живіт
21,Nabel::N,ಹೊಕ್ಕುಳು,пупок
22,Busen::N,ಸ್ತನ,груди
23,Brust::N,ಎದೆ,груди
24,Schulter::N,ಭುಜ,плече
25,Arm::N,ತೋಳು,рука
26,Ellenbogen::N,ಮೊಣಕೈ,лікоть
27,Hand::N,ಕೈ,рука
28,Handfläche::N,ಅಂಗೈ,долоня
29,Finger::N,ಕೈಬೆರಳು,палець
30,Fingernagel::N,ಉಗುರು,ніготь
31,Nagel[Anatomie]::N,ಉಗುರು,ніготь
32,Zeh::N,ಕಾಲ್ಬೆರಳು,палець на нозі
33,Fuß::N,ಪಾದ,нога
34,Ferse::N,ಹಿಮ್ಮಡಿ,п’ятка
35,Knie::N,ಮಂಡಿ,коліно
36,Oberschenkel::N,ತೊಡೆ,стегно
37,Bein::N,ಕಾಲು,нога
38,Körper::N,ದೇಹ,тіло
39,Haut::N,ಚರ್ಮ,шкіра
40,Blut::N,ರಕ್ತ,кров
41,Ader::N,ನರ,вена
42,Sehne::N,ನರ,сухожилля
43,Knochen::N,ಮೂಳೆ,кістка
44,Gehirn::N,ಮಿದುಳು,мозок
45,Herz::N,ಹೃದಯ,серце
46,Magen::N,ಉದರ,шлунок
47,Leber::N,ಯಕೃತ್ತು,печінка
48,Atem::N,ಉಸಿರು,дихання
49,Hunger::N,ಹಸಿವು,голод
50,Träne::N,ಕಣ್ಣೀರು,сльоза
51,Geschmack::N,ರುಚಿ,смак
52,Geruch::N,ವಾಸನೆ,запах
53,Schlaf::N,ನಿದ್ರೆ,сон
54,Schlaf::N,ನಿದ್ರೆ,сплячка
55,Traum::N,ಕನಸು,сон
56,Himmel::N,ಬಾನು,небо
57,Sonne::N,ಸೂರ್ಯ,сонце
58,Mond::N,ಚಂದ್ರ,місяць
59,Stern::N,ಚುಕ್ಕಿ,зірка
60,Luft::N,ವಾಯು,повітря
61,Wind::N,ಗಾಳಿ,вітер
62,Welle::N,ಅಲೆ,хвиля
63,Wasser::N,ನೀರು,вода
64,Stein::N,ಕಲ್ಲು,камінь
65,Boden::N,ನೆಲ,ґрунт
66,Erde::N,ಭೂಮಿ,земля
67,Staub::N,ದೂಳು,пил
68,Rauch::N,ಹೊಗೆ,дим
69,Funke::N,ಕಿಡಿ,іскра
70,Feuer::N,ಬೆಂಕಿ,вогонь
71,Licht::N,ಬೆಳಕು,світло
72,Schatten::N,ನೆರಳು,тінь
73,Wetter::N,ಹವ,погода
74,Nebel::N,ಮಂಜು,туман
75,Wolke::N,ಮೋಡ,хмара
76,Regen::N,ಮಳೆ,дощ
77,Schnee::N,ಹಿಮ,сніг
78,Eis::N,ಮಂಜುಗಡ್ಡೆ,лід
79,Frost::N,ಮಂಜು,мороз
80,Kälte::N,ಹಿಮ,холод
81,Hitze::N,ಉಷ್ಣ,жар
82,Raureif::N,ಇಬ್ಬನಿ,іній
83,Regenbogen::N,ಇಂದ್ರಚಾಪ,райдуга
84,Donner::N,ಗುಡುಗು,грім
85,Strömung::N,ಪ್ರವಾಹ,струмина
86,Tropfen::N,ತೊಟ್ಟು,крапля
87,Schaum::N,ನೊರೆ,піна
88,Schmutz::N,ಕಸ,бруд
89,See::N,ಸರೋವರ,озеро
90,Sumpf::N,ಜೌಗುಸ್ಥಳ,драговина
91,Moor::N,ಬಂಜರು ಭೂಮಿ,болото
92,Wiese::N,ಹುಲ್ಲುಗಾವಲು,луг
93,Wiese::N,ಹುಲ್ಲುಗಾವಲು,лука
94,Wald::N,ಕಾಡು,ліс
95,Hügel::N,ಗುಡ್ಡೆ,горб
96,Anhöhe::N,ದಿಬ್ಬ,височина
97,Berg::N,ಮಲೆ,гора
98,Berg::N,ಪರ್ವತ,гора
99,Gipfel::N,ಶೃಂಗ,вершина
100,Höhle::N,ಗುಹೆ,печера
101,Abhang::N,ಇಳಿಜಾರು,схил
102,Quelle::N,ಮೂಲ,джерело
103,Bach::N,ತೊರೆ,струмок
104,Fluss::N,ನದಿ,річка
105,Ufer::N,ತೀರ,берег
106,Küste::N,ದಂಡೆ,узбережжя
107,Festland::N,ಭೂಮಿ,суша
108,Meer::N,ಕಡಲು,море
109,Bucht::N,ಖಾರಿ,бухта
110,Bucht::N,ಖಾರಿ,затока
111,Insel::N,ದ್ವೀಪ,острів
112,Blume::N,ಸುಮ,квітка
113,Gras::N,ಹುಲ್ಲು,трава
114,Wurzel::N,ಬೇರು,корінь
115,Baum::N,ಮರ,дерево
116,Stamm::N,ಕಾಂಡ,стовбур
117,Rinde::N,ತೂಗಟಿ,кора
118,Ast::N,ಶಾಖೆ,гілка
119,Zweig::N,ರೆಂಬೆ,галузь
120,Blatt::N,ಎಲೆ,лист
121,Birke::N,ಬರ್ಚ್ ಮರ,береза
122,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,сосна
123,Weide[Baum]::N,ವಿಲೋಮರ,верба
124,Tanne::N,ಭದ್ರದಾರು,ялиця
125,Horn::N,ಕೊಂಬು,ріг
126,Feder::N,ಪುಕ್ಕ,перо
