,Concept_ID,cv,mdf
0,Auge::N,куҫ,сельме
1,Ohr::N,хӑлха,пиле
2,Nase::N,сӑмса,шалхка
3,Mund::N,ҫӑвар,курга
4,Zahn::N,шӑл,пей
5,Zunge::N,чӗлхе,кяль
6,Lippe::N,тута,търва́
7,Wange::N,пит ҫӑмарти,щёка
8,Gesicht::N,пит,шама
9,Gesicht::N,пит-куҫ,шама
10,Stirn::N,ҫамка,коня
11,Haar::N,ҫӳҫ,шя́ярь
12,Schnurrbart::N,усси,уса́
13,Bart::N,сухал,сакал
14,Kinn::N,янах,ула
15,Kiefer[Anatomie]::N,янах,саласка
16,Kehle::N,пыр,кълдома
17,Kehle::N,пыр,кърга́парь
18,Kehle::N,карланкӑ,кълдома
19,Kehle::N,карланкӑ,кърга́парь
20,Hals::N,пыр,сялдаз
21,Genick::N,ӗнсе,шовонь
22,Kopf::N,пуҫ,пря
23,Rücken::N,ҫурӑм,копорь
24,Nabel::N,кӑвапа,по́кон
25,Busen::N,кӑкӑр,потя
26,Brust::N,умӗ,мяште
27,Schulter::N,хул пуҫҫи,лафту
28,Arm::N,алӑ,кядь
29,Ellenbogen::N,чавса,кенерьба́карь
30,Hand::N,алӑ сыппи,кядь
31,Handfläche::N,ал лаппи,кядьлапш
32,Finger::N,пӳрне,сур
33,Fingernagel::N,чӗрне,кенже
34,Nagel[Anatomie]::N,чӗрне,кенже
35,Zeh::N,пӳрне,пильгосу́р
36,Fuß::N,ура лаппи,пильге
37,Fuß::N,ура лаппи,пильгелапа
38,Ferse::N,кӗле,кочкяря
39,Knie::N,чӗркуҫҫи,эль
40,Knie::N,чӗркуҫҫи,пълма́нжа
41,Oberschenkel::N,пӗҫӗ,пильгепукша
42,Bein::N,ура,пильге
43,Körper::N,ӳт,ро́нга
44,Körper::N,ӳт,по́нда
45,Körper::N,ӳт-пӳ,ро́нга
46,Körper::N,ӳт-пӳ,по́нда
47,Haut::N,тир,киське
48,Blut::N,юн,вер
49,Ader::N,вена,сан
50,Ader::N,вена,верза́н
51,Sehne::N,шӑнӑр,коське сан
52,Knochen::N,шӑмӑ,пакарь
53,Gehirn::N,миме,уй
54,Herz::N,чӗре,седи
55,Magen::N,хырӑмлӑх,коткърдазь
56,Leber::N,пӗвер,макса
57,Atem::N,сывлав,лекома
58,Atem::N,сывлав,ваймонь тарксема
59,Hunger::N,выҫлӑх,вачеши
60,Träne::N,куҫҫуль,сельмове́дь
61,Geschmack::N,техӗм,таньф
62,Geruch::N,шӑршӑ,шине
63,Schlaf::N,ыйхӑ,удома́
64,Traum::N,тӗлӗк,он
65,Himmel::N,пӗлӗт,менель
66,Sonne::N,хӗвел,ши
67,Mond::N,уйӑх,ков
68,Stern::N,ҫӑлтӑр,тяште
69,Luft::N,сывлӑш,кожф
70,Wind::N,ҫил,варма
71,Welle::N,хум,тавла
72,Wasser::N,шыв,ведь
73,Wasser::N,шыв-шур,ведь
74,Stein::N,чул,кев
75,Boden::N,тӑпра,мода
76,Boden::N,тӑпра,потмакс
77,Erde::N,ҫӗр,мода
78,Erde::N,ҫӗр,мастор
79,Staub::N,тусан,пуль
80,Rauch::N,тӗтӗм,качам
81,Funke::N,хӗм,ця́тка
82,Feuer::N,вут,тол
83,Feuer::N,ҫулӑм,тол
84,Licht::N,ҫутӑ,ва́лда
85,Schatten::N,сулхӑн,цильф
86,Wetter::N,ҫанталӑк,уша
87,Nebel::N,тӗтре,тума́н
88,Wolke::N,пӗлӗт,ковол
89,Regen::N,ҫумӑр,пизем
90,Schnee::N,юр,лов
91,Eis::N,пӑр,эй
92,Frost::N,сивӗ,ке́льме
93,Kälte::N,сивӗ,якшама
94,Hitze::N,вӗри,пси
95,Hitze::N,шӑрӑх,пси
96,Raureif::N,пас,леш
97,Regenbogen::N,асамат кӗперӗ,а́тямъёнга
98,Donner::N,аслати,атям
99,Strömung::N,юхӑ,шудема́
100,Tropfen::N,тумлам,путькс
101,Tropfen::N,тумлам,пътняфкс
102,Schaum::N,кӑпӑк,шов
103,Schmutz::N,пылчӑк,ърда́з
104,See::N,кӳлӗ,эрьхке
105,Sumpf::N,шур,шяй
106,Sumpf::N,шурлӑх,шяй
107,Moor::N,торфлӑ шурлӑх,шяй
108,Wiese::N,улӑх,луга
109,Wiese::N,ҫаран,луга
110,Wald::N,вӑрман,вирь
111,Hügel::N,сӑрт,губо́р
112,Hügel::N,сӑрт,пандоня
113,Hügel::N,тӗмеске,губо́р
114,Hügel::N,тӗмеске,пандоня
115,Anhöhe::N,сӑрт,губо́р
116,Berg::N,ту,панда
117,Gipfel::N,тӳпе,пря
118,Höhle::N,ҫӗр хӑвӑлӗ,у́нда
119,Abhang::N,тӑвайкки,па́нда ша́ма
120,Quelle::N,ҫӑл куҫ,эшиня
121,Bach::N,пӗчӗк шыв,шудерькс
122,Fluss::N,юхан шыв,ляй
123,Ufer::N,ҫыран,търва́
124,Küste::N,тинӗс ҫыранӗ,ляйтърва́
125,Festland::N,тип ҫӗр,мода
126,Meer::N,тинӗс,моря
127,Bucht::N,тинӗс кукӑрӗ,ведьуське
128,Insel::N,утрав,цёнга
129,Blume::N,чечек,панчф
130,Gras::N,курӑк,тише
131,Wurzel::N,тымар,юр
132,Wurzel::N,тымар,ункс
133,Baum::N,йывӑҫ,шуфта
134,Stamm::N,вулӑ,ро́нга
135,Rinde::N,хуйӑр,кер
136,Ast::N,турат,морга
137,Zweig::N,турат,тарад
138,Blatt::N,ҫулҫӑ,лопа
139,Birke::N,хурӑн,ке́лу
140,Kiefer[Baum]::N,хыр,пиче
