,Concept_ID,lez,he
0,Auge::N,вил,עין
1,Ohr::N,яб,אזן
2,Nase::N,нер,אף
3,Nase::N,нер,חטם
4,Mund::N,сив,פה
5,Zahn::N,сас,שן
6,Zahn::N,свах,שן
7,Zunge::N,мез,לשון
8,Lippe::N,пӏуз,שפה
9,Wange::N,хъвехъ,לחי
10,Gesicht::N,ччин,פנים
11,Stirn::N,пел,מצח
12,Haar::N,чӏар,שערה
13,Schnurrbart::N,спел,שפם
14,Schnurrbart::N,спелар,שפם
15,Bart::N,ччуру,זקן
16,Kinn::N,чене,סנטר
17,Kiefer[Anatomie]::N,чене,לסת
18,Kehle::N,туьд,גרון
19,Hals::N,гардан,צואר
20,Genick::N,кьам,ערף
21,Kopf::N,кьил,ראש
22,Rücken::N,далу,גב
23,Bauch::N,руфун,בטן
24,Nabel::N,пицӏ,טבור
25,Busen::N,мам,שד
26,Brust::N,хур,חזה
27,Schulter::N,къуьн,כתף
28,Arm::N,гъил,זרוע
29,Ellenbogen::N,кьуьнт,מרפק
30,Hand::N,капаш,יד
31,Handfläche::N,капан юкь,כף יד
32,Finger::N,тӏуб,אצבע
33,Fingernagel::N,кек,צפרן
34,Nagel[Anatomie]::N,кек,צפרן
35,Zeh::N,кул,אצבע
36,Fuß::N,кӏвач,רגל
37,Ferse::N,дабан,עקב
38,Knie::N,мет,ברך
39,Bein::N,кӏвач,רגל
40,Körper::N,беден,גוף
41,Haut::N,хам,עור
42,Blut::N,иви,דם
43,Ader::N,дамар,וריד
44,Sehne::N,кьуру дамар,גיד
45,Knochen::N,кӏараб,עצם
46,Gehirn::N,мефт,מוח
47,Herz::N,рикӏ,לב
48,Magen::N,хук,קבה
49,Leber::N,лекь,כבד
50,Atem::N,ял,נשימה
51,Atem::N,нефес,נשימה
52,Hunger::N,каш,רעב
53,Träne::N,вилин нагъв,דמעה
54,Geschmack::N,дад,טעם
55,Geschmack::N,тӏям,טעם
56,Geruch::N,ни,ריח
57,Schlaf::N,ахвар,שנה
58,Traum::N,ахвар,חלום
59,Himmel::N,цав,שמים
60,Sonne::N,рагъ,שמש
61,Mond::N,варз,ירח
62,Stern::N,гъед,כוכב
63,Luft::N,гьава,אויר
64,Wind::N,гар,רוח
65,Welle::N,лепе,גל
66,Wasser::N,яд,מים
67,Stein::N,къван,אבן
68,Boden::N,накьв,קרקע
69,Erde::N,ччил,אדמה
70,Staub::N,руг,אבק
71,Rauch::N,гум,עשן
72,Funke::N,цӏелхем,ניצוץ
73,Feuer::N,цӏай,אש
74,Licht::N,экв,אור
75,Schatten::N,серин,צל
76,Wetter::N,гьава,מזג אויר
77,Nebel::N,ччилин циф,ערפל
78,Wolke::N,циф,ענן
79,Regen::N,марф,גשם
80,Schnee::N,жив,שלג
81,Eis::N,мурк,קרח
82,Frost::N,аяз,צנה
83,Kälte::N,мекь,קר
84,Kälte::N,мекьивал,קר
85,Hitze::N,зегьем,חם
86,Raureif::N,къирав,כפור
87,Regenbogen::N,яргъируш,קשת
88,Donner::N,цавун ван,רעם
89,Tropfen::N,стӏал,טפה
90,Schaum::N,каф,קצף
91,Schmutz::N,чирк,לכלוך
92,Schmutz::N,кьуруш,לכלוך
93,See::N,вир,אגם
94,Sumpf::N,уьлен,בצה
95,Wiese::N,векь,מרעה
96,Wald::N,там,יער
97,Hügel::N,кӏунтӏ,תל
98,Anhöhe::N,тепе,מעלה
99,Anhöhe::N,гьуьндуьрвал,מעלה
100,Berg::N,дагъ,הר
101,Gipfel::N,кӏукӏ,פסגה
102,Höhle::N,кьветӏ,מערה
103,Abhang::N,гуьне,מדרון
104,Abhang::N,гуьне,שפוע
105,Quelle::N,чешме,מעין
106,Bach::N,булах,נחל
107,Fluss::N,вацӏ,נהר
108,Ufer::N,къерех,גדה
109,Küste::N,къерех,חוף
110,Festland::N,кьурамат,יבשה
111,Meer::N,гьуьл,ים
112,Bucht::N,бухта,מפרץ
113,Insel::N,остров,אי
114,Blume::N,цуьк,פרח
115,Gras::N,хъач,דשא
116,Wurzel::N,дувул,שרש
117,Baum::N,ттар,עץ
118,Stamm::N,тан,גזע
119,Rinde::N,чкал,קלפת עץ
120,Ast::N,тӏур,ענף
121,Zweig::N,хел,ענף
122,Blatt::N,пеш,עלה
123,Birke::N,верх,שדר
124,Kiefer[Baum]::N,шамагъаж,ארן
125,Weide[Baum]::N,цӏвелин ттар,ערבה
126,Tanne::N,ель,אשוח
127,Horn::N,карч,קרן
128,Feder::N,цӏакул,נוצה
129,Fell::N,хам,פרוה
130,Flügel::N,лув,כנף
131,Klaue::N,къармах,טלף
132,Kralle::N,пац,טפר
133,Kralle::N,тапас,טפר
134,Schwanz::N,ттум,זנב
135,Ei::N,кака,ביצה
136,Nest::N,муг,קן
137,Bau::N,тӏеквен,מחלה
138,Tier::N,гьайван,חיה
139,Herde::N,суьруь,עדר
140,Kuh::N,ккал,פרה
141,Bulle::N,яц,פר
142,Bulle::N,бугъа,פר
143,Pferd::N,балкӏан,סוס
144,Schaf::N,хеб,כבשה
145,Schwein::N,вак,חזיר
146,Hund::N,кицӏ,כלב
147,Katze::N,кац,חתול
148,Bär::N,сев,דב
149,Eichhörnchen::N,белка,סנאי
150,Elch::N,лось,דישון
151,Fuchs::N,сикӏ,שועל
152,Hase::N,къуьр,ארנב
153,Maus::N,кьиф,עכבר
154,Wolf::N,жанавур,זאב
155,Vogel::N,луван ничхир,צפור
156,Schwarm::N,луж,נחיל
157,Schwarm::N,луж,להקה
158,Huhn::N,верч,תרנגלת
159,Hahn::N,кӏек,תרנגול
160,Gans::N,къаз,אוז
161,Adler::N,лекь,עיט
162,Ente::N,пӏатӏ,ברוז
163,Eule::N,тӏиб,ינשוף
164,Kranich::N,дурна,עגור
165,Kranich::N,дурна,כרוכיה
166,Krähe::N,къаргъа,עורב
167,Kuckuck::N,кукупӏ,קוקיה
168,Schwan::N,къугь,ברבור
169,Fisch::N,гъед,דג
170,Barsch::N,окунь,אוקונוס
171,Hecht::N,щука,זאב הים
172,Schlange[Tier]::N,илан,נחש
173,Schlange[Tier]::N,гъуьлягъ,נחש
174,Wurm::N,квак,תולעת
175,Spinne::N,хуьшрекан,עכביש
176,Ameise::N,цегв,נמלה
177,Laus::N,нет,כנה
178,Mücke::N,ветӏ,יתוש
179,Fliege::N,тӏветӏ,זבוב
180,Schmetterling::N,чепелукь,פרפר
181,Beere::N,куьлуь емиш,ענבה
182,Apfel::N,ич,תפוח
183,Pilz::N,къарникъуз,פטריה
