,Concept_ID,ca,cs
0,Auge::N,ull,oko
1,Ohr::N,orella,ucho
2,Nase::N,nas,nos
3,Mund::N,boca,pusa
4,Zahn::N,dent,zub
5,Zunge::N,llēngua,jazyk
6,Lippe::N,llavi,ret
7,Wange::N,galta,tvář
8,Gesicht::N,cara,obličej
9,Stirn::N,front,čelo
10,Haar::N,cabēll,vlas
11,Haar::N,cabēll,vlasy
12,Schnurrbart::N,bigoti,kníry
13,Bart::N,barba,vousy
14,Kinn::N,mentó,brada
15,Kinn::N,barbeta,brada
16,Kiefer[Anatomie]::N,queix,čelist
17,Kiefer[Anatomie]::N,mandíbula,čelist
18,Kehle::N,gola,hrdlo
19,Kehle::N,gorja,hrdlo
20,Hals::N,coll,krk
21,Genick::N,nuca,týl
22,Kopf::N,cap,hlava
23,Rücken::N,esquena,záda
24,Rücken::N,esquena,hřbet
25,Bauch::N,panxa,břicho
26,Nabel::N,llombrígol,pupek
27,Busen::N,pit,ňadra
28,Busen::N,mama,ňadra
29,Brust::N,pit,prsa
30,Schulter::N,espatlla,plece
31,Schulter::N,espatlla,rameno
32,Arm::N,braç,ruka
33,Ellenbogen::N,colze,loket
34,Hand::N,mà,ruka
35,Handfläche::N,palma,dlaň
36,Finger::N,dit,prst
37,Fingernagel::N,ungla,nehet
38,Nagel[Anatomie]::N,ungla,nehet
39,Zeh::N,dit del peu,prst u nohy
40,Fuß::N,peu,noha
41,Ferse::N,taló,pata
42,Knie::N,genoll,koleno
43,Oberschenkel::N,cuixa,stehno
44,Bein::N,cama,noha
45,Körper::N,cos,tělo
46,Haut::N,pell,kůže
47,Blut::N,sang,krev
48,Ader::N,vena,céva
49,Sehne::N,tendó,šlacha
50,Knochen::N,os,kost
51,Gehirn::N,cervell,mozek
52,Herz::N,cor,srdce
53,Magen::N,estómac,žaludek
54,Leber::N,fetge,játra
55,Atem::N,alè,dech
56,Atem::N,hàlit,dech
57,Hunger::N,fam,hlad
58,Hunger::N,gana,hlad
59,Träne::N,llàgrima,slza
60,Geschmack::N,gust,vkus
61,Geschmack::N,sabor,vkus
62,Geruch::N,olor,vůně
63,Geruch::N,olor,zápach
64,Schlaf::N,son,spánek
65,Traum::N,somni,sen
66,Himmel::N,celm,nebe
67,Sonne::N,sol,slunce
68,Mond::N,lluna,měsíc
69,Stern::N,estel,hvězda
70,Stern::N,estrella,hvězda
71,Luft::N,aire,vzduch
72,Wind::N,vent,vítr
73,Welle::N,ona,vlna
74,Wasser::N,āigua,voda
75,Stein::N,pedra,kámen
76,Boden::N,sòl,půda
77,Erde::N,terra,země
78,Staub::N,pols,prach
79,Rauch::N,fum,dým
80,Rauch::N,fum,kouř
81,Funke::N,guspira,jiskra
82,Funke::N,centella,jiskra
83,Feuer::N,foc,oheň
84,Licht::N,llum,světlo
85,Schatten::N,ombra,stín
86,Wetter::N,temps,počasí
87,Nebel::N,boira,mlha
88,Wolke::N,núvol,mrak
89,Wolke::N,núvol,oblak
90,Regen::N,pluja,déšť
91,Schnee::N,neu,sníh
92,Eis::N,gel,led
93,Eis::N,glaç,led
94,Frost::N,glaçada,mráz
95,Kälte::N,fred,chlad
96,Hitze::N,calor,horko
97,Raureif::N,gebre,jinovatka
98,Regenbogen::N,arc iris,duha
99,Donner::N,tro,hrom
100,Strömung::N,corrent,proudění
101,Tropfen::N,gota,kapka
102,Schaum::N,escuma,pěna
103,Schmutz::N,brutícia,špína
104,See::N,llac,jezero
105,Sumpf::N,pantà,močál
106,Sumpf::N,pantà,bažina
107,Moor::N,pantà,bažina
108,Moor::N,pantà,slatina
109,Wiese::N,prat,louka
110,Wiese::N,prada,louka
111,Wald::N,bosc,les
112,Hügel::N,puig,kopec
113,Hügel::N,pujol,kopec
114,Anhöhe::N,turó,pahorek
115,Berg::N,muntanya,hora
116,Gipfel::N,cim,vrchol
117,Höhle::N,cova,jeskyně
118,Abhang::N,coster,svah
119,Abhang::N,coster,stráň
120,Quelle::N,font,pramen
121,Bach::N,riera,potok
122,Fluss::N,riu,řeka
123,Ufer::N,riba,břeh
124,Küste::N,costa,pobřeží
125,Festland::N,terra ferma,souš
126,Festland::N,terra ferma,pevnina
127,Meer::N,mar,moře
128,Bucht::N,cala,záliv
129,Bucht::N,cala,zátoka
130,Bucht::N,badia,záliv
131,Bucht::N,badia,zátoka
132,Insel::N,illa,ostrov
133,Blume::N,flor,květina
134,Gras::N,herba,tráva
135,Wurzel::N,rel,kořen
136,Wurzel::N,arrel,kořen
137,Baum::N,arbre,strom
138,Stamm::N,tronc,kmen
139,Rinde::N,escorça,kůra
140,Ast::N,branca,větev
141,Zweig::N,ram,větev
142,Blatt::N,fulla,lupen
143,Birke::N,bedoll,bříza
144,Kiefer[Baum]::N,pi,sosna
145,Kiefer[Baum]::N,pi,borovice
146,Weide[Baum]::N,salze,vrba
147,Tanne::N,avet,jedle
148,Horn::N,corn,roh
149,Horn::N,banya,roh
150,Feder::N,ploma,pero
151,Fell::N,pell,srst
152,Flügel::N,ala,křídlo
153,Klaue::N,urpa,dráp
154,Klaue::N,urpa,pazneht
155,Kralle::N,grapa,dráp
156,Schwanz::N,cua,ocas
157,Ei::N,ou,vejce
158,Nest::N,niu,hnízdo
159,Bau::N,cau,nora
160,Tier::N,animāl,zvíře
161,Herde::N,ramat,stádo
162,Kuh::N,vaca,kráva
163,Bulle::N,toro,býk
164,Pferd::N,cavāll,kůň
165,Schaf::N,be,ovce
166,Schaf::N,ovella,ovce
167,Schwein::N,bacó,vepř
168,Schwein::N,bacó,prase
169,Hund::N,ca,pes
170,Hund::N,gos,pes
171,Katze::N,gat,kočka
172,Bär::N,ós,medvěd
173,Eichhörnchen::N,esquirol,veverka
174,Elch::N,ant,los
175,Fuchs::N,guilla,liška
176,Hase::N,llebre,zajíc
177,Maus::N,ratolí,myš
178,Wolf::N,llop,vlk
179,Vogel::N,au,pták
180,Vogel::N,ocēll,pták
181,Schwarm::N,bandada,roj
182,Schwarm::N,bandada,hejno
183,Huhn::N,gallina,kuře
184,Huhn::N,gallina,slepice
185,Hahn::N,gall,kohout
186,Gans::N,oca,husa
187,Adler::N,àguila,orel
188,Ente::N,ànec,kachna
189,Eule::N,òliba,sova
190,Eule::N,mussol,sova
191,Kranich::N,grua,jeřáb
192,Krähe::N,cornella,vrána
193,Kuckuck::N,cucut,kukačka
194,Schwan::N,cigne,labuť
195,Fisch::N,peix,ryba
