,Concept_ID,tr,it
0,Auge::N,göz,occhio
1,Ohr::N,kulak,orecchio
2,Nase::N,burun,naso
3,Mund::N,ağız,bocca
4,Zahn::N,diş,dente
5,Zunge::N,dil,lingua
6,Lippe::N,dudak,labbro
7,Wange::N,yanak,guancia
8,Gesicht::N,yüz,viso
9,Gesicht::N,yüz,faccia
10,Stirn::N,alın,fronte
11,Haar::N,saç,capello
12,Schnurrbart::N,bıyık,baffi
13,Schnurrbart::N,bıyık,mustacchi
14,Bart::N,sakal,barba
15,Kinn::N,çene,mento
16,Kiefer[Anatomie]::N,çene,mascella
17,Kehle::N,boğaz,gola
18,Hals::N,boyun,collo
19,Hals::N,gerdan,collo
20,Genick::N,ense,nuca
21,Kopf::N,baş,capo
22,Kopf::N,baş,testa
23,Kopf::N,kafa,capo
24,Kopf::N,kafa,testa
25,Rücken::N,arka,dorso
26,Rücken::N,arka,schiena
27,Bauch::N,karın,ventre
28,Nabel::N,göbek,ombelico
29,Busen::N,koyun,seno
30,Brust::N,göğüs,petto
31,Schulter::N,omuz,spalla
32,Arm::N,kol,braccio
33,Ellenbogen::N,dirsek,gomito
34,Hand::N,el,mano
35,Handfläche::N,avuç,palma
36,Handfläche::N,el ayası,palma
37,Finger::N,parmak,dito
38,Fingernagel::N,el tırnağı,unghia
39,Nagel[Anatomie]::N,tırnak,unghia
40,Zeh::N,ayak parmağı,dito del piede
41,Fuß::N,ayak,piede
42,Ferse::N,topuk,tallone
43,Ferse::N,topuk,calcagno
44,Knie::N,diz,ginocchio
45,Oberschenkel::N,uyluk,fèmore
46,Bein::N,bacak,gamba
47,Körper::N,vücut,corpo
48,Haut::N,cilt,pelle
49,Blut::N,kan,sangue
50,Ader::N,damar,vena
51,Sehne::N,kiriş,tèndine
52,Knochen::N,kemik,osso
53,Gehirn::N,beyin,cervello
54,Herz::N,kalp,cuore
55,Herz::N,yürek,cuore
56,Magen::N,mide,stòmaco
57,Leber::N,karaciğer,fegato
58,Atem::N,nefes,fiato
59,Atem::N,nefes,respiro
60,Hunger::N,açlık,fame
61,Träne::N,gözyaşı,làcrima
62,Geschmack::N,tat,gusto
63,Geschmack::N,tat,sapore
64,Geschmack::N,lezzet,gusto
65,Geschmack::N,lezzet,sapore
66,Geruch::N,koku,odore
67,Schlaf::N,uyku,sonno
