,Concept_ID,se,he
0,Auge::N,tjelmie,עין
1,Auge::N,tjalmme,עין
2,Auge::N,čalbmi,עין
3,Auge::N,čalme,עין
4,Auge::N,čâ´lmm,עין
5,Auge::N,ча̄лльм,עין
6,Ohr::N,bieljie,אזן
7,Ohr::N,biellje,אזן
8,Ohr::N,beallji,אזן
9,Ohr::N,pelji,אזן
10,Ohr::N,pe´llj,אזן
11,Ohr::N,пе̄лльй,אזן
12,Nase::N,njuenie,אף
13,Nase::N,njuenie,חטם
14,Nase::N,njunnje,אף
15,Nase::N,njunnje,חטם
16,Nase::N,njunni,אף
17,Nase::N,njunni,חטם
18,Nase::N,njuṇe,אף
19,Nase::N,njuṇe,חטם
20,Nase::N,njuu´nn,אף
21,Nase::N,njuu´nn,חטם
22,Nase::N,нюннҍ,אף
23,Nase::N,нюннҍ,חטם
24,Mund::N,njaelmie,פה
25,Mund::N,njálmme,פה
26,Mund::N,njálbmi,פה
27,Mund::N,njälmi,פה
28,Mund::N,njä´lmm,פה
29,Mund::N,ня̄лльм,פה
30,Zahn::N,baenie,שן
31,Zahn::N,bádne,שן
32,Zahn::N,bátni,שן
33,Zahn::N,pääṇi,שן
34,Zahn::N,pää´nn,שן
35,Zahn::N,па̄ннҍ,שן
36,Zunge::N,njoektjeme,לשון
37,Zunge::N,njuovtjav,לשון
38,Zunge::N,njuovčča,לשון
39,Zunge::N,njuovčâ,לשון
40,Zunge::N,njuhččâm,לשון
41,Zunge::N,нюхчем,לשון
42,Lippe::N,bangseme,שפה
43,Lippe::N,njálmmerabdda,שפה
44,Lippe::N,bavssa,שפה
45,Lippe::N,poovsâ,שפה
46,Lippe::N,põõus,שפה
47,Lippe::N,пэ̄кс,שפה
48,Wange::N,skiehrie,לחי
49,Wange::N,nierra,לחי
50,Wange::N,muohtu,לחי
51,Wange::N,nieṛâ,לחי
52,Wange::N,njiõrr,לחי
53,Wange::N,нӣрр,לחי
54,Gesicht::N,ååredæjja,פנים
55,Gesicht::N,muohto,פנים
56,Gesicht::N,muođut,פנים
57,Gesicht::N,ámadadju,פנים
58,Gesicht::N,muáđuh,פנים
59,Gesicht::N,muâđ,פנים
60,Gesicht::N,ка̄ссв,פנים
61,Stirn::N,gaalloe,מצח
62,Stirn::N,gállo,מצח
63,Stirn::N,gállu,מצח
64,Stirn::N,kállu,מצח
65,Stirn::N,käll,מצח
66,Stirn::N,вуэххьц,מצח
67,Haar::N,voepte,שערה
68,Haar::N,vuoppta,שערה
69,Haar::N,vuokta,שערה
70,Haar::N,vuop'tâ,שערה
71,Haar::N,vuõpt,שערה
72,Haar::N,вӯппт,שערה
73,Schnurrbart::N,bijjie-skaavtjoe,שפם
74,Schnurrbart::N,njunjevuolskávttjá,שפם
75,Schnurrbart::N,seamu,שפם
76,Schnurrbart::N,siämu,שפם
77,Schnurrbart::N,ää´bben,שפם
78,Schnurrbart::N,о̄а̄бпан,שפם
79,Bart::N,skaavtja,זקן
80,Bart::N,skaavtjoe,זקן
81,Bart::N,skávttjá,זקן
82,Bart::N,seamu,זקן
83,Bart::N,siämu,זקן
84,Bart::N,seäm,זקן
85,Bart::N,ся̄м,זקן
86,Kinn::N,gaejpie,סנטר
87,Kinn::N,gájbbe,סנטר
88,Kinn::N,gáibi,סנטר
89,Kinn::N,käibi,סנטר
90,Kinn::N,käi´bb,סנטר
91,Kinn::N,ка̄ййп,סנטר
92,Kiefer[Anatomie]::N,gaejpie,לסת
93,Kiefer[Anatomie]::N,oalol,לסת
94,Kiefer[Anatomie]::N,oaloldákte,לסת
95,Kiefer[Anatomie]::N,gáibi,לסת
96,Kiefer[Anatomie]::N,uá'lultähti,לסת
97,Kiefer[Anatomie]::N,vuâl'lõš,לסת
98,Kiefer[Anatomie]::N,вуаллнешш,לסת
99,Kehle::N,gealoe,גרון
100,Kehle::N,tjåttå,גרון
101,Kehle::N,njiello,גרון
102,Kehle::N,čotta,גרון
103,Kehle::N,čuudâ,גרון
104,Kehle::N,čoodd,גרון
105,Kehle::N,чонт,גרון
106,Kehle::N,кэ̄ҏс,גרון
107,Hals::N,tjeapohke,צואר
108,Hals::N,tjiebet,צואר
109,Hals::N,čeabet,צואר
110,Hals::N,čiäppát,צואר
111,Hals::N,čeäppat,צואר
112,Hals::N,ча̄пэх,צואר
113,Genick::N,tjovrese,ערף
114,Genick::N,nisske,ערף
115,Genick::N,niehkki,ערף
116,Genick::N,niski,ערף
117,Genick::N,niek'ki,ערף
118,Genick::N,nji´šǩǩmaadd,ערף
119,Genick::N,нышшькмоант,ערף
120,Kopf::N,åejjie,ראש
121,Kopf::N,oajvve,ראש
122,Kopf::N,oaivi,ראש
123,Kopf::N,uái'vi,ראש
124,Kopf::N,vuei´vv,ראש
125,Kopf::N,вуэййв,ראש
126,Rücken::N,rudtje,גב
127,Rücken::N,hárddo,גב
128,Rücken::N,tjavelk,גב
129,Rücken::N,sealgi,גב
130,Rücken::N,selgi,גב
131,Rücken::N,čielgi,גב
132,Rücken::N,seä´lǧǧ,גב
133,Rücken::N,се̄лльк,גב
134,Bauch::N,tjåejjie,בטן
135,Bauch::N,tjoajvve,בטן
136,Bauch::N,čoavji,בטן
137,Bauch::N,čuáv'ji,בטן
138,Bauch::N,čåu´jj,בטן
139,Bauch::N,чо̄ввьй,בטן
140,Nabel::N,naepie,טבור
141,Nabel::N,náhpe,טבור
142,Nabel::N,náhpi,טבור
143,Nabel::N,nääpi,טבור
144,Nabel::N,nää´pp,טבור
145,Nabel::N,на̄бпь,טבור
146,Busen::N,boenge,שד
147,Busen::N,bållå,שד
148,Busen::N,čižži,שד
149,Busen::N,njamma,שד
150,Busen::N,njižže,שד
151,Busen::N,nje´ǯǯ,שד
152,Busen::N,раннҍт,שד
153,Brust::N,mïelke,חזה
154,Brust::N,radde,חזה
155,Brust::N,mielgga,חזה
156,Brust::N,raddi,חזה
157,Brust::N,radde,חזה
158,Brust::N,râ´dd,חזה
159,Brust::N,раннҍт,חזה
160,Schulter::N,åelkie,כתף
161,Schulter::N,oalgge,כתף
162,Schulter::N,hárdu,כתף
163,Schulter::N,ärdee,כתף
164,Schulter::N,uál'gi,כתף
165,Schulter::N,a´rddi,כתף
166,Schulter::N,vuä´lǧǧ,כתף
167,Schulter::N,вуэллык,כתף
