,Concept_ID,es,av
0,Auge::N,ojo,
1,Ohr::N,oreja,гӏин
2,Nase::N,nariz,мегӏер
3,Mund::N,boca,кӏал
4,Zahn::N,diente,гӏус
5,Zunge::N,lengua,мацӏ
6,Lippe::N,labio,кӏветӏ
7,Wange::N,mejilla,гӏоно
8,Gesicht::N,cara,гьумер
9,Stirn::N,frente,нодо
10,Haar::N,cabello,рас
11,Schnurrbart::N,bigote,михъ
12,Bart::N,barba,мегеж
13,Kinn::N,barbilla,нилъу
14,Kiefer[Anatomie]::N,mandíbula,чанагъ
15,Kehle::N,garganta,щекъер
16,Hals::N,cuello,габур
17,Genick::N,nuca,гъванща
18,Genick::N,cerviz,гъванща
19,Kopf::N,cabeza,бетӏер
20,Rücken::N,espalda,мугъ
21,Bauch::N,vientre,чехь
22,Nabel::N,ombligo,цӏину
23,Busen::N,pecho,керен
24,Brust::N,pecho,керен
25,Schulter::N,hombro,гъажазубетӏер
26,Arm::N,brazo,гъеж
27,Ellenbogen::N,codo,гӏункӏрукь
28,Hand::N,mano,квер
29,Handfläche::N,palma,огъохъат
30,Handfläche::N,palma,жанисахъат
31,Finger::N,dedo,килищ
32,Fingernagel::N,uña,малъ
33,Nagel[Anatomie]::N,uña,малъ
34,Zeh::N,dedo del pie,килищ
35,Fuß::N,pie,хӏетӏ
36,Fuß::N,pie,хӏетӏе
37,Ferse::N,talón,эгъе
38,Knie::N,rodilla,наку
39,Oberschenkel::N,muslo,мачӏ
40,Bein::N,pierna,бох
41,Körper::N,cuerpo,къаркъала
42,Haut::N,piel,тӏом
43,Blut::N,sangre,би
44,Ader::N,vena,бидурихь
45,Sehne::N,tendón,
46,Knochen::N,hueso,ракьа
47,Gehirn::N,cerebro,гӏадалнах
48,Gehirn::N,encéfalo,гӏадалнах
49,Herz::N,corazón,ракӏ
50,Magen::N,estómago,кванирукъ
51,Leber::N,hígado,тӏул
52,Atem::N,aliento,хӏухь
53,Hunger::N,hambre,ракъи
54,Träne::N,lágrima,магӏу
55,Geschmack::N,gusto,тату
56,Geruch::N,olor,махӏ
57,Schlaf::N,sueño,макьу
58,Traum::N,sueño,макьу
59,Traum::N,ensueño,макьу
60,Himmel::N,cielo,зоб
61,Sonne::N,sol,бакъ
62,Mond::N,luna,моцӏ
63,Stern::N,estrella,цӏва
64,Luft::N,aire,гьава
65,Wind::N,viento,гьури
66,Welle::N,ola,карачел
67,Welle::N,onda,карачел
68,Wasser::N,agua,лъим
69,Stein::N,piedra,гьецӏо
70,Boden::N,suelo,ракь
71,Erde::N,tierra,ракь
72,Erde::N,tierra,дуниял
73,Staub::N,polvo,хӏур
74,Rauch::N,humo,кӏкӏуй
75,Funke::N,chispa,
76,Feuer::N,fuego,цӏа
77,Licht::N,luz,канлъи
78,Schatten::N,sombra,рагӏад
79,Wetter::N,tiempo,гьава-бакъ
80,Nebel::N,niebla,гӏодобнакӏкӏ
81,Wolke::N,nube,накӏкӏ
82,Regen::N,lluvia,цӏад
83,Schnee::N,nieve,гӏазу
84,Eis::N,hielo,цӏер
85,Frost::N,helada,замгьари
86,Kälte::N,frío,квач
87,Hitze::N,calor,багӏари
88,Raureif::N,escarcha,мартӏ
89,Regenbogen::N,arco iris,нур
90,Regenbogen::N,arco iris,чамбара
91,Donner::N,trueno,гъугъай
92,Donner::N,trueno,гъугъади
93,Strömung::N,corriente,чвахи
94,Tropfen::N,gota,резел
95,Tropfen::N,gota,тӏинкӏ
96,Tropfen::N,gota,къатӏра
97,Tropfen::N,gota,тӏенкӏел
98,Schaum::N,espuma,полоп
99,Schmutz::N,suciedad,чороклъи
100,See::N,lago,хӏор
101,Sumpf::N,pantano,хьуцӏ
102,Moor::N,turbera,
103,Wiese::N,prado,мегъ
104,Wiese::N,prado,гӏурдаллъи
105,Wiese::N,pradera,мегъ
106,Wiese::N,pradera,гӏурдаллъи
107,Wald::N,bosque,рохь
108,Hügel::N,colina,гохӏ
109,Anhöhe::N,cerro,сийитма
110,Berg::N,monte,мегӏер
