,Concept_ID,kv,kk
0,Auge::N,син,көз
1,Ohr::N,пель,құлақ
2,Nase::N,ныр,мұрын
3,Mund::N,ӧм,ауыз
4,Zahn::N,пинь,тіс
5,Zunge::N,кыв,тіл
6,Lippe::N,тырп,ерін
7,Wange::N,рожабан,ұрт
8,Gesicht::N,бан,бет-аузы
9,Stirn::N,кымӧс,маңдай
10,Haar::N,юрси,қыл
11,Schnurrbart::N,уссэз,мұрт
12,Bart::N,тош,сақал
13,Kinn::N,тшӧка,иек
14,Kiefer[Anatomie]::N,ан,жақ
15,Kehle::N,юан,алқым
16,Hals::N,юан,мойын
17,Genick::N,юр бӧр,желке
18,Kopf::N,юр,кәллә
19,Rücken::N,мышк,арқа
20,Bauch::N,кынӧм,қарын
21,Nabel::N,гӧг,кіндік
22,Busen::N,морос,омырау
23,Brust::N,морос,кеуде
24,Schulter::N,пельпон,иық
25,Arm::N,ки,қол
26,Ellenbogen::N,гырдзза,шынтақ
27,Hand::N,кикар,қол
28,Handfläche::N,ки пыдӧс,алақан
29,Finger::N,чунь,саусақ
30,Fingernagel::N,гыж,тырнақ
31,Nagel[Anatomie]::N,гыж,тырнақ
32,Zeh::N,чунь,тырнақ
33,Zeh::N,чунь,тұяқ
34,Fuß::N,кокпыдӧс,аяқ-басы
35,Ferse::N,кокдзир,өкше
36,Ferse::N,кокдзир,өкшелік
37,Knie::N,пидзӧс,тізе
38,Oberschenkel::N,лядьбей,жамбас
39,Bein::N,кок,аяқ
40,Körper::N,вывтыр,дене
41,Haut::N,кучик,тері
42,Blut::N,вир,қан
43,Ader::N,сӧн,көктамыр
44,Ader::N,сӧн,күретамыр
45,Sehne::N,жила,сіңір
46,Knochen::N,коска,жілік
47,Gehirn::N,вем,ми
48,Herz::N,сьӧлӧм,жүрек
49,Magen::N,жӧвдӧк,асқазан
50,Leber::N,мус,бауыр
51,Atem::N,лолалӧм,леп
52,Hunger::N,тшыг,ашаршылық
53,Träne::N,синва,жас
54,Geschmack::N,кӧр,дәм
55,Geschmack::N,кӧр,татым
56,Geschmack::N,кӧр,талғам
57,Geruch::N,дук,иіс
58,Schlaf::N,он,ұйқы
59,Schlaf::N,он,ұйықтау
60,Traum::N,вӧт,түс
61,Himmel::N,небо,аспан
62,Himmel::N,небо,көқ
63,Himmel::N,небо,таңдай
64,Sonne::N,шондi,күн
65,Mond::N,тӧлiсь,ай
66,Stern::N,кӧдзыв,жұлдыз
67,Luft::N,ру,әуе
68,Wind::N,тӧв,жел
69,Welle::N,гы,толқын
70,Wasser::N,ва,су
71,Stein::N,из,тас
72,Boden::N,му,қыртыс
73,Erde::N,му,топырақ
74,Staub::N,бус,шаң
75,Rauch::N,тшын,түтін
76,Funke::N,бичир,ұшқын
77,Feuer::N,би,алау
78,Licht::N,би,шұғыла
79,Schatten::N,вуджӧр,көлеңке
80,Wetter::N,погоддя,ауа райы
81,Nebel::N,туман,тұман
82,Wolke::N,кымӧр,бұлт
83,Regen::N,зэр,жаңбыр
84,Schnee::N,лым,қар
85,Eis::N,йы,мұз
86,Frost::N,мороз,суық
87,Kälte::N,кӧдзыт,ызғар
88,Kälte::N,кӧдзыт,суықтық
89,Hitze::N,ӧд,аптап
90,Raureif::N,кижа,қырау
91,Regenbogen::N,енӧшка,кемпірқосақ
92,Donner::N,гым,күн күркіреу
93,Strömung::N,визывтӧм,ағын
94,Tropfen::N,тёп,тамшы
95,Schaum::N,быг,көбік
96,Schmutz::N,нять,кір
97,See::N,ты,көл
98,Sumpf::N,арай,саз
99,Moor::N,нюр,саз
100,Wiese::N,видз,шалғын
101,Wald::N,вӧр,орман
102,Hügel::N,мыльк,төбе
103,Hügel::N,мыльк,белес
104,Hügel::N,мыльк,белес-белес
105,Anhöhe::N,вывтас,дөң
106,Anhöhe::N,вывтас,адыр
107,Anhöhe::N,вывтас,қырат
108,Anhöhe::N,вылынін,дөң
109,Anhöhe::N,вылынін,адыр
110,Anhöhe::N,вылынін,қырат
111,Berg::N,керӧс,тау
112,Gipfel::N,йыв,төбе
113,Höhle::N,нора,үңгір
114,Abhang::N,покат,бауыр
115,Quelle::N,больган,қайнар
116,Bach::N,шор,жылға
117,Fluss::N,ю,өзен
118,Ufer::N,берег,жиек
119,Küste::N,берег,жиегі
120,Küste::N,берег,жағалау
121,Festland::N,му,құрылық
122,Meer::N,море,теңіз
123,Bucht::N,курья,шығанақ
124,Blume::N,цветок,гүл
125,Gras::N,турун,от
126,Wurzel::N,вуж,түбір
127,Baum::N,пу,ағаш
128,Baum::N,пу,дарақ
129,Stamm::N,мыр,сояу
130,Stamm::N,мыр,оқпан
131,Stamm::N,кер,сояу
132,Stamm::N,кер,оқпан
133,Rinde::N,кач,қабық
134,Ast::N,ув,бұтақ
135,Zweig::N,ув,шыбық
136,Blatt::N,лист,жапырақ
137,Birke::N,кыдз,қайың
138,Kiefer[Baum]::N,пожум,қарағай
139,Weide[Baum]::N,бадь,тал
140,Tanne::N,кӧз,шырша
141,Horn::N,сюр,мүйіз
142,Feder::N,гӧн,қаламұш
143,Fell::N,кучик,тері
