,Concept_ID,hy,lez
0,Auge::N,աչք,вил
1,Ohr::N,ականջ,яб
2,Nase::N,քիթ,нер
3,Mund::N,բերան,сив
4,Zahn::N,ատամ,сас
5,Zahn::N,ատամ,свах
6,Zunge::N,լեզու,мез
7,Lippe::N,շրթունք,пӏуз
8,Wange::N,այտ,хъвехъ
9,Wange::N,թուշ,хъвехъ
10,Gesicht::N,դեմք,ччин
11,Stirn::N,ճակատ,пел
12,Haar::N,մազ,чӏар
13,Schnurrbart::N,բեղ,спел
14,Schnurrbart::N,բեղ,спелар
15,Bart::N,մորուք,ччуру
16,Kinn::N,կզակ,чене
17,Kiefer[Anatomie]::N,ծնոտ,чене
18,Kehle::N,կոկորդ,туьд
19,Hals::N,վիզ,гардан
20,Hals::N,պարանոց,гардан
21,Genick::N,ծոծրակ,кьам
22,Kopf::N,գլուխ,кьил
23,Rücken::N,մեջք,далу
24,Bauch::N,փոր,руфун
25,Bauch::N,որովայն,руфун
26,Nabel::N,պորտ,пицӏ
27,Busen::N,ծոց,мам
28,Brust::N,կուրծք,хур
29,Schulter::N,ուս,къуьн
30,Arm::N,թեւ,гъил
31,Arm::N,բազուկ,гъил
32,Ellenbogen::N,արմունկ,кьуьнт
33,Hand::N,ձեռք,капаш
34,Handfläche::N,ափ,капан юкь
35,Finger::N,մատ,тӏуб
36,Fingernagel::N,եղունգ,кек
37,Nagel[Anatomie]::N,եղունգ,кек
38,Zeh::N,ոտքի մատ,кул
39,Fuß::N,ոտք,кӏвач
40,Ferse::N,գարշապար,дабан
41,Knie::N,ծունկ,мет
42,Oberschenkel::N,ազդր,
43,Bein::N,ոտք,кӏвач
44,Körper::N,մարմին,беден
45,Haut::N,մաշկ,хам
46,Blut::N,արյուն,иви
47,Ader::N,երակ,дамар
48,Sehne::N,ջիղ,кьуру дамар
49,Sehne::N,ձգտան,кьуру дамар
50,Knochen::N,ոսկոր,кӏараб
51,Gehirn::N,խելք,мефт
52,Herz::N,սիրտ,рикӏ
53,Magen::N,ստամոքս,хук
54,Leber::N,լյարդ,лекь
55,Atem::N,շունչ,ял
56,Atem::N,շունչ,нефес
57,Hunger::N,քաղց,каш
58,Träne::N,արտասուք,вилин нагъв
59,Geschmack::N,համ,дад
60,Geschmack::N,համ,тӏям
61,Geschmack::N,բուրմունք,дад
62,Geschmack::N,բուրմունք,тӏям
63,Geruch::N,հոտ,ни
64,Geruch::N,բուրում,ни
65,Schlaf::N,քուն,ахвар
66,Traum::N,երազ,ахвар
67,Himmel::N,երկինք,цав
68,Sonne::N,արեւ,рагъ
69,Mond::N,լուսին,варз
70,Stern::N,աստղ,гъед
