,Concept_ID,cy,tr
0,Auge::N,llygad,göz
1,Ohr::N,clust,kulak
2,Nase::N,trwyn,burun
3,Mund::N,ceg,ağız
4,Zahn::N,dant,diş
5,Zunge::N,tafod,dil
6,Lippe::N,gwefus,dudak
7,Wange::N,boch,yanak
8,Gesicht::N,wyneb,yüz
9,Stirn::N,talcen,alın
10,Haar::N,blew,saç
11,Schnurrbart::N,mwstas,bıyık
12,Bart::N,barf,sakal
13,Kinn::N,gên,çene
14,Kiefer[Anatomie]::N,gên,çene
15,Kehle::N,gwddf,boğaz
16,Hals::N,gwddf,boyun
17,Hals::N,gwddf,gerdan
18,Genick::N,gwar,ense
19,Genick::N,gwegil,ense
20,Kopf::N,pen,baş
21,Kopf::N,pen,kafa
22,Rücken::N,cefn,arka
23,Bauch::N,bol,karın
24,Nabel::N,bogail,göbek
25,Busen::N,bron,koyun
26,Brust::N,brest,göğüs
27,Schulter::N,ysgwydd,omuz
28,Arm::N,braich,kol
29,Ellenbogen::N,penelin,dirsek
30,Hand::N,llaw,el
31,Handfläche::N,palf,avuç
32,Handfläche::N,palf,el ayası
33,Finger::N,bys,parmak
34,Fingernagel::N,ewin,el tırnağı
35,Nagel[Anatomie]::N,ewin,tırnak
36,Zeh::N,bys troed,ayak parmağı
37,Fuß::N,troed,ayak
38,Ferse::N,sawdl,topuk
39,Knie::N,glin,diz
40,Oberschenkel::N,clun,uyluk
41,Bein::N,coes,bacak
42,Körper::N,corff,vücut
43,Haut::N,croen,cilt
44,Blut::N,gwaed,kan
45,Ader::N,gwythïen,damar
46,Sehne::N,gewyn,kiriş
47,Knochen::N,asgwrn,kemik
48,Gehirn::N,ymennydd,beyin
49,Herz::N,calon,kalp
50,Herz::N,calon,yürek
51,Magen::N,cylla,mide
52,Magen::N,stumog,mide
53,Leber::N,iau,karaciğer
54,Atem::N,anadl,nefes
55,Hunger::N,newyn,açlık
56,Träne::N,deigryn,gözyaşı
57,Geschmack::N,cyflas,tat
58,Geschmack::N,cyflas,lezzet
59,Geruch::N,aroglau,koku
