,Concept_ID,ab,bg
0,Auge::N,ала,око
1,Ohr::N,алымҳа,ухо
2,Nase::N,аҧынҵа,нос
3,Mund::N,аҧышə,уста
4,Zahn::N,ахаҧыц,зъб
5,Zunge::N,абз,език
6,Lippe::N,ақьышə,устна
7,Wange::N,аӡамҩа,буза
8,Gesicht::N,аҿы,лице
9,Gesicht::N,аҿы,образ
10,Stirn::N,алахь,чело
11,Haar::N,ахəыц,коса
12,Haar::N,ахəыц,косъм
13,Schnurrbart::N,аҧаҵа,мустаци
14,Bart::N,ажакьа,брада
15,Kinn::N,ацламкəыгə,брада
16,Kinn::N,ацламкəыгə,брадичка
17,Kiefer[Anatomie]::N,ацламҳəа,челюст
18,Kehle::N,ахəда,гърло
19,Hals::N,ахəда,врат
20,Genick::N,ахəдаџьал,тил
21,Kopf::N,ахы,глава
22,Rücken::N,азқəа,гръб
23,Bauch::N,амгəа,корем
24,Nabel::N,аҷапан,пъп
25,Busen::N,агəыҧҳəы,бозка
26,Brust::N,агəышҧы,гръд
27,Schulter::N,ажəҩахыр,рамо
28,Schulter::N,ажəҩахыр,плещи
29,Arm::N,амахəар,ръка
30,Ellenbogen::N,амашьхəылҵ,лакът
31,Hand::N,анапы,ръка
32,Hand::N,анапы,китка
33,Handfläche::N,анапсаргəыҵа,длан
34,Finger::N,анацəа,пръст
35,Fingernagel::N,анапхыц,нокът
36,Nagel[Anatomie]::N,ашьапхыц,нокът
37,Zeh::N,ашьацəа,пръст на крак
38,Fuß::N,ашьапсыргəыҵа,крак
39,Fuß::N,ашьапсыргəыҵа,нога
40,Ferse::N,ашьхəа,пета
41,Knie::N,ашьамхы,коляно
42,Oberschenkel::N,ауаҭəа,бедро
43,Bein::N,ашьапы,крак
44,Bein::N,ашьапы,нога
45,Körper::N,ацəеижь,тяло
46,Haut::N,ацəа,кожа
47,Blut::N,ашьа,кръв
48,Ader::N,ада,вена
49,Ader::N,ада,артерия
50,Sehne::N,адаш,жила
51,Sehne::N,адаш,сухожилие
52,Knochen::N,абаҩ,кост
53,Gehirn::N,ахшлыбаҩ,мозък
54,Gehirn::N,ахшыбаҩ,мозък
55,Herz::N,агəы,сърце
56,Magen::N,аца,стомах
57,Magen::N,ацар,стомах
58,Leber::N,агəаҵəа,черен дроб
59,Atem::N,аҧсыҧлагаҩгара,дишане
60,Hunger::N,амла,глад
61,Träne::N,алабжыш,сълза
62,Geschmack::N,агьама,вкус
63,Geruch::N,афҩы,миризма
64,Schlaf::N,ацəа,сън
65,Traum::N,аҧхыӡ,сън
66,Himmel::N,ажəҩан,небе
67,Sonne::N,амра,слънце
68,Mond::N,амза,луна
69,Mond::N,амза,месец
70,Stern::N,аеҵəа,звезда
71,Luft::N,аҳаир,въздух
72,Wind::N,аҧша,вятър
73,Welle::N,ацəқəырҧа,вълна
74,Wasser::N,аӡы,вода
75,Stein::N,ахаҳə,камък
76,Boden::N,адгьыл,земя
77,Boden::N,адгьыл,почва
78,Erde::N,адгьыл,земя
79,Erde::N,адгьыл,почва
80,Staub::N,асаба,прах
81,Rauch::N,алҩа,дим
82,Rauch::N,алҩа,пушек
83,Funke::N,акəиц,искра
84,Funke::N,ацҧхь,искра
85,Feuer::N,амца,огън
86,Licht::N,алашара,светлина
87,Schatten::N,ашəшьыра,сянка
88,Wetter::N,амш,време
89,Nebel::N,анаҟəа,мъгла
90,Wolke::N,аҧсҭҳəа,облак
91,Regen::N,ақəа,дъжд
92,Schnee::N,асы,сняг
93,Eis::N,аҵаа,лед
94,Frost::N,аҵаа,мраз
95,Kälte::N,ахьҭа,студ
96,Hitze::N,ашоура,жега
97,Hitze::N,ашоура,горещина
98,Raureif::N,аҵааҧшқа,скреж
99,Raureif::N,аҵааҧшқа,слана
100,Regenbogen::N,ацəаҟəа,дъга
101,Donner::N,адыд,гръм
102,Strömung::N,аиасра,течение
103,Strömung::N,амҩасра,течение
104,Tropfen::N,ацəыкəбар,капка
105,Schaum::N,ашəах,пяна
106,Schmutz::N,алымт,кал
107,Schmutz::N,алымт,мръсотия
108,See::N,аӡиа,езеро
109,Sumpf::N,аӡмах,блато
110,Wiese::N,адəы,ливада
111,Wald::N,абна,гора
112,Hügel::N,ахəы,рид
113,Hügel::N,ахəы,хълм
114,Anhöhe::N,аҳаракыра,могила
115,Anhöhe::N,аҳаракыра,възвишение
116,Berg::N,ашьха,планина
117,Gipfel::N,ацəқəа,връх
118,Höhle::N,аҳаҧы,пещера
119,Abhang::N,анаара,склон
120,Abhang::N,анаара,стръмнина
121,Quelle::N,аҵҵырҭа,извор
122,Bach::N,акəараҷҷа,поток
123,Fluss::N,аӡиас,река
124,Ufer::N,ахықə,бряг
125,Küste::N,ахықə,бряг
126,Küste::N,ахықə,крайбрежие
127,Festland::N,абарра,суша
128,Meer::N,амшын,море
129,Bucht::N,аӡбжьахала,залив
130,Insel::N,адгьылбжьаха,остров
131,Blume::N,ашəҭ,цвете
132,Gras::N,аҳасакьын,трева
133,Wurzel::N,адац,корен
134,Baum::N,аҵла,дърво
135,Stamm::N,ашьапы,стъбло
136,Rinde::N,ацəа,кора
137,Ast::N,амахə,клон
138,Ast::N,амахəҭа,клон
139,Zweig::N,амахə,клон
140,Zweig::N,амахəҭа,клон
141,Blatt::N,абҕьы,лист
142,Birke::N,аҵааҵла,бреза
143,Kiefer[Baum]::N,амза,бор
