,Concept_ID,ru,mdf
0,Auge::N,глаз,сельме
1,Ohr::N,ухо,пиле
2,Nase::N,нос,шалхка
3,Mund::N,рот,курга
4,Zahn::N,зуб,пей
5,Zunge::N,язык,кяль
6,Lippe::N,губа,търва́
7,Wange::N,щека,щёка
8,Gesicht::N,лицо,шама
9,Stirn::N,лоб,коня
10,Haar::N,волос,шя́ярь
11,Haar::N,волосы,шя́ярь
12,Schnurrbart::N,ус,уса́
13,Schnurrbart::N,усы,уса́
14,Bart::N,борода,сакал
15,Kinn::N,подбородок,ула
16,Kiefer[Anatomie]::N,челюсть,саласка
17,Kehle::N,горло,кълдома
18,Kehle::N,горло,кърга́парь
19,Hals::N,шея,сялдаз
20,Genick::N,затылок,шовонь
21,Kopf::N,голова,пря
22,Rücken::N,спина,копорь
23,Bauch::N,живот,пеке
24,Nabel::N,пупок,по́кон
25,Busen::N,женская грудь,потя
26,Brust::N,грудь,мяште
27,Schulter::N,плечо,лафту
28,Arm::N,рука,кядь
29,Ellenbogen::N,локоть,кенерьба́карь
30,Hand::N,кисть,кядь
31,Handfläche::N,ладонь,кядьлапш
32,Finger::N,палец,сур
33,Fingernagel::N,ноготь,кенже
34,Nagel[Anatomie]::N,ноготь,кенже
35,Zeh::N,палец,пильгосу́р
36,Fuß::N,ступня,пильге
37,Fuß::N,ступня,пильгелапа
38,Ferse::N,пята,кочкяря
39,Ferse::N,пятка,кочкяря
40,Knie::N,колено,эль
41,Knie::N,колено,пълма́нжа
42,Oberschenkel::N,бедро,пильгепукша
43,Bein::N,нога,пильге
44,Körper::N,тело,ро́нга
45,Körper::N,тело,по́нда
46,Haut::N,кожа,киське
47,Blut::N,кровь,вер
48,Ader::N,вена,сан
49,Ader::N,вена,верза́н
50,Ader::N,сосуд,сан
51,Ader::N,сосуд,верза́н
52,Sehne::N,жила,коське сан
53,Sehne::N,тетива,коське сан
54,Sehne::N,сухожилие,коське сан
55,Knochen::N,кость,пакарь
56,Gehirn::N,мозг,уй
57,Herz::N,сердце,седи
58,Magen::N,желудок,коткърдазь
59,Leber::N,печень,макса
60,Atem::N,дух,лекома
61,Atem::N,дух,ваймонь тарксема
62,Atem::N,дыхание,лекома
63,Atem::N,дыхание,ваймонь тарксема
64,Hunger::N,голод,вачеши
65,Träne::N,слеза,сельмове́дь
66,Geschmack::N,вкус,таньф
67,Geruch::N,запах,шине
68,Schlaf::N,сон,удома́
69,Traum::N,сновидение,он
70,Himmel::N,небо,менель
71,Sonne::N,солнце,ши
72,Mond::N,луна,ков
73,Stern::N,звезда,тяште
74,Luft::N,воздух,кожф
75,Wind::N,ветер,варма
76,Welle::N,волна,тавла
77,Wasser::N,вода,ведь
78,Stein::N,камень,кев
79,Boden::N,почва,мода
80,Boden::N,почва,потмакс
81,Erde::N,земля,мода
82,Erde::N,земля,мастор
83,Staub::N,пыль,пуль
84,Rauch::N,дым,качам
85,Funke::N,искра,ця́тка
86,Feuer::N,огонь,тол
87,Licht::N,свет,ва́лда
88,Schatten::N,тень,цильф
89,Wetter::N,погода,уша
90,Nebel::N,туман,тума́н
91,Wolke::N,облако,ковол
92,Regen::N,дождь,пизем
93,Schnee::N,снег,лов
94,Eis::N,лед,эй
95,Frost::N,мороз,ке́льме
96,Kälte::N,холод,якшама
97,Hitze::N,жара,пси
98,Raureif::N,иней,леш
99,Regenbogen::N,радуга,а́тямъёнга
100,Donner::N,гром,атям
101,Strömung::N,течение,шудема́
102,Tropfen::N,капля,путькс
103,Tropfen::N,капля,пътняфкс
104,Schaum::N,пена,шов
105,Schmutz::N,грязь,ърда́з
106,See::N,озеро,эрьхке
107,Sumpf::N,топь,шяй
108,Moor::N,болото,шяй
109,Wiese::N,луг,луга
110,Wald::N,лес,вирь
111,Hügel::N,холм,губо́р
112,Hügel::N,холм,пандоня
113,Anhöhe::N,возвышенность,губо́р
114,Berg::N,гора,панда
