,Concept_ID,es,ja
0,Auge::N,ojo,目
1,Ohr::N,oreja,耳
2,Nase::N,nariz,鼻
3,Mund::N,boca,口
4,Zahn::N,diente,歯
5,Zunge::N,lengua,舌
6,Lippe::N,labio,唇
7,Wange::N,mejilla,頬
8,Gesicht::N,cara,顔
9,Stirn::N,frente,額
10,Haar::N,cabello,髪
11,Schnurrbart::N,bigote,口髭
12,Bart::N,barba,髭
13,Kinn::N,barbilla,顎
14,Kiefer[Anatomie]::N,mandíbula,顎
15,Kehle::N,garganta,喉
16,Hals::N,cuello,首
17,Genick::N,nuca,首
18,Genick::N,cerviz,首
19,Kopf::N,cabeza,頭
20,Rücken::N,espalda,背中
21,Bauch::N,vientre,腹
22,Bauch::N,vientre,お腹
23,Nabel::N,ombligo,へそ
24,Busen::N,pecho,乳房
25,Brust::N,pecho,胸
26,Schulter::N,hombro,肩
27,Arm::N,brazo,腕
28,Ellenbogen::N,codo,肘
29,Hand::N,mano,手
30,Handfläche::N,palma,手のひら
31,Finger::N,dedo,指
32,Fingernagel::N,uña,爪
33,Nagel[Anatomie]::N,uña,爪
34,Zeh::N,dedo del pie,足の指
35,Fuß::N,pie,足
36,Ferse::N,talón,かかと
37,Knie::N,rodilla,膝
38,Oberschenkel::N,muslo,上腿
39,Bein::N,pierna,足
40,Körper::N,cuerpo,体
41,Haut::N,piel,皮膚
42,Blut::N,sangre,血
43,Ader::N,vena,血管
44,Sehne::N,tendón,腱
45,Knochen::N,hueso,骨
46,Gehirn::N,cerebro,脳
47,Gehirn::N,encéfalo,脳
48,Herz::N,corazón,心
49,Herz::N,corazón,心臓
50,Magen::N,estómago,胃
51,Leber::N,hígado,肝臓
52,Atem::N,aliento,息
53,Atem::N,aliento,呼吸
54,Hunger::N,hambre,空腹
55,Träne::N,lágrima,涙
56,Geschmack::N,gusto,味
57,Geruch::N,olor,匂い
58,Schlaf::N,sueño,睡眠
59,Traum::N,sueño,夢
60,Traum::N,ensueño,夢
61,Himmel::N,cielo,空
62,Sonne::N,sol,太陽
63,Mond::N,luna,月
64,Stern::N,estrella,星
65,Luft::N,aire,空気
66,Wind::N,viento,風
67,Welle::N,ola,波
68,Welle::N,onda,波
69,Wasser::N,agua,水
70,Stein::N,piedra,石
71,Boden::N,suelo,土地
72,Erde::N,tierra,土
73,Staub::N,polvo,埃
74,Rauch::N,humo,煙
75,Funke::N,chispa,火花
76,Feuer::N,fuego,火
77,Licht::N,luz,光
78,Schatten::N,sombra,陰
79,Wetter::N,tiempo,天気
80,Nebel::N,niebla,霧
81,Wolke::N,nube,雲
82,Regen::N,lluvia,雨
83,Schnee::N,nieve,雪
84,Eis::N,hielo,氷
85,Frost::N,helada,霜
86,Kälte::N,frío,寒さ
87,Hitze::N,calor,暑さ
88,Raureif::N,escarcha,霧氷
89,Regenbogen::N,arco iris,虹
90,Donner::N,trueno,雷
91,Strömung::N,corriente,流れ
92,Tropfen::N,gota,滴
93,Schaum::N,espuma,泡
94,Schmutz::N,suciedad,汚れ
95,See::N,lago,湖
96,Sumpf::N,pantano,沼
97,Moor::N,turbera,湿原
98,Wiese::N,prado,草原
99,Wiese::N,pradera,草原
100,Wald::N,bosque,森
101,Hügel::N,colina,丘
102,Anhöhe::N,cerro,高み
103,Berg::N,monte,山
104,Berg::N,montaña,山
105,Gipfel::N,cima,頂上
106,Gipfel::N,cumbre,頂上
107,Höhle::N,cueva,洞窟
108,Höhle::N,caverna,洞窟
109,Abhang::N,cuesta,斜面
110,Abhang::N,declive,斜面
111,Quelle::N,fuente,泉
112,Quelle::N,manantial,泉
113,Bach::N,arroyo,小川
114,Fluss::N,río,川
115,Ufer::N,orilla,岸
116,Küste::N,costa,海岸
117,Festland::N,tierra firme,陸
118,Meer::N,mar,海
119,Bucht::N,cala,湾
120,Bucht::N,bahía,湾
121,Insel::N,isla,島
122,Blume::N,flor,花
123,Gras::N,hierba,草
124,Wurzel::N,raíz,根
125,Baum::N,árbol,木
126,Stamm::N,tronco,幹
127,Rinde::N,corteza,皮層
128,Ast::N,rama,枝
129,Zweig::N,ramo,小枝
130,Blatt::N,hoja,葉
131,Birke::N,abedul,樺
132,Kiefer[Baum]::N,pino,松
133,Weide[Baum]::N,sauce,柳
134,Tanne::N,abeto,樅
135,Horn::N,asta,角
136,Horn::N,cuerno,角
137,Feder::N,pluma,羽根
138,Fell::N,piel,毛皮
139,Flügel::N,ala,羽
140,Klaue::N,garra,鉤爪
141,Kralle::N,uña,爪
142,Kralle::N,garra,爪
143,Schwanz::N,cola,尻尾
144,Ei::N,huevo,卵
145,Nest::N,nido,巣
146,Bau::N,madriguera,穴
147,Tier::N,animal,動物
148,Herde::N,rebaño,群れ
149,Kuh::N,vaca,牛
150,Bulle::N,toro,雄牛
151,Pferd::N,caballo,馬
152,Schaf::N,oveja,羊
153,Schwein::N,cerdo,豚
154,Hund::N,perro,犬
155,Katze::N,gato,猫
156,Bär::N,oso,熊
157,Eichhörnchen::N,ardilla,栗鼠
158,Elch::N,alce,ヘラジカ
159,Fuchs::N,zorro,狐
160,Hase::N,liebre,兎
161,Maus::N,ratón,鼠
162,Wolf::N,lobo,狼
163,Vogel::N,ave,鳥
164,Vogel::N,pájaro,鳥
165,Schwarm::N,bandada,群れ
166,Huhn::N,gallina,鶏
167,Hahn::N,gallo,雄鶏
168,Gans::N,oca,ガチョウ
169,Gans::N,ganso,ガチョウ
170,Adler::N,águila,鷲
171,Ente::N,pato,鴨
172,Eule::N,lechuza,フクロウ
173,Kranich::N,grulla,鶴
174,Krähe::N,corneja,烏
175,Kuckuck::N,cuco,郭公
176,Schwan::N,cisne,白鳥
177,Fisch::N,pez,魚
178,Barsch::N,perca,鱸
179,Hecht::N,lucio,川魳
180,Schlange[Tier]::N,serpiente,蛇
181,Wurm::N,gusano,虫
182,Spinne::N,araña,蜘蛛
183,Ameise::N,hormiga,蟻
